"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.102843620252387,-0.100603966363587
3.002,0.101710822994575,-0.102134178302795
3.004,0.100550339587819,-0.103646273897127
3.006,0.0993625707626895,-0.105139664030802
3.008,0.0981479310695011,-0.106613770060059
3.01,0.0969068486035926,-0.108068024149222
3.012,0.0956397647002831,-0.109501869599655
3.014,0.0943471336395282,-0.110914761171592
3.016,0.0930294223003098,-0.112306165407867
3.018,0.09168710987479,-0.113675560907528
3.02,0.0903206875522532,-0.115022438663364
3.022,0.0889306581228709,-0.116346302318332
3.024,0.0875175357013131,-0.117646668460904
3.026,0.0860818453402341,-0.118923066869344
3.028,0.0846241226836618,-0.120175040794907
3.03,0.083144913622312,-0.121402147223998
3.032,0.0816447738958583,-0.122603957049274
3.034,0.0801242687481778,-0.123780055399719
3.036,0.0785839725345995,-0.124930041779691
3.038,0.077024468342178,-0.12605353029697
3.04,0.0754463476050149,-0.127150149889791
3.042,0.0738502097056501,-0.128219544502915
3.044,0.0722366615835446,-0.129261373232711
3.046,0.0706063173306749,-0.13027531056129
3.048,0.06895979779026,-0.131261046439701
3.05,0.0672977301456383,-0.132218286490192
3.052,0.0656207475113153,-0.133146752117562
3.054,0.0639294885171981,-0.134046180649621
3.056,0.0622245968960351,-0.134916325426765
3.058,0.0605067210550758,-0.135756955930686
3.06,0.0587765136679678,-0.136567857852232
3.062,0.0570346312399063,-0.137348833188445
3.064,0.0552817336920479,-0.138099700318768
3.066,0.0535184839290059,-0.138820294060463
3.068,0.0517455474194369,-0.139510465683246
3.07,0.0499635917638338,-0.140170083003152
3.072,0.048173286269434,-0.140799030355655
3.074,0.0463753015221556,-0.141397208658055
3.076,0.0445703089610733,-0.141964535361149
3.078,0.0427589804479383,-0.142500944490208
3.08,0.040941987847658,-0.143006386585271
3.082,0.0391200025968397,-0.143480828720772
3.084,0.0372936952865072,-0.143924254384525
3.086,0.0354637352351979,-0.144336663536076
3.088,0.0336307900734461,-0.14471807243444
3.09,0.0317955253236617,-0.145068513655245
3.092,0.029958603988403,-0.145388035927291
3.094,0.0281206861320579,-0.145676704098547
3.096,0.0262824284799303,-0.145934599031597
3.098,0.0244444840057398,-0.146161817408557
3.1,0.0226075015305359,-0.146358471725474
3.102,0.0207721253270327,-0.146524690046221
3.104,0.018938994722362,-0.146660615925909
3.106,0.0171087437102533,-0.146766408233828
3.108,0.0152820005626343,-0.14684224096593
3.11,0.0134593874506617,-0.146888303096875
3.112,0.0116415200771759,-0.146904798391643
3.114,0.00982900727458515,-0.146891945196741
3.116,0.00802245070217624,-0.146849976241004
3.118,0.00622244441285216,-0.146779138426013
3.12,0.00442957455929777,-0.146679692596146
3.122,0.00264441901056877,-0.146551913308257
3.124,0.000867547039107431,-0.146396088601022
3.126,-0.00087783835182045,-0.146194971053943
3.128,-0.00258979399026684,-0.14595071593603
3.13,-0.00429003768732444,-0.145681871179177
3.132,-0.00597813661843276,-0.145388843641231
3.134,-0.00765367040426974,-0.145072048943784
3.136,-0.00931623126123472,-0.144731911127679
3.138,-0.0109654241715197,-0.144368862288252
3.14,-0.0126008670927793,-0.143983342214319
3.142,-0.0142221910673961,-0.143575798019916
3.144,-0.0158290404113517,-0.143146683777803
3.146,-0.0174210728626996,-0.142696460142737
3.148,-0.0189979596796507,-0.142225593974531
3.15,-0.0205593857782723,-0.141734557963898
3.152,-0.0221050498298032,-0.1412238302461
3.154,-0.0236346643875927,-0.140693894021395
3.156,-0.0251479559436641,-0.140145237168307
3.158,-0.0266446650449103,-0.139578351856708
3.16,-0.028124546318924,-0.138993734161739
3.162,-0.0295873685694677,-0.138391883673556
3.164,-0.0310329148015865,-0.137773303108326
3.166,-0.0324609822763715,-0.137138497917469
3.168,-0.033871382505376,-0.136487975899051
3.17,-0.035263941324688,-0.135822246806541
3.172,-0.0366384988386676,-0.135141821959331
3.174,-0.0379949094533493,-0.134447213854229
3.176,-0.0393330418495183,-0.133738935776925
3.178,-0.0406527789854602,-0.133017501415039
3.18,-0.0419540180093945,-0.13228342447255
3.182,-0.0432366702515917,-0.131537218285219
3.184,-0.0445006611761809,-0.130779395439904
3.186,-0.0457459302726508,-0.130010467396765
3.188,-0.0469724310370506,-0.129230944106375
3.19,-0.0481801308428929,-0.128441333640738
3.192,-0.0493690108717635,-0.127642141820199
3.194,-0.0505390659936439,-0.12683387184528
3.196,-0.0516903046669475,-0.126017023929417
3.198,-0.0528227487982764,-0.125192094942615
3.2,-0.0539364336119008,-0.124359578052021
3.202,-0.0550314075389655,-0.12351996236941
3.204,-0.0561077320164276,-0.122673732601603
3.206,-0.0571654813457277,-0.121821368710794
3.208,-0.0582047425612011,-0.120963345562814
3.21,-0.0592256151882268,-0.12010013263031
3.212,-0.0602282110911252,-0.119232193603863
3.214,-0.0612126542907996,-0.118359986134023
3.216,-0.0621790807321314,-0.117483961463282
3.218,-0.063127638081128,-0.116604564137973
3.22,-0.0640584855118261,-0.115722231720106
3.222,-0.0649717934729571,-0.114837394469131
3.224,-0.0658677434643715,-0.113950475023637
3.226,-0.066746527783229,-0.113061888172987
3.228,-0.0676083492679553,-0.112172040548883
3.23,-0.0684534210559666,-0.111281330346871
3.232,-0.069281966313167,-0.110390147097778
3.234,-0.070094217965217,-0.109498871359086
3.236,-0.0708904184175767,-0.108607874516245
3.238,-0.0716708192763281,-0.107717518513916
3.24,-0.0724356810587717,-0.106828155647159
3.242,-0.0731852728938051,-0.105940128312551
3.244,-0.0739198722260822,-0.105053768799246
3.246,-0.0746397645109538,-0.104169399089967
3.248,-0.0753452428971922,-0.103287330661945
3.25,-0.0760366079184992,-0.102407864287781
3.252,-0.0767006751518007,-0.101582268336262
3.254,-0.0773539714853259,-0.1007605258431
3.256,-0.0779968419904739,-0.099942798901619
3.258,-0.0786296342584671,-0.0991292374833764
3.26,-0.0792526980357931,-0.09831997945872
3.262,-0.0798663848744336,-0.0975151505072874
3.264,-0.0804710477693817,-0.0967148641384412
3.266,-0.0810670408026093,-0.0959192216716435
3.268,-0.0816547187893615,-0.0951283122567683
3.27,-0.0822344369211399,-0.0943422128943541
3.272,-0.0828065504097744,-0.0935609884157946
3.274,-0.0833714141391841,-0.0927846915634693
3.276,-0.0839293823084656,-0.0920133630208136
3.278,-0.0844808080844283,-0.0912470314623305
3.28,-0.0850260432549189,-0.0904857136035405
3.282,-0.0855654378839315,-0.0897294143108749
3.284,-0.0860993399655039,-0.0889781266215093
3.286,-0.0866280950874006,-0.088231831903141
3.288,-0.0871520460925793,-0.0874904999037075
3.29,-0.087671532746444,-0.0867540888910502
3.292,-0.0881868914068795,-0.0860225457425215
3.294,-0.0886984546960694,-0.0852958060945384
3.296,-0.0892065511800973,-0.0845737944620802
3.298,-0.0897115050523266,-0.0838564244081365
3.3,-0.0902136358145629,-0.0831435986531
3.302,-0.090713257974993,-0.082435209294112
3.304,-0.0912106807369046,-0.0817311379043552
3.306,-0.091706207704181,-0.0810312557823012
3.308,-0.0922001365895724,-0.0803354240809094
3.31,-0.0926927589287436,-0.0796434940267804
3.312,-0.0931843597760936,-0.0789553071292664
3.314,-0.0936752174493492,-0.0782706953495382
3.316,-0.0941656032759303,-0.0775894813896124
3.318,-0.0946557812790852,-0.0769114788113381
3.32,-0.0951460079637966,-0.0762364923853473
3.322,-0.0956365320424548,-0.0755643182099701
3.324,-0.0961275942103,-0.0748947440601141
3.326,-0.0966194268806287,-0.0742275495461155
3.328,-0.0971122539797676,-0.0735625064605573
3.33,-0.0976062907118108,-0.0728993789520623
3.332,-0.0981017433531197,-0.0722379238520608
3.334,-0.0985988090265866,-0.0715778909295328
3.336,-0.0990976755156579,-0.0709190231727337
3.338,-0.0995985210781199,-0.0702610570698975
3.34,-0.100101514249642,-0.069603722902927
3.342,-0.100606813657079,-0.0689467450430695
3.344,-0.101114567881532,-0.0682898422455823
3.346,-0.101624915281169,-0.0676327279543901
3.348,-0.102137983843792,-0.0669751106127366
3.35,-0.102653891029175,-0.0663166939698331
3.352,-0.103172743651139,-0.0656571774015101
3.354,-0.103694637789402,-0.0649962562238676
3.356,-0.104219658571163,-0.0643336220179343
3.358,-0.104747880192452,-0.0636689629543356
3.36,-0.105279365709231,-0.0630019641169727
3.362,-0.105814167028243,-0.0623323078407166
3.364,-0.106352324777618,-0.0616596740374205
3.366,-0.10689386825723,-0.0609837405314548
3.368,-0.107438815378806,-0.0603041833974632
3.37,-0.107987172615784,-0.0596206772969493
3.372,-0.10853893494293,-0.0589328958170925
3.374,-0.109094085835699,-0.0582405118107992
3.376,-0.109677382109352,-0.0575412208717892
3.378,-0.110288599377825,-0.0568327352185248
3.38,-0.110902756472354,-0.0561160606008835
3.382,-0.111519690879841,-0.055390884767176
3.384,-0.11213922912099,-0.0546568997572174
3.386,-0.112761186848183,-0.0539138022224518
3.388,-0.113385368963118,-0.053161293744132
3.39,-0.114011569804197,-0.0523990811465639
3.392,-0.114639573283675,-0.0516268768064113
3.394,-0.115269153014561,-0.050844398956071
3.396,-0.115900072517279,-0.0500513719881168
3.398,-0.116532085396084,-0.0492475267458188
3.4,-0.117164935465242,-0.048432600817741
3.402,-0.117798357034967,-0.0476063388204183
3.404,-0.118432075007123,-0.0467684926791195
3.406,-0.119065805170681,-0.0459188219016965
3.408,-0.119699254356951,-0.0450570938595271
3.41,-0.120332120694573,-0.0441830840225482
3.412,-0.120964093834275,-0.0432965762343908
3.414,-0.121594855143402,-0.042397362972613
3.416,-0.122224078010213,-0.0414852455690389
3.418,-0.122851428047956,-0.0405600344502035
3.42,-0.123476563388706,-0.039621549397909
3.422,-0.124099134886987,-0.0386696197298942
3.424,-0.124718786433173,-0.0377040845306215
3.426,-0.125335155236659,-0.0367247928721821
3.428,-0.12594787204882,-0.0357316040153253
3.43,-0.12655656150576,-0.0347243875806132
3.432,-0.12716084237683,-0.0337030237497041
3.434,-0.12776032788095,-0.0326674034267668
3.436,-0.128354625980714,-0.0316174284500308
3.438,-0.12894333968229,-0.0305530117034724
3.44,-0.12952606734511,-0.0294740772986401
3.442,-0.130102402996369,-0.0283805607066244
3.444,-0.130671936645311,-0.027272408900172
3.446,-0.131234254600327,-0.0261495804759466
3.448,-0.131788939797852,-0.0250120457869414
3.45,-0.132335572123078,-0.0238597870550431
3.452,-0.13287372874247,-0.0226927984137533
3.454,-0.133402984435099,-0.0215110861010626
3.456,-0.133922911926792,-0.020314668462489
3.458,-0.134433082227099,-0.0191035760442755
3.46,-0.134933064968083,-0.0178778516867522
3.462,-0.135422428744938,-0.016637550537864
3.464,-0.13590074146143,-0.0153827401568663
3.466,-0.136367570666071,-0.0141135004781916
3.468,-0.136822483903729,-0.0128299238954849
3.47,-0.137265049057573,-0.0115321152658152
3.472,-0.137694834695857,-0.010220191924061
3.474,-0.138111410418052,-0.00889428364747189
3.476,-0.138514347202415,-0.00755453271040966
3.478,-0.138903217748321,-0.00620109380926788
3.48,-0.139277596827433,-0.00483413407757288
3.482,-0.139637061624739,-0.00345383300126795
3.484,-0.139981192086443,-0.00206038242417957
