"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.149002390832387,-0.118689001516587
3.002,0.146603419743,-0.123279712099128
3.004,0.143993874941927,-0.127748682768213
3.006,0.141174583485518,-0.132130169331832
3.008,0.138146575500052,-0.136358112656078
3.01,0.134913239513274,-0.140449770562891
3.012,0.131514458885996,-0.144411157687245
3.014,0.127913266223707,-0.14818495266384
3.016,0.124134877998189,-0.151833207893087
3.018,0.120226620769242,-0.155307644376679
3.02,0.116147923016393,-0.158578055552505
3.022,0.11192193188066,-0.161650917479112
3.024,0.107556120826381,-0.164523324929568
3.026,0.103064011193118,-0.167193502434792
3.028,0.0984923141975956,-0.169659375726353
3.03,0.0938297388857071,-0.171889846608811
3.032,0.0890734431646373,-0.173903963971385
3.034,0.0842177340150112,-0.17568686453926
3.036,0.0793354875881525,-0.177263180494279
3.038,0.0743996888354368,-0.178573554035175
3.04,0.0694218607487017,-0.179665533397268
3.042,0.064440491934807,-0.180528948831676
3.044,0.05943822463524,-0.181132516554039
3.046,0.0544566319898701,-0.181519842352736
3.048,0.049470053327786,-0.181660977346616
3.05,0.0445301194622692,-0.181576671992254
3.052,0.039629367141858,-0.181253012690705
3.054,0.03479373765155,-0.180709290913839
3.056,0.0300451453401328,-0.179964640560182
3.058,0.0253356510136504,-0.178954223050212
3.06,0.0207745471389762,-0.17774317708134
3.062,0.0162706769675629,-0.176360348632313
3.064,0.0118972788692852,-0.174760385927263
3.066,0.0076779620264716,-0.172977622449194
3.068,0.0035489146280752,-0.170989367503156
3.07,-0.0004075820560374,-0.1688142998289
3.072,-0.0042093902505846,-0.166487364503082
3.074,-0.0078317359802618,-0.164011705631131
3.076,-0.0113014321449349,-0.161380097988602
3.078,-0.0145464707946867,-0.158605037312142
3.08,-0.0176536726347104,-0.155730320300073
3.082,-0.0205634871199692,-0.15272426814249
3.084,-0.023257496699753,-0.149620808370999
3.086,-0.0257334480820333,-0.146423604698127
3.088,-0.0280417687875954,-0.143146532086151
3.09,-0.0300870054040501,-0.139811255295669
3.092,-0.031943775739632,-0.136407167555825
3.094,-0.0335752530667893,-0.132972963828958
3.096,-0.0350161607855997,-0.129516494833094
3.098,-0.0362208901970144,-0.126011974949897
3.1,-0.0372036141658536,-0.122550964638316
3.102,-0.0379341821336768,-0.11910222456408
3.104,-0.0384826361211888,-0.115657962107592
3.106,-0.038812504421109,-0.112230135066469
3.108,-0.0389489697099197,-0.108872249417813
3.11,-0.0388374097500705,-0.105575537971959
