"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.115551790472387,-0.115087043596587
3.002,0.113387167873,-0.117732560759128
3.004,0.111134409401926,-0.120297851488213
3.006,0.108767058375518,-0.122758088971833
3.008,0.106312834130052,-0.125130053476078
3.01,0.103770976843274,-0.127398782272891
3.012,0.101150111785997,-0.129565568557245
3.014,0.0984439372637069,-0.13161009210384
3.016,0.0956684083581895,-0.133556875963087
3.018,0.0928147003292424,-0.135371579696679
3.02,0.0899210631263935,-0.137086974592505
3.022,0.0869600801366598,-0.138660770689112
3.024,0.0839583827733809,-0.140116354919568
3.026,0.0809213143621175,-0.141439647864792
3.028,0.0778560009765956,-0.142641956996353
3.03,0.0747610500767071,-0.143712684308811
3.032,0.0716464654403373,-0.144649720311385
3.034,0.0685157093880112,-0.14547022541926
3.036,0.0653900337071525,-0.146140228334279
3.038,0.0622577597664368,-0.146692311775175
3.04,0.0591414364617017,-0.147106808477268
3.042,0.056039295782807,-0.147400300391676
3.044,0.05296300389324,-0.147564817724039
3.046,0.0499272439338701,-0.147610372522736
3.048,0.046909794167786,-0.147525266836616
3.05,0.0439474446022692,-0.147325097572254
3.052,0.041019325181858,-0.147010724880705
3.054,0.03816418212155,-0.146570438953839
3.056,0.0353555647001328,-0.146041581940182
3.058,0.0326299141836504,-0.145386807890212
3.06,0.0299637088589762,-0.14464091698134
3.062,0.0273722040875629,-0.143799443642313
3.064,0.0248759448292852,-0.142864764417263
3.066,0.0224655707964716,-0.141856521949194
3.068,0.0201335893080752,-0.140747822513156
3.07,0.0179001489139626,-0.1395787017489
3.072,0.0157692352394154,-0.138337751873082
3.074,0.0137364542697382,-0.137032564811131
3.076,0.0118081395950651,-0.135678251858602
3.078,0.0099884216053133,-0.134271186015142
3.08,0.0082722913752896,-0.132815611036073
3.082,0.0066709237200308,-0.13133215474649
3.084,0.005175435100247,-0.129810540444999
3.086,0.0037907079079667,-0.128273230756827
3.088,0.0025269224924046,-0.126715534314151
3.09,0.00136728125594991,-0.125154470650669
3.092,0.000324852960368001,-0.123574832788825
3.094,-0.000609365796789302,-0.122013625417958
3.096,-0.0014298355555997,-0.120459116363094
3.098,-0.00215379840701441,-0.118914893718897
3.1,-0.0027625048958536,-0.117402625656316
3.102,-0.0032556297936768,-0.11592511932408
3.104,-0.0036451180711888,-0.114474764277592
3.106,-0.003945584591109,-0.113063753026469
3.108,-0.0041563550099197,-0.111698802547813
3.11,-0.0042566897900705,-0.110399605401959
3.112,-0.0042845101417469,-0.109147501176783
3.114,-0.0042264450444416,-0.107971044941964
3.116,-0.0040723507282842,-0.106852813032707
3.118,-0.0038629664351924,-0.10580623252327
3.12,-0.0035717924498114,-0.104847045910144
3.122,-0.0032217784801512,-0.103960412934856
3.124,-0.0028032133481207,-0.103170298656503
3.126,-0.0023348789697142,-0.102467083483957
3.128,-0.0018241298150773,-0.101848894317773
3.13,-0.0012630497982329,-0.101332164161722
3.132,-0.00066464121467992,-0.100907449964102
3.134,-5.17967247159997E-05,-0.100578983638731
3.136,0.00059513948452099,-0.100357455465617
3.138,0.00126131177717483,-0.100238035221332
3.14,0.0019164796100765,-0.100204711029134
3.142,0.00259310816904423,-0.10030184681881
3.144,0.00326571142130222,-0.100486767686205
3.146,0.00392416779954882,-0.100771333352471
3.148,0.00456815609236578,-0.101165142943098
3.15,0.00519538407228789,-0.101645921516622
3.152,0.00578452913693698,-0.102248186093115
3.154,0.00634081326217696,-0.10293319469237
3.156,0.0068547544184208,-0.103724150471885
