"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.138543634302387,-0.086146892071587
3.002,0.138042592683,-0.0901232648451278
3.004,0.137368814221926,-0.094120235374213
3.006,0.136508739885518,-0.0981081012018325
3.008,0.135461622140052,-0.102086349159078
3.01,0.134193004513275,-0.105993492955891
3.012,0.132825320815996,-0.109977864777245
3.014,0.131200921323707,-0.11381478204384
3.016,0.129431253858189,-0.117652043673087
3.018,0.127536848739242,-0.121485516506679
3.02,0.125411748546394,-0.125189418762505
3.022,0.12312739478066,-0.128820797829112
3.024,0.120683366876381,-0.132364818149568
3.026,0.118071720033117,-0.135805810024792
3.028,0.115302587327596,-0.139146029436353
3.03,0.112397897955707,-0.142384957298811
3.032,0.109341971814637,-0.145482942381385
3.034,0.106148697705011,-0.14840082500926
3.036,0.102836349183153,-0.151316525204279
3.038,0.0993935091134368,-0.154016173325175
3.04,0.0958425310507017,-0.156561391097268
3.042,0.092200604412807,-0.158971842461676
3.044,0.08843433023324,-0.161196469434039
3.046,0.0845874191738701,-0.163275881802736
3.048,0.080657731237786,-0.165176358576616
3.05,0.0766612645022692,-0.166908158662254
3.052,0.072602972201858,-0.168474696830705
3.054,0.06849718652955,-0.169840180263839
3.056,0.0643425270351328,-0.171048023210182
3.058,0.0601656500316504,-0.172042561390212
3.06,0.0560055668285762,-0.17281228111134
3.062,0.0517329588855629,-0.173520027312313
3.064,0.0475181633842852,-0.173980177717263
3.066,0.0433151240844716,-0.174243565489194
3.068,0.0391137924280752,-0.174347693203156
3.07,0.0349404565839626,-0.1742380464689
3.072,0.0308112328194154,-0.173962075723082
3.074,0.0267395070597382,-0.173495585241131
3.076,0.0227024558350651,-0.172882943428602
3.078,0.0188140787653133,-0.172037065182142
3.08,0.0149223144552896,-0.171101660140073
3.082,0.0110462403600308,-0.16998963326249
3.084,0.007340477120247,-0.168695849280999
3.086,0.0037947746279667,-0.167258529658127
3.088,0.0002082816524046,-0.165693841686151
3.09,-0.00316277795405009,-0.163969837915669
3.092,-0.006421102669632,-0.162122715343825
3.094,-0.0095063057367893,-0.160161319801958
3.096,-0.0125859396555997,-0.158072126113094
3.098,-0.0154505848670144,-0.155877155728897
3.1,-0.0181776457558536,-0.153593312626316
3.102,-0.0207118940536768,-0.15119560781408
3.104,-0.0231287314311888,-0.148737523437592
3.106,-0.025374839411109,-0.146191482816469
3.108,-0.0274932963699197,-0.143589507487813
3.11,-0.0293894333600705,-0.140941271549959
3.112,-0.0311763922517469,-0.138231291137783
3.114,-0.0327651301544416,-0.135496860756964
3.116,-0.0341828345382842,-0.132731859448707
3.118,-0.0354065425151924,-0.12996262958827
3.12,-0.0365105525898114,-0.127179316728144
3.122,-0.0374213495601512,-0.124399514814856
3.124,-0.0381570905181207,-0.121642833846503
3.126,-0.0387330094397142,-0.118902832413957
3.128,-0.0391424942850773,-0.116198008627773
3.13,-0.0393889403782329,-0.113536641731722
3.132,-0.0394548502566799,-0.110943938084102
3.134,-0.039393521220716,-0.108391338968731
3.136,-0.039169237122479,-0.105972472805617
3.138,-0.0388322139748252,-0.103503412431332
3.14,-0.0383358008699235,-0.101185522279134
3.142,-0.0376913340576558,-0.09897364003881
3.144,-0.0369125631836978,-0.096875039726205
3.146,-0.0360456020474512,-0.094852245382471
3.148,-0.0350287560696342,-0.092986492143098
3.15,-0.0339247344797121,-0.091198304746622
3.152,-0.032717030663063,-0.089557716613115
3.154,-0.031421362797823,-0.08804938849237
3.156,-0.0300311982715792,-0.086719159631885
3.158,-0.0285797811777657,-0.085472557504539
3.16,-0.0270503850418068,-0.084387557336072
3.162,-0.025480336927004,-0.083502914782263
3.164,-0.0238444116382148,-0.08273147493596
3.166,-0.0221830241281991,-0.08210286342377
3.168,-0.0204924701087878,-0.081656454962574
3.17,-0.0187872954753379,-0.081378538895821
3.172,-0.017113745660365,-0.081301250479584
3.174,-0.015401520850902,-0.081335225398355
3.176,-0.0136569566205904,-0.081484401460713
3.178,-0.0119609339355646,-0.081817574414705
3.18,-0.0103051737933719,-0.082325122363031
3.182,-0.0087131290843407,-0.083013674848046
3.184,-0.0071450140046394,-0.083839755516555
3.186,-0.0056285577790488,-0.084783438264373
3.188,-0.0041948757135233,-0.08590876443075
3.19,-0.0029108678974359,-0.087204798662557
3.192,-0.0015858466256117,-0.088594465268312
3.194,-0.000385069840057602,-0.090113120401998
3.196,0.000613110898562502,-0.091803173236725
3.198,0.0016578579197039,-0.093562232568217
3.2,0.0024257525220238,-0.095473231548068
3.202,0.0032036299026509,-0.097485735826932
3.204,0.003734546816816,-0.099585765677445
3.206,0.0042697140476901,-0.101789886777038
3.208,0.0045783204765001,-0.104078273120586
3.21,0.0047123564129216,-0.10645346738289
3.212,0.0047189171157259,-0.108885277631009
3.214,0.0044962489437237,-0.111352371676442
3.216,0.0042557393369217,-0.113922979357167
3.218,0.0037742513880198,-0.116500742059524
3.22,0.0031305214741104,-0.119113695855005
3.222,0.0023219500786895,-0.121746536212815
3.224,0.0013224965538983,-0.124400056637418
3.226,0.000178254623081804,-0.1270556870192
3.228,-0.0011673504464161,-0.129684491226954
3.23,-0.00267126592020649,-0.132313340133507
3.232,-0.0044135808034913,-0.134842440919175
3.234,-0.0062119211974804,-0.137446402368403
3.236,-0.008230588215483,-0.139951982576159
3.238,-0.0104213717288185,-0.142410565690569
3.24,-0.0127754695223694,-0.144790591717458
3.242,-0.0152957173799061,-0.147086778343793
3.244,-0.0179627668791684,-0.149295018627981
3.246,-0.020791477816613,-0.151419792440128
3.248,-0.0237881728619803,-0.153354260872137
3.25,-0.0269067696024992,-0.155242473947781
3.252,-0.0301396738369234,-0.157102928032633
3.254,-0.0335204620592231,-0.158752690273938
3.256,-0.0370266774520309,-0.160266256190383
3.258,-0.0406573111598637,-0.161632600641805
3.26,-0.044386284982013,-0.162762236708794
3.262,-0.0482403625152309,-0.163914329922253
3.264,-0.0521468416861025,-0.164804207192867
3.266,-0.0561592214631733,-0.165532970110483
3.268,-0.0602398297288425,-0.166075975473469
3.27,-0.0643861495209247,-0.166447216637985
3.272,-0.06859443783403,-0.166644751317156
3.274,-0.0728466821505963,-0.166652685170265
3.276,-0.0771252801037412,-0.166460421661829
3.278,-0.0814352009707944,-0.166084165090619
3.28,-0.0857662642485796,-0.165517716508684
3.282,-0.0900961107743739,-0.164761511490279
3.284,-0.0944294666191423,-0.163813759420745
3.286,-0.0987321581110687,-0.162662119975387
3.288,-0.102946985124811,-0.161254758558274
3.29,-0.107262836304976,-0.159787328471023
3.292,-0.111456516843971,-0.158065701601529
3.294,-0.115611080342459,-0.156154396102683
3.296,-0.119683701565602,-0.154059162601055
3.298,-0.123698775439017,-0.151784634815541
3.3,-0.127599999236485,-0.149319813965977
3.302,-0.131417300887401,-0.146695340851783
3.304,-0.135139155783971,-0.143896029620499
3.306,-0.138733386108186,-0.140931650366395
3.308,-0.142207044618481,-0.137816276119012
3.31,-0.145557905606183,-0.134548624161678
3.312,-0.148780378071738,-0.1311325826201
3.314,-0.151821447660602,-0.127595833000821
3.316,-0.154638661818956,-0.123919626859782
3.318,-0.157475771169156,-0.120127820340832
3.32,-0.159982858854918,-0.116222953584234
3.322,-0.162460253646244,-0.11222072659519
3.324,-0.164698031474161,-0.108115312132371
3.326,-0.166766093715144,-0.103924784316443
3.328,-0.168621374565334,-0.0996773599285907
3.33,-0.170287026074514,-0.0953532503891052
3.332,-0.171768132109803,-0.0909848792968989
3.334,-0.173065247889151,-0.0865605310861291
3.336,-0.174146916824604,-0.0821151285457856
3.338,-0.175038698615247,-0.0776401178882834
3.34,-0.175741386050002,-0.0731497066861442
3.342,-0.176230047200126,-0.0686706444896365
3.344,-0.176524060421499,-0.0641892229624825
3.346,-0.176624596336659,-0.0597262083145703
3.348,-0.176527256686631,-0.0553008824857129
3.35,-0.176234571292474,-0.050922474681455
3.352,-0.175748200236631,-0.0465894807118617
3.354,-0.175032199544032,-0.0423885467104176
3.356,-0.174223888272974,-0.0381132262128962
3.358,-0.173192096875741,-0.0339873105263293
3.36,-0.171977165809048,-0.0299563587879887
3.362,-0.170605786114194,-0.0260247893444171
3.364,-0.169041395567034,-0.0222858376105198
3.366,-0.167364030607697,-0.0184844711286916
3.368,-0.165516594990099,-0.0149127078980128
3.37,-0.163515642291204,-0.0115462866834807
3.372,-0.161393878280098,-0.0081384047053162
3.374,-0.159151641466788,-0.0050726809683304
3.376,-0.156777374350842,-0.0019696030413154
3.378,-0.154305873039772,0.000797989793441201
3.38,-0.15171084397718,0.0035883323306405
3.382,-0.149067657020734,0.0060106875923324
3.384,-0.146298283489887,0.0084498018982556
3.386,-0.143473855573414,0.010617483526065
3.388,-0.140594628146689,0.0126128224615255
3.39,-0.137707996502798,0.0143298531686169
3.392,-0.134728884397399,0.0159713405895237
3.394,-0.131676414144342,0.0174869550846161
3.396,-0.128662664007427,0.0187251749422964
3.398,-0.125620876745031,0.0198033377988007
3.4,-0.122612133177788,0.0206724059278735
3.402,-0.119652257091073,0.0212959926203988
3.404,-0.116597009631757,0.0218650956139165
3.406,-0.113638098628559,0.0222033581620758
3.408,-0.110728226808336,0.02233693538395
3.41,-0.107870912121074,0.0223054630333111
3.412,-0.105087681844713,0.0220975559377845
3.414,-0.102361720499788,0.0217192005979009
3.416,-0.09972656239385,0.0211830292960564
3.418,-0.097261535045692,0.0204610559753919
3.42,-0.094820832979408,0.0196117478385235
3.422,-0.092399464028225,0.0186448766562195
3.424,-0.090179020898167,0.017509102345937
3.426,-0.088093348281508,0.0162435894602775
3.428,-0.086125214210079,0.0148539004453154
3.43,-0.084409569198331,0.0133521137388038
3.432,-0.082644974526248,0.0117334868783076
3.434,-0.081112741212069,0.0100348414091964
3.436,-0.079754202704843,0.0082258289925132
3.438,-0.078557712236747,0.0063586590727546
3.44,-0.077513918925315,0.0044022980654898
3.442,-0.076657893725395,0.0023823495549245
3.444,-0.075954320301002,0.0003276365212631
3.446,-0.075448676506934,-0.00176661416298661
3.448,-0.075118772410294,-0.0038889691128652
3.45,-0.074963109441751,-0.00603163056104775
3.452,-0.075065916416694,-0.00813560497542222
3.454,-0.075263267186179,-0.0102808856783464
3.456,-0.075574208357762,-0.0124659710179808
3.458,-0.076129659626086,-0.0146004777653249
3.46,-0.076870989183375,-0.0166698560306916
3.462,-0.07779490157974,-0.0186897924475298
3.464,-0.078885571983315,-0.0206726933862831
3.466,-0.08013483286024,-0.02258146841846
