"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0880030913959872,-0.093325366877977
3.002,0.0871352341523999,-0.0944110630585378
3.004,0.0862510587291265,-0.09548651166298
3.006,0.0853498863017175,-0.0965525650778725
3.008,0.0844338963354517,-0.0976091610281277
3.01,0.0835024690711745,-0.0986547760437913
3.012,0.0825529765980965,-0.0996879319834454
3.014,0.0815907693204069,-0.10071162187844
3.016,0.0806112634916895,-0.101721892983087
3.018,0.0796182986437424,-0.102720653885979
3.02,0.0786091229787935,-0.103705164585205
3.022,0.0775864775849598,-0.104677735259312
3.024,0.0765490626423809,-0.105635901575168
3.026,0.0754990941499175,-0.106580844519092
3.028,0.0744358791476956,-0.107512964218653
3.03,0.0733599875962071,-0.108429945538411
3.032,0.0722714074877373,-0.109331997363085
3.034,0.0711705747605112,-0.11021907328416
3.036,0.0700585644608525,-0.111092798975479
3.038,0.0689350515317468,-0.111949143924175
3.04,0.0678012060769147,-0.112792498533368
3.042,0.066656776112337,-0.113619321621476
3.044,0.06550286320854,-0.114431038996539
3.046,0.0643388178238701,-0.115227164608536
3.048,0.063166125859086,-0.116007309664116
3.05,0.0619846610380692,-0.116772549219754
3.052,0.060795500723158,-0.117522309313505
3.054,0.05959831212445,-0.118256598262139
3.056,0.0583930267301328,-0.118974505684282
3.058,0.0571812301185504,-0.119678091109512
3.06,0.0559624135288762,-0.12036567873084
3.062,0.0547370454237629,-0.121038111057013
3.064,0.0535055306582852,-0.121696085891163
3.066,0.0522676753684716,-0.122337961723494
3.068,0.0510252578161752,-0.122965824453056
3.07,0.0497776956784626,-0.12357957399882
3.072,0.0485245190726154,-0.124178311594342
3.074,0.0472662331248382,-0.124762122525601
3.076,0.0460032970630651,-0.125332242527942
3.078,0.0447359279600133,-0.125888951064682
3.08,0.0434643210655896,-0.126431367530353
3.082,0.0421874516124308,-0.12695848091069
3.084,0.040907071215147,-0.127474526697399
3.086,0.0396228409488667,-0.127974853934127
3.088,0.0383342029707046,-0.128463393011851
