"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.104887187732387,-0.107220219656587
3.002,0.103200483763,-0.109258505669128
3.004,0.101450622331926,-0.111219558468213
3.006,0.0996293178855175,-0.113135422221833
3.008,0.0977474115700517,-0.114974520536078
3.01,0.0958078040832745,-0.116755171062891
3.012,0.0938205360459965,-0.118460254277245
3.014,0.0917724300837069,-0.12008725967384
3.016,0.0896712121531895,-0.121664400563087
3.018,0.0875304884842424,-0.123146507026679
3.02,0.0853643518223935,-0.124560897502505
3.022,0.0831362629986598,-0.125878587049112
3.024,0.0808854700043809,-0.127123536729568
3.026,0.0786024231041175,-0.128287866874792
3.028,0.0763126196255956,-0.129373224316353
3.03,0.0739959869989071,-0.130364410468811
3.032,0.0716625653138373,-0.131273486951385
3.034,0.0693153846240112,-0.13210925596926
3.036,0.0669637941671525,-0.132843753494279
3.038,0.0646109067224368,-0.133490118125175
3.04,0.0622566862937017,-0.134069236347268
3.042,0.059912356748807,-0.134554953231676
3.044,0.05757889950424,-0.134956855294039
3.046,0.0552725665838701,-0.135286944382736
3.048,0.052967172537786,-0.135528339366616
3.05,0.0506910759622692,-0.135695473292254
3.052,0.048436913221858,-0.135783269340705
3.054,0.04622336090155,-0.135795030763839
3.056,0.0440495153301328,-0.135755320880182
3.058,0.0418907519936504,-0.135609828060212
3.06,0.0397967917089762,-0.13541487825134
3.062,0.0377300588275629,-0.135152986422313
3.064,0.0357217208792852,-0.134831250817263
3.066,0.0337627844764716,-0.134466004069194
3.068,0.0318462922180752,-0.134025116393156
3.07,0.0299914049839626,-0.1335393909489
3.072,0.0281906119694154,-0.133005145413082
3.074,0.0264519937097382,-0.132434747417131
3.076,0.0247752627050651,-0.131819765410602
3.078,0.0231653630553133,-0.131174708308142
3.08,0.0216054559552896,-0.130485621528073
3.082,0.0201286473500308,-0.12977557949349
3.084,0.018705200880247,-0.129040101030999
3.086,0.0173526118079667,-0.128284700858727
3.088,0.0160681582424046,-0.127514511594151
3.09,0.0148501580959499,-0.126730241319669
3.092,0.013698816120368,-0.125931996785825
3.094,0.0126112090632107,-0.125138857404958
3.096,0.0115943700344003,-0.124350276313094
