"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.137001674162387,-0.073388341626587
3.002,0.137275914823,-0.0772580380191278
3.004,0.137367752051927,-0.081188738208213
3.006,0.137295087635518,-0.0851662209018325
3.008,0.137031381530052,-0.0891767923710777
3.01,0.136464664803275,-0.0930919510228913
3.012,0.135959378235996,-0.0972728909542454
3.014,0.135047967073707,-0.10121260972474
3.016,0.134041875418189,-0.105280672243087
3.018,0.132945662519242,-0.109456362201679
3.02,0.131561884546394,-0.113472870502505
3.022,0.12998475708066,-0.117455585119112
3.024,0.128222271366381,-0.121398194129568
3.026,0.126282723933118,-0.125303648994792
3.028,0.124156912667596,-0.129137267616353
3.03,0.121866931165707,-0.132903568558811
3.032,0.119387534084637,-0.136556418101385
3.034,0.116734778845011,-0.13998646669926
3.036,0.113935741163152,-0.143631908184279
3.038,0.110965348443437,-0.146976793635175
3.04,0.107838053950702,-0.150229774537268
3.042,0.104567036012807,-0.153342048871676
3.044,0.10115047855324,-0.156314839634039
3.046,0.0976044885938701,-0.159160811482736
3.048,0.093925676447786,-0.161849150916616
3.05,0.0901389903022692,-0.164375953252254
3.052,0.086231915501858,-0.166735638800705
3.054,0.08222782582155,-0.168930005563839
3.056,0.0781380508501328,-0.170970769970182
3.058,0.0739565159536504,-0.172792583470212
3.06,0.0698230156689762,-0.17430619513134
3.062,0.0654034795075629,-0.175910810532313
3.064,0.0610386786572852,-0.177184990947263
3.066,0.0566380121284716,-0.178266906049194
3.068,0.0521964567044752,-0.179146886183156
3.07,0.0477366277619626,-0.1798265340889
3.072,0.0432713874724154,-0.180320395963082
3.074,0.0388036064687382,-0.180614110621131
3.076,0.0343510811550651,-0.180706913418602
3.078,0.0300668237553133,-0.180538742392142
3.08,0.0256816398052896,-0.180245966420073
3.082,0.0211638955000308,-0.17980627563249
3.084,0.016844225710247,-0.179127844300999
3.086,0.0127939829479667,-0.178224328358127
3.088,0.0084459666024046,-0.177206322316151
3.09,0.0043683170459499,-0.175977743085669
3.092,0.000391081260367999,-0.174570442053825
3.094,-0.0033300417267893,-0.173006344661958
3.096,-0.0072593136155997,-0.171271651373094
3.098,-0.0109191754970144,-0.169381584708897
3.1,-0.0144484113358536,-0.167343561046316
3.102,-0.0178168535236768,-0.16518011979408
3.104,-0.0210672139411888,-0.162882577897592
3.106,-0.024167537511109,-0.160449221466469
3.108,-0.0271177925199197,-0.157915985417813
3.11,-0.0298769075200705,-0.155267173131959
3.112,-0.0324842161417469,-0.152523230376783
3.114,-0.0349158481044416,-0.149706733651964
3.116,-0.0371807001182842,-0.146796983652707
3.118,-0.0392493458851924,-0.14381644655427
3.12,-0.0411547738798114,-0.140812657753144
3.122,-0.0428557862001512,-0.137739983831856
3.124,-0.0443836407281207,-0.134650099245103
3.126,-0.0457278916897142,-0.131528309686957
3.128,-0.0468739759550773,-0.128398410497773
3.13,-0.0478321640582329,-0.125272644741722
3.132,-0.0486048084466799,-0.122155112014102
3.134,-0.049192077930716,-0.119057676678731
3.136,-0.049535145282479,-0.116157809385617
3.138,-0.0498063800948252,-0.112959805631332
3.14,-0.0498524673399235,-0.109999047049134
3.142,-0.0497172418676558,-0.10708662985881
3.144,-0.0494125262636978,-0.104257811926205
3.146,-0.0489436390274512,-0.101507769842471
3.148,-0.0483092438896342,-0.098852056253098
3.15,-0.0475375151897121,-0.096293031476622
3.152,-0.046603846423063,-0.093856547283115
3.154,-0.045532313227823,-0.09151459907237
3.156,-0.0443407821815792,-0.089336964861885
3.158,-0.0430172825977657,-0.087278161974539
3.16,-0.0415641950318068,-0.085337637696072
3.162,-0.040037304847004,-0.083585570242263
3.164,-0.0384030256902148,-0.08196991414596
3.166,-0.0366614914171991,-0.08051071481377
3.168,-0.0348661060077878,-0.079216810612574
3.17,-0.0329780303207379,-0.078091662955821
3.172,-0.031168818068365,-0.077277313439584
