"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0684842965123872,-0.096151262125587
3.002,0.0675034090429999,-0.0960744276051278
3.004,0.0665944748919265,-0.095983469032513
3.006,0.0657205645455175,-0.0958877803816325
3.008,0.0649030127900517,-0.0957864025730777
3.01,0.0641352380332745,-0.0956893607088913
3.012,0.0634315284559965,-0.0955872488272454
3.014,0.0627638384137069,-0.09549655069584
3.016,0.0621559311481895,-0.095413529248087
3.018,0.0615769801192424,-0.095336820734679
3.02,0.0610631852263935,-0.095286682262505
3.022,0.0605903004106598,-0.095253601042112
3.024,0.0601670830863809,-0.095239844959568
3.026,0.0597775553031175,-0.095254581444792
3.028,0.0594379429875956,-0.095299737366353
3.03,0.0591250071157071,-0.095370371288811
3.032,0.0588532446646373,-0.095481802071385
3.034,0.0585987338050112,-0.09561884912926
3.036,0.0583890468331525,-0.095804102464279
3.038,0.0582064262134368,-0.096028778665175
3.04,0.0580356148747017,-0.096291332457268
3.042,0.057896365312807,-0.096603836391676
3.044,0.05776752669924,-0.096954058564039
3.046,0.0576593846948701,-0.097364025952736
3.048,0.057558528331786,-0.097809315916616
3.05,0.0574565999252692,-0.098302216242254
3.052,0.057361109798858,-0.098847363720705
3.054,0.05727254609355,-0.099439867493839
3.056,0.0571719410641328,-0.100088330240182
3.058,0.0570683858941504,-0.100775409620212
3.06,0.0569541513905762,-0.10151454133134
3.062,0.0568297101545629,-0.102312135702313
3.064,0.0566831135762852,-0.103149337347263
3.066,0.0565201525954716,-0.104052549449194
3.068,0.0563277613340752,-0.104981981593156
3.07,0.0561037455999626,-0.1059638586189
3.072,0.0558635021774154,-0.106994807653082
3.074,0.0555813130147382,-0.108060795221131
3.076,0.0552649307370651,-0.109173094218602
3.078,0.0549076278433133,-0.110320762532142
3.08,0.0545113319952896,-0.111504760210073
3.082,0.0540660215400308,-0.11272668406249
3.084,0.053568309910247,-0.113982247400999
3.086,0.0530252633379667,-0.115262836238127
3.088,0.0524223813724046,-0.116575475956151
3.09,0.0517831102859499,-0.117909735285669
3.092,0.051078895770368,-0.119263894283825
3.094,0.0503077397532107,-0.120634828515958
3.096,0.0494794056244003,-0.122022894524094
3.098,0.0485998424529856,-0.123417884373897
3.1,0.0476494209941464,-0.124821179651316
3.102,0.0466333313963232,-0.12624191930308
3.104,0.0455696239088112,-0.127656984389592
3.106,0.044433465168891,-0.129065689206469
3.108,0.0432310275900803,-0.130464957236813
3.11,0.0419593967499295,-0.131870899577959
3.112,0.0406360482482531,-0.133246952534783
3.114,0.0392310885355584,-0.134614920583164
3.116,0.0377736496217158,-0.135969078158707
3.118,0.0362357522048076,-0.13728275725427
3.12,0.0346479542901886,-0.138586320556144
3.122,0.0330064379898488,-0.139847219402856
3.124,0.0312953833818793,-0.141081792451503
3.126,0.0295159321402858,-0.142281261042957
3.128,0.0276912182949227,-0.143436203758773
3.13,0.0258147043617671,-0.144557162539722
3.132,0.0238765002033201,-0.145615585939102
3.134,0.021887944549284,-0.146631322588731
3.136,0.019852342017521,-0.147603340015617
3.138,0.0177640886051748,-0.148507051401332
3.14,0.0156259793200765,-0.149365113869134
3.142,0.0134505004223442,-0.15015591193881
3.144,0.0112434202963022,-0.150886984706205
3.146,0.00899097245254882,-0.151550323452471
3.148,0.00671556612136578,-0.152157678363098
3.15,0.00441133855128789,-0.152694198216622
3.152,0.00206595764693698,-0.153159906563115
3.154,-0.00029797848482304,-0.15355252300237
3.156,-0.0026695070025792,-0.153880474291885
3.158,-0.00506835951976567,-0.154132140114539
3.16,-0.0074767929318068,-0.154311949876072
3.162,-0.009906271460004,-0.154417390652263
3.164,-0.0123240205742148,-0.15444949511596
3.166,-0.0147549459373991,-0.15440120979377
3.168,-0.0171778585809878,-0.154292910192574
3.17,-0.0196021751377379,-0.154103428875821
3.172,-0.022017213411365,-0.153834753639584
3.174,-0.024409564280902,-0.153491461938355
3.176,-0.0267896698185904,-0.153096306730713
3.178,-0.0291634043875646,-0.152610253614705
3.18,-0.0315061886703719,-0.152061089293031
3.182,-0.0338193420933407,-0.151437020738046
3.184,-0.0361141333736394,-0.150751610196555
3.186,-0.0383772834140488,-0.149996096094373
3.188,-0.0406047288465233,-0.14917478921075
3.19,-0.0427882950574359,-0.148304633992557
3.192,-0.0449390690556117,-0.147377185258312
3.194,-0.0470437143700576,-0.146369031051998
3.196,-0.0490940925514375,-0.145314070456725
3.198,-0.0511100550202961,-0.144220527598217
3.2,-0.0530654319579762,-0.143074311958068
3.202,-0.0549779888373491,-0.141867539465932
3.204,-0.056827459623184,-0.140631750181445
3.206,-0.0586314648423099,-0.139347966667038
3.208,-0.0603621783334999,-0.138025591320586
3.21,-0.0620559069570784,-0.13667301833789
3.212,-0.0636768851642741,-0.135281438927009
3.214,-0.0652430653162763,-0.133870336125442
3.216,-0.0667459858930783,-0.132429656088167
3.218,-0.0681971100519802,-0.130972646030524
3.22,-0.0695674466258896,-0.129493492858205
3.222,-0.0708812656613105,-0.127997362163815
3.224,-0.0721329355761017,-0.126501474675418
3.226,-0.0733329738469182,-0.12498533005485
3.228,-0.0744526211064161,-0.123468952803954
3.23,-0.0755196634002065,-0.121947122285507
3.232,-0.0765268776534913,-0.120436297911175
3.234,-0.0774622976274804,-0.118920701324403
3.236,-0.078366481465483,-0.117417212504159
3.238,-0.0791908630288185,-0.115925760595569
3.24,-0.0799623943323694,-0.114446586000458
3.242,-0.0806876462199061,-0.112986494878793
3.244,-0.0813527486291684,-0.111538840797981
3.246,-0.081974502706613,-0.110113876660128
3.248,-0.0825508494219803,-0.108710519882137
3.25,-0.0830719991024992,-0.107342583487781
3.252,-0.0835428902869234,-0.106003364292633
3.254,-0.0839758397692231,-0.104696006173938
3.256,-0.0843737133470309,-0.103418703840383
3.258,-0.0847246865138637,-0.102185324441805
3.26,-0.085050132433013,-0.100979006788794
3.262,-0.0853326662382309,-0.099833835612253
3.264,-0.0855977523561025,-0.098691088622867
3.266,-0.0858291625671733,-0.097611834960483
3.268,-0.0860475596048425,-0.096563195383469
3.27,-0.0862345728159247,-0.095565086737985
3.272,-0.08640952259303,-0.094621756617156
3.274,-0.0865725799725963,-0.093709918120265
3.276,-0.0867201578152912,-0.092835704341829
3.278,-0.0868661594172944,-0.092011667560619
3.28,-0.0870037517755796,-0.091214861498684
3.282,-0.0871402869294739,-0.090502434220279
3.284,-0.0872776732501423,-0.089782066520745
3.286,-0.0874238059910687,-0.089121924735387
3.288,-0.0875790924448109,-0.088523551938274
3.29,-0.0877350842969762,-0.087934451281023
3.292,-0.0879083113159712,-0.087402281101529
3.294,-0.0881020254794589,-0.086899532622683
3.296,-0.088309221948602,-0.086453445821055
3.298,-0.0885295397670166,-0.086012495385541
3.3,-0.0887878716564852,-0.085631805245977
3.302,-0.089063735127401,-0.0852668470917829
3.304,-0.089358813073971,-0.0849190209904987
3.306,-0.089695004358186,-0.0846212538463946
3.308,-0.090066644258481,-0.0843452229930116
3.31,-0.090465799846183,-0.084074806082678
3.312,-0.090904799281738,-0.0838356153211005
3.314,-0.091343627870602,-0.0835906084898205
3.316,-0.091853456008956,-0.0833781533827823
3.318,-0.092412010859156,-0.0831821748808324
3.32,-0.092966154004918,-0.0829829914942342
3.322,-0.093583906326244,-0.0827872106901902
3.324,-0.094261526304161,-0.0826065707333709
3.326,-0.094941591545144,-0.0824166534104426
3.328,-0.095683771975334,-0.0822192166635907
3.33,-0.096474153064514,-0.0820274578561052
3.332,-0.097293216959803,-0.0818261299223989
3.334,-0.098167165559151,-0.0816153817801291
3.336,-0.099079085594604,-0.0813791015377856
3.338,-0.100002982125247,-0.0811331735322834
3.34,-0.100986990230002,-0.0808642651851442
3.342,-0.102037030170126,-0.0805685123176365
3.344,-0.103059264621499,-0.0802509039744825
3.346,-0.104178197116659,-0.0799033821165703
3.348,-0.105300229096631,-0.0795251090387129
3.35,-0.106438402862474,-0.079116263234455
3.352,-0.107626748506631,-0.0786745457488617
