"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0728164183823872,-0.092349171421587
3.002,0.0720305855529999,-0.0925477611211278
3.004,0.0712881518319265,-0.092749537207213
3.006,0.0705769567655175,-0.0929539242408325
3.008,0.0698975845200517,-0.0931507296350777
3.01,0.0692609010132745,-0.0933559608168913
3.012,0.0686400509559965,-0.0935683832102454
3.014,0.0680662296237069,-0.09379560889384
3.016,0.0675105549981895,-0.094026318209087
3.018,0.0669972633992424,-0.094275515435679
3.02,0.0665005845363935,-0.094542907591505
3.022,0.0660375402406598,-0.094824475647112
3.024,0.0655970445363809,-0.095131501459568
3.026,0.0651766749831175,-0.095451326784792
3.028,0.0647845641925956,-0.095806532996353
3.03,0.0644075874367071,-0.096177092038811
3.032,0.0640523843726373,-0.096582722741385
3.034,0.0637063370050112,-0.09701572535926
3.036,0.0633805466131525,-0.097482070944279
3.038,0.0630668040114368,-0.097968093485175
3.04,0.0627565019047017,-0.098492364827268
3.042,0.062460508347807,-0.099064122921676
3.044,0.06216804384324,-0.099649790744039
3.046,0.0618666903088701,-0.100276715412736
3.048,0.061568392206786,-0.100940161456616
3.05,0.0612739011130692,-0.101643269782254
3.052,0.060963112203598,-0.102384519680705
3.054,0.06064993942175,-0.103152440973839
3.056,0.0603278907911328,-0.103968339980182
3.058,0.0599843556096504,-0.104804705480212
3.06,0.0596232578299762,-0.10568884002134
3.062,0.0592437485565629,-0.106601627372313
3.064,0.0588473243462852,-0.107550044467263
3.066,0.0584359572344716,-0.108533573869194
3.068,0.0579767902400752,-0.109549070653156
3.07,0.0574973563399626,-0.1105880967189
3.072,0.0569863166694154,-0.111661114763082
3.074,0.0564498256877382,-0.112760061891131
3.076,0.0558614650350651,-0.113891654448602
3.078,0.0552463438753133,-0.115039332602142
3.08,0.0545838961452896,-0.116226916980073
3.082,0.0538805191700308,-0.11741329796649
3.084,0.053135340450247,-0.118632567753999
3.086,0.0523417384079667,-0.119859664918127
3.088,0.0514959910624046,-0.121103099288151
3.09,0.0506216563459499,-0.122364763853669
3.092,0.049680934980368,-0.123631131080825
3.094,0.0486865747732107,-0.124901038504958
3.096,0.0476341932144003,-0.126174508958094
3.098,0.0465385350129856,-0.127447023319897
3.1,0.0453874676441464,-0.128733133099316
3.102,0.0441923301763232,-0.13000144629108
3.104,0.0429237334188112,-0.131269898133492
3.106,0.041613150558891,-0.132515565097269
3.108,0.0402333862000803,-0.133745245450713
