"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
4,-0.0344857170856143,-0.170429938212007
4.012,-0.0448083153023694,-0.172322912406368
4.024,-0.0552443101137353,-0.173223770759051
4.036,-0.0656015105094021,-0.173143939724475
4.048,-0.0756998329292426,-0.172152023665014
4.06,-0.0853883636262915,-0.170361022819574
4.072,-0.0945589619538219,-0.167920381847897
4.084,-0.10315439680671,-0.16500053563052
4.096,-0.111170926282661,-0.161776858460121
4.108,-0.118660754813165,-0.158409065484885
4.12,-0.125721989757438,-0.155029228944443
4.132,-0.132488551884249,-0.151723535169729
4.144,-0.139111358523413,-0.148521968440879
4.156,-0.145741642467782,-0.145401432498603
4.168,-0.152508587945862,-0.142281482960159
4.18,-0.159503677905543,-0.139039375863424
4.192,-0.166767448867684,-0.135522708944848
4.204,-0.174281211066435,-0.13157270416743
4.216,-0.181969778800445,-0.127040993813113
4.228,-0.189705755513623,-0.121811955987124
4.24,-0.197329447317973,-0.115817462122046
4.252,-0.204661003580101,-0.109045997169827
4.264,-0.211528614398716,-0.101541975896318
4.276,-0.217777586063961,-0.09340348158
4.288,-0.2233002281921,-0.0847695649610619
4.3,-0.228033698469394,-0.0757990643332419
4.312,-0.231967988099067,-0.0666575973449858
4.324,-0.235137955996081,-0.0574992968411084
4.336,-0.23762323136321,-0.0484451906714211
4.348,-0.239522216793007,-0.0395844604052395
4.36,-0.240950462517868,-0.0309679208870749
4.372,-0.242017653215307,-0.0226091662578
4.384,-0.242817499278989,-0.0144834516011658
4.396,-0.243426868470038,-0.00654839501191261
4.408,-0.243898371214133,0.00125195162826795
4.42,-0.244259673814149,0.00898198056100301
4.432,-0.24451767679314,0.0167048544488878
4.444,-0.244660328521584,0.0244773089032514
4.456,-0.244660893297249,0.0323537310491103
4.468,-0.24447787624509,0.0403705520915226
4.48,-0.244057196436623,0.0485630128900744
4.492,-0.243336213584951,0.0569452076755052
4.504,-0.242243132988222,0.0655174448749445
4.516,-0.2407004436867,0.0742581140185507
4.528,-0.238632502841375,0.0831229515886154
4.54,-0.235971346011557,0.0920408507724494
4.552,-0.232666920052334,0.100919299415202
4.564,-0.228695246551152,0.10964494809998
4.576,-0.224065583342875,0.118094908040824
4.588,-0.218824511750155,0.126150183546217
4.6,-0.213055781987524,0.133706474624074
4.612,-0.206871107757789,0.140687376721003
4.624,-0.200402193491206,0.147055224157983
4.636,-0.193783836562055,0.15281470894319
4.648,-0.187140202210615,0.158017387932826
4.66,-0.180567291172599,0.162745077475446
4.672,-0.174121736265313,0.167106902371228
4.684,-0.167818698685869,0.171218565458541
4.696,-0.161629598626257,0.175187571009965
4.708,-0.155487972052996,0.179096107067993
4.72,-0.149304926080074,0.182993599189457
4.732,-0.142983824947406,0.186887330203356
4.744,-0.136432727949095,0.19074710636251
4.756,-0.129581030561176,0.19451092238998
4.768,-0.122387056295793,0.198095344676178
4.78,-0.114840401554632,0.201409650089683
4.792,-0.106963166334028,0.204367880783273
4.804,-0.0987992912916272,0.206897193682186
4.816,-0.0904096718730154,0.208946480108195
4.828,-0.0818611898147031,0.210484352074283
4.84,-0.073218596953751,0.211497307010295
4.852,-0.0645397024900486,0.211986174511502
4.864,-0.0558729604521404,0.211958280304407
4.876,-0.0472627221323357,0.211422366964668
4.888,-0.0387493079169503,0.210387333172721
4.9,-0.0303742987837221,0.208862766254563
4.912,-0.0221854831869056,0.20685871699651
4.924,-0.0142345086727057,0.204400214150471
4.936,-0.00657414344779074,0.201520408051932
4.948,0.00074776171653951,0.198274133886508
4.96,0.00769650750798269,0.194729567103214
4.972,0.0142607578513427,0.190971377266252
4.984,0.0204554166491467,0.187084853147975
4.996,0.0263306430911753,0.18314766459464
5.008,0.0319581018740103,0.179216369316513
5.02,0.0374340289153304,0.175315899257304
5.032,0.0428555334661595,0.171430930416956
5.044,0.048312847719943,0.167504338289021
5.056,0.0538672689305513,0.163445683893428
5.068,0.0595402897793557,0.15913616593007
5.08,0.0653070902405143,0.154454609904502
5.092,0.071090653826179,0.149290971415993
5.104,0.0767759664798914,0.143562378883699
5.116,0.0822187163165641,0.137232469082819
5.128,0.0872626379261498,0.130317319201491
5.14,0.0917683403468232,0.122883708022148
5.152,0.0956180207381076,0.115046048786538
5.164,0.0987430703460789,0.106947608501917
5.176,0.101121393273857,0.0987445884820626
5.188,0.102785006675789,0.0905864359242932
5.2,0.103807634035018,0.0825966394822482
5.212,0.104293211546271,0.0748661848059839
5.224,0.104357547711292,0.0674388535345702
5.236,0.104118524437227,0.0603205520736738
5.248,0.1036747758895,0.0534740290423709
5.26,0.103098519983563,0.0468437141562549
5.272,0.102429516738621,0.0403533674926125
5.284,0.101680085350077,0.0339326848318054
5.296,0.100830729596688,0.0275138389761081
5.308,0.099846178011425,0.0210506079531941
5.32,0.098682759316438,0.0145075725656167
5.332,0.0972843748836136,0.00787580975330598
5.344,0.0956011198120653,0.0011592955082195
5.356,0.0935875109727625,-0.00562935150847682
5.368,0.0912016797771128,-0.0124642781067701
5.38,0.0884046460417766,-0.0193157147453616
5.392,0.0851629518008882,-0.026141549058383
5.404,0.0814477295057199,-0.0328929208220654
5.416,0.0772351523543911,-0.0395138782070879
5.428,0.0725149618069972,-0.0459343051989523
5.44,0.0672868044705862,-0.0520795602349186
5.452,0.0615713900348233,-0.0578651040077273
5.464,0.055417739019073,-0.0632121311090593
5.476,0.048888271497199,-0.0680520034672124
5.488,0.0420734589703047,-0.0723304478706874
5.5,0.0350754579484314,-0.0760228494178203
5.512,0.0280008729507104,-0.079133436821681
5.524,0.0209506822608881,-0.0816972551264723
5.536,0.0140077973711921,-0.083779441363027
5.548,0.0072351289777011,-0.0854741478017597
5.56,0.00065034481494069,-0.0868712251550621
5.572,-0.00575716158357101,-0.088074574611927
5.584,-0.0120335418285009,-0.089166646377947
5.596,-0.0182520529323357,-0.0902084387101496
5.608,-0.0245002545728397,-0.0912230826436916
5.62,-0.0308696421977803,-0.092204784625027
5.632,-0.0374420428548162,-0.0931104876974523
5.644,-0.0442895952167886,-0.0938631937603566
5.656,-0.0514395592337581,-0.0943745944871528
5.668,-0.0588974036635355,-0.0945398371307612
5.68,-0.0666319619841131,-0.0942596456317237
5.692,-0.074580910043302,-0.0934369588036568
5.704,-0.0826587776229097,-0.0920098627218632
5.716,-0.0907577777766732,-0.0899351119087424
5.728,-0.0987695806416863,-0.0872017699579797
5.74,-0.106582422015132,-0.0838258535684192
5.752,-0.114097886941603,-0.0798554014055216
5.764,-0.121235062646577,-0.0753565226676173
5.776,-0.127930729817253,-0.0704157996365797
5.788,-0.134149194726488,-0.065126123783121
5.8,-0.139882939351874,-0.0595827729634667
5.812,-0.145147102370792,-0.0538763833111439
5.824,-0.14997950506873,-0.0480844172955077
5.836,-0.154434872312103,-0.0422679450959392
5.848,-0.158580936790469,-0.0364678317956412
5.86,-0.162488653766965,-0.0306978862211774
5.872,-0.166232156894341,-0.0249506691250736
5.884,-0.169870031620357,-0.0191960609189216
5.896,-0.173448704969597,-0.0133806213013852
5.908,-0.176994431270662,-0.00744410991999292
5.92,-0.180510437733028,-0.00131320676441592
5.932,-0.183971533325564,0.00508460543118778
5.944,-0.187333145033332,0.011810501479654
5.956,-0.190524234694476,0.0189128588599925
5.968,-0.193459038152651,0.0264194296529524
5.98,-0.196043485273958,0.0343314206095044
5.992,-0.198180369352812,0.0426215406922219
6.004,-0.199783178292388,0.0512354658875837
6.016,-0.200776054219582,0.0600934053738921
6.028,-0.201110547909297,0.0690981637439128
6.04,-0.200759952063555,0.0781399507927569
6.052,-0.199735378490035,0.0871055204704929
6.064,-0.198067663390782,0.0958897445764053
6.076,-0.195824306213439,0.104398314568421
6.088,-0.193083984299565,0.112562599015806
6.1,-0.189947820310856,0.120340228164582
6.112,-0.186514235448859,0.127718293004791
6.124,-0.182883200372117,0.134715831911855
6.136,-0.179135511998986,0.141376056897682
6.148,-0.175330110327251,0.147764646770102
6.16,-0.171506586244369,0.153962862860359
6.172,-0.167669610736218,0.160057216069794
6.184,-0.163789587337848,0.166126205907449
6.196,-0.159814290481834,0.172235779724925
6.208,-0.155670837463968,0.178433069390478
6.22,-0.151267249606885,0.184735203232026
6.232,-0.146510042750565,0.191122826436543
6.244,-0.14131227843942,0.197555687411256
6.256,-0.13559489149609,0.203953097963171
6.268,-0.129308191902321,0.210218014882344
6.28,-0.122432151617793,0.216232621093126
6.292,-0.114978631968492,0.221874343017249
6.304,-0.106998350654413,0.22702995329588
6.316,-0.0985703282467536,0.231596304523944
6.328,-0.089800906428859,0.235496954933219
6.34,-0.0808163287488383,0.238692471401495
6.352,-0.0717466816813202,0.241172270451563
6.364,-0.0627175062126718,0.2429683471496
6.376,-0.0538376079396317,0.244144593330428
6.388,-0.0451864241143549,0.244791812917846
6.4,-0.0368211067319663,0.245019517392803
6.412,-0.0287438013403568,0.244937306599433
6.424,-0.020931891325316,0.244653839085678
6.436,-0.0133253254533477,0.244248613870875
6.448,-0.00584139092726615,0.243788058537209
6.46,0.00161088388010168,0.243284757644072
6.472,0.0091251579063855,0.242728277491541
6.484,0.0167916409706994,0.242070572647215
6.496,0.0246677781970968,0.241229573586929
6.508,0.0327824561934954,0.240115542866809
6.52,0.0411328948863355,0.238621791162087
6.532,0.0496810211262122,0.236645728847092
6.544,0.0583598895041136,0.234102819395611
6.556,0.0670745205579936,0.230932859477879
6.568,0.075712716037372,0.22709503757113
6.58,0.0841678383564042,0.222590484099286
6.592,0.0923211193243771,0.217448286103345
