"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
4,-0.0359795141848143,-0.165428179704507
4.012,-0.0446162554670694,-0.167108290824968
4.024,-0.0533907774938353,-0.168348270979451
4.036,-0.0622856708842021,-0.169122183805635
4.048,-0.0712738529169426,-0.169404023817614
4.06,-0.0803196609158915,-0.169172804096174
4.072,-0.0893795891231219,-0.168414294571897
4.084,-0.0984067832011395,-0.16712350078142
4.096,-0.107353808510361,-0.165304714852121
4.108,-0.116175335430965,-0.162971339417385
4.12,-0.124830546923938,-0.160143632374343
4.132,-0.133284772203649,-0.156847313771829
4.144,-0.141509229924113,-0.153111191786639
4.156,-0.149481130988382,-0.148966414398203
4.168,-0.157184205087962,-0.144443804889559
4.18,-0.164607378887943,-0.139572967084624
4.192,-0.171744931310884,-0.134382903159248
4.204,-0.178594649446045,-0.12889862754383
4.216,-0.185159441635045,-0.123143222887813
4.228,-0.191444504819223,-0.117133683549024
4.24,-0.197456398230273,-0.110881711255746
4.252,-0.203201705880701,-0.104392714555927
4.264,-0.208683116414816,-0.0976661194584482
4.276,-0.213898504224461,-0.0906971303988
4.288,-0.2188382893015,-0.0834773473850619
4.3,-0.223483949692894,-0.0760007832221419
4.312,-0.227809507074867,-0.0682647656491858
4.324,-0.231782787881061,-0.0602747236232084
4.336,-0.23536862651071,-0.0520463310747211
4.348,-0.238533290624007,-0.0436061477116395
4.36,-0.241247768780968,-0.0349907998377749
4.372,-0.243493173012907,-0.02624532025625
4.384,-0.245261292919589,-0.0174185818887658
4.396,-0.246556823279138,-0.00855923293921261
4.408,-0.247395323419033,0.000288586370167952
4.42,-0.247801245718349,0.00908948800820301
4.432,-0.24780375142315,0.0178181083706878
4.444,-0.247432422935784,0.0264602861368514
4.456,-0.246713442217849,0.0350113316854103
4.468,-0.24566635363949,0.0434735385314226
4.48,-0.244303087275723,0.0518528969464644
4.492,-0.242627174497551,0.0601561744874052
4.504,-0.240635620783322,0.0683857890342445
4.516,-0.2383201764769,0.0765409111814507
4.528,-0.235670811345775,0.0846135726260154
4.54,-0.232677548352957,0.0925901692996494
4.552,-0.229332999929734,0.100452255527125
4.564,-0.225633248430452,0.10817843324998
4.576,-0.221578156863975,0.115744128677324
4.588,-0.217171514909555,0.123125241714217
4.6,-0.212421310058524,0.130297221445294
4.612,-0.207338086455969,0.137236690186543
4.624,-0.201935437937806,0.143920766142083
4.636,-0.196229338335555,0.15032881640849
4.648,-0.190238833775615,0.156441125637626
4.66,-0.183985098126609,0.162240390262246
4.672,-0.177491722155623,0.167712443535028
4.684,-0.170784010387869,0.172846088793541
4.696,-0.163887923790457,0.177635241258565
4.708,-0.156828882713296,0.182077672745893
4.72,-0.149630437758974,0.186175043731037
4.732,-0.142312529403406,0.189933809978556
4.744,-0.134891935395595,0.19336036106891
4.756,-0.127379698761576,0.19646318053628
4.768,-0.119783347533393,0.199248695181078
4.78,-0.112107564531742,0.201720627690483
4.792,-0.104353971279718,0.203878967476493
4.804,-0.0965250269756272,0.205719777225286
4.816,-0.0886243855785154,0.207235190150295
4.828,-0.0806585169446031,0.208414179327483
4.84,-0.072637255309151,0.209244728194825
4.852,-0.0645747172588486,0.209713585659052
4.864,-0.0564897675195404,0.209808930462407
4.876,-0.0484036469593357,0.209521040000868
4.888,-0.0403409231640503,0.208842965984521
4.9,-0.0323282649801821,0.207771813384763
4.912,-0.0243930259962656,0.20630823892711
4.924,-0.0165628209613057,0.204457293055571
4.936,-0.00886442237259074,0.202227812855232
4.948,-0.00132242834386049,0.199632470730508
4.96,0.00604078025778269,0.196687084568524
4.972,0.0132065792941427,0.193410151975762
4.984,0.0201600105427467,0.189821441191175
4.996,0.0268904137742753,0.18594106904114
5.008,0.0333910040063103,0.181788402350013
5.02,0.0396591884662304,0.177380155694704
5.032,0.0456938455506595,0.172730327737156
5.044,0.051495661501943,0.167848655054921
5.056,0.0570642792882513,0.162741709805228
5.068,0.0623975941546557,0.15741242364207
5.08,0.0674902974253143,0.151861656018712
5.092,0.072333548531679,0.146089887531353
5.104,0.0769143095844914,0.140098124000399
5.116,0.0812170106240641,0.133890341717319
5.128,0.0852231744446498,0.127473425500091
5.14,0.0889142650763432,0.120858655609848
5.152,0.0922719400246376,0.114061139529538
5.164,0.0952794571718789,0.107099823270217
5.176,0.0979229820304571,0.0999962375025626
5.188,0.100191548816089,0.0927742257860932
5.2,0.102077438822718,0.0854582043757782
5.212,0.103576251915971,0.0780736037000939
5.224,0.104685753158072,0.0706450154484702
5.236,0.105407520644927,0.0631970641764738
