"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
4,-0.0408992634426143,-0.168245715473007
4.012,-0.0501878914284694,-0.168194431625668
4.024,-0.0590190022587353,-0.167584627557051
4.036,-0.0673701024244021,-0.166590069335475
4.048,-0.0752715885342426,-0.165375463036014
4.06,-0.0828094882182915,-0.164080753042574
4.072,-0.0901029394587219,-0.162802659254597
4.084,-0.0972961882577095,-0.16158828387352
4.096,-0.104537315960661,-0.160429644222121
4.108,-0.111960649380165,-0.159264052232885
4.12,-0.119670188609438,-0.157983940172443
4.132,-0.127725874953449,-0.156448937772429
4.144,-0.136132566884413,-0.154500943526879
4.156,-0.144845480287782,-0.151984178783603
4.168,-0.153764663275862,-0.148761970631159
4.18,-0.162746624111543,-0.144734024407424
4.192,-0.171621619061584,-0.139843977337048
4.204,-0.180208109061435,-0.13409469702543
4.216,-0.188327467740445,-0.127538269645113
4.228,-0.195825933661623,-0.120279413845124
4.24,-0.202586839632673,-0.112463325901046
4.252,-0.208544722450101,-0.104260812867427
4.264,-0.213681747911716,-0.0958487930763182
4.276,-0.218035518240961,-0.087400246289
4.288,-0.2216937258901,-0.0790590456020619
4.3,-0.224774352802494,-0.0709339292217419
4.312,-0.227418719375567,-0.0630858429414858
4.324,-0.229775368329081,-0.0555262055151084
4.336,-0.23197849039621,-0.0482160189324211
4.348,-0.234136265787007,-0.0410780577572395
4.36,-0.236320149407868,-0.0340066082836749
4.372,-0.238560977135707,-0.0268762542022
4.384,-0.240834980131989,-0.0195638987241658
4.396,-0.243083755370038,-0.0119596341459126
4.408,-0.245209789323133,-0.00398551107773205
4.42,-0.247093767564649,0.00440631991610301
4.432,-0.24860228908944,0.0132164615851878
4.444,-0.249608958533584,0.0224063190692514
4.456,-0.250005694909249,0.0318973473971103
4.468,-0.24970414569109,0.0415794598375226
4.48,-0.248658720480923,0.0513269671329744
4.492,-0.246858816476251,0.0609999657312052
4.504,-0.244332570375222,0.0704677772779445
4.516,-0.2411421663987,0.0796130277935507
4.528,-0.237377410977375,0.0883422950106154
4.54,-0.233146604743357,0.0965955955174494
4.552,-0.228563897356334,0.104344822187525
4.564,-0.223741471068152,0.11159478993298
4.576,-0.218778334960875,0.118380832239824
4.588,-0.213753975040155,0.124761696862217
4.6,-0.208721249854524,0.130812655308474
4.612,-0.203703167619069,0.136616588866903
4.624,-0.198698815004206,0.142252889626983
4.636,-0.193677534031055,0.14779165723019
4.648,-0.188589791976615,0.153286876619826
4.66,-0.183369421248799,0.158771585290346
4.672,-0.177945673918513,0.164251848251228
4.684,-0.172247501864869,0.169710996702541
4.696,-0.166209749824257,0.175108940372965
4.708,-0.159780941411996,0.180382166492993
4.72,-0.152931001604174,0.185455024112457
4.732,-0.145652916825306,0.190240903889056
4.744,-0.137962600310095,0.19465430322551
4.756,-0.129899015464176,0.19860999098598
4.768,-0.121525972476793,0.202038640279178
4.78,-0.112919064450732,0.204887330023083
4.792,-0.104171682698428,0.207123436495993
4.804,-0.0953761541242272,0.208739788189086
4.816,-0.0866264401550154,0.209752007253195
4.828,-0.0780072638207031,0.210200122761283
4.84,-0.069586230293651,0.210140402131995
4.852,-0.0614118128130486,0.209645173321519
4.864,-0.0535097474699404,0.208791249115807
4.876,-0.0458822919959357,0.207658195649668
4.888,-0.0385078209779503,0.206315837124721
4.9,-0.0313508622620221,0.204819948236563
4.912,-0.0243553076611056,0.20321092866641
4.924,-0.0174620959830057,0.201504764123271
4.936,-0.0106103721047907,0.199695548179232
4.948,-0.00374633620646049,0.197754624947508
4.96,0.00316998553398269,0.195635587229214
4.972,0.0101609277923427,0.193279562308452
4.984,0.0172278614016467,0.190621256155375
4.996,0.0243474276856753,0.18758926523364
5.008,0.0314752957950103,0.184125441623513
5.02,0.0385486293993304,0.180180956869304
5.032,0.0454890004402595,0.175727016952956
5.044,0.052211005480343,0.170756981648921
5.056,0.0586263085265513,0.165286956041128
5.068,0.0646530358873557,0.15935510873807
5.08,0.0702215509225143,0.153021337215502
5.092,0.075278583169179,0.146362632007993
5.104,0.0797945398481914,0.139462863894499
5.116,0.0837599074165641,0.132412759303819
5.128,0.0871904995801498,0.125298559922491
5.14,0.0901240660768232,0.118194845404148
5.152,0.0926131666038076,0.111162927722538
5.164,0.0947242683773789,0.104241186578317
5.176,0.0965275315418571,0.0974466204380626
5.188,0.0980892804867893,0.0907727930102932
5.2,0.099469191957018,0.0841935875232482
5.212,0.100708608754271,0.0776633518231839
5.224,0.101830975583872,0.0711282776848702
5.236,0.102837109426227,0.0645285993116738
5.248,0.1037042589575,0.0578066059723709
5.26,0.104388822353563,0.0509168338322549
5.272,0.104830153093921,0.0438269428817125
5.284,0.104956294320277,0.0365292731587754
5.296,0.104691908292688,0.0290376612004081
5.308,0.103966471165425,0.0213886064981941
5.32,0.102717738956438,0.0136425230006167
5.332,0.100900620521614,0.00587887553010598
5.344,0.0984958096410653,-0.0018138166647805
5.356,0.0955049480599625,-0.00934056545947682
5.368,0.0919564288711128,-0.0166114716287701
5.38,0.0878998576227766,-0.0235459071203616
5.392,0.0834062408938882,-0.030079695438383
5.404,0.0785584125784199,-0.0361705789159654
5.416,0.0734412072253911,-0.0418022434070629
5.428,0.0681446181089972,-0.0469817690918523
5.44,0.0627413870375862,-0.0517399677859186
5.452,0.0572906592338233,-0.0561250324085273
5.464,0.051835438806073,-0.0601988749576593
5.476,0.046386860114599,-0.0640271661122124
5.488,0.0409370031091047,-0.0676753972126874
5.5,0.0354546233724314,-0.0711968253148203
5.512,0.0298907032856104,-0.074628489525681
5.524,0.0241861191836881,-0.0779863600584723
5.536,0.0182779765831921,-0.081262932064227
5.548,0.0121042772317011,-0.0844246946783597
5.56,0.00562200458394069,-0.0874182312700621
5.572,-0.00120089029857101,-0.090171497833527
5.584,-0.0083680789375009,-0.092602217437747
5.596,-0.0158578869186357,-0.0946270766451496
5.608,-0.0236246260256397,-0.0961703935266916
5.62,-0.0316002860246803,-0.097168273429027
5.632,-0.0396992322237162,-0.0975773162964523
5.644,-0.0478263634278886,-0.0973824773503566
5.656,-0.0558870001937581,-0.0965931263750528
5.668,-0.0637949230125355,-0.0952437469783612
5.68,-0.0714783466871131,-0.0933912360660237
5.692,-0.078886862086302,-0.0911073762944568
5.704,-0.0859967728239097,-0.0884708022897632
5.716,-0.0928083003681732,-0.0855570339967424
5.728,-0.0993452721307863,-0.0824343069029797
5.74,-0.105647278849732,-0.0791518155934192
5.752,-0.111768862391803,-0.0757361203105216
5.764,-0.117763552236977,-0.0721929843036173
5.776,-0.123679787796253,-0.0685053359771797
5.788,-0.129554042512488,-0.064636827864921
5.8,-0.135401421624874,-0.0605389542076667
5.812,-0.141219122698792,-0.0561571402625939
5.824,-0.14698180505873,-0.0514421829921077
5.836,-0.152645510453303,-0.0463524050930392
5.848,-0.158150329910869,-0.0408633672046412
5.86,-0.163433416571865,-0.0349673455971774
5.872,-0.168428592618341,-0.0286796036400736
5.884,-0.173076724193657,-0.0220294832329216
5.896,-0.177329981596897,-0.0150651981811852
5.908,-0.181157496262062,-0.00784251727739292
5.92,-0.184543963503028,-0.000418588968615919
5.932,-0.187490174392164,0.00715212417006778
5.944,-0.190009907387232,0.014820659440654
5.956,-0.192124717570576,0.0225509713696925
5.968,-0.193860938892551,0.0303192918819524
5.98,-0.195243728624158,0.0381127418970044
5.992,-0.196292342786912,0.0459294057334219
6.004,-0.197017757146188,0.0537719835930837
6.016,-0.197422185707382,0.0616451609087921
6.028,-0.197498838330097,0.0695529401895828
6.04,-0.197236002273455,0.0774903335255569
6.052,-0.196618812990535,0.0854493334308929
6.064,-0.195632965988482,0.0934108658210053
6.076,-0.194267824279639,0.101350931041441
