"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
4,-0.0362586475808143,-0.165852835139007
4.012,-0.0450198627955694,-0.167415934905438
4.024,-0.0538716668454353,-0.168505426540968
4.036,-0.0627894551629021,-0.169114082023145
4.048,-0.0717465521119426,-0.169234817711814
4.06,-0.0807121687911115,-0.168862859879774
4.072,-0.0896534338741319,-0.167997073385597
4.084,-0.0985358810698895,-0.16664131161212
4.096,-0.107325867978461,-0.164804729490921
4.108,-0.115992025192365,-0.162501887502445
4.12,-0.124507285993338,-0.159751047340703
4.132,-0.132849595068249,-0.156572031681609
4.144,-0.141001872377913,-0.152985023073879
4.156,-0.148950814080372,-0.149008283276403
4.168,-0.156685826848342,-0.144656764481459
4.18,-0.164196695847153,-0.139942784534324
4.192,-0.171472008835454,-0.134875959989508
4.204,-0.178498139619115,-0.12946505401105
4.216,-0.185258879755445,-0.123719447862233
4.228,-0.191736551548363,-0.117650962630554
4.24,-0.197912805633373,-0.111274308628885
4.252,-0.203770562374731,-0.104607883302607
4.264,-0.209295731395176,-0.0976724989394582
4.276,-0.214477426865271,-0.09049025484131
4.288,-0.21930896726301,-0.0830827985736119
4.3,-0.223786177678964,-0.0754695063019519
4.312,-0.227906458202297,-0.0676672062533258
4.324,-0.231666661253501,-0.0596894463834084
4.336,-0.23506167346658,-0.0515481915212211
4.348,-0.238083176758747,-0.0432547836559395
4.36,-0.240720219198168,-0.0348226276782149
4.372,-0.242959549092507,-0.02626838523643
4.384,-0.244788265555389,-0.0176143308133948
4.396,-0.246195957704238,-0.00888721158373261
4.408,-0.247176842639033,-0.000117791701832048
4.42,-0.247732162698129,0.00866129870630301
4.432,-0.247870231645379,0.0174185261738878
4.444,-0.247605700658484,0.0261266330560514
4.456,-0.246957663331449,0.0347639907087103
4.468,-0.24594645156699,0.0433178396807226
4.48,-0.244590377994223,0.0517817370692364
4.492,-0.242903003322751,0.0601558745453052
4.504,-0.240890333303022,0.0684432205159445
4.516,-0.2385508950482,0.0766459467607507
4.528,-0.235876235331095,0.0847626157365154
4.54,-0.232853501391757,0.0927842574574494
4.552,-0.229469087770334,0.100693816008825
4.564,-0.225712420211552,0.10846544931558
4.576,-0.221579269687575,0.116066511001114
4.588,-0.217074872851755,0.123461061499117
4.6,-0.212213795536924,0.130613207614874
4.612,-0.207020592237369,0.137491109438403
4.624,-0.201526471579056,0.144070912204283
4.636,-0.195766119274755,0.15033794176609
4.648,-0.189773740170515,0.156287660602126
4.66,-0.183579452277199,0.161924303713246
4.672,-0.177205772009213,0.167257841187458
4.684,-0.170666890099269,0.172301084367241
4.696,-0.163968420455757,0.177065281111665
4.708,-0.157108898584986,0.181556922394093
4.72,-0.150083436305314,0.185775445133857
4.732,-0.142886054926406,0.189712439252956
4.744,-0.135514308097895,0.19335194645591
4.756,-0.127971444057076,0.19667316898595
4.768,-0.120268127146593,0.199652377578248
4.78,-0.112423004314232,0.202267194983983
4.792,-0.104461692585228,0.204499054566693
4.804,-0.0964143969148172,0.206335451645586
4.816,-0.0883132388308854,0.207771236912895
4.828,-0.0801897477129131,0.208808331652883
4.84,-0.072071594354951,0.209454796926595
4.852,-0.0639818561609486,0.209722413866352
4.864,-0.0559380606711404,0.20962418616104
4.876,-0.0479528368286357,0.209172408209458
4.888,-0.0400349869212503,0.208376967784921
4.9,-0.0321919727235921,0.207244351593263
4.912,-0.0244311655576956,0.20577746716311
4.924,-0.0167616898479857,0.203977022674971
4.936,-0.00919539623750074,0.201842446084532
4.948,-0.00174687723651049,0.199373529467448
4.96,0.00556725725392269,0.196572441331534
4.972,0.0127289895328127,0.193443276798452
4.984,0.0197206288266867,0.189993509523575
4.996,0.0265261916971153,0.186232441166606
5.008,0.0331312887980403,0.182171200687943
5.02,0.0395242145520504,0.177820534126324
5.032,0.0456943318681795,0.173190920444666
5.044,0.051631984718413,0.168290564576021
5.056,0.0573269003337713,0.163126955667928
5.068,0.0627665427219057,0.15770586222387
5.08,0.0679366641083543,0.152034272772702
5.092,0.072819569283579,0.146120990198393
5.104,0.0773967201115914,0.139978210993829
5.116,0.0816491520396641,0.133622538803039
5.128,0.0855596933986498,0.127075667069671
5.14,0.0891151083642232,0.120363490842848
5.152,0.0923073542649076,0.113513913977138
5.164,0.0951349476966789,0.106555386230417
5.176,0.0976026536222571,0.0995146449994626
5.188,0.0997200706929893,0.0924131430473932
5.2,0.101498924559518,0.0852665361595482
5.212,0.102951603126371,0.0780842189994439
5.224,0.104086490073072,0.0708685620735002
5.236,0.104906969995327,0.0636185557429738
5.248,0.1054090648298,0.0563313621297709
5.26,0.105581595630743,0.0490070414037549
5.272,0.105407333727111,0.0416506029660125
5.284,0.104866319318477,0.0342745725118754
5.296,0.103938135931188,0.0269015762914081
5.308,0.102606953632125,0.0195619884779341
5.32,0.100864844511238,0.0122938134246567
5.332,0.0987134210570136,0.00513755873640598
5.344,0.0961655047831653,-0.0018665680375805
5.356,0.0932438250637725,-0.00868358402867682
5.368,0.0899785217787528,-0.0152867454230701
5.38,0.0864026904797766,-0.0216602510781616
5.392,0.0825487864515882,-0.027799652983483
5.404,0.0784432139055199,-0.0337089938965654
5.416,0.0741037637781911,-0.0393990576721629
5.428,0.0695382687559972,-0.0448817487585523
5.44,0.0647439730798862,-0.0501665702215186
5.452,0.0597114007847633,-0.0552552195702273
5.464,0.054427077958873,-0.0601397436315593
5.476,0.048879705739499,-0.0648023769685124
5.488,0.0430625910839047,-0.0692155495976874
5.5,0.0369790968575314,-0.0733466437218393
5.512,0.0306433356263104,-0.077161598130381
5.524,0.0240801750925881,-0.0806289412942723
5.536,0.0173225316425921,-0.083725808423227
5.548,0.0104080036976811,-0.0864384901412597
5.56,0.00337400731034069,-0.0887641714967621
5.572,-0.00374569916497101,-0.090709337856527
5.584,-0.0109254217915009,-0.092286345707027
5.596,-0.0181481196517357,-0.0935104347936896
5.608,-0.0254042210797397,-0.0943938862292616
5.62,-0.0326903777806803,-0.094944721391227
5.632,-0.0400052862214362,-0.0951636167632523
5.644,-0.0473460752110786,-0.0950443041624566
5.656,-0.0547050048348081,-0.0945764194256528
5.668,-0.0620680086739855,-0.0937470376825412
5.68,-0.0694141660381531,-0.0925454848844737
5.692,-0.076717268417642,-0.0909655412021978
5.704,-0.0839491587286497,-0.0890080023144762
5.716,-0.0910823843361112,-0.0866806478446234
5.728,-0.0980937837851073,-0.0839964929500197
5.74,-0.104966197872092,-0.0809718802122092
5.752,-0.111688117230483,-0.0776219531860016
5.764,-0.118254336284847,-0.0739597698654973
5.776,-0.124660800382953,-0.0699920468456297
5.788,-0.130902969329388,-0.065719843485511
5.8,-0.136971659256144,-0.0611408550752667
5.812,-0.142851850423862,-0.0562497972073439
5.824,-0.1485218833626,-0.0510444267595077
5.836,-0.153954146244303,-0.0455276109088392
5.848,-0.159119692068369,-0.0397100794951412
5.86,-0.163989392337865,-0.0336113281217474
5.872,-0.168540371273441,-0.0272581922453736
5.884,-0.172757276148257,-0.0206826103663216
5.896,-0.176634204517297,-0.0139174724068852
5.908,-0.180174480411323,-0.00699230251839292
5.92,-0.183387638435228,7.0232639084081E-05
5.932,-0.186285625763764,0.00725614498828778
5.944,-0.188879269546532,0.014558994652024
5.956,-0.191174121671176,0.0219805916563225
5.968,-0.193167514343251,0.0295254541225524
5.98,-0.194848359190158,0.0371978144485044
5.992,-0.196198131741612,0.0449970918870219
6.004,-0.197193470256468,0.0529146918874837
6.016,-0.197810388597782,0.0609334503319921
6.028,-0.198028289216197,0.0690267940921828
