"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.189206180074332,0.095726787760416
3.002,0.196464843386779,0.0842583057659311
3.004,0.203073767675538,0.0724066673516021
3.006,0.20901470835103,0.0602060975222381
3.008,0.214271120252346,0.047691639134868
3.01,0.218828193236696,0.0348990728304653
3.012,0.222672883371789,0.021864835125737
3.014,0.225793940636807,0.00862593502420908
3.016,0.228181932936581,-0.00478013029446949
3.018,0.229829266232493,-0.0183154607782787
3.02,0.230730200792554,-0.0319418396510113
3.022,0.23088086386208,-0.0456208201562647
3.024,0.230279257755318,-0.0593138128005196
3.026,0.228925264867402,-0.0729821728824012
3.028,0.226820647905051,-0.0865872881309514
3.03,0.223969047233497,-0.100090666353394
3.032,0.220375973136271,-0.113454022812464
3.034,0.216048794883667,-0.126639367280882
3.036,0.210996725904948,-0.139609090516042
3.038,0.205230804658651,-0.152326050001375
3.04,0.198763871894751,-0.164753654852232
3.042,0.19161054430184,-0.176855949703483
3.044,0.183787183931999,-0.188597696935319
3.046,0.175311864395577,-0.19994445865303
3.048,0.166204332917744,-0.210862675555828
3.05,0.15648596954832,-0.221319745339001
3.052,0.146179741916155,-0.231284098572964
3.054,0.135310157019126,-0.240725273261987
3.056,0.123903210040632,-0.249613985984654
3.058,0.111986329283415,-0.257922202317314
3.06,0.0995883182114422,-0.265623203441058
3.062,0.0867392946905987,-0.272691650731995
3.064,0.0726732713189776,-0.27778362023385
3.066,0.0581000364576269,-0.281672066211201
3.068,0.043345511092744,-0.284774310680899
3.07,0.0284499752004689,-0.287082617918538
3.072,0.0134540175456239,-0.288591215236101
3.074,-0.00160155612400447,-0.289296304226215
3.076,-0.0166758151059714,-0.289196069267749
3.078,-0.0317277962498786,-0.288290680186798
3.08,-0.0467165963739262,-0.286582292266401
3.082,-0.061601464696361,-0.284075041197688
3.084,-0.0763418949384252,-0.280775034064445
3.086,-0.0908977169949144,-0.276690336352468
3.088,-0.105229187969914,-0.271830954874377
3.09,-0.119297082388686,-0.266208816299958
3.092,-0.13306278143203,-0.259837742081439
3.094,-0.14648836097673,-0.252733418762533
3.096,-0.159536678464915,-0.244913365059441
3.098,-0.172171457794343,-0.236396894201485
3.1,-0.184357373280666,-0.227205073618488
3.102,-0.196060131101788,-0.217360679261515
3.104,-0.207246548983318,-0.20688814774316
3.106,-0.217884633703026,-0.195813523983159
3.108,-0.227943656410914,-0.184164405644777
3.11,-0.237394225460282,-0.171969884147184
3.112,-0.246208355843709,-0.15926048213886
3.114,-0.254359537326448,-0.146068088117026
3.116,-0.261822798168159,-0.132425887778141
3.118,-0.268574766722302,-0.118368292284716
3.12,-0.274593729600843,-0.103930863944018
3.122,-0.279859686190171,-0.0891502389847636
3.124,-0.284354400302384,-0.0740640478285408
3.126,-0.28698277064431,-0.0584633954836132
3.128,-0.287698503884807,-0.042539784709809
3.13,-0.287568288999135,-0.0266335664545066
3.132,-0.286595007367454,-0.0107873398710562
3.134,-0.284783594702802,0.0049565092456581
3.136,-0.282141029582362,0.0205559042153983
3.138,-0.278676316754378,0.035969172715912
3.14,-0.27440046609178,0.0511551412703505
3.142,-0.269326468362518,0.0660732288517257
3.144,-0.263469265385772,0.0806835393599977
3.146,-0.256845716642604,0.0949469528525858
3.148,-0.249474561809428,0.108825215295918
3.15,-0.241376378882721,0.122281026482089
3.152,-0.232573538263956,0.135278126581015
3.154,-0.2230901528746,0.147781379844733
3.156,-0.212952024472434,0.159756857036682
3.158,-0.202186585642275,0.171171914735026
3.16,-0.190822839136524,0.181995272135396
3.162,-0.17889129184379,0.192197085414841
3.164,-0.166423887067197,0.201749019115451
3.166,-0.153453932097783,0.210624313603055
3.168,-0.140016022872726,0.218797850353654
3.17,-0.126145965812851,0.226246213118017
3.172,-0.111880696199027,0.232947745413055
3.174,-0.0972581942125291,0.238882604087373
3.176,-0.0823173977502109,0.244032809907847
3.178,-0.0670981132912859,0.248382292414128
3.18,-0.0516409242385869,0.251916932088824
3.182,-0.0359870972532715,0.254624597092671
3.184,-0.0201784867479417,0.256495176116366
3.186,-0.00425743769796911,0.257520606303834
3.188,0.0116402354256682,0.25717054660563
3.19,0.0271633341316172,0.254417232225749
3.192,0.0424768784204372,0.250856504030479
3.194,0.0575411097489516,0.246501442693811
3.196,0.0723170062423914,0.241367027360435
3.198,0.0867663724155836,0.23547009641427
3.2,0.100851926734793,0.228829304847722
3.202,0.114537387402108,0.221465076434398
3.204,0.127787555154465,0.213399552315578
3.206,0.140568393700575,0.204656535418314
3.208,0.152847107721103,0.195261431030449
3.21,0.164592217260513,0.185241184164958
3.212,0.175773628682841,0.174624212052706
3.214,0.186362703538409,0.16344033510888
3.216,0.196332321993895,0.151720703223904
3.218,0.205656944084253,0.139497719534391
3.22,0.214312665951541,0.126804962133702
3.222,0.222277273342723,0.113677101984777
3.224,0.229530289345731,0.100149819300096
3.226,0.236053019450507,0.086259718084934
3.228,0.241828591129151,0.072044237730369
3.23,0.246841990036605,0.0575415639919822
