"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.00433407266063202,-0.077445885719584
3.002,0.0023757783482789,-0.0773269192640689
3.004,0.000426594389538415,-0.0771349840783979
3.006,-0.00151040974296965,-0.0768706265977619
3.008,-0.00343220027465387,-0.076534527245132
3.01,-0.00533578510830392,-0.0761274978895347
3.012,-0.00721821960221128,-0.075650479064263
3.014,-0.00907661215619316,-0.0751045369657909
3.016,-0.0109081295854188,-0.0744908600944695
3.018,-0.0127100022715072,-0.0738107558232787
3.02,-0.0144795290774462,-0.0730656466080113
3.022,-0.0162140820329203,-0.0722570660932647
3.024,-0.0179111107636824,-0.0713866550055196
3.026,-0.0195681466735983,-0.0704561568914012
3.028,-0.0211828068719488,-0.0694674137119514
3.03,-0.0227527978345031,-0.0684223613043943
3.032,-0.0242759188157294,-0.0673230247374641
3.034,-0.0257500649863326,-0.066171513565882
3.036,-0.0271732303150519,-0.0649700170100424
3.038,-0.028543510191349,-0.0637207990643749
3.04,-0.0298591037752491,-0.0624261935662317
3.042,-0.0311183161281597,-0.0610885992234833
3.044,-0.0323195600380014,-0.0597104746233189
3.046,-0.0334613576144232,-0.0582943332340298
3.048,-0.0345423417122558,-0.0568427384128277
3.05,-0.0355612569916803,-0.0553582984330013
3.052,-0.0365169608238446,-0.0538436615422641
3.054,-0.0374084240208737,-0.0523015110563872
3.056,-0.0382347312093676,-0.0507345605114541
3.058,-0.0389950811365846,-0.0491455488723142
3.06,-0.0396887866985578,-0.0475372358130584
3.062,-0.0403152748094013,-0.0459123970739945
3.064,-0.0408155819810224,-0.0442957153148496
3.066,-0.0412309248723731,-0.0426817547262007
3.068,-0.041581379797256,-0.0410667336028991
3.07,-0.0418672962695311,-0.0394532144785385
3.072,-0.0420891207463761,-0.0378437272291014
3.074,-0.0422473941200045,-0.0362407657842147
3.076,-0.0423427491419714,-0.0346467850247488
3.078,-0.0423759077748786,-0.0330641978627977
3.08,-0.0423476784879262,-0.0314953725164014
3.082,-0.042258953512361,-0.0299426299546878
