"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.00409670130866798,-0.076456302949584
3.002,-0.0059396184452211,-0.0758372404040689
3.004,-0.00774637619146158,-0.0751541405763979
3.006,-0.00951447486896965,-0.0744089092157619
3.008,-0.0112415149976539,-0.073603553843132
3.01,-0.0129252016233039,-0.0727401782905347
3.012,-0.0145633482982113,-0.071820977067263
3.014,-0.0161538807431932,-0.0708482295407909
3.016,-0.0176948401734188,-0.0698242939794695
3.018,-0.0191843862875072,-0.0687516014442787
3.02,-0.0206207999274462,-0.0676326495930113
3.022,-0.0220024853279203,-0.0664699963742647
3.024,-0.0233279720746824,-0.0652662536755196
3.026,-0.0245959167125983,-0.0640240809104012
3.028,-0.0258051039349488,-0.0627461785942514
3.03,-0.0269544475065031,-0.0614352819108943
3.032,-0.0280429907937294,-0.0600941543010641
3.034,-0.0290699069663326,-0.058725581087882
3.036,-0.0300344988550519,-0.0573323631610424
3.038,-0.030936198511349,-0.0559173107353749
3.04,-0.0317745664252491,-0.0544832372102317
3.042,-0.0325492904381597,-0.0530329531284833
3.044,-0.0332601843780014,-0.0515692602813189
3.046,-0.0339071863844232,-0.0500949459370298
3.048,-0.0344903569522559,-0.0486127772448278
3.05,-0.0350098767916803,-0.0471254957980013
3.052,-0.0354660442938446,-0.0456358123899641
3.054,-0.0358592729608737,-0.0441464019589872
3.056,-0.0361900883903677,-0.0426598987466541
3.058,-0.0364591252855846,-0.0411788916603142
3.06,-0.0366671241015578,-0.0397059198810584
3.062,-0.0368149276124013,-0.0382434686619945
3.064,-0.0368744138540224,-0.0368759779238496
3.066,-0.0368751754733731,-0.0355539159812007
3.068,-0.036829506272256,-0.0342519929908991
3.07,-0.0367387647325311,-0.0329717244485385
3.072,-0.0366043512123761,-0.0317145480261014
3.074,-0.0364277035540045,-0.0304818231262147
3.076,-0.0362102927439714,-0.0292748305277488
3.078,-0.0359536186328786,-0.0280947723767977
3.08,-0.0356592057469262,-0.0269427724164014
3.082,-0.035328599182961,-0.0258198764376878
3.084,-0.0349633606283452,-0.0247270529344448
3.086,-0.0345650644964145,-0.0236651940324679
3.088,-0.034135294206914,-0.0226351165843771
3.09,-0.0336756386176858,-0.0216375634999575
3.092,-0.0331876886190301,-0.0206732051914388
3.094,-0.0326730339077295,-0.0197426412625329
3.096,-0.032133259942915,-0.0188464023094406
3.098,-0.031569945100343,-0.017984951861485
3.1,-0.0309846580276665,-0.017158688448488
3.102,-0.0303789552187876,-0.0163679478215149
3.104,-0.0297543787893183,-0.0156130051331602
3.106,-0.0291124544920257,-0.0148940773461595
3.108,-0.0284546899459137,-0.0142113255727774
3.11,-0.0277825730902816,-0.0135648574921837
3.112,-0.027097570873709,-0.0129547297788598
3.114,-0.0264011281644483,-0.0123809505060261
3.116,-0.0256946668771588,-0.0118434815281415
3.118,-0.0249795853223022,-0.0113422408127156
3.12,-0.0242572577708435,-0.010877104696018
3.122,-0.0235290342001706,-0.0104479100537636
3.124,-0.0227962402623839,-0.0100544563565408
3.126,-0.0221056709343103,-0.0096912253576132
3.128,-0.0214575773148066,-0.00935168189180902
3.13,-0.0208069253691348,-0.00903880855250664
3.132,-0.020154409407454,-0.00875240783325619
3.134,-0.0195007096328016,-0.00849228241434189
3.136,-0.018846494392362,-0.00825823576890172
3.138,-0.0181924223943785,-0.00805007249298802
3.14,-0.0175391449417799,-0.00786759835364948
3.142,-0.0168873081925185,-0.0077106200462743
3.144,-0.016237555285772,-0.00757894466500232
3.146,-0.0155905284826042,-0.00747237888341419
3.148,-0.0149468710894275,-0.00739072786108165
3.15,-0.0143072293627209,-0.00733379386691078
3.152,-0.0136722540639562,-0.00730137465798493
3.154,-0.0130426019946001,-0.00729326159926672
3.156,-0.0124189371224337,-0.00730923757431822
3.158,-0.0118019315532748,-0.00734907469197409
3.16,-0.0111922661635235,-0.00741253181860398
3.162,-0.0105906309017897,-0.00749935197615946
3.164,-0.00999772477219679,-0.00760925963154872
3.166,-0.00941425545378306,-0.00774195792294494
3.168,-0.00884093853772594,-0.00789712585134629
3.17,-0.00827849639885106,-0.00807441549698265
3.172,-0.00772765666902701,-0.00827344928694487
3.174,-0.00718915033152907,-0.0084938173796267
3.176,-0.00666370943321094,-0.00873507519215256
3.178,-0.00615206443728589,-0.00899674114587165
3.18,-0.00565494121858689,-0.00927829461117614
3.182,-0.00517305773627151,-0.00957917422732868
3.184,-0.00470712040794174,-0.00989877646363401
3.186,-0.00425782022696911,-0.0102364546161657
3.188,-0.00382290217233176,-0.0105802382843703
3.19,-0.00339455327638282,-0.0109075032742509
