"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.00021806086466798,-0.065793711461784
3.002,-0.0014691977782211,-0.0654815016725389
3.004,-0.00270412792046158,-0.0651356148758979
3.006,-0.00392181888796965,-0.0647568114853619
3.008,-0.00512127830465387,-0.064345885818332
3.01,-0.00630155507530392,-0.0639036635965347
3.012,-0.00746174045921128,-0.063430999388263
3.014,-0.00860096896219317,-0.0629287740067909
3.016,-0.00971841903241877,-0.0623978918824695
3.018,-0.0108133135705072,-0.0618392784192787
3.02,-0.0118849202534462,-0.0612538773560113
3.022,-0.0129325516749203,-0.0606426481402647
3.024,-0.0139555652926824,-0.0600065633425196
3.026,-0.0149533632075983,-0.0593466061024012
3.028,-0.0159253917659488,-0.0586637676509514
3.03,-0.0168711409945031,-0.0579590448863943
3.032,-0.0177901438777294,-0.057233438054464
3.034,-0.0186819754853326,-0.056487948507882
3.036,-0.0195462519550519,-0.0557235765840424
3.038,-0.020382629350349,-0.0549413195933749
3.04,-0.0211908023932491,-0.0541421699362317
3.042,-0.0219705030891597,-0.0533271133564833
3.044,-0.0227214992570015,-0.0524971273283189
3.046,-0.0234435929714232,-0.0516531796020298
3.048,-0.0241366189322559,-0.0507962268888277
3.05,-0.0248004427840803,-0.0499272137140013
3.052,-0.0254349593745446,-0.0490470714219641
3.054,-0.0260400909932737,-0.0481567173459872
3.056,-0.0266157855845217,-0.0472570541406541
3.058,-0.0271620149554846,-0.0463489692763142
3.06,-0.0276787729911578,-0.0454333346920584
3.062,-0.0281660738901013,-0.0445110066159945
3.064,-0.0286365906830224,-0.0436049573388496
3.066,-0.0290843019773731,-0.0426997367812007
3.068,-0.029505279909256,-0.0417884010588991
3.07,-0.0298994677325311,-0.0408715788805385
3.072,-0.0302668118653761,-0.0399498930301014
3.074,-0.0306072610050045,-0.0390239615012147
3.076,-0.0309207653669714,-0.0380943987187488
3.078,-0.0312072760598786,-0.0371618168437977
3.08,-0.0314667445929262,-0.0362268271484013
3.082,-0.031699122534361,-0.0352900414516878
3.084,-0.0319043613204252,-0.0343520736054448
3.086,-0.0320824122179145,-0.0334135410164679
3.088,-0.032233226456914,-0.0324750661913771
3.09,-0.0323567555216858,-0.0315372782979575
3.092,-0.0324529516130301,-0.0306008147204388
3.094,-0.0325217682887295,-0.0296663226015329
3.096,-0.032563161265915,-0.0287344603574406
3.098,-0.032577089405343,-0.027805899142485
3.1,-0.0325635158676665,-0.026881324263488
