"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.00551184019293202,-0.067360373549584
3.002,0.0041221677649789,-0.0673576042500689
3.004,0.00273346846333842,-0.0673114833103979
3.006,0.00134736571693035,-0.0672220812087619
3.008,-3.45281618538718E-05,-0.067089535500132
3.01,-0.00141061500070392,-0.0669140494485347
3.012,-0.00277931365161128,-0.066695890501263
3.014,-0.00413906272619317,-0.0664353886397909
3.016,-0.00548832317591878,-0.0661329345894695
3.018,-0.00682558071090724,-0.0657889779352787
3.02,-0.00814934805354623,-0.0654040251320113
3.022,-0.00945816702242026,-0.0649786374372647
3.024,-0.0107506104463824,-0.0645134287755196
3.026,-0.0120252839058983,-0.0640090635534012
3.028,-0.0132808273031488,-0.0634662544289514
3.03,-0.0145159162621031,-0.0628857600643943
3.032,-0.0157292633605294,-0.0622683828584641
3.034,-0.0169196191979326,-0.061614966688882
3.036,-0.0180857733040519,-0.0609263946580424
3.038,-0.019226554889349,-0.0602035868743749
3.04,-0.0203408334562491,-0.0594474982602317
3.042,-0.0214275192551597,-0.0586591164164833
3.044,-0.0224855636160015,-0.0578394595343189
3.046,-0.0235139591554232,-0.0569895743810298
3.048,-0.0245117398562558,-0.0561105343531277
3.05,-0.0254779810506803,-0.0552034376131013
3.052,-0.0264117992988446,-0.0542694053173641
3.054,-0.0273123521788737,-0.0533095799330872
3.056,-0.0281788380083677,-0.0523251236565541
3.058,-0.0290104954825846,-0.0513172169331142
3.06,-0.0298066032725578,-0.0502870570833584
3.062,-0.0305664795724013,-0.0492358570382945
3.064,-0.0312849016030224,-0.0481680512568496
3.066,-0.0319647838063731,-0.0470832146235007
3.068,-0.032607183316256,-0.0459815557241691
3.07,-0.0332116009775311,-0.0448642909216985
3.072,-0.0337775709553761,-0.0437326461193014
3.074,-0.0343046601900045,-0.0425878564015147
3.076,-0.0347924679159714,-0.0414311657760488
3.078,-0.0352406252308786,-0.0402638270110977
3.08,-0.0356487947389262,-0.0390871015600013
3.082,-0.036016670276361,-0.0379022595678878
3.084,-0.0363439767184252,-0.0367105799503448
3.086,-0.0366304698939145,-0.0355133505354679
3.088,-0.036875936593914,-0.0343118682597771
3.09,-0.0370801947046858,-0.0331074394062575
3.092,-0.0372430934470301,-0.0319013798744388
3.094,-0.0373645137497295,-0.0306950154686329
3.096,-0.037444368749915,-0.0294896821933406
3.098,-0.037482604426343,-0.028286726540485
3.1,-0.0374792003669665,-0.027087505754488
3.102,-0.0374341706784876,-0.0258933880615149
3.104,-0.0373475650313183,-0.0247057528481602
3.106,-0.0372194698439257,-0.0235259907681595
3.108,-0.0370500096026137,-0.0223555037677774
3.11,-0.0368393483135816,-0.0211957050131837
3.112,-0.036587691082109,-0.0200480186938598
