"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.00382555535266798,-0.074755712010584
3.002,-0.0055700396442211,-0.0741655863960689
3.004,-0.00728040253746158,-0.0735166364553979
3.006,-0.00895440177496965,-0.0728106512657619
3.008,-0.0105898895176539,-0.072049509804132
3.01,-0.0121848161433039,-0.0712351757615347
3.012,-0.0137372337682113,-0.070369692170263
3.014,-0.0152452994431932,-0.0694551758807909
3.016,-0.0167072779734188,-0.0684938118974695
3.018,-0.0181215445275072,-0.0674878475992787
3.02,-0.0194865867574462,-0.0664395868660113
3.022,-0.0208010066979203,-0.0653513841312647
3.024,-0.0220635222846824,-0.0642256383855196
3.026,-0.0232729685025983,-0.0630647871459012
3.028,-0.0244282982449488,-0.0618713004246514
3.03,-0.0255285827865031,-0.0606476747040943
3.032,-0.0265730119837294,-0.0593964269484641
3.034,-0.0275608940563326,-0.058120088670882
3.036,-0.0284916551450519,-0.0568212000680424
3.038,-0.029364838501349,-0.0555023042563749
3.04,-0.0301801033752491,-0.0541659416082317
3.042,-0.0309372236281597,-0.0528146442264833
3.044,-0.0316360860480015,-0.0514509305543189
3.046,-0.0322766883844232,-0.0500773001540298
3.048,-0.0328591371662559,-0.0486962286498277
3.05,-0.0333836452526803,-0.0473101628720013
3.052,-0.0338505291278446,-0.0459215161889641
3.054,-0.0342602060258737,-0.0445326640619872
3.056,-0.0346131908353677,-0.0431459398156541
3.058,-0.0349100928325846,-0.0417636306453142
3.06,-0.0351516122385578,-0.0403879738630584
3.062,-0.0353385366444013,-0.0390211533899945
3.064,-0.0354512274480224,-0.0377355747738496
3.066,-0.0355121238713731,-0.0364883581512007
3.068,-0.035530315570256,-0.0352578045208991
3.07,-0.0355069888075311,-0.0340452489585385
3.072,-0.0354433631193761,-0.0328519557861014
3.074,-0.0353406871030045,-0.0316791184662147
3.076,-0.0352002342719714,-0.0305278597077488
