"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.022194704754332,-0.076373059429584
3.002,0.0202064897567789,-0.0772998284040689
3.004,0.0181709384255384,-0.0781479860883979
3.006,0.0160915746310304,-0.0789152164277619
3.008,0.0139720251823461,-0.079599366325132
3.01,0.0118160122166961,-0.0801984496395347
3.012,0.00962734547178872,-0.080710650754263
3.014,0.00740991442680683,-0.0811343279057909
3.016,0.00516768045658123,-0.0814680160844695
3.018,0.00290466883749276,-0.0817104295682787
3.02,0.000624960747553768,-0.0818604641310113
3.022,-0.00166731476892026,-0.0819171989162647
3.024,-0.00396798885568236,-0.0818798979585196
3.026,-0.00627286090259827,-0.0817480113024012
3.028,-0.00857770659294882,-0.0815211758909514
3.03,-0.0108782859295031,-0.0811992160933943
3.032,-0.0131703512237294,-0.0807821438224641
3.034,-0.0154496550475326,-0.080270158490882
3.036,-0.0177119581253519,-0.0796636465360424
3.038,-0.019953037161349,-0.0789631806813749
3.04,-0.0221686925972491,-0.0781695189022317
3.042,-0.0243547562821597,-0.0772836031234833
3.044,-0.0265070990560014,-0.0763065575953189
3.046,-0.0286216382344232,-0.0752396869930298
3.048,-0.0306943449812558,-0.0740844742958277
3.05,-0.0327212515786803,-0.0728425783290013
3.052,-0.0346984585658446,-0.0715158311029641
3.054,-0.0366221417608737,-0.0701062348819872
3.056,-0.0384885591393676,-0.0686159590246541
3.058,-0.0402940576065846,-0.0670473365173142
3.06,-0.0420350795385578,-0.0654028604010584
3.062,-0.0437081693394013,-0.0636851798219945
3.064,-0.0452281987110224,-0.0618085806938496
3.066,-0.0466369396123731,-0.0598441433012007
3.068,-0.047957829867256,-0.0578264181008991
3.07,-0.0491886288695311,-0.0557593063585385
3.072,-0.0503272655043761,-0.0536467996671014
3.074,-0.0513718413240045,-0.0514929729242147
3.076,-0.0523206334259714,-0.0493019772067488
3.078,-0.0531720971118786,-0.0470780325857977
3.08,-0.0539248681939262,-0.0448254208914014
3.082,-0.054577765126361,-0.0425484784416878
3.084,-0.0551297908084252,-0.0402515887254448
3.086,-0.0555801341649145,-0.0379391750764679
3.088,-0.055928171419914,-0.0356156933149771
3.09,-0.0561734672086858,-0.0332856243853575
3.092,-0.0563157753420301,-0.0309534669874388
3.094,-0.0563550393967295,-0.0286237302075329
3.096,-0.056291393044915,-0.0263009261574406
3.098,-0.056125160144343,-0.023989562619485
3.1,-0.0558568545806665,-0.021694135706488
3.102,-0.0554871799617876,-0.0194191225435149
3.104,-0.0550170289633183,-0.0171689739561602
3.106,-0.0544474825730257,-0.0149481071901595
3.108,-0.0537798090709137,-0.0127608986547774
3.11,-0.0530154627502816,-0.0106116766471837
3.112,-0.052156082513709,-0.00850471419885983
3.114,-0.0512034901764483,-0.00644422180702612
3.116,-0.0501596886381588,-0.0044343402781415
3.118,-0.0490268597523022,-0.00247913357471561
3.12,-0.0478073620208435,-0.000582581674018024
3.122,-0.0465037281101706,0.00125142657523642
3.124,-0.0451186620723839,0.00301910058145922
3.126,-0.0436120449713103,0.0046430855063868
3.128,-0.0419974913058066,0.00611401954019098
3.13,-0.0403251247091348,0.00750099072549336
3.132,-0.038598741735454,0.0088016571087438
3.134,-0.0368222352008016,0.0100138339456581
3.136,-0.0349995887893619,0.0111354975553983
3.138,-0.0331348715223785,0.012164789115912
3.14,-0.0312322320837799,0.0131000184703505
3.142,-0.0292958930034185,0.0139396677217257
3.144,-0.027330144651372,0.0146823948699977
