"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.010955962035668,-0.079281047749584
3.002,-0.0128966649032211,-0.0782388079140689
3.004,-0.0147773959444616,-0.0771304293283979
3.006,-0.0165957034889696,-0.0759590694777619
3.008,-0.0183492983876539,-0.074727977237132
3.01,-0.0200360574133039,-0.0734404843705347
3.012,-0.0216540261082113,-0.072099997084263
3.014,-0.0232014213031932,-0.0707099873887909
3.016,-0.0246766330734188,-0.0692739844164695
3.018,-0.0260782262875072,-0.0677955656992787
3.02,-0.0274049417174462,-0.0662783484170113
3.022,-0.0286556966479203,-0.0647259806602647
3.024,-0.0298295850646824,-0.0631421327155196
3.026,-0.0309258774225983,-0.0615304884199012
3.028,-0.0319440198949488,-0.0598947365819514
3.03,-0.0328836332865031,-0.0582385625163943
3.032,-0.0337445114837294,-0.0565656396974641
3.034,-0.0345266194563326,-0.054879621569882
3.036,-0.0352300909450519,-0.0531841335170424
3.038,-0.035855225701349,-0.0514827650323749
3.04,-0.0364024863752491,-0.0497790620852317
3.042,-0.0368724950181597,-0.0480765197244833
3.044,-0.0372660293380015,-0.0463785749153189
3.046,-0.0375840185044232,-0.0446885996530298
3.048,-0.0378275387322558,-0.0430098943258277
3.05,-0.0379978085716803,-0.0413456813790013
3.052,-0.0380961838538446,-0.0396990992829641
3.054,-0.0381241525008737,-0.0380731968119872
3.056,-0.0380833289993677,-0.0364709276546541
3.058,-0.0379754487265846,-0.0348951452873142
3.06,-0.0378023620665578,-0.0333485983110584
3.062,-0.0375660283184013,-0.0318339260219945
3.064,-0.0372609439980224,-0.0304711786438496
3.066,-0.0369072073233731,-0.0291844885212007
3.068,-0.036511379429256,-0.0279360835608991
3.07,-0.0360756844595311,-0.0267271580685385
3.072,-0.0356023689403761,-0.0255587903261014
3.074,-0.0350936958890045,-0.0244319431562147
3.076,-0.0345519390119714,-0.0233474646177488
3.078,-0.0339793770183786,-0.0223060891767977
3.08,-0.0333782880551262,-0.0213084390164014
3.082,-0.032750944289361,-0.0203550257176878
3.084,-0.0320996066434252,-0.0194462522044448
3.086,-0.0314265197079145,-0.0185824148624679
3.088,-0.030733906832914,-0.0177637060543771
3.09,-0.0300239654286858,-0.0169902167099575
3.092,-0.0292988624720301,-0.0162619392714388
3.094,-0.0285607302407295,-0.0155787707525329
3.096,-0.027811662285915,-0.0149405160594406
3.098,-0.027053709650343,-0.014346891431485
3.1,-0.0262888773406665,-0.013797528048488
3.102,-0.0255191210917876,-0.0132919758515149
3.104,-0.0247463443333183,-0.0128297073531602
3.106,-0.0239723955530257,-0.0124101217131595
3.108,-0.0231990658109137,-0.0120325487347774
3.11,-0.0224280866502816,-0.0116962530371837
3.112,-0.021661128283709,-0.0114004382208598
3.114,-0.0208997979564483,-0.0111442510860261
3.116,-0.0201456388081588,-0.0109267857941415
3.118,-0.0194001288123022,-0.0107470880537156
3.12,-0.0186646801308435,-0.010604159238018
3.122,-0.0179406387401706,-0.0104969604377636
3.124,-0.0172292842223839,-0.0104244164175408
3.126,-0.0165831135743103,-0.0103651393836132
3.128,-0.0160001653348066,-0.010311064030809
3.13,-0.0154287162491348,-0.0102792386735066
3.132,-0.014869215477454,-0.0102687940040562
3.134,-0.0143220659728016,-0.0102788720489419
3.136,-0.013787627032362,-0.0103086283906017
3.138,-0.0132662170043785,-0.010357234126088
3.14,-0.0127581160217799,-0.0104238775346495
3.142,-0.0122635688725185,-0.0105077654502743
3.144,-0.011782787925772,-0.0106081243310023
3.146,-0.0113159559926042,-0.0107242010224142
3.148,-0.0108632292694275,-0.0108552632020817
3.15,-0.0104247401727209,-0.0110005995269108
3.152,-0.0100006001139562,-0.0111595194689849
3.154,-0.00959090214460011,-0.0113313528632667
3.156,-0.00919572343243371,-0.0115154491693182
3.158,-0.00881512766227478,-0.0117111764749741
3.16,-0.00844916706652355,-0.011917920254604
3.162,-0.00809788434378969,-0.0121350819151595
3.164,-0.00776131428719678,-0.0123620771245487
3.166,-0.00743948505778306,-0.0125983340269449
3.168,-0.00713241927472594,-0.0128432912963463
3.17,-0.00684013464885106,-0.0130963961319826
3.172,-0.00656264439502701,-0.0133571021869449
3.174,-0.00629995724252907,-0.0136248674826267
3.176,-0.00605207712721094,-0.0138991524321526
3.178,-0.00581900254628589,-0.0141794178258717
3.18,-0.00560072558558689,-0.0144651230511761
3.182,-0.00539723063527151,-0.0147557244373287
3.184,-0.00520849281494174,-0.015050673803634
3.186,-0.00503447613696911,-0.0153494172761657
3.188,-0.00487344460423176,-0.0156411321043703
3.19,-0.00471959578309282,-0.0159051667642509
3.192,-0.00457652343546277,-0.0161721954195205
3.194,-0.00444418446204844,-0.0164418977261889
3.196,-0.00432253000860856,-0.0167139430295645
3.198,-0.0042115026204164,-0.0169879901257298
3.2,-0.0041110333462071,-0.0172636873722783
3.202,-0.00402103884089233,-0.0175406732756018
3.204,-0.00394141851853469,-0.0178185774844217
3.206,-0.0038720518184253,-0.0180970221916863
3.208,-0.00381279562889685,-0.0183756239195514
3.21,-0.00376348192148688,-0.0186539957950416
3.212,-0.00372391564315892,-0.0189317500172942
3.214,-0.00369387291159105,-0.0192085007611203
3.216,-0.00367309956610485,-0.0194838673660963
3.218,-0.00366131005574719,-0.0197574776656094
3.22,-0.00365818676845871,-0.0200289716562978
3.222,-0.00366337978727655,-0.0202980051752234
3.224,-0.00367650703426915,-0.020564253784904
3.226,-0.00369715498949343,-0.020827416595066
3.228,-0.00372487967084899,-0.0210872201706311
3.23,-0.00375920829339502,-0.0213434223090178
3.232,-0.00379964116961338,-0.0215958157232789
3.234,-0.00384565417536351,-0.0218442315668533
3.236,-0.00389670156997198,-0.0220885427307211
3.238,-0.00395221916312318,-0.0223286668954399
3.24,-0.0040116279060447,-0.0225645692827915
3.242,-0.00407433771995089,-0.0227962650775286
3.244,-0.00413975170088507,-0.0230238214888336
3.246,-0.00420727041698546,-0.0232473594174156
3.248,-0.00427629658182081,-0.0234670547223559
3.25,-0.004346239695778,-0.0236831390572811
3.252,-0.00425532961652732,-0.0238766856080909
3.254,-0.00416281382930197,-0.0240822120142113
3.256,-0.00406913518807296,-0.024300186197315
3.258,-0.00397476551961986,-0.0245310768679565
3.26,-0.00388020797394494,-0.0247753521105841
3.262,-0.00378599921637979,-0.0250334776483258
3.264,-0.00369271156903814,-0.0253059147668066
3.266,-0.00360095490189651,-0.0255931179608781
3.268,-0.0035113783766791,-0.025895532279327
3.27,-0.00342467192981774,-0.0262135904283728
3.272,-0.0033415675639869,-0.0265477096410549
3.274,-0.00326284023102727,-0.0268982883274652
3.276,-0.00318930860240403,-0.0272657025772087
3.278,-0.00312183535666411,-0.0276503024995048
3.28,-0.0030613272626061,-0.0280524084269931
3.282,-0.00300873489802164,-0.0284723071105983
3.284,-0.00296505201188499,-0.0289102477418029
3.286,-0.00293131457572036,-0.0293664380693635
3.288,-0.00290859947955638,-0.0298410404469538
3.29,-0.00289802289835509,-0.0303341679474492
3.292,-0.00290073832708493,-0.0308458805285998
3.294,-0.00291793428067293,-0.0313761813037371
3.296,-0.00295083168592895,-0.0319250128799197
3.298,-0.00300068096517506,-0.0324922539445945
3.3,-0.00306875882146128,-0.0330777158804579
3.302,-0.00315636474247595,-0.0336811396767535
3.304,-0.0032648172431207,-0.0343021929837853
3.306,-0.00339544985417678,-0.0349404673959524
3.308,-0.00354960687259847,-0.0355954760471601
3.31,-0.00372863890630843,-0.0362666513610326
3.312,-0.00393389821176879,-0.0369533431369607
3.314,-0.00416673385407731,-0.0376548169416826
3.316,-0.00442848671738232,-0.038370252724806
3.318,-0.00472048436106591,-0.0390987438154584
3.32,-0.00504403576609468,-0.0398392961861004
3.322,-0.00540042598781083,-0.0405908280884435
3.324,-0.00579091071525024,-0.0413521699554026
3.326,-0.00621671078480621,-0.0421220647420664
3.328,-0.00667900666776635,-0.0428991684477951
3.33,-0.00717893290989745,-0.0436820511807486
3.332,-0.00771757261587563,-0.0444691983654105
3.334,-0.00829595192396105,-0.0452590124799997
3.336,-0.0089150345628806,-0.0460498149690502
3.338,-0.00957571645345899,-0.0468398486288832
