"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.110463920832387,-0.054862433426587
3.002,0.111778995613,-0.0572574137291278
3.004,0.112990644541926,-0.059759266278213
3.006,0.114111927105517,-0.0623843527018325
3.008,0.115101920550052,-0.0650992969660777
3.01,0.115969535203274,-0.0679285816028913
3.012,0.116765734705996,-0.0708069690472454
3.014,0.117383993843707,-0.07380044335384
3.016,0.117924611758189,-0.076878999313087
3.018,0.118342440659242,-0.080019667246679
3.02,0.118603017416394,-0.083214472732505
3.022,0.11869996439066,-0.086482027219112
3.024,0.118661954426381,-0.089797588429568
3.026,0.118475982763117,-0.093162383694792
3.028,0.118151501907596,-0.096537624166353
3.03,0.117663519615707,-0.099933797002811
3.032,0.117027181704637,-0.103353342365385
3.034,0.116212112975011,-0.10680585473526
3.036,0.115282593823153,-0.110241170768179
3.038,0.114163115903437,-0.113659746991175
3.04,0.112893461270702,-0.117075390869268
3.042,0.111476515062807,-0.120466952292676
3.044,0.10989450627324,-0.123802449158039
3.046,0.10817332248387,-0.127101919752736
3.048,0.106284864987786,-0.130375500806616
3.05,0.104251318362269,-0.133584037922254
3.052,0.102063351201858,-0.136723009940705
3.054,0.09974862674155,-0.139776352293839
3.056,0.0973077565001328,-0.142746166050182
3.058,0.0946858924336504,-0.145651156740212
3.06,0.0919634551489762,-0.14840909723134
3.062,0.0891289974475629,-0.151136811232313
3.064,0.0861597316892852,-0.153714169997263
3.066,0.0830925014064716,-0.156177531549194
3.068,0.0798859429280752,-0.158535061823156
3.07,0.0765938926239626,-0.1607482205689
3.072,0.0732056668494154,-0.162835642763082
3.074,0.0697364143697382,-0.164791920401131
3.076,0.0661855236250651,-0.166598034428602
3.078,0.0625616867453133,-0.168238229462142
3.08,0.0588763006152896,-0.169747847220073
3.082,0.0551243448000308,-0.17113987418249
3.084,0.051329818020247,-0.172357068340999
3.086,0.0475088176839667,-0.173371777308127
3.088,0.0436226142014046,-0.174297289956151
3.09,0.0397376303569499,-0.175026780595669
3.092,0.035818336133168,-0.175597966733825
3.094,0.0319199167602107,-0.175980912001958
3.096,0.0279928186964003,-0.176253970463094
3.098,0.0240510068769856,-0.176347795058897
3.1,0.0201842181741464,-0.176282211846316
3.102,0.0163429402363232,-0.17604333267408
3.104,0.0125093811088112,-0.175654412917592
3.106,0.008716388788891,-0.175114511696469
3.108,0.0049857984000803,-0.174424201187813
3.11,0.0013073574799295,-0.173581788041959
3.112,-0.0023154484917469,-0.172603065346783
3.114,-0.0058412842544416,-0.171474481181964
3.116,-0.0093245154082842,-0.170215981292707
3.118,-0.0126863617851924,-0.16881726847327
3.12,-0.0159570119498114,-0.167314390790144
3.122,-0.0191413006601512,-0.165665382624856
3.124,-0.0221994099381207,-0.163922934566503
3.126,-0.0251677694497142,-0.162073459963957
3.128,-0.0279917159550773,-0.160117799697773
3.13,-0.0307273697482329,-0.158053424091722
3.132,-0.0333227736966799,-0.155921712134102
