"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.0529111759539172,0.10221359695001
3.002,-0.0448205274902797,0.105956168992936
3.004,-0.0365006894217559,0.109201060005504
3.006,-0.0279813473164799,0.111934786580707
3.008,-0.0192929676858045,0.114145624973848
3.01,-0.0104666902393162,0.115823651743053
3.012,-0.0015342253893209,0.116960786568973
3.014,0.007472257233,0.117550817953709
3.016,0.0165202363388615,0.117589440499084
3.018,0.0255769543122891,0.1170742597653
3.02,0.0346095258660344,0.116004816409863
3.022,0.0435850566704318,0.11438258850771
3.024,0.0524707521438956,0.112210989553749
3.026,0.0612340343449032,0.109495361148102
3.028,0.0698426530502432,0.106242964465368
3.03,0.0782648011010373,0.102462951708963
3.032,0.0864692208106383,0.0981663450515421
3.034,0.0944253183827655,0.0933660013626614
3.036,0.102103266658926,0.0880765693251114
3.038,0.1094741126341,0.0823144495407316
3.04,0.116509876989657,0.076097733127452
3.042,0.123183657132779,0.0694461537085012
3.044,0.129469718091676,0.062381015995255
3.046,0.135343585345921,0.0549251275649826
3.048,0.140782135191439,0.0471027298347711
3.05,0.145763672189598,0.038939406422942
3.052,0.150268010800265,0.0304620104793192
3.054,0.154276551198361,0.0216985695856425
3.056,0.157772339373778,0.0126781920971017
3.058,0.16074013771458,0.00343097195680771
3.06,0.163166474973454,-0.006012114746144
3.062,0.165039702917304,-0.0156193091633756
3.064,0.166350037160265,-0.0253581828178308
3.066,0.167089593980047,-0.0351957436868591
3.068,0.167252429618025,-0.0450985458068094
3.07,0.166834553563155,-0.0550328091129542
3.072,0.16583395932004,-0.0649645276987477
3.074,0.164250631061616,-0.0748595876682071
3.076,0.162086545266655,-0.0846838888056187
3.078,0.159345676742548,-0.094403452036436
3.08,0.156033983733999,-0.103984542783364
3.082,0.152159395017846,-0.113393785421917
3.084,0.147731789884708,-0.122598278039297
3.086,0.142762966508014,-0.131565704885935
3.088,0.13726660490096,-0.140264449608653
3.09,0.131258232361912,-0.14866370646491
3.092,0.124755167709074,-0.156733585166994
3.094,0.117776470104923,-0.164445213025693
3.096,0.110342877771169,-0.171770844862598
3.098,0.102476742294923,-0.17868395086024
3.1,0.0942019571267317,-0.185159316089634
3.102,0.0855438747713902,-0.191173127514182
3.104,0.0765292318720572,-0.196703059669672
3.106,0.0671860587686167,-0.201728356319544
3.108,0.0575435798310627,-0.206229897584723
3.11,0.0476321304786766,-0.210190282647803
3.112,0.0374830449558038,-0.213593879230581
3.114,0.0271285558651603,-0.216426892744675
3.116,0.0166016900895532,-0.218677409514595
3.118,0.0059361504027476,-0.220335447672707
3.12,-0.0048337891094157,-0.221392990825664
3.122,-0.0156734073167937,-0.221844027791752
3.124,-0.026547645542724,-0.221684568708709
3.126,-0.0374212310367172,-0.220912669211494
3.128,-0.0482587952930587,-0.219528441279583
3.13,-0.0590249968642933,-0.217534057053368
3.132,-0.0696846361488937,-0.214933743519177
3.134,-0.0802027835990741,-0.211733777462504
3.136,-0.0905448920826232,-0.207942463989081
3.138,-0.100676921875183,-0.203570117813468
3.14,-0.110565454701473,-0.198629024414319
3.142,-0.120177808064755,-0.193133413156882
3.144,-0.129482151842807,-0.187099399981364
3.146,-0.138447617109288,-0.180544947457579
3.148,-0.147044402099,-0.173489799805168
3.15,-0.155243879105685,-0.165955420679315
3.152,-0.163018693430614,-0.157964924321741
3.154,-0.170342856320871,-0.149542998176444
3.156,-0.177191840415148,-0.14071582037043
3.158,-0.183542664565767,-0.13151097445913
3.16,-0.189373976534997,-0.1219573557262
3.162,-0.19466612396384,-0.112085072788061
3.164,-0.199401230011503,-0.101925350732843
3.166,-0.203563254763374,-0.0915104204540678
3.168,-0.20713804940572,-0.0808734116790804
3.17,-0.210113413864719,-0.0700482412825197
3.172,-0.212479136007813,-0.0590694951851416
3.174,-0.21422702990509,-0.0479723122884475
3.176,-0.215350965948198,-0.0367922629355529
3.178,-0.21584689342455,-0.0255652274861049
3.18,-0.215712860044225,-0.0143272729027891
3.182,-0.214949011416978,-0.0031145283756125
3.184,-0.213557601476803,0.0080369389043341
3.186,-0.211542977451315,0.0190912486650259
3.188,-0.208911570773179,0.0300128289132868
3.19,-0.205671875530839,0.0407665441103038
3.192,-0.201834413755652,0.0513178094546342
3.194,-0.197411705142646,0.0616327164482181
3.196,-0.192418221101975,0.071678147722418
3.198,-0.186870332637991,0.0814218891217757
3.2,-0.18078625795373,0.0908327459127894
3.202,-0.17418598817686,0.0998806433249646
3.204,-0.167091230505298,0.108536738410627
3.206,-0.159525319269313,0.116773509710239
3.208,-0.151513141007354,0.124564858189276
3.21,-0.143081040753269,0.131886192442878
3.212,-0.134256736632484,0.138714513293428
3.214,-0.125069210964703,0.14502849037683
3.216,-0.115548617301252,0.150808534212207
3.218,-0.105726166875115,0.15603686034995
3.22,-0.0956340222021231,0.16069754509219
3.222,-0.0853051786318944,0.164776581180079
3.224,-0.0747733549176681,0.168261917641527
3.226,-0.0640728659742709,0.171143496692869
3.228,-0.053238508384007,0.173413286387836
3.23,-0.0423054352606923,0.175065296206527
3.232,-0.0313090335524384,0.176095596977542
3.234,-0.0202848004133293,0.176502322225435
3.236,-0.0092682218177052,0.176285671536031
3.238,0.0017053555967622,0.175447897931805
3.24,0.0126008389942145,0.173993290449346
3.242,0.0233835158605635,0.171928153911509
3.244,0.0340191682882042,0.169260776185392
3.246,0.0444741906121988,0.166001387618853
3.248,0.0547157018073004,0.162162117448331
3.25,0.0647116527231941,0.157756942268736
3.252,0.0744309338221963,0.152801625259995
3.254,0.0838434754509125,0.147313652661588
3.256,0.09292034572763,0.141312161989474
3.258,0.101633839106123,0.134817868088615
3.26,0.109957564795979,0.12785297881554
3.262,0.117866526098753,0.120441108845877
3.264,0.125337197348779,0.112607192902541
3.266,0.132347589836499,0.104377388000792
3.268,0.138877314712086,0.0957789743074806
3.27,0.144907640156263,0.0868402575525212
3.272,0.150421540205008,0.0775904640325669
3.274,0.155403734213924,0.0680596346046045
3.276,0.159840724349089,0.0582785141942885
3.278,0.163720826289296,0.0482784508986684
3.28,0.167034186526009,0.0380912775180925
3.282,0.169772801946425,0.0277492094022053
3.284,0.17193052308577,0.0172847308960719
3.286,0.173503059534944,0.0067304858036922
3.288,0.174487973790155,-0.0038808244219712
3.29,0.174884668331628,-0.0145165564248831
3.292,0.17469436841924,-0.0251442219821739
3.294,0.17392010149378,-0.0357315907406418
3.296,0.172566661973079,-0.046246794829773
3.298,0.17064058343396,-0.0566584211968355
3.3,0.168150090471457,-0.0669356060464228
3.302,0.165105061228416,-0.0770481275421151
3.304,0.161516972089909,-0.0869664885810014
3.306,0.15739884513821,-0.096662002003429
3.308,0.152765194965809,-0.106106868729521
3.31,0.147631957045428,-0.115274249843872
3.312,0.142016430957513,-0.124138338020256
3.314,0.135937210077865,-0.132674423476157
3.316,0.129414107728995,-0.140858953520148
3.318,0.122468088601189,-0.148669585902427
3.32,0.115121191450278,-0.15608524612181
3.322,0.107396449881644,-0.163086166140633
3.324,0.0993178162300507,-0.169653931202835
3.326,0.0909100847479896,-0.175771516998771
3.328,0.0821988039655766,-0.181423319162503
3.33,0.0732102034763989,-0.18659518048931
3.332,0.0639711066451574,-0.19127441836119
3.334,0.0545088519636132,-0.195449837770539
3.336,0.0448512129023818,-0.199111749633537
3.338,0.035026314676471,-0.202251980586264
3.34,0.0250625527131706,-0.204863876058534
3.342,0.0149885177113556,-0.206942304022135
3.344,0.00483291275054166,-0.208483652711758
3.346,-0.0053755210884386,-0.209485827618793
3.348,-0.0156080868788624,-0.209948234360195
3.35,-0.0258361995512003,-0.209871775825585
3.352,-0.036031462517975,-0.209258828308095
3.354,-0.0461657435185594,-0.208113226125905
3.356,-0.0562112393145436,-0.206440234842145
3.358,-0.0661405460962873,-0.204246532093388
3.36,-0.0759267287856577,-0.201540174037161
3.362,-0.0855433820915047,-0.198330565430216
3.364,-0.0949646968468996,-0.194628427950818
3.366,-0.104165516668208,-0.190445760477913
3.368,-0.113121404178182,-0.185795807742069
3.37,-0.121808688905878,-0.180693008462073
3.372,-0.130204526798615,-0.175152961782671
3.374,-0.138286951382144,-0.169192380027973
3.376,-0.1460349266669,-0.162829039485797
3.378,-0.153428389049678,-0.15608173213755
3.38,-0.160448298921207,-0.148970218848402
3.382,-0.167076679422388,-0.141515171530719
3.384,-0.173296661051361,-0.133738122845756
3.386,-0.179092516727052,-0.125661410094714
3.388,-0.18444969921398,-0.117308115981829
3.39,-0.189354876415226,-0.108702014130106
3.392,-0.193795957340624,-0.0998675040798427
3.394,-0.19776212695851,-0.0908295568286111
3.396,-0.201243865939371,-0.0816136453006961
3.398,-0.204232979600717,-0.0722456880126966
3.4,-0.206722611162391,-0.0627519773907032
3.402,-0.20870726792209,-0.0531591209237687
3.404,-0.210182827160614,-0.0434939713817164
3.406,-0.211146556986569,-0.0337835599318152
3.408,-0.211597117029995,-0.0240550280813688
3.41,-0.211534571594117,-0.0143355611382691
3.412,-0.210960383675082,-0.0046523167714924
3.414,-0.209877428249618,0.0049676427457016
3.416,-0.208289974265196,0.014497421049444
3.418,-0.206203688694181,0.0239103569883433
3.42,-0.203625621005299,0.0331800954740819
3.422,-0.200564193129532,0.0422806561867498
3.424,-0.197029180735694,0.0511865035556723
3.426,-0.193031695018402,0.0598726157424505
3.428,-0.188584156202099,0.0683145549516459
3.43,-0.183700273564221,0.0764885327244223
3.432,-0.178395007179244,0.0843714794604984
3.434,-0.172684536085471,0.0919411068239932
3.436,-0.166586225574828,0.0991759774782367
3.438,-0.160118581506042,0.106055565434782
3.44,-0.153301207040447,0.112560315891332
3.442,-0.146154756349312,0.11867170866319
3.444,-0.138700880621209,0.124372314512087
3.446,-0.130962177987175,0.12964584967654
3.448,-0.122962129651459,0.134477228106444
3.45,-0.114725045914983,0.13885261550507
3.452,-0.106275997698731,0.142759473980458
3.454,-0.0976407509138748,0.146186604808161
3.456,-0.08884569632556,0.149124194106447
3.458,-0.0799177773370906,0.151563844324708
3.46,-0.0708844174614454,0.153498613445498
3.462,-0.0617734399880106,0.154923043199848
3.464,-0.0526129906896631,0.15583318299541
3.466,-0.0434314552635148,0.156226614256281
3.468,-0.0342573789728813,0.156102466873358
3.47,-0.0251193808482306,0.155461430963431
3.472,-0.0160460701992742,0.154305768335203
3.474,-0.00706595599865,0.152639314160142
3.476,0.0017926344699557,0.150467470845846
3.478,0.010501645895468,0.147797213009512
3.48,0.0190333814648034,0.144637067249264
3.482,0.0273605900306952,0.140997098710627
3.484,0.0354565519515691,0.136888890245894
3.486,0.0432951662330331,0.132325517563906
3.488,0.0508510334003125,0.12732151746804
3.49,0.0580995397004689,0.121892849680261
3.492,0.0650169372532692,0.116056860749249
3.494,0.0715804247090654,0.109832232040816
3.496,0.0777682248221475,0.103238934809089
3.498,0.0835596559375817,0.0962981742470258
3.5,0.0889352050897041,0.0890323270952852
3.502,0.0938765976100191,0.0814648821683897
3.504,0.0983668593427065,0.0736203698577406
3.506,0.102390378765114,0.0655242915110045
3.508,0.105932964511499,0.0572030424877293
3.51,0.108981896597733,0.0486838364813396
3.512,0.111525977144719,0.0399946211477051
3.514,0.113555570698782,0.031163992930935
3.516,0.115062648647027,0.0222211100270137
3.518,0.116040817225517,0.0131956028431727
3.52,0.116485348419284,0.00411748191006676
3.522,0.116393206651881,-0.00498295859008807
3.524,0.11576306136348,-0.0140752332680847
3.526,0.114595303976227,-0.0231287638836438
3.528,0.112892054245573,-0.0321129779131569
3.53,0.110657157996816,-0.0409974029837795
3.532,0.107896189345969,-0.0497517704740896
3.534,0.104616435904354,-0.0583461071850073
3.536,0.100826885366434,-0.0667508405490112
3.538,0.0965382021805543,-0.0749368909162015
3.54,0.0917627051023656,-0.082875765715572
3.542,0.0865143295310154,-0.0905396587798544
3.544,0.0808085947278174,-0.0979015376923396
3.546,0.0746625561181342,-0.104935241414304
3.548,0.068094763376218,-0.111615557971383
3.55,0.0611251979937496,-0.117918320017641
3.552,0.0537752245323388,-0.123820480155924
3.554,0.0460675207607768,-0.129300193153257
3.556,0.038026013707416,-0.134336889950009
3.558,0.0296758074385201,-0.138911351361795
3.56,0.0210431037732972,-0.143005772272932
3.562,0.0121551275763692,-0.14660382822055
3.564,0.0030400397087633,-0.149690732868506
3.566,-0.0062731503125721,-0.152253288869781
3.568,-0.0157546715843175,-0.154279943817388
3.57,-0.0253740852760125,-0.155760827482264
3.572,-0.035100384267157,-0.156687791137913
3.574,-0.0449020828914933,-0.157054447671054
3.576,-0.0547473251984554,-0.156856189277739
3.578,-0.0646039779278878,-0.156090216344487
3.58,-0.0744397389199767,-0.154755553413776
3.582,-0.0842222384984403,-0.152853055433771
3.584,-0.0939191431210083,-0.150385415891644
3.586,-0.103498259115149,-0.14735716443028
3.588,-0.112927637901098,-0.143774661148084
3.59,-0.122175681108106,-0.13964607978154
3.592,-0.13121124152892,-0.134981394870392
3.594,-0.140003726201606,-0.129792349705137
3.596,-0.148523199237332,-0.124092430656752
3.598,-0.156740476183466,-0.117896828288452
