"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,-0.0530229547439172,0.10229693855001
3.002,-0.0449228046502797,0.106046717592936
3.004,-0.0365929848717559,0.109297889705504
3.006,-0.0280632641864799,0.112036937380707
3.008,-0.0193641955158045,0.114252110273848
3.01,-0.0105270072193162,0.115933466443053
3.012,-0.0015834988493209,0.117072913768973
3.014,0.007434069773,0.117664237253709
3.016,0.0164930868105615,0.117703135999084
3.018,0.0255607051742891,0.1171872271653
3.02,0.0346039517160344,0.116116070909863
3.022,0.0435898457004318,0.11449117280771
3.024,0.0524855089538956,0.112315980653749
3.026,0.0612582828949032,0.109595878148102
3.028,0.0698758411702432,0.106338175065368
3.03,0.0783063042610373,0.102552079808963
3.032,0.0865183476706383,0.0982486753515421
3.034,0.0944813162127655,0.0934408858626614
3.036,0.102165327368926,0.0881434331251114
3.038,0.1095413790341,0.0823727951407316
3.04,0.116581450389657,0.076147144827452
3.042,0.123258604132779,0.0694863011085012
3.044,0.129547078591676,0.062411657095255
3.046,0.135422380145921,0.0549461115649826
3.048,0.140861374691439,0.0471139973347711
3.05,0.145842363789598,0.038940992122942
3.052,0.150345168700265,0.0304540426393192
3.054,0.154351203298361,0.0216812690356425
3.056,0.157843537173778,0.0126518716571017
3.058,0.16080696331458,0.0033960340668077
3.06,0.163228050573454,-0.006055180376144
3.062,0.165095197617304,-0.0156699296433756
3.064,0.166398675660265,-0.0254157063078308
3.066,0.167130662980047,-0.0352594439868591
3.068,0.167285285218025,-0.0451676277568094
3.07,0.166858628163155,-0.0551064149019542
3.072,0.16584876632004,-0.0650417447777477
3.074,0.164255770961616,-0.0749394547582071
3.076,0.162081710866655,-0.0847654043256187
3.078,0.159330655842548,-0.094485582126436
3.08,0.156008663233999,-0.104066230873364
3.082,0.152123762617846,-0.113473961001917
3.084,0.147685936984708,-0.122675865119297
3.086,0.142707087808014,-0.131639632595935
3.088,0.13720099860096,-0.140333661298653
3.09,0.131183299661912,-0.14872716966491
3.092,0.124671410309074,-0.156790300766994
3.094,0.117684488204923,-0.164494224925693
3.096,0.110243366171169,-0.171811249762598
3.098,0.102370485294923,-0.17871490636024
3.1,0.0940898240267317,-0.185180049989634
3.102,0.0854268137713902,-0.191182946214182
3.104,0.0764082623720572,-0.196701354269672
3.106,0.0670622645086167,-0.201714611919544
3.108,0.0574181002110627,-0.206203698084723
3.11,0.0475061520286766,-0.210151316247803
3.112,0.0373577912158038,-0.213541944530581
3.114,0.0270052776751603,-0.216361901744675
3.116,0.0164816552795532,-0.218599390714595
3.118,0.0058206333427476,-0.220244548672707
3.12,-0.0049435190894157,-0.221289479125664
3.122,-0.0157760965367937,-0.221728290891752
3.124,-0.026642067062724,-0.221557113608709
3.126,-0.0375061965207172,-0.220774120411494
3.128,-0.0483331652730587,-0.219379537179584
3.13,-0.0590876915642933,-0.217375647053368
3.132,-0.0697346459188937,-0.214766782219177
3.134,-0.0802391794790741,-0.211559319162504
3.136,-0.0905668345926232,-0.207761656089081
3.138,-0.100683670535183,-0.203384192213468
3.14,-0.110556375641473,-0.198439289214319
3.142,-0.120152382124755,-0.192941243856882
3.144,-0.129439980832807,-0.186906228681364
3.146,-0.138388429609288,-0.180352252257579
3.148,-0.146968058099,-0.173299093005168
3.15,-0.155150374205685,-0.165768238779315
3.152,-0.162908160730614,-0.157782813221741
3.154,-0.170215569020871,-0.149367502876444
3.156,-0.177048211715148,-0.14054847167043
3.158,-0.183383246565767,-0.13135327565913
3.16,-0.189199458834997,-0.1218107703762
3.162,-0.19447733116384,-0.111951012978061
3.164,-0.199199116411503,-0.101805163282843
3.166,-0.203348899763374,-0.0914053756440678
3.168,-0.20691265120572,-0.0807846923090804
3.17,-0.209878281964719,-0.0699769309225197
3.172,-0.212235682007813,-0.0590165676751416
3.174,-0.21397675940509,-0.0479386234884475
3.176,-0.215095467348198,-0.0367785404055529
3.178,-0.21558782712455,-0.0255720637661049
3.18,-0.215451946144225,-0.0143551178147891
3.182,-0.214688018116978,-0.0031636840156125
3.184,-0.213298331876803,0.0079663231843341
3.186,-0.211287255051315,0.0189991799850259
3.188,-0.208661227073179,0.0298994730932868
3.19,-0.205428734830839,0.0406322265603038
3.192,-0.201600280055652,0.0511630151146342
3.194,-0.197188347942646,0.0614580881082181
3.196,-0.192207359801975,0.071484483962418
3.198,-0.186673624837991,0.0812101398117757
3.2,-0.18060528415373,0.0906040070127894
3.202,-0.17402224027686,0.0996361509249646
3.204,-0.166946098205298,0.108277860410627
3.206,-0.159400079169313,0.116501737810239
3.208,-0.151408944807354,0.124281797589276
3.21,-0.142998905353269,0.131593551342878
3.212,-0.134197535632484,0.138414091693428
3.214,-0.125033665064703,0.14472216637683
3.216,-0.115537288201252,0.150498251912207
3.218,-0.105739451445115,0.15572461554995
3.22,-0.0956721476421231,0.16038537089219
3.222,-0.0853681989018944,0.164466533580079
3.224,-0.0748611490276681,0.167956059741527
3.226,-0.0641851371342709,0.170843884392869
3.228,-0.053374784344007,0.173121951887836
3.23,-0.0424650704206923,0.174784233806527
3.232,-0.0314912127624384,0.175826747377542
3.234,-0.0204885436813293,0.176247558725435
3.236,-0.0094923888217052,0.176046784336031
3.238,0.0014620561267622,0.175226581031805
3.24,0.0123398424542145,0.173791129449346
3.242,0.0231063911905635,0.171746612311509
3.244,0.0337276082682042,0.169101184485392
3.246,0.0441699994021988,0.165864933518853
3.248,0.0544007829073004,0.162049834448331
3.25,0.0643879955031941,0.157669703768736
3.252,0.0741005996421963,0.152740135359995
3.254,0.0835085824409125,0.147278441961588
3.256,0.09258305482763,0.141303581989474
3.258,0.101296337506123,0.134836088188615
3.26,0.109622051195979,0.12789798421554
3.262,0.117535194098753,0.120512700645877
3.264,0.125012220348779,0.112704988802541
3.266,0.132031105436499,0.104500824000792
3.268,0.138571408612086,0.0959273084074806
3.27,0.144614332156263,0.0870125755825212
3.272,0.150142768905008,0.0777856843125669
3.274,0.155141343413924,0.0682765165846045
3.276,0.159596450649089,0.0585156665642885
3.278,0.163496285289296,0.0485343410986684
3.28,0.166830862826009,0.0383642426580925
3.282,0.169592037246425,0.0280374674522053
3.284,0.17177350758577,0.0175863930760719
3.286,0.173370823634944,0.0070435707936922
3.288,0.174381379890155,-0.0035583786219712
3.29,0.174804406731628,-0.0141868763128831
3.292,0.17464095111924,-0.0248094849831739
3.294,0.17389385849378,-0.0353940101906418
3.296,0.172567739773079,-0.045908603859773
3.298,0.17066894453396,-0.0563218586268355
3.3,0.168205512371457,-0.0666029002964228
3.302,0.165187139128416,-0.0767214815221151
3.304,0.161625121489909,-0.0866480654310014
3.306,0.15753230653821,-0.096353910143429
3.308,0.152923036965809,-0.105811147229521
3.31,0.147813085345428,-0.114992855413872
3.312,0.142219594257513,-0.123873131820256
3.314,0.136161008377865,-0.132427158976158
3.316,0.129657002428995,-0.140631264120148
3.318,0.122728412101189,-0.148462975502427
3.32,0.115397158550278,-0.15590107812181
3.322,0.107686168981644,-0.162925655140633
3.324,0.0996193026300507,-0.169518134602835
3.326,0.0912212723979896,-0.175661328498771
3.328,0.0825175595355766,-0.181339462162503
3.33,0.0735343397563989,-0.18653820418931
3.332,0.0642983968251574,-0.19124469296119
3.334,0.0548370438136132,-0.195447553070539
3.336,0.0451780430723818,-0.199136912433537
3.338,0.035349523106471,-0.202304414786264
3.34,0.0253798974231706,-0.204943223458534
3.342,0.0152977886613556,-0.207048025622135
3.344,0.00513194621054166,-0.208615031811758
3.346,-0.0050888289684386,-0.209641974018793
3.348,-0.0153357661268624,-0.210128089060195
3.35,-0.0255801935412003,-0.210074116725585
3.352,-0.035793615577975,-0.209482276708095
3.354,-0.0459477881785594,-0.208356255725905
3.356,-0.0560147853545436,-0.206701179642145
3.358,-0.0659670692162873,-0.204523596093388
3.36,-0.0757775607656577,-0.201831442037161
3.362,-0.0854197016115047,-0.198634013530216
3.364,-0.0948675202168996,-0.194941936250818
3.366,-0.104095691008208,-0.190767123177913
3.368,-0.113079599978182,-0.186122749242069
3.37,-0.121795394605878,-0.181023195462073
3.372,-0.130220043798615,-0.175484017282671
3.374,-0.138331390182144,-0.169521897727973
3.376,-0.1461082038669,-0.163154598785797
3.378,-0.153530226149678,-0.15640091313755
3.38,-0.160578221621207,-0.149280617148402
3.382,-0.167234017522388,-0.141814413730719
3.384,-0.173480551451361,-0.134023882615756
3.386,-0.179301904927052,-0.125931421454714
3.388,-0.18468334401398,-0.117560190901829
3.39,-0.189611355115226,-0.108934055300106
3.392,-0.194073671240624,-0.100077520919843
3.394,-0.19805931005851,-0.0910156793686111
3.396,-0.201558592439371,-0.0817741376406961
3.398,-0.204563173900717,-0.0723789615626966
3.4,-0.207066058462391,-0.0628566038807032
3.402,-0.20906162652209,-0.0532338438937687
3.404,-0.210545640560614,-0.0435377173367164
3.406,-0.211515267386569,-0.0337954483738152
3.408,-0.211969080329995,-0.0240343806413688
3.41,-0.211907072794117,-0.0142819102582691
3.412,-0.211330652975082,-0.0045654117514924
3.414,-0.210242657649618,0.0050878286157016
3.416,-0.208647334565196,0.014650686869444
3.418,-0.206550348394181,0.0240962707583433
3.42,-0.203958763705299,0.0333979920540819
3.422,-0.200881036429533,0.0425296364867498
3.424,-0.197326995535694,0.0514654356656723
3.426,-0.193307823618402,0.0601801377624505
3.428,-0.188836031502099,0.0686490784516459
3.43,-0.183925437664221,0.0768482474244223
3.432,-0.178591130979244,0.0847543620604984
3.434,-0.172849435985471,0.0923449272239932
3.436,-0.166717881374828,0.0995983101782367
3.438,-0.160215154306042,0.106493800834782
3.44,-0.153361054640447,0.113011672391332
3.442,-0.146176449469312,0.11913324746319
3.444,-0.138683216351209,0.124840955912087
3.446,-0.130904194017175,0.13011838837654
3.448,-0.122863115291459,0.134950353306444
3.45,-0.114584554574983,0.13932292860507
3.452,-0.106093854778731,0.143223509580458
3.454,-0.0974170616138748,0.146640852308161
3.456,-0.08858085278556,0.149565119206447
3.458,-0.0796124627070906,0.151987912324708
3.46,-0.0705396084114454,0.153902312445498
3.462,-0.0613904077120106,0.155302907399848
3.464,-0.0521932995046631,0.15618581809541
3.466,-0.0429769605535148,0.156548720356281
3.468,-0.0337702208628813,0.156390863773358
3.47,-0.0246019790682306,0.155713081763431
3.472,-0.0155011125992742,0.154517803535203
3.474,-0.00649639023865,0.152809054060142
3.476,0.0023836157099557,0.150592449845846
3.478,0.011110618775468,0.147875199409511
3.48,0.0196567088948034,0.144666086049264
3.482,0.0279944389506952,0.140975449210627
3.484,0.0360969147515691,0.136815166245894
3.486,0.0439378826330331,0.132198623463906
3.488,0.0514918131003125,0.12714068286804
3.49,0.0587339891004689,0.121657643980261
3.492,0.0656405846532692,0.115767203349249
3.494,0.0721887487090654,0.109488403840816
3.496,0.0783566822221475,0.102841583609089
3.498,0.0841237116375817,0.0958483209470258
3.5,0.0894703621897041,0.0885313684352853
3.502,0.0943784283100191,0.0809145907183897
3.504,0.0988310353427065,0.0730228921577406
3.506,0.102812703165114,0.0648821435610045
3.508,0.106309402211499,0.0565191023677293
3.51,0.109308605197733,0.0479613345613396
3.512,0.111799336944719,0.0392371277177051
3.514,0.113772214998782,0.030375403300935
