"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0180257971710828,-0.0499051478359902
3.002,0.0172899923357203,-0.0501481558710642
3.004,0.0165597570632441,-0.0503761650854961
3.006,0.0158352157255201,-0.050590099855293
3.008,0.0151164209421955,-0.0507908632761519
3.01,0.0144033562116838,-0.0509793323839466
3.012,0.0136959385966791,-0.0511563536230266
3.014,0.01299402165,-0.051322738845291
3.016,0.0122973983492615,-0.0514792609409164
3.018,0.0116058050962891,-0.0516266505837004
3.02,0.0109189248860344,-0.0517655920941374
3.022,0.0102363913544318,-0.0518967204392903
3.024,0.0095577928488956,-0.0520206183372514
3.026,0.0088826766009032,-0.0521378134018983
3.028,0.0082105531572432,-0.052248775501632
3.03,0.00754090075603726,-0.0523539149750373
3.032,0.00687317029963832,-0.0524535806234579
3.034,0.00620678971976545,-0.0525480580593386
3.036,0.00554116891332631,-0.0526375688248886
3.038,0.00487570465570029,-0.0527222692022684
3.04,0.00420978540375731,-0.052802249861548
3.042,0.00354279632397932,-0.0528775354724988
3.044,0.00287412404467553,-0.052948084886745
3.046,0.00220316162492112,-0.0530137915830174
3.048,0.00152931351343905,-0.0530744841882289
3.05,0.00085200002759811,-0.053129928012058
3.052,0.0001706621982654,-0.0531798257466808
3.054,-0.00051523346363891,-0.0532238196603575
3.056,-0.00120619095022201,-0.0532614933018983
3.058,-0.00190268001842027,-0.0532923739181923
3.06,-0.00260513234954598,-0.053315934821144
3.062,-0.00331393731969606,-0.0533315982983756
3.064,-0.00402943830173453,-0.0533387386088308
3.066,-0.00475192929195293,-0.0533366854568591
3.068,-0.0054816512319751,-0.0533247270998094
3.07,-0.0062187892188446,-0.0533021146589542
3.072,-0.0069634692119602,-0.0532680657327477
3.074,-0.0077157558863839,-0.0532217684262071
3.076,-0.0084756500773451,-0.0531623859426187
3.078,-0.0092430868004517,-0.053089060815436
3.08,-0.0100179333110008,-0.0530009196233636
3.082,-0.0107999879491543,-0.0528970776909168
3.084,-0.0115889787932924,-0.0527766435392972
3.086,-0.0123845628409855,-0.0526387242359353
3.088,-0.0131863256610398,-0.0524824300366529
3.09,-0.0139937808390882,-0.0523068793374097
3.092,-0.0148063704379258,-0.0521112036773943
3.094,-0.0156234653180773,-0.0518945526591628
3.096,-0.0164443657638313,-0.0516560989461976
3.098,-0.0172683027830768,-0.0513950432229396
3.1,-0.0180944392512683,-0.0511106186936342
3.102,-0.0189218718126098,-0.0508020963081824
3.104,-0.0197496328859428,-0.0504687888246723
3.106,-0.0205766925113833,-0.0501100559345444
3.108,-0.0214019617549373,-0.0497253080967226
3.11,-0.0222242947973234,-0.0493140110678034
3.112,-0.0230424924471962,-0.0488756899125811
3.114,-0.0238553054868397,-0.0484099328126747
3.116,-0.0246614382064468,-0.0479163946145947
3.118,-0.0254595524312524,-0.0473948004267067
3.12,-0.0262482714384157,-0.0468449486476636
3.122,-0.0270261844117937,-0.0462667141447521
3.124,-0.027791850720724,-0.0456600506077088
3.126,-0.0285438047027172,-0.045024993225494
3.128,-0.0292805606020587,-0.0443616607425835
3.13,-0.0300006171692933,-0.0436702572313677
3.132,-0.0307024630578937,-0.0429510735681768
3.134,-0.0313845818140741,-0.0422044890545036
3.136,-0.0320454570916232,-0.0414309717600812
3.138,-0.0326835781941834,-0.0406310797234679
3.14,-0.0332974453184729,-0.0398054606963194
3.142,-0.0338855746288553,-0.0389548525938821
3.144,-0.0344465043154071,-0.0380800828293642
3.146,-0.0349787994179883,-0.0371820677705791
3.148,-0.0354810574355999,-0.0362618117211681
3.15,-0.0359519134867854,-0.0353204056823145
3.152,-0.0363900458826145,-0.0343590255007411
3.154,-0.0367941808138707,-0.0333789303674438
3.156,-0.0371630977211476,-0.0323814601054304
3.158,-0.0374956341247668,-0.03136803284213
3.16,-0.037790690579997,-0.0303401423001999
3.162,-0.0380472349898402,-0.0292993546330609
3.164,-0.0382643073745028,-0.0282473047318429
3.166,-0.0384410240453744,-0.0271856930570678
3.168,-0.0385765815907201,-0.0261162815460804
3.17,-0.0386702609627191,-0.0250408893585197
3.172,-0.0387214309918129,-0.0239613885501416
3.174,-0.0387295517340899,-0.0228796998944475
3.176,-0.0386941777551982,-0.0217977874735529
3.178,-0.03861496090455,-0.0207176541761049
3.18,-0.0384916530882246,-0.0196413363177891
3.182,-0.0383241083509782,-0.0185708986216125
3.184,-0.0381122852648031,-0.0175084286006659
3.186,-0.0378562483273154,-0.0164560308269741
3.188,-0.0375561696361787,-0.0154158217767132
3.19,-0.037212330056839,-0.0143899235776962
3.192,-0.0368251197896522,-0.0133804585233658
3.194,-0.0363950391636462,-0.0123895430847819
3.196,-0.0359226987219751,-0.011419281778882
3.198,-0.0354088189739913,-0.0104717617062243
3.2,-0.0348542302007301,-0.00954904594027057
3.202,-0.0342598712668604,-0.00865316838083536
3.204,-0.0336267890512983,-0.00778612710637328
3.206,-0.032956136545313,-0.00694987901776105
3.208,-0.032249171354354,-0.00614633371572425
3.21,-0.0315072534802692,-0.00537734800412245
3.212,-0.0307318433404844,-0.00464472015057197
3.214,-0.0299244983657026,-0.00395018437616999
3.216,-0.0290868707532517,-0.00329540542979309
3.218,-0.0282207038031152,-0.00268197355105032
3.22,-0.0273278284011231,-0.0021113991338099
3.222,-0.0264101591958944,-0.00158510800092053
3.224,-0.0254696904766681,-0.00110443660047295
3.226,-0.0245084918142709,-0.00067062751713125
3.228,-0.023528703298007,-0.00028482515816433
3.23,-0.0225325308236923,5.192819752737E-05
3.232,-0.0215222408114384,0.0003386962745416
3.234,-0.0205001551633293,0.00057465233443481
3.236,-0.0194686452297052,0.00075908264203102
3.238,-0.0184301266332378,0.000891389076804939
3.24,-0.0173870527937855,0.00097109202934632
3.242,-0.0163419094254365,0.00099783285050856
3.244,-0.0152972077697958,0.00097137594339213
3.246,-0.0142554787188012,0.00089161032285326
3.248,-0.0132192656906996,0.00075855094833125
3.25,-0.0121911189207059,0.000572340422736421
3.252,-0.0111735878979037,0.0003332488049946
3.254,-0.0101692154678775,4.16746155883305E-05
3.256,-0.00918053028246998,-0.000301855322526
3.258,-0.00821004064917708,-0.00069668645638547
3.26,-0.00726022716902096,-0.00114203692545988
3.262,-0.00633353653924724,-0.00163699903012325
3.264,-0.00543237422922134,-0.00218054036945921
3.266,-0.00455909817950115,-0.00277150585420808
3.268,-0.00371601198291421,-0.0034086202825194
3.27,-0.00290535840773685,-0.00409049022347882
3.272,-0.00212931292499236,-0.0048156077604331
3.274,-0.00138997770407609,-0.0055823531853955
3.276,-0.00068937522291062,-0.0063889993307115
3.278,-2.94424427043499E-05,-0.0072337151293316
3.28,0.00058797485800886,-0.0081145703649075
3.282,0.00116112753642545,-0.0090295401587947
3.284,0.00168836845477031,-0.0099765102289281
3.286,0.00216815711594414,-0.0109532821493078
3.288,0.00259906491615529,-0.0119575791699712
3.29,0.00297977883962814,-0.0129870518968831
3.292,0.00330910591424042,-0.0140392848401739
3.294,0.00358597690277976,-0.0151118027646418
3.296,0.00380944920707878,-0.016202077293773
3.298,0.00397871057396029,-0.0173075339168355
3.3,0.004093080829457,-0.0184255591544228
3.302,0.0041520146814163,-0.0195535076161151
3.304,0.00415510304690869,-0.0206887096141014
3.306,0.00410207460420979,-0.021828478494329
3.308,0.00399279656480936,-0.0229701185516918
3.31,0.00382727515142783,-0.024110932168972
3.312,0.00360565537251283,-0.0252482280946563
3.314,0.00332822103786519,-0.0263793290371575
3.316,0.00299539313499494,-0.0275015789111482
3.318,0.00260772906718886,-0.0286123511584267
3.32,0.00216592063427782,-0.0297090559328097
3.322,0.00167079131964434,-0.0307891475716325
3.324,0.00112329404905066,-0.0318501321068354
3.326,0.00052450788198956,-0.0328895744107713
3.328,-0.00012436598442341,-0.0339051050475034
3.33,-0.00082200766860106,-0.0348944271933103
3.332,-0.0015669837008426,-0.0358553231771901
3.334,-0.00235775142538683,-0.0367856605385387
3.336,-0.00319266432661817,-0.0376833981465371
3.338,-0.00406997803052905,-0.0385465918482642
3.34,-0.00498785569182935,-0.039373399483534
3.342,-0.00594437462464441,-0.040162086069135
3.344,-0.00693753289145834,-0.0409110280417576
3.346,-0.0079652558794386,-0.0416187175157925
3.348,-0.0090254036788624,-0.042283765892195
3.35,-0.0101157781662003,-0.0429049068515847
3.352,-0.011234130678975,-0.0434809992440951
3.354,-0.0123781694395594,-0.0440110292489051
3.356,-0.0135455674766436,-0.0444941120661454
3.358,-0.0147339702383873,-0.0449294931643879
3.36,-0.0159410037804577,-0.0453165489691611
3.362,-0.0171642824500047,-0.0456547871312161
3.364,-0.0184014167260996,-0.0459438461368183
3.366,-0.0196500213630083,-0.046183494185913
3.368,-0.020907722524182,-0.0463736285810688
3.37,-0.022172165898878,-0.0465142731690731
3.372,-0.0234410237626154,-0.0466055762706705
3.374,-0.0247120022761443,-0.0466478079289735
3.376,-0.0259828486388998,-0.046641356567797
3.378,-0.0272513574506776,-0.0465867252175503
3.38,-0.0285153774312067,-0.0464845276374022
3.382,-0.0297728170003884,-0.0463354832557186
3.384,-0.031021650490361,-0.0461404132297557
3.386,-0.0322599232530519,-0.0459002340557139
3.388,-0.0334857562459797,-0.0456159529328292
3.39,-0.0346973510742256,-0.0452886617041057
3.392,-0.0358929934676238,-0.0449195305238427
3.394,-0.0370710571625102,-0.0445098022226111
3.396,-0.0382300068353711,-0.0440607852906961
3.398,-0.0393684009117167,-0.0435738477906966
3.4,-0.0404848933113914,-0.0430504106067032
3.402,-0.04157823559909,-0.0424919407237687
3.404,-0.0426472776336139,-0.0418999446657164
3.406,-0.043690968750569,-0.0412759618668152
3.408,-0.0447083575649949,-0.0406215579833688
3.41,-0.0456985920591168,-0.0399383186130691
3.412,-0.0466609187060817,-0.0392278426997924
3.414,-0.0475946816466176,-0.0384917366371984
3.416,-0.0484993208651956,-0.037731607996956
3.418,-0.0493743707991809,-0.0369490599710567
3.42,-0.0502194576212985,-0.0361456857983181
3.422,-0.0510342971915325,-0.0353230633972502
3.424,-0.0518186920506944,-0.0344827506373277
3.426,-0.0525725281584016,-0.0336262802195495
3.428,-0.0532957719000987,-0.0327551557283541
3.43,-0.0539884662932206,-0.0318708475155777
3.432,-0.054650727770244,-0.0309747887195016
3.434,-0.0552827413454712,-0.0300683722290068
3.436,-0.0558847577388277,-0.0291529472087633
3.438,-0.0564570887980424,-0.028229816771218
3.44,-0.0570001032134467,-0.0273002354176684
3.442,-0.057514222759312,-0.0263654069318104
3.444,-0.0579999178052094,-0.0254264825249129
3.446,-0.058457703247175,-0.0244845597034596
3.448,-0.0588881344084594,-0.0235406806605557
3.45,-0.0592918029599826,-0.0225958318349303
3.452,-0.0596693327377308,-0.0216509427785425
3.454,-0.0600213759218748,-0.0207068862228393
3.456,-0.06034860919356,-0.0197644776995529
3.458,-0.0606517298500906,-0.0188244757912917
3.46,-0.0609314523174454,-0.0178875821645025
3.462,-0.0611885044410106,-0.0169544422281525
3.464,-0.0614236242130631,-0.01602564568959
3.466,-0.0616375564668148,-0.0151017275317194
3.468,-0.0618310496876813,-0.0141831685986421
3.47,-0.0620048531076306,-0.013270397128569
3.472,-0.0621597135383742,-0.012363789526797
3.474,-0.06229637298495,-0.011463672122858
3.476,-0.0624155658800443,-0.0105703221981542
3.478,-0.062518016383532,-0.0096839697564885
3.48,-0.0626044363901966,-0.0088047987837356
3.482,-0.0626755229063048,-0.0079329494333733
3.484,-0.0627319563194309,-0.0070685192881061
3.486,-0.0627743980539669,-0.0062115653010942
3.488,-0.0628034887946875,-0.00536210579095999
3.49,-0.0628198469575311,-0.00452012209873935
3.492,-0.0628240665197308,-0.00368556081875113
3.494,-0.0628167160289346,-0.00285833548018399
3.496,-0.0627983367708525,-0.00203832901491117
3.498,-0.0627694417294183,-0.00122539540197422
3.5,-0.0627305141242959,-0.000419362121714756
3.502,-0.0626820064229809,0.00037996787638971
3.504,-0.0626243394692935,0.00117281379074063
3.506,-0.0625579013798864,0.00195941499600446
3.508,-0.0624830468835012,0.00274002852972933
3.51,-0.0624000967302667,0.00351492694733964
3.512,-0.0623093370832812,0.00428439594470514
3.514,-0.0622110190702179,0.00504873220693498
3.516,-0.0621053585749732,0.00580824086301367
3.518,-0.0619925359664828,0.00656323315867274
3.52,-0.0618726961887159,0.00731402432596676
3.522,-0.0617459487371186,0.00806093097061193
3.524,-0.0616123677155204,0.00880426895831531
3.526,-0.0614719925657733,0.00954435096145615
3.528,-0.0613248281144267,0.0102814841279431
3.53,-0.0611708453761841,0.0110159678171205
3.532,-0.0610099823120308,0.0117480915374104
3.534,-0.0608421445006464,0.0124781324679927
3.536,-0.0606672061295662,0.0132063535159888
3.538,-0.0604850114024457,0.0139330009277985
3.54,-0.0602953753996344,0.014658302750428
3.542,-0.0600980856489846,0.0153824664581456
3.544,-0.0598929033181826,0.0161056770946604
3.546,-0.0596795652778658,0.0168280956456955
3.548,-0.059457785296782,0.0175498572726172
3.55,-0.0592272562822504,0.0182710696223591
3.552,-0.0589876516666612,0.0189918115150755
3.554,-0.0587386279122232,0.0197121313157431
3.556,-0.058479826329584,0.0204320460079909
3.558,-0.0582108750294799,0.021151539749205
3.56,-0.0579313919157028,0.0218705629880683
3.562,-0.0576409859016308,0.0225890317624498
3.564,-0.0573392601472367,0.0233068267564936
3.566,-0.0570258141905721,0.0240237929382192
3.568,-0.0567002459523175,0.0247397387526118
3.57,-0.0563621549340125,0.0254544363967364
3.572,-0.056011144253157,0.0261676214750872
3.574,-0.0556468230725933,0.0268789927539463
3.576,-0.0552688093962554,0.0275882128152607
3.578,-0.0548767323010878,0.0282949081655132
3.58,-0.0544702345933767,0.0289986696802238
3.582,-0.0540489749411403,0.0296990535342292
3.584,-0.0536126305784083,0.0303955816673561
3.586,-0.0531608995565495,0.0310877430847196
3.588,-0.0526935028497981,0.0317749946589164
3.59,-0.0522101867801057,0.03245676263446
3.592,-0.0517107252309198,0.0331324437476075
3.594,-0.0511949212226063,0.0338014070678633
3.596,-0.0506626095283323,0.0344629952022478
3.598,-0.0501136580384656,0.0351165265345481
3.6,-0.0495479696686453,0.0357612968315275
3.602,-0.0489654841559014,0.0363965811313895
3.604,-0.0483661793546575,0.0370216358692794
3.606,-0.0477500728254902,0.0376357013460938
3.608,-0.0471172229396489,0.0382380036213385
3.61,-0.0464677300229947,0.038827756747262
3.612,-0.0458017375483613,0.0394041658118479
3.614,-0.0451194328499714,0.0399664284118602
3.616,-0.0444210479089367,0.0405137379685267
3.618,-0.043706859746166,0.0410452858048744
3.62,-0.0429771910451063,0.0415602639211277
3.622,-0.0422324105831147,0.0420578674223705
3.624,-0.0414729327948491,0.0425372971684958
3.626,-0.0406992183861373,0.0429977625086502
