"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0146503287320828,-0.0831234542099902
3.002,0.0119707099597203,-0.0830954788070642
3.004,0.0093172690882441,-0.0829390009744961
3.006,0.0066967366835201,-0.082656454579293
3.008,0.0041156646041955,-0.0822506356161519
3.01,0.0015804058306838,-0.0817246887869466
3.012,-0.0009029042093209,-0.0810820952210266
3.014,-0.003328365117,-0.080326657326291
3.016,-0.0056903299727385,-0.0794624855409164
3.018,-0.0079834196227109,-0.0784939796147004
3.02,-0.0102025392139656,-0.0774258141001374
3.022,-0.0123428925095682,-0.0762629193422903
3.024,-0.0143999937361044,-0.0750104633062514
3.026,-0.0163696801450968,-0.0736738326918983
3.028,-0.0182481232397568,-0.072258613084632
3.03,-0.0200318378889627,-0.0707705685810373
3.032,-0.0217176903393617,-0.0692156212384579
3.034,-0.0233029065972345,-0.0675998299573386
3.036,-0.0247850766910737,-0.0659293689108886
3.038,-0.0261621606958997,-0.0642105063802684
3.04,-0.0274324907803427,-0.062449582078548
3.042,-0.0285947749672207,-0.0606529858654988
3.044,-0.0296480963583245,-0.058827135919445
3.046,-0.0305919131340789,-0.0569784562570174
3.048,-0.031426057758561,-0.0551133553402289
3.05,-0.0321507318004019,-0.053238204488058
3.052,-0.0327665037797346,-0.0513593168016808
3.054,-0.0332743031816389,-0.0494829254243575
3.056,-0.033675412626222,-0.0476151643228983
3.058,-0.0339714614754203,-0.0457620469731923
3.06,-0.034164415946546,-0.043929447726144
3.062,-0.0342565696326961,-0.0421230825533756
3.064,-0.0342505320597345,-0.0403484908478308
3.066,-0.0341492161099529,-0.0386110185168591
3.068,-0.0339558264719751,-0.0369158004268094
3.07,-0.0336738431068446,-0.0352677455579542
3.072,-0.0333070088199602,-0.0336715212587477
3.074,-0.0328593127183839,-0.0321315398182071
3.076,-0.0323349727533451,-0.0306519451656187
3.078,-0.0317384204574517,-0.029236601466436
3.08,-0.0310742816660008,-0.0278890816133636
3.082,-0.0303473590721543,-0.0266126577319168
3.084,-0.0295626134252924,-0.0254102924392972
3.086,-0.0287251440079855,-0.0242846314559353
3.088,-0.0278401690490398,-0.0232379975986529
3.09,-0.0269130066580882,-0.0222723844849097
3.092,-0.0259490540799258,-0.0213894535369943
3.094,-0.0249537678490773,-0.0205905314656928
3.096,-0.0239326435134313,-0.0198766076625976
3.098,-0.0228911954302768,-0.0192483348002396
3.1,-0.0218349370472683,-0.0187060286896342
3.102,-0.0207693598546098,-0.0182496716041824
3.104,-0.0196999154519428,-0.0178789143296723
3.106,-0.0186319941013833,-0.0175930803895444
3.108,-0.0175709071109373,-0.0173911734447226
3.11,-0.0165218675913234,-0.0172718806778034
3.112,-0.0154899722941962,-0.0172335834405811
3.114,-0.0144801838548397,-0.0172743641946747
3.116,-0.0134973143004468,-0.0173920163445947
3.118,-0.0125460077672524,-0.0175840555327067
3.12,-0.0116307262094157,-0.0178477307456636
3.122,-0.0107557325267937,-0.0181800363817521
3.124,-0.009925078620724,-0.0185777261387088
3.126,-0.0091425909867172,-0.019037326491494
3.128,-0.0084118580230587,-0.0195551514395835
3.13,-0.0077362195642933,-0.0201273180433677
3.132,-0.0071187563288937,-0.0207497620691768
3.134,-0.0065622795890741,-0.0214182548525036
3.136,-0.0060693239626232,-0.0221284194890812
3.138,-0.0056421386451834,-0.0228757487734679
3.14,-0.0052826826914729,-0.0236556230173194
3.142,-0.0049926183347553,-0.0244633266798821
3.144,-0.0047733076128071,-0.0252940685533642
3.146,-0.0046258088292883,-0.0261429983085791
3.148,-0.0045508748589999,-0.0270052255701681
3.15,-0.0045489522156854,-0.0278758384823145
3.152,-0.0046201808906145,-0.0287499220658411
3.154,-0.0047643957208707,-0.0296225757344438
3.156,-0.0049811291751476,-0.0304889321714304
3.158,-0.0052696137057668,-0.03134417477013
3.16,-0.005628786604997,-0.0321835557101999
3.162,-0.0060572955038402,-0.0330024126990609
3.164,-0.0065535045615028,-0.0337961855728429
3.166,-0.0071155010333744,-0.0345604335940678
3.168,-0.0077411045857201,-0.0352908504290804
3.17,-0.0084278752847191,-0.0359832800025197
3.172,-0.0091731239878129,-0.0366337311451416
3.174,-0.0099739224550899,-0.0372383916584475
3.176,-0.0108271155581982,-0.0377936418155529
3.178,-0.01172933243455,-0.0382960668991049
3.18,-0.0126769999342246,-0.0387424700567891
3.182,-0.0136663557069782,-0.0391298819456125
3.184,-0.0146934620168031,-0.0394555729856659
3.186,-0.0157542207413154,-0.0397170616049741
3.188,-0.0168443875531787,-0.0399121233867132
3.19,-0.017959588100839,-0.0400387998296962
3.192,-0.0190953333456522,-0.0400954035053658
3.194,-0.0202470355006462,-0.0400805261217819
3.196,-0.0214100250919751,-0.039993042697582
3.198,-0.0225795665609913,-0.0398321156282243
3.2,-0.0237508762787301,-0.0395971994772106
3.202,-0.0249191385328604,-0.0392880409950354
3.204,-0.0260795229382983,-0.0389046836393733
3.206,-0.027227201752013,-0.0384474653197611
3.208,-0.028357366752354,-0.0379170199807242
3.21,-0.0294652459662692,-0.0373142753571225
3.212,-0.0305461211684844,-0.036640451666572
3.214,-0.0315953449027026,-0.03589705712317
3.216,-0.0326083562722517,-0.0350858857177931
3.218,-0.0335806982551152,-0.0342090108300503
3.22,-0.0345080333921231,-0.0332687801578099
3.222,-0.0353861599618944,-0.0322678090699205
3.224,-0.0362110275776681,-0.031208972898473
3.226,-0.0369787521842709,-0.0300953987971313
3.228,-0.037685631164007,-0.0289304564621643
3.23,-0.0383281571006923,-0.0277177479134726
3.232,-0.0389030323324384,-0.0264610972424584
3.234,-0.0394071816143293,-0.0251645386145652
3.236,-0.0398377654927052,-0.023832304383969
3.238,-0.0401921923032378,-0.0224688114481951
3.24,-0.0404681286657855,-0.0210786474906537
3.242,-0.0406635116894365,-0.0196665573284914
3.244,-0.0407765582717958,-0.0182374270246079
3.246,-0.0408057747678012,-0.0167962681711467
3.248,-0.0407499646226996,-0.0153482013556688
3.25,-0.0406082374868059,-0.0138984401102636
3.252,-0.0403800143078037,-0.0124522720930054
3.254,-0.0400650342490875,-0.0110150418384117
3.256,-0.03966335937237,-0.009592132054526
3.258,-0.0391753777038771,-0.00818894481038547
3.26,-0.038601807194021,-0.00681088189655988
3.262,-0.0379436957612472,-0.00546332562112325
3.264,-0.0372024236112213,-0.00415161836745921
3.266,-0.0363797014035011,-0.00288104350820808
3.268,-0.0354775682779142,-0.0016568039085194
3.27,-0.0344983897537368,-0.000484002319478819
3.272,-0.0334448528349924,0.000632378962566901
3.274,-0.0323199601360761,0.0016874983246045
3.276,-0.0311270229409106,0.0026766750342885
3.278,-0.0298696541407043,0.0035954090986684
3.28,-0.0285517568939911,0.0044394007280925
3.282,-0.0271775154635745,0.0052045690522053
3.284,-0.0257513819242297,0.0058870711560719
3.286,-0.0242780631450559,0.0064833196436922
3.288,-0.0227625064998447,0.0069900000380288
3.29,-0.0212098828883719,0.0074040872371169
3.292,-0.0196255705307596,0.0077228602178261
3.294,-0.0180151365062202,0.0079439179993582
3.296,-0.0163843168469212,0.008065190960227
3.298,-0.0147389971360397,0.0080849553531645
3.3,-0.013085189968543,0.0080018417335772
3.302,-0.0114290138025837,0.0078148466878849
3.304,-0.00977666928009131,0.0075233388889986
3.306,-0.00813441605679021,0.007127066866571
3.308,-0.00650854829719064,0.0066261643504792
3.31,-0.00490537041057217,0.006021151866128
3.312,-0.00333117154048717,0.0053129394297437
3.314,-0.00179220061513481,0.0045028273138425
3.316,-0.00029464158300506,0.0035925021898518
3.318,0.00115541242218886,0.0025840352275733
3.32,0.00255198383627782,0.0014798766981903
3.322,0.00388923487464434,0.000282847259367499
3.324,0.00516149268705066,-0.0010038690828354
3.326,0.00636327173798956,-0.0023767355987713
3.328,0.00748929790557659,-0.0038318762125034
3.33,0.00853452902639894,-0.0053650879093103
3.332,0.0094941774651574,-0.0069718565811901
3.334,0.0103637288736132,-0.0086473738105387
3.336,0.0111389614223818,-0.0103865540135371
3.338,0.011815963336471,-0.0121840545662642
3.34,0.0123911488031707,-0.014034296438534
3.342,0.0128612722913556,-0.015931484562135
3.344,0.0132234420905417,-0.0178696311917576
3.346,0.0134751315295614,-0.0198425784387925
3.348,0.0136141890421376,-0.021844022960195
3.35,0.0136388457987997,-0.0238675393755847
3.352,0.013547722732025,-0.0259066056880951
3.354,0.0133398350014406,-0.0279546285459051
3.356,0.0130145945654564,-0.0300049683751454
3.358,0.0125718121137127,-0.0320509642373879
3.36,0.0120116964843423,-0.0340859599701611
3.362,0.0113348520284953,-0.0361033286212161
3.364,0.0105422755731004,-0.0380964973058183
3.366,0.0096353497817917,-0.040058971429613
3.368,0.008615838391818,-0.0419843586250688
3.37,0.007485875314122,-0.0438663916010731
3.372,0.0062479560113846,-0.0456989506676705
3.374,0.0049049261178557,-0.0474760845659735
3.376,0.0034599691831002,-0.049192032331797
3.378,0.0019165917703224,-0.0508412416425503
3.38,0.000278610128793298,-0.0524183880584022
3.382,-0.0014498674423884,-0.0539183917207186
3.384,-0.003264455921361,-0.0553364345957557
3.386,-0.0051605125070519,-0.0566679745947139
3.388,-0.0071331547239797,-0.0579087595518292
3.39,-0.0091772793952256,-0.0590548399401057
3.392,-0.0112875836006238,-0.0601025793698427
3.394,-0.0134585832785102,-0.0610486648786111
3.396,-0.0156846354893711,-0.0618901152306961
3.398,-0.0179599588607167,-0.0626242877726966
3.4,-0.0202786550623914,-0.0632488838607032
3.402,-0.02263472993209,-0.0637619540737687
3.404,-0.0250221156206139,-0.0641618995467164
3.406,-0.027434691096569,-0.0644474753348152
3.408,-0.0298663046679949,-0.0646177891313688
3.41,-0.0323107939131168,-0.0646723012482691
3.412,-0.0347620079500817,-0.0646108208814924
3.414,-0.0372138262606176,-0.0644335047242984
3.416,-0.0396601802911956,-0.064140849560556
3.418,-0.0420950723151809,-0.0637336882316567
3.42,-0.0445125944586885,-0.0632131812059181
3.422,-0.0469069473015325,-0.0625808091832502
3.424,-0.0492724573346944,-0.0618383635443277
3.426,-0.0516035943344016,-0.0609879355475495
3.428,-0.0538949870250987,-0.0600319060183541
3.43,-0.0561414383972206,-0.0589729330855777
3.432,-0.058337940763244,-0.0578139390695016
3.434,-0.0604796881134712,-0.0565580964660068
3.436,-0.0625620897048277,-0.0552088152017633
3.438,-0.0645807808260424,-0.053769726745218
3.44,-0.0665316332704467,-0.0522446683386684
3.442,-0.068410765159312,-0.0506376683368104
3.444,-0.0702145489512094,-0.0489529293079129
3.446,-0.071939618547175,-0.0471948115734596
3.448,-0.0735828757514594,-0.0453678164835557
3.45,-0.0751414949949826,-0.0434765700749303
3.452,-0.0766129281387308,-0.0415258055095425
3.454,-0.0779949057738748,-0.0395203460818393
3.456,-0.07928544103556,-0.0374650887335529
3.458,-0.0804828286270906,-0.0353649866152917
3.46,-0.0815856457314454,-0.0332250332245025
3.462,-0.0825927505370106,-0.0310502453231525
3.464,-0.0835032798746631,-0.02884564736659
3.466,-0.0843166462835148,-0.0266162551987194
3.468,-0.0850325340728813,-0.0243670617106421
3.47,-0.0856508943982306,-0.022103020883569
3.472,-0.0861719397192742,-0.019829034631797
3.474,-0.08659613764865,-0.017549937967358
3.476,-0.0869242030800443,-0.0152704865541542
3.478,-0.087157091804532,-0.0129953438554885
3.48,-0.0872959911151966,-0.0107290695357356
3.482,-0.0873423114493048,-0.0084761077093733
3.484,-0.0872976765984309,-0.0062407771361061
3.486,-0.0871639146769669,-0.0040272606340942
3.488,-0.0869430474996875,-0.00183959659295999
3.49,-0.0866372797595311,0.00031832952026065
3.492,-0.0862489890467308,0.00244279292924887
3.494,-0.0857807140209346,0.00453023650081601
3.496,-0.0852351436178525,0.00657727668908883
3.498,-0.0846151060924183,0.00858070877702578
3.5,-0.0839235567502959,0.0105375124152852
3.502,-0.0831635671399809,0.0124448546383897
3.504,-0.0823383134172935,0.0143000938077406
3.506,-0.0814510646148864,0.0161007821010045
3.508,-0.0805051717985012,0.0178446676677293
3.51,-0.0795040563722667,0.0195296957213396
3.512,-0.0784511991352812,0.0211540095077051
3.514,-0.0773501291512179,0.022715950330935
3.516,-0.0762044133069732,0.0242140574870137
3.518,-0.0750176452764828,0.0256470672461727
3.52,-0.0737934357557159,0.0270139107550668
3.522,-0.0725354018201186,0.0283137130899119
3.524,-0.0712471575155204,0.0295457903119153
3.526,-0.0699323042907733,0.0307096467263561
3.528,-0.0685944216174267,0.0318049716468431
3.53,-0.0672370582411841,0.0328316357362205
3.532,-0.0658637236978308,0.0337896870359104
3.534,-0.0644778800939464,0.0346793465449927
3.536,-0.0630829338275662,0.0355010039709888
3.538,-0.0616822284264457,0.0362552120737985
3.54,-0.0602790376216344,0.036942681914428
3.542,-0.0588765577469846,0.0375642769001456
3.544,-0.0574779020241826,0.0381210079376604
3.546,-0.0560860937758658,0.0386140265556955
3.548,-0.054704061473782,0.0390446195686172
3.55,-0.0533346324202504,0.0394142018423591
3.552,-0.0519805287076612,0.0397243108240755
3.554,-0.0506443615992232,0.0399765992367431
3.556,-0.049328627972584,0.0401728287599909
3.558,-0.0480357060714799,0.040314862868205
3.56,-0.0467678517667028,0.0404046600570683
