"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0987579577323872,-0.069083209486587
3.002,0.0998301571729999,-0.0711062669191278
3.004,0.100809148791926,-0.073273487498213
3.006,0.101673547635518,-0.0755834526318325
3.008,0.102410644330052,-0.0780184115360777
3.01,0.102853429173275,-0.0806244417228913
3.012,0.103494603015997,-0.0832415734672454
3.014,0.103674565423707,-0.08601851182384
3.016,0.10382404191819,-0.088860295233087
3.018,0.103957775639242,-0.091783015666679
3.02,0.103762789476394,-0.094776340773505
3.022,0.10339309171066,-0.097809660739112
3.024,0.102843412516381,-0.100882026007568
3.026,0.102113043813118,-0.103967930873792
3.028,0.101189496887596,-0.107059829969653
3.03,0.100091691205707,-0.110157380530811
3.032,0.0987828722246373,-0.113214565945385
3.034,0.0971766235950112,-0.11614773832926
3.036,0.0956353505131525,-0.119223016951279
3.038,0.0937789535834368,-0.122127017925175
3.04,0.0917519234807017,-0.124948915367268
3.042,0.089565033602807,-0.127690439271676
3.044,0.08720324958324,-0.130309094044039
3.046,0.0847022544038701,-0.132834331672736
3.048,0.082050098377786,-0.135210272356616
3.05,0.0792607461922692,-0.137448079982254
3.052,0.076350395401858,-0.139550031210705
3.054,0.07333365041155,-0.141481243373839
3.056,0.0702067204901328,-0.143259485030182
3.058,0.0670061333056504,-0.144838855090212
3.06,0.0637596779929762,-0.14608584854134
3.062,0.0603756461315629,-0.147492596262313
3.064,0.0569922846962852,-0.148533206777263
3.066,0.0535786132662716,-0.149392179999194
3.068,0.0501429909250752,-0.150048620733156
3.07,0.0467082085159626,-0.1505145306589
3.072,0.0432899951254154,-0.150792914923082
3.074,0.0398984920947382,-0.150880334081131
3.076,0.0365402766450651,-0.150786696368602
3.078,0.0333667825553133,-0.150416472692142
3.08,0.0301552586352896,-0.149966050180073
3.082,0.0268635189500308,-0.14943485838249
3.084,0.023807448840247,-0.148654710330999
3.086,0.0210201807879667,-0.147658361948127
3.088,0.0180134034424046,-0.146636403446151
3.09,0.0153137512959499,-0.145431811975669
3.092,0.012760096940368,-0.144090588973825
3.094,0.0104809451132107,-0.142643469051958
3.096,0.0080579257544003,-0.141097213153094
3.098,0.0059456908329856,-0.139460331984897
3.1,0.0039689819741464,-0.137753435124316
3.102,0.0022136246663232,-0.13601320721408
3.104,0.0006059014988112,-0.134214301800592
3.106,-0.000826818011109003,-0.132378795004869
3.108,-0.0020996773299197,-0.130517836904813
3.11,-0.0031818518700705,-0.128690863389959
3.112,-0.0041007626317469,-0.126836148557783
3.114,-0.0048489887144416,-0.125034315341964
3.116,-0.0054266268782842,-0.123266087522707
3.118,-0.0058507303051924,-0.12156100941327
3.12,-0.0061154873298114,-0.119903458230144
3.122,-0.0062318094801512,-0.118347192854856
3.124,-0.0062083267981207,-0.116873695066503
3.126,-0.0060566227497142,-0.115504175413957
3.128,-0.0057856224050773,-0.114248843607773
3.13,-0.0053955306682329,-0.113120359321722
3.132,-0.00491595614667992,-0.112129379614102
3.134,-0.004346927700716,-0.111264843508731
3.136,-0.00371391631647901,-0.110695131855617
3.138,-0.00298630168982517,-0.109975207091332
3.14,-0.0022311974119235,-0.109565392299134
3.142,-0.00144218306865577,-0.10932171257881
3.144,-0.000641466020997784,-0.109244147296205
3.146,0.00018186236254882,-0.109309722232471
3.148,0.00098463630336578,-0.109559713363098
3.15,0.00178138583228789,-0.109967474866622
3.152,0.00253591894893698,-0.110525619903115
3.154,0.00324622405217696,-0.11123886621237
3.156,0.0038584879684208,-0.112124831021885
3.158,0.00442898929223433,-0.113139282374539
3.16,0.0049215042081932,-0.114293617736072
3.162,0.005263524232996,-0.115588899402263
3.164,0.0055165467897852,-0.11700390138596
3.166,0.0056620171628009,-0.11853695448377
3.168,0.0056551671622122,-0.120173093422574
3.17,0.0055072153392621,-0.121890945105821
3.172,0.005059784991635,-0.123700598429584
3.174,0.004584282899098,-0.125560147118355
3.176,0.0041487025094096,-0.127497405972713
3.178,0.0033703686244354,-0.129476409215705
3.18,0.0024213982366281,-0.131482597489031
3.182,0.0012948958356593,-0.133486009630046
3.184,-1.98567146394019E-05,-0.135508778546555
3.186,-0.0014999311090488,-0.137509176229373
3.188,-0.0031566966335233,-0.13948623924075
3.19,-0.0051176420274359,-0.141294668868557
3.192,-0.0070049812956117,-0.143266813330312
3.194,-0.0091788078900576,-0.145079896761998
3.196,-0.0116028699914375,-0.146647870216725
3.198,-0.0140078572402961,-0.148409545648217
3.2,-0.0167290315679762,-0.149768037918068
3.202,-0.0194309673373491,-0.151284195956932
3.204,-0.022402977863184,-0.152364927767445
3.206,-0.0253862646323099,-0.153653320837038
3.208,-0.0285319107134999,-0.154610674620586
3.21,-0.0317782048570784,-0.15539044062289
3.212,-0.0351056389542741,-0.156009898781009
3.214,-0.0384931250152763,-0.156288727486442
3.216,-0.0419829710000783,-0.156715096797167
3.218,-0.0454934822119802,-0.156792207019524
3.22,-0.0490421291348896,-0.156674345950005
3.222,-0.0526099523003105,-0.156369853946815
3.224,-0.0561749720641017,-0.155857053071418
3.226,-0.0597492201989182,-0.15517294599985
3.228,-0.0632664493634161,-0.154269109433954
3.23,-0.0667706426592065,-0.153196864192507
3.232,-0.0700659216184913,-0.151798977202175
3.234,-0.0735680366974804,-0.150452231458403
3.236,-0.076851564105483,-0.148823890056159
3.238,-0.0800550883488185,-0.147013443380569
3.24,-0.0831373198323694,-0.145046413277458
3.242,-0.0861029600399061,-0.142918585423793
3.244,-0.0889283067691684,-0.140656685857981
3.246,-0.091634414286613,-0.138240078500128
3.248,-0.0940010543919803,-0.135694312372137
3.25,-0.0963762700924992,-0.133068424687781
3.252,-0.0987665804269234,-0.130313455442633
3.254,-0.100815404149223,-0.127486788401938
3.256,-0.102685058702031,-0.124570427742383
3.258,-0.104365400749864,-0.121608778584805
3.26,-0.105699711722013,-0.118667062949794
3.262,-0.107184417305231,-0.115542539884353
3.264,-0.108289420466103,-0.112488348405867
3.266,-0.109215739713173,-0.109417275390483
3.268,-0.109947981558843,-0.106376999113469
3.27,-0.110498799800925,-0.103355031209985
3.272,-0.11086785772403,-0.100363096447156
3.274,-0.111065413290596,-0.097431394790265
3.276,-0.111077353431741,-0.094584852351829
3.278,-0.110920397377794,-0.091801371120619
3.28,-0.11060782084858,-0.089120895468684
3.282,-0.110152869453474,-0.086530782080279
3.284,-0.109544915091142,-0.084068926790745
3.286,-0.108812895449069,-0.081740816915387
3.288,-0.107953705702811,-0.079765065018274
3.29,-0.107004055634976,-0.077480691771023
3.292,-0.105953699973971,-0.075582297411529
3.294,-0.104821003267459,-0.073824040732683
3.296,-0.103622672905602,-0.072232716611055
3.298,-0.102352973577017,-0.070818601595541
3.3,-0.101066840959485,-0.069570308465977
3.302,-0.099746794472301,-0.0684916300617829
3.304,-0.098408133693971,-0.0675944889604987
3.306,-0.097075159420186,-0.0668588853363946
3.308,-0.095759855556481,-0.0663054841990116
3.31,-0.094477830885183,-0.065923368821678
3.312,-0.093229068851738,-0.0656856794001005
3.314,-0.092079073700602,-0.0656338838608205
3.316,-0.091131387608956,-0.0658140772297823
3.318,-0.089942764649156,-0.0659669047308324
3.32,-0.089224392474918,-0.0664188520842342
3.322,-0.088225695486244,-0.0668496555551902
3.324,-0.087522862384161,-0.0674836480223709
3.326,-0.086943758965144,-0.0682258780664426
3.328,-0.086537747765334,-0.0690618035785907
3.33,-0.086257447064514,-0.0699860563791052
3.332,-0.086135519899803,-0.0709810801058989
3.334,-0.086147888729151,-0.0720430061131291
3.336,-0.086367678144604,-0.0731474474437856
3.338,-0.086726229455247,-0.0742826702282834
3.34,-0.087247958420002,-0.0754402991531442
3.342,-0.087956458830126,-0.0765951961796365
3.344,-0.088848921651499,-0.0777484162294825
3.346,-0.089884868386659,-0.0788783559095703
3.348,-0.091113355596631,-0.0799555801637129
3.35,-0.092501302272474,-0.080988940491455
3.352,-0.094051592046631,-0.0819494463618617
3.354,-0.095853691514032,-0.0826763173704176
3.356,-0.097610279442974,-0.0836256979828962
3.358,-0.099604525195741,-0.0843106186763293
3.36,-0.101739025459048,-0.0848751818979887
3.362,-0.103984852754194,-0.0853127693444171
3.364,-0.106395565577034,-0.0854236013305198
3.366,-0.108841072917697,-0.0857560644786916
3.368,-0.111413147920099,-0.0857478051880128
3.37,-0.114035738531204,-0.0853420322934807
3.372,-0.116770688623098,-0.0851962484853162
3.374,-0.119474317951788,-0.0844572721783304
3.376,-0.122330233388842,-0.0839274283713154
3.378,-0.125070507539772,-0.0828159616465588
3.38,-0.12800196325398,-0.0819225314093595
3.382,-0.130717372274734,-0.0804667544076676
3.384,-0.133635802664887,-0.0791552118317444
3.386,-0.136407246093414,-0.077484515803935
3.388,-0.139136575988689,-0.0756225658984745
3.39,-0.141611975928798,-0.0734410065213831
3.392,-0.144211774199399,-0.0712499908804763
3.394,-0.146875613565402,-0.0689742665853839
3.396,-0.149230537247427,-0.0664028876277036
3.398,-0.151524948796031,-0.0636982261311993
3.4,-0.153640001437788,-0.0608251768521265
3.402,-0.155436170251073,-0.0577777647496012
3.404,-0.157474686181757,-0.0546705134560835
3.406,-0.159157911348559,-0.0514193183579242
3.408,-0.160647984958336,-0.04805767238605
3.41,-0.161969741411074,-0.0445895049666889
3.412,-0.163105536134713,-0.0410665383722155
3.414,-0.164054583099788,-0.0374609460770991
3.416,-0.16479709023385,-0.0338152856129436
3.418,-0.165176913475692,-0.0302052922666081
3.42,-0.165522975899408,-0.0265157213843765
3.422,-0.165854478788225,-0.0227019907847805
3.424,-0.165790374248167,-0.018992888647063
3.426,-0.165518732821508,-0.0153158251397225
3.428,-0.165059351360079,-0.0116650527686846
3.43,-0.164278078708331,-0.0082498456911962
3.432,-0.163550766716248,-0.0045751621216924
3.434,-0.162524788512069,-0.0011154300408036
3.436,-0.161300007674843,0.0022077700125132
3.438,-0.159926197826747,0.0054465107227546
3.44,-0.158381268875315,0.0085604758454898
3.442,-0.156679889845395,0.0115179947849245
3.444,-0.154839554911002,0.0143651180412631
3.446,-0.152870749816934,0.0170231400580134
3.448,-0.150798574900294,0.0195345404891348
