"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0813041713743872,-0.099843750602587
3.002,0.0799124798909999,-0.100342072931128
3.004,0.0785475455299265,-0.100791634561213
3.006,0.0772297600605175,-0.101195527074833
3.008,0.0759491742950517,-0.101557955773078
3.01,0.0747167756152745,-0.101875024901891
3.012,0.0735233289049965,-0.102156140176245
3.014,0.0723822870707069,-0.10241238875484
3.016,0.0712911077721895,-0.102644218908087
3.018,0.0702526071192424,-0.102856197314379
3.02,0.0692619480703935,-0.103052607749905
3.022,0.0683241263636598,-0.103241535371112
3.024,0.0674396426533809,-0.103427217971568
3.026,0.0666061233291175,-0.103612381825792
3.028,0.0658230327825956,-0.103807542863353
3.03,0.0650872612637071,-0.104013486778811
3.032,0.0643990992576373,-0.104233997876385
3.034,0.0637522237970112,-0.10448118402926
3.036,0.0631499042041525,-0.104745731551279
3.038,0.0625829482784368,-0.105044585534175
3.04,0.0620492859757017,-0.105377255642268
3.042,0.061546038546807,-0.105747923018676
3.044,0.06107212895224,-0.106155118348039
3.046,0.0606215174398701,-0.106607695228736
3.048,0.060182648911786,-0.107105893269616
3.05,0.0597613031582692,-0.107652594180254
3.052,0.059346932086858,-0.108245077829705
3.054,0.05892956601735,-0.108887920635839
3.056,0.0585143064010328,-0.109586449857182
3.058,0.0580912912078504,-0.110330034337212
3.06,0.0576531204089762,-0.11112572710434
3.062,0.0571988930415629,-0.111975161100313
3.064,0.0567248294922852,-0.112870780892263
3.066,0.0562089936044716,-0.113814500387194
3.068,0.0556743066260752,-0.114801944007156
3.07,0.0551016687309626,-0.1158349654029
3.072,0.0544767203834154,-0.116908815441082
3.074,0.0537988295367382,-0.118014430856131
3.076,0.0530869118920651,-0.119161581571602
3.078,0.0523025706643133,-0.120331099224142
3.08,0.0514754450832896,-0.121532148289073
3.082,0.0505839704030308,-0.12274915532549
3.084,0.049618395540247,-0.123979540094999
3.086,0.0486035207829667,-0.125231773986127
3.088,0.0475111305884046,-0.126483225833151
3.09,0.0463455789239499,-0.127727042888669
3.092,0.045117485885368,-0.128971543615425
3.094,0.0438215931062107,-0.130218550803538
3.096,0.0424523460104003,-0.131437204344694
3.098,0.0410130935919856,-0.132637822165897
3.1,0.0395028725211464,-0.133815402092316
3.102,0.0379286703023232,-0.13494779722508
3.104,0.0362843367768112,-0.136048652404592
3.106,0.034583442835891,-0.137111015842469
3.108,0.0328183829470803,-0.138136060341813
3.11,0.0309970198329295,-0.139091147809959
3.112,0.0291205053082531,-0.140007152850783
3.114,0.0271931930615584,-0.140854577204964
3.116,0.0252230905767158,-0.141638707665707
3.118,0.0232157517828076,-0.14234963380027
3.12,0.0211582729561886,-0.142999829617144
3.122,0.0190783702838488,-0.143576026308856
3.124,0.0169651966158793,-0.144072091061503
3.126,0.0148397448272858,-0.144491306435957
3.128,0.0126919939349227,-0.144836221686773
3.13,0.0105331278026671,-0.145100831264722
3.132,0.00837728647302008,-0.145281291235102
3.134,0.006213611259284,-0.145387500962731
3.136,0.00404789093152099,-0.145416582948617
3.138,0.00190496859217483,-0.145365678584332
3.14,-0.0002248401219235,-0.145238524129134
3.142,-0.00233008358165577,-0.14503424053281
3.144,-0.00439976872769778,-0.144761956507205
3.146,-0.00645753450045118,-0.144411893087471
3.148,-0.00846105223963422,-0.144000040797098
3.15,-0.0104402248837121,-0.143520261794622
3.152,-0.012363595039063,-0.142982370822115
3.154,-0.014241813091823,-0.14238845546737
3.156,-0.0160598250795792,-0.141746395147885
3.158,-0.0178362385687657,-0.141051276530539
3.16,-0.0195507786168068,-0.140317610895072
3.162,-0.021194125400004,-0.139546533905263
3.164,-0.0227849350762148,-0.13874321230496
3.166,-0.0243194759561991,-0.13790174638377
3.168,-0.0257832362467878,-0.137047459725574
3.17,-0.0271827384107379,-0.136181932414421
3.172,-0.028519534403365,-0.135288151536584
3.174,-0.029793035268902,-0.134398963084355
3.176,-0.0310025431255904,-0.133510311899713
3.178,-0.0321522561245646,-0.132617292209705
3.18,-0.0332368467263719,-0.131737615873031
