"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
2.5,-19.4788214099239,0.917966950458447
2.505,-19.1468066821026,0.967254858470609
2.51,-18.7907126367464,1.00898178166397
2.515,-18.4218660551298,1.04375184130965
2.52,-18.0486122087737,1.07227954424142
2.525,-17.6768226211251,1.09529317359002
2.53,-17.3104500895425,1.11347905394889
2.535,-16.9520288357474,1.12745447111919
2.54,-16.6030830526999,1.13775863802813
2.545,-16.264441330893,1.14485400268961
2.55,-15.9364691166164,1.14913284516571
2.555,-15.6192354185022,1.1509260682229
2.56,-15.3126291971902,1.1505124242706
2.565,-15.0164384959837,1.14812724483826
2.57,-14.7304025664779,1.14397022105998
2.575,-14.4542448892456,1.13821210699113
2.58,-14.1876927571361,1.13100031427009
2.585,-13.9304878983907,1.12246351656573
2.59,-13.6823910407621,1.11271535768876
2.595,-13.443182802453,1.10185741107223
2.6,-13.2126623093436,1.08998150860731
2.605,-12.9906445662151,1.07717155192899
2.61,-12.7769574825718,1.06350492951849
2.615,-12.5714387230787,1.04905359945375
2.62,-12.3739327858619,1.03388493211555
2.625,-12.1842884085073,1.01806236284631
2.63,-12.0023562611018,1.00164590175524
2.635,-11.8279870070631,0.984692535638651
2.64,-11.6610296023709,0.967256549253439
2.645,-11.5013298148501,0.949389785272584
2.65,-11.3487288990795,0.931141852311533
2.655,-11.2030623726751,0.912560288375959
2.66,-11.0641588470541,0.893690689178698
2.665,-10.9318389125272,0.874576796323615
2.67,-10.8059140650528,0.855260547535178
2.675,-10.6861856702766,0.835782092084498
2.68,-10.5724440322181,0.816179765047923
2.685,-10.4644675457591,0.796490023673461
2.69,-10.3620220443854,0.776747347314732
2.695,-10.2648603536561,0.756984098882865
2.7,-10.1727221312264,0.737230356308044
2.705,-10.0853340358052,0.717513715168262
2.71,-10.0024102981715,0.697859070160805
2.715,-9.92365372481979,0.678288384768666
2.72,-9.84875718200674,0.658820456221428
2.725,-9.77740557077614,0.639470689590888
2.73,-9.70927829777786,0.62025089050241
2.735,-9.64405225512797,0.601169088812223
2.74,-9.58140520194376,0.582229408736088
2.745,-9.52101956312334,0.563431992619861
2.75,-9.46258651115652,0.5447729919963
2.755,-9.4058102318777,0.526244633881855
2.76,-9.35041225542216,0.507835369066505
2.765,-9.29613571049481,0.489530105423911
2.77,-9.24274934793248,0.471310523211317
2.775,-9.19005119442454,0.45315547412798
2.78,-9.13787169029218,0.435041451096009
2.785,-9.08607618479134,0.416943119094674
2.79,-9.03456669302569,0.398833893094591
2.795,-8.98328283967498,0.380686545969071
2.8,-8.93220194358238,0.362473827789099
2.805,-8.88133825860753,0.344169077206514
2.81,-8.83074138130416,0.325746808834101
2.815,-8.78049391369714,0.307183256378756
2.82,-8.73070844723139,0.288456860812453
2.825,-8.68152402141136,0.269548690401228
2.83,-8.63310214390895,0.250442783637182
2.835,-8.58562253935522,0.231126414781777
2.84,-8.53927874339015,0.211590274591693
2.845,-8.49427367285905,0.191828576225872
2.85,-8.45081527676676,0.171839083728883
2.855,-8.40911237232842,0.151623075315226
2.86,-8.36937072911568,0.131185246970209
