"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
2.5,-19.5890025879458,0.929240267897316
2.505,-19.2303129574509,0.980673987751652
2.51,-18.8458278260999,1.02366313907182
2.515,-18.4488626386944,1.05889471832938
2.52,-18.0491723310433,1.0872012393923
2.525,-17.6535474051167,1.10943860860186
2.53,-17.266482878854,1.12641610808344
2.535,-16.8907821062258,1.13886264818309
2.54,-16.5280469769254,1.14741550436927
2.545,-16.1790520641525,1.15262166209499
2.55,-15.8440190479064,1.15494543144358
2.555,-15.5228124126849,1.15477855679975
2.56,-15.2150758728111,1.15245074630419
2.565,-14.9203255536295,1.14823956408883
2.57,-14.6380122095607,1.14237920228292
2.575,-14.3675617352665,1.13506802270645
2.58,-14.1084005121789,1.12647485688059
2.585,-13.8599706167389,1.11674421233993
2.59,-13.6217381390597,1.10600050402845
2.595,-13.3931972422675,1.09435147416871
2.6,-13.1738715121625,1.0818909359833
2.605,-12.963313734761,1.06870096577387
2.61,-12.7611050739221,1.05485367640553
2.615,-12.5668538663693,1.04041264327007
2.62,-12.3801944578279,1.02543408014473
2.625,-12.2007861921793,1.00996782690521
2.63,-12.0283124957268,0.994058195933358
2.635,-11.8624801110652,0.977744719043194
2.64,-11.7030183198083,0.96106282252972
2.645,-11.549678094116,0.944044447313783
2.65,-11.4022310901035,0.926718623659553
2.655,-11.2604683747359,0.90911200285213
2.66,-11.1241988432753,0.891249347915879
2.665,-10.9932473014995,0.873153974761577
2.67,-10.8674522240987,0.85484813717347
2.675,-10.7466631802224,0.836353352164187
2.68,-10.6307380667913,0.817690654224321
2.685,-10.5195401291971,0.798880774600609
2.69,-10.412934979274,0.779944245211775
2.695,-10.3107876494403,0.760901420310573
2.7,-10.212959836731,0.741772425360736
2.705,-10.1193074474602,0.722577032100556
2.71,-10.0296785502738,0.703334471269569
2.715,-9.94391184783964,0.684063192459066
2.72,-9.8618357309271,0.664780583229169
2.725,-9.78326797659315,0.645502663945994
2.73,-9.70801612646705,0.626243771302669
2.735,-9.63587856325576,0.607016249447104
2.74,-9.5666462206318,0.587830164154312
2.745,-9.50010492379979,0.568693054838588
2.75,-9.43603825283787,0.549609740775698
2.755,-9.37423082876075,0.530582191725022
2.76,-9.314471897664,0.511609474681142
2.765,-9.25655907628826,0.492687782987283
2.77,-9.20030209319936,0.473810547530688
2.775,-9.1455263830069,0.454968635450216
2.78,-9.09207637241745,0.436150625329771
2.785,-9.03981832006662,0.4173431535634
2.79,-8.98864259097909,0.398531319079631
2.795,-8.93846527732178,0.379699131638929
2.8,-8.88922908695157,0.360829987504878
2.805,-8.8409035039908,0.341907153563864
2.81,-8.79348418828247,0.322914243836455
2.815,-8.74699169550497,0.303835670371477
2.82,-8.70146955746261,0.284657053986714
2.825,-8.65698184444946,0.265365583615726
2.83,-8.61361030569973,0.245950312943301
2.835,-8.57145122253841,0.226402392004589
2.84,-8.53061209344537,0.206715227152643
2.845,-8.49120828079465,0.186884575125609
2.85,-8.45335971761888,0.166908570750371
2.855,-8.41718778747326,0.146787697694825
2.86,-8.38281242923134,0.126524708648272
2.865,-8.35034954016429,0.106124503947274
2.87,-8.31990871040274,0.0855939792168722
2.875,-8.29159128035169,0.0649418494550631
2.88,-8.26548874689476,0.0441784606694166
2.885,-8.24168147557749,0.0233155946951103
