"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
2.5,-19.8831244577316,1.06906457058634
2.505,-19.2470004738359,1.12044095467024
2.51,-18.6146973929953,1.15641018534301
2.515,-18.0070832366275,1.17962137223924
2.52,-17.4358594036938,1.192533258678
2.525,-16.9067605176486,1.19726072832201
2.53,-16.4218441271302,1.19555972099014
2.535,-15.9809853230505,1.18886745674459
2.54,-15.5828036207699,1.17835730338958
2.545,-15.2252186496314,1.16499124709152
2.55,-14.9057735486325,1.14956421077302
2.555,-14.6218160171797,1.13273932315634
2.56,-14.3705936761107,1.1150750042786
2.565,-14.1492985503864,1.0970452227926
2.57,-13.9550822109978,1.07905417526392
2.575,-13.7850553972234,1.06144652178695
2.58,-13.6362810103529,1.0445139889276
2.585,-13.5057670209995,1.02849909263509
2.59,-13.3904640580492,1.0135965360705
2.595,-13.2872718339874,0.999952861608471
2.6,-13.1930575345554,0.987664899858088
2.605,-13.1046885671858,0.976777643236876
2.61,-13.0190811623089,0.967282224413864
2.615,-12.9332641366304,0.959114740919805
2.62,-12.8444555727511,0.952156656322037
2.625,-12.750147504918,0.946237450457428
2.63,-12.6481917364314,0.94113995141202
2.635,-12.5368780867115,0.936608510189469
2.64,-12.4149962578865,0.932359747099538
2.645,-12.2818734427443,0.928095228284566
2.65,-12.1373824405759,0.923515078553452
2.655,-11.9819186321014,0.918331366520752
2.66,-11.8163483405048,0.912280125273214
2.665,-11.6419343231901,0.905131067933202
2.67,-11.4602465786371,0.89669441343696
2.675,-11.273067391753,0.886824642884259
2.68,-11.082298704945,0.875421350897332
2.685,-10.8898783640194,0.862427654299139
2.69,-10.6977093794757,0.847826763945449
2.695,-10.5076042255414,0.831637354341129
2.7,-10.3212442028619,0.813908326359542
2.705,-10.1401526558312,0.79471344855898
2.71,-9.96567987746362,0.774146227260313
2.715,-9.79899738879303,0.752315247332405
2.72,-9.64109911872004,0.729340095448975
2.725,-9.49280734741768,0.705347918962417
2.73,-9.35478160642192,0.680470599089924
2.735,-9.22752907540978,0.654842484612786
2.74,-9.11141540508612,0.628598612031113
2.745,-9.00667519213557,0.601873329876157
2.75,-8.91342157630854,0.574799242361454
2.755,-8.83165467306046,0.547506397477656
2.76,-8.76126871890987,0.520121639069096
2.765,-8.70205785913256,0.49276806699702
2.77,-8.65372067186685,0.46556454173384
2.775,-8.61586362050484,0.43862518500114
2.78,-8.58800356222348,0.412058837275827
2.785,-8.56956970542066,0.385968428510997
2.79,-8.55990518555238,0.360450239684311
2.795,-8.55826882344735,0.335593030335222
2.8,-8.56383735895032,0.311477023249734
2.805,-8.57570869575162,0.288172739784876
2.81,-8.59290668035019,0.265739703381168
2.815,-8.61438790355742,0.244225037811735
2.82,-8.63905106767927,0.223662005752342
2.825,-8.66574933579142,0.204068554659558
2.83,-8.69330601102041,0.185445955872203
2.835,-8.72053365518509,0.167777642961167
2.84,-8.74625656115923,0.151028364620088
2.845,-8.76933616805162,0.13514377805217
2.85,-8.78869860682247,0.12005059514197
2.855,-8.80336331793572,0.105657383008681
