"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
2.5,-20.3589745248909,0.916505891216474
2.505,-19.991974196308,0.988319377661098
2.51,-19.5573475446515,1.04961113737076
2.515,-19.0793846001983,1.10016225676038
2.52,-18.5784660458543,1.14044204384266
2.525,-18.0704094334094,1.17131409908635
2.53,-17.5667902005847,1.19381212016175
2.535,-17.0756796349299,1.2089952672955
2.54,-16.6024519627189,1.21786755275793
2.545,-16.1504967287579,1.22134043637129
2.55,-15.7217855991845,1.22022127619122
2.555,-15.3172976273377,1.21521568628564
2.56,-14.9373269129664,1.20693643279314
2.565,-14.5817000833815,1.19591467663221
2.57,-14.2499274384928,1.18261134708688
2.575,-13.9413066801386,1.16742763419883
2.58,-13.6549930796518,1.15071414407687
2.585,-13.3900464186232,1.1327786798501
2.59,-13.1454615888384,1.11389269450992
2.595,-12.9201882152053,1.09429656569341
2.6,-12.7131425856662,1.07420384022906
2.605,-12.5232145088328,1.05380459012752
2.61,-12.349271009605,1.03326802148526
2.615,-12.1901580249007,1.0127444345808
2.62,-12.0447011940083,0.992366637608112
2.625,-11.9117065739248,0.972250906921908
2.63,-11.7899617929871,0.952497551310246
2.635,-11.6782383438862,0.933191173576463
2.64,-11.5752953002875,0.914400687218454
2.645,-11.4798849206309,0.89617916452689
2.65,-11.3907603734044,0.878563599157751
2.655,-11.3066857313468,0.86157465754017
2.66,-11.2264482249024,0.845216509869792
2.665,-11.1488726230321,0.829476825744366
2.67,-11.0728373869263,0.814327019926846
2.675,-10.9972920340647,0.799722814969246
2.68,-10.9212750280356,0.785605192726548
2.685,-10.8439312370648,0.771901752006703
2.69,-10.7645280848538,0.758528496961793
2.695,-10.6824693133409,0.745392010645757
2.7,-10.5973054628091,0.73239197234316
2.705,-10.5087403143755,0.719423907333046
2.71,-10.4166327630989,0.706382071482505
2.715,-10.3209939566885,0.693162327215509
2.72,-10.2219797443853,0.679664890877258
2.725,-10.1198789369788,0.665796824194486
2.73,-10.0150980588348,0.651474169708515
2.735,-9.90814346204979,0.636623665903025
2.74,-9.79960178608564,0.621183992345829
2.745,-9.6901197608539,0.6051065463793
2.75,-9.58038423251814,0.588355772308788
2.755,-9.47110321637852,0.570909082119799
2.76,-9.36298850378791,0.552756437108094
2.765,-9.25674028237253,0.533899654136951
2.77,-9.15303396873891,0.514351508124678
2.775,-9.05250929762224,0.494134699744495
2.78,-8.95576162627341,0.473280748788883
2.785,-8.86333526663188,0.451828858341548
2.79,-8.77571862496802,0.429824798866562
2.795,-8.69334091067558,0.407319829089786
2.8,-8.61657010440112,0.384369683895361
2.805,-8.54571198960706,0.361033633427844
2.81,-8.48100991832722,0.337373619874636
2.815,-8.42264520915028,0.313453469003933
2.82,-8.3707379262103,0.289338171406258
2.825,-8.32534792761603,0.265093225346966
2.83,-8.28647608620462,0.24078402819892
2.835,-8.2540656064236,0.216475309160761
2.84,-8.22800340888333,0.192230587257609
2.845,-8.20812155297217,0.168111645261772
2.85,-8.19419875348495,0.14417801214351
2.855,-8.18596200478906,0.120486437727579
2.86,-8.18308838895404,0.0970903612636604
2.865,-8.18520716040023,0.074039362422382
2.87,-8.19190220581793,0.0513785978053481
2.875,-8.20271497519044,0.0291482189520886
2.88,-8.21714803591175,0.00738278358222419
2.885,-8.23466932254455,-0.0138893358865084
2.89,-8.25471722586766,-0.0346465322363688
2.895,-8.27670658364756,-0.0548745104453362
2.9,-8.30003566289984,-0.0745667827037716
2.905,-8.32409408555858,-0.0937250875821223
2.91,-8.34827175533367,-0.112359699182708
2.915,-8.37196856386729,-0.130489602339476
2.92,-8.39460482702047,-0.148142502524137
2.925,-8.41563211019516,-0.165354647569522
2.93,-8.43454420164748,-0.182170436674673
2.935,-8.4508878150237,-0.198641810208971
2.94,-8.46427264467146,-0.214827414693087
2.945,-8.47438034726146,-0.230791555294509
2.95,-8.48097201915644,-0.246602954918113
2.955,-8.48389384830867,-0.262333360801025
2.96,-8.48308061799368,-0.278056035037805
2.965,-8.47855688521492,-0.293844187182231
2.97,-8.47043579928301,-0.309769404808074
2.975,-8.45891554981766,-0.325900136856497
2.98,-8.4442736827521,-0.342300282997745
2.985,-8.42685952343754,-0.35902793726867
2.99,-8.40708505850504,-0.376134316734296
2.995,-8.38541467568169,-0.393662903957166
3,-8.36235421308647,-0.411648808811916
3.005,-8.3384396566837,-0.430118354639283
3.01,-8.31422590753422,-0.449088875171701
3.015,-8.29027589834917,-0.468568703813884
3.02,-8.26715030839943,-0.488557331678685
3.025,-8.24539804873635,-0.509045708230629
