"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.201179624721258,-0.172485465241734
3.014,-0.208867393883817,-0.160075183519658
3.028,-0.215721129623988,-0.147207161987664
3.042,-0.221693291924836,-0.133914053200739
3.056,-0.22672589320557,-0.120250311755411
3.07,-0.230765464598712,-0.106296531134646
3.084,-0.233777933764608,-0.0921546384258507
3.098,-0.235758465956023,-0.077935472972034
3.112,-0.236732887075544,-0.0637426791583106
3.126,-0.236749911694539,-0.0496580734675418
3.14,-0.235866282481747,-0.0357333251339188
3.154,-0.234129239821755,-0.0219909859739428
3.168,-0.231561780695406,-0.00843511965225386
3.182,-0.228155588260973,0.0049311855583198
3.196,-0.223874436870414,0.0180864074382529
3.21,-0.218667864147621,0.0309751476037012
3.224,-0.212486116515361,0.043504710845341
3.238,-0.205306937023531,0.0555357392852824
3.252,-0.197177435026474,0.0669086473991694
3.266,-0.188190035848104,0.0774845149918589
3.28,-0.178478804762605,0.0871593847845899
3.294,-0.16819943382373,0.0958797226763662
3.308,-0.157504101911909,0.103646221190412
3.322,-0.146517674025654,0.110504921948384
3.336,-0.135321332259228,0.116528015186911
3.35,-0.123947702845219,0.121789387745118
3.364,-0.112388441804892,0.126341292094404
3.378,-0.100611941103512,0.130198061629992
3.392,-0.088586232938191,0.133330762932207
3.406,-0.0763009953965975,0.135673657756074
3.42,-0.0637830767687683,0.137140209967952
3.434,-0.051101953433204,0.13764398589336
3.448,-0.0383554798100896,0.137118124646272
3.462,-0.0256829336485594,0.135526680284871
3.476,-0.0132231401728702,0.132879980317553
3.49,-0.00109816714998298,0.129223063349856
3.504,0.0105938160728384,0.124623451045951
3.518,0.0217816373575556,0.119157451415305
3.532,0.0324173626675852,0.112898159357647
3.546,0.0424679473188764,0.105908079696007
3.56,0.0519055507207998,0.098237598065411
3.574,0.0606997191618922,0.0899286588638648
3.588,0.0688136661585823,0.0810215246293505
3.602,0.0762053406302161,0.0715617830213878
3.616,0.0828323653502748,0.0616049781894388
3.63,0.0886587298414814,0.051217239784396
3.644,0.0936606587522702,0.0404717151523701
3.658,0.0978294400627738,0.0294420261839184
3.672,0.101170034556578,0.0181949531582602
3.686,0.103695661839,0.0067848245147708
3.7,0.105419854214626,-0.00474839010563375
3.714,0.106348316131783,-0.016376363289154
3.728,0.106473094369358,-0.0280755010977146
3.742,0.10577101950745,-0.0398175171661817
3.756,0.104207282675514,-0.0515599625204926
3.77,0.101743663107543,-0.0632393289018631
3.784,0.0983496760321883,-0.0747688049248151
3.798,0.0940140828714628,-0.0860416863717818
3.812,0.0887539983536509,-0.0969400969837802
3.826,0.0826192869771344,-0.107347392738309
3.84,0.075690950463242,-0.117161704667861
3.854,0.0680735300811174,-0.126307733257739
3.868,0.059882879866338,-0.134744215662551
3.882,0.0512466642065101,-0.142453429149984
3.896,0.0422698079520742,-0.149479835020047
3.91,0.0329952856947696,-0.155889120826481
3.924,0.0234441645363686,-0.161727345204021
3.938,0.0136122064423362,-0.167024925469668
3.952,0.0034807726590602,-0.171787888533036
3.966,-0.00696988072881253,-0.175994894131172
3.98,-0.0177476894938598,-0.179600358081368
3.994,-0.028838829842159,-0.182542763131828
4.008,-0.0402025990334186,-0.184756237468509
4.022,-0.0517719340241417,-0.186182903187473
4.036,-0.0634591840262873,-0.186783454955186
4.05,-0.075165687619171,-0.186543916952466
4.064,-0.0867929862989315,-0.185477427728116
4.078,-0.0982532799916773,-0.183621014119036
4.092,-0.109477033634919,-0.181028388670011
4.106,-0.12041639637991,-0.177760601532419
4.12,-0.131044113019451,-0.173876723708812
4.134,-0.14134864671741,-0.169426566338104
4.148,-0.151327045751864,-0.164446807479917
4.162,-0.160977485332523,-0.158960972456379
4.176,-0.170293315062663,-0.15298273564226
4.19,-0.17925988766055,-0.146521229653168
4.204,-0.187854596070922,-0.13958665595634
4.218,-0.196049638963909,-0.132194576510941
4.232,-0.203816314367982,-0.124367787343948
4.246,-0.211129297441886,-0.116135473172177
4.26,-0.217969473473731,-0.107530186033606
4.274,-0.224324424588653,-0.0985838413047253
4.288,-0.230186447538593,-0.0893242010765931
4.302,-0.235548781652889,-0.0797731455361852
4.316,-0.240400390380792,-0.0699437249441847
4.33,-0.244716936313173,-0.0598457166590981
4.344,-0.248474775391448,-0.0495129213280334
4.358,-0.251646830095128,-0.0389751987474935
4.372,-0.254206102295719,-0.0282731074287381
4.386,-0.256131416581768,-0.0174583887288124
4.4,-0.257413035969479,-0.00659136910052639
4.414,-0.258056575333742,0.00426434568936465
4.428,-0.258084009361553,0.0150487630601784
4.442,-0.257531263789054,0.0257123918124363
4.456,-0.256442713809455,0.0362214604735796
4.47,-0.254863683701916,0.0465601375611164
4.484,-0.252832559595803,0.0567290910038062
4.498,-0.250374269719519,0.0667405575831671
4.512,-0.247496620586969,0.0766108987031067
4.526,-0.244190365171693,0.0863522093357424
4.54,-0.240433060168987,0.0959647870426978
4.554,-0.236195929474235,0.105432102033253
4.568,-0.231452279769779,0.114719372935071
4.582,-0.226185664085756,0.123776064940972
4.596,-0.22039604201489,0.132541763169457
4.61,-0.214102632796017,0.140954129629203
4.624,-0.20734290172147,0.148957198418889
4.638,-0.200167993044163,0.156508208706972
4.652,-0.192635721578336,0.16358153615242
4.666,-0.18480277063892,0.170168980165925
4.68,-0.176717884248943,0.176276533153679
4.694,-0.168417548277046,0.181918588295908
4.708,-0.159924996994019,0.187111127733463
4.722,-0.151252521756865,0.191865622912089
4.736,-0.142406217136288,0.196185120852696
4.75,-0.133391698190758,0.200063348164516
4.764,-0.124216862268876,0.203500627326429
4.778,-0.114894854199072,0.206461821568888
4.792,-0.105454657781156,0.208931361536682
4.806,-0.0959288786315082,0.210901405549452
4.82,-0.0863488450679982,0.212371858639966
4.834,-0.0767407597605768,0.213347625351654
4.848,-0.0671242291860028,0.213834170301035
4.862,-0.0575137100474507,0.213832994894678
4.876,-0.0479224638043786,0.213338678482709
4.89,-0.0383677822706065,0.212338667433105
4.904,-0.0288757835852791,0.210816161558211
4.918,-0.0194841185537604,0.208755486090364
4.932,-0.0102414676715954,0.206148528605873
4.946,-0.00120360122440279,0.20300040176595
4.96,0.00757323060090271,0.199332593257292
4.974,0.0160399944890005,0.195182467255012
4.988,0.0241616707074117,0.190598929472477
5.002,0.0319212934293323,0.185635105133717
5.016,0.0393200198558765,0.180339723201762
5.03,0.0463730026345434,0.174749317685889
5.044,0.0531019185275036,0.168883227439328
5.058,0.059525889034353,0.162742724448832
5.072,0.065652980637415,0.156314590818539
5.086,0.0714743703782983,0.149578355492908
5.1,0.0769626277059772,0.142515479550476
5.114,0.0820745557176303,0.135118282355265
5.128,0.0867579106939554,0.127396459133039
5.142,0.090960365242396,0.119379639887631
5.156,0.0946385406400582,0.111115427044995
5.17,0.0977649449232413,0.102663472139002
5.184,0.100331210027279,0.0940871229614526
5.198,0.102346978448248,0.0854447439964787
5.212,0.103834898828223,0.0767828402236493
5.226,0.104823162763521,0.068132594298844
5.24,0.105337599746174,0.0595104991528401
5.254,0.105395392908163,0.0509226787130413
5.268,0.105001976743378,0.0423715283263418
5.282,0.104151766538191,0.0338627298544187
5.296,0.102832295974139,0.0254106585720277
5.31,0.101030398002686,0.0170407091588225
5.324,0.0987385149651178,0.00878798559405847
5.338,0.0959592222016181,0.000692869796443321
5.352,0.0927065999802236,-0.00720509478338312
5.366,0.0890040412414431,-0.0148730606141197
5.38,0.084879170003947,-0.0222885898505549
5.394,0.0803574547274245,-0.0294399616653783
5.408,0.0754565619213466,-0.0363228291349795
5.422,0.0701833577685301,-0.0429341115090395
5.436,0.0645347471688926,-0.0492649206513609
5.45,0.0585024270528975,-0.055294738699742
5.464,0.0520804327054643,-0.0609888416693513
5.478,0.0452734190265538,-0.0663001342086126
5.492,0.0381032300632011,-0.0711753344598269
5.506,0.0306116119093191,-0.0755641595772417
5.52,0.0228578666675708,-0.0794291799608988
5.534,0.0149115936103189,-0.0827536314829023
5.548,0.00684205672224974,-0.0855448397589696
5.562,-0.00129323461154679,-0.0878319548137369
5.576,-0.0094577528638931,-0.0896581605707976
5.59,-0.0176404117893886,-0.0910690253149988
5.604,-0.0258538054040867,-0.0920997854707083
5.618,-0.0341263407617914,-0.0927647829979947
5.632,-0.0424964375106862,-0.0930615594867239
5.646,-0.0509964190356123,-0.0929412049704794
5.66,-0.0596130528146872,-0.092329021099915
5.674,-0.068303344284284,-0.0911645066779354
5.688,-0.0769979406450282,-0.0894045094256645
5.702,-0.0856124920929053,-0.0870334035870323
5.716,-0.0940622397080107,-0.0840663797718417
5.73,-0.102276025163793,-0.0805452959292664
5.744,-0.110206208457353,-0.0765284748034643
5.758,-0.117832176968724,-0.0720773419690542
5.772,-0.125156888781351,-0.0672434974591939
5.786,-0.132197734603974,-0.0620595461393278
5.8,-0.138974438725015,-0.0565358797131537
5.814,-0.145497384895857,-0.0506639331836312
