"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.201183691486278,-0.173959610903434
3.014,-0.209382297442647,-0.161377091195458
3.028,-0.216614981535588,-0.148187321978964
3.042,-0.222807006934636,-0.134496017051239
3.056,-0.22790694391127,-0.120423862708411
3.07,-0.231889954532012,-0.106097874824946
3.084,-0.234757397720308,-0.0916424982901507
3.098,-0.236533181314923,-0.077171997440234
3.112,-0.237257894681444,-0.0627852427592406
3.126,-0.236982047860439,-0.0485633513286518
3.14,-0.235759676761847,-0.0345699779560188
3.154,-0.233643210204855,-0.0208535616590428
3.168,-0.230679978064106,-0.00745062451535386
3.182,-0.226910249117773,0.0056106843447598
3.196,-0.222366377063914,0.0183072880437529
3.21,-0.217072584635421,0.0306182202236012
3.224,-0.211049016708261,0.042521506615861
3.238,-0.204307024289501,0.0539966298557824
3.252,-0.196839651793974,0.0650137896501694
3.266,-0.188642385400304,0.0755283310950589
3.28,-0.179712659871005,0.0854806699159899
3.294,-0.17005665677513,0.0947957658185662
3.308,-0.159696633757909,0.103385579824312
3.322,-0.148677327069654,0.111154853732119
3.336,-0.137069811049228,0.118009762578311
3.35,-0.124971484797419,0.123868163213718
3.364,-0.112501569083792,0.128669544467404
3.378,-0.0997924808054115,0.132382588578992
3.392,-0.086978455767591,0.135008582894007
3.406,-0.0741835347225975,0.136579730841874
3.42,-0.0615112909312683,0.137152514775292
3.434,-0.049038364129004,0.13679737950206
3.448,-0.0368409904680896,0.135590684066672
3.462,-0.0249158519920594,0.133614582496271
3.476,-0.0132494438258857,0.130909987799553
3.49,-0.00183585167358298,0.127491416368356
3.504,0.00932189083053844,0.123352718995851
3.518,0.0202042474128556,0.118474439947805
3.532,0.0307717549301852,0.112832913013107
3.546,0.0409656380782764,0.106409108248407
3.56,0.0507115368054998,0.099195703104211
3.574,0.0599249821318922,0.0912015995406648
3.588,0.0685172729463823,0.0824538869952505
3.602,0.0764007919847261,0.0729978238831878
3.616,0.0834933623623648,0.0628956355454388
3.63,0.0897217599724814,0.052224793512796
3.644,0.0950247772899702,0.0410760638466701
3.658,0.0993561980089738,0.0295511833842184
3.672,0.102687732153878,0.0177597410340502
3.686,0.1050115260881,0.0058148421064708
3.7,0.106341500068526,-0.00617255922443375
3.714,0.106712655116773,-0.018100257245554
3.728,0.106177723127058,-0.0298813769581146
3.742,0.10480108026845,-0.0414496369000817
3.756,0.102650559029514,-0.0527619738352926
3.77,0.099788462225443,-0.0637975984009631
3.784,0.0962634839832884,-0.0745532689123251
3.798,0.0921052283569628,-0.0850354355854818
3.812,0.0873225560364509,-0.0952506793065802
3.826,0.0819061873636344,-0.105196324079509
3.84,0.075835054097482,-0.114853103141861
3.854,0.0690850745956174,-0.124181297914539
3.868,0.061638545749938,-0.133120972010651
3.882,0.0534713707654101,-0.141613095316984
3.896,0.0445878973380742,-0.149548077518957
3.91,0.0350585687050696,-0.156809875857381
3.924,0.0249615715263686,-0.163319767497821
3.938,0.0143906458776362,-0.169018592508868
3.952,0.0034478231699802,-0.173869407135036
3.966,-0.00776349543251253,-0.177857509169572
3.98,-0.0191443736691598,-0.180988544716468
3.994,-0.030604836202559,-0.183285470717028
4.008,-0.0420671459768186,-0.184784955102509
4.022,-0.0534681256755417,-0.185533480631073
4.036,-0.0647606918569873,-0.185583142010686
4.05,-0.075914525220751,-0.184987020458066
4.064,-0.0869155488676315,-0.183794139055816
4.078,-0.0977637759590373,-0.182044303609136
4.092,-0.108469214360119,-0.179763493838311
