"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.202347821391988,-0.173294909378534
3.014,-0.210224949979747,-0.160316081201018
3.028,-0.217006033145388,-0.146875926497864
3.042,-0.222680198813936,-0.133120805741839
3.056,-0.22727150874237,-0.119184666501411
3.07,-0.230830634052252,-0.105177717370446
3.084,-0.233422671538308,-0.0911797182333507
3.098,-0.235113538898223,-0.077239074928334
3.112,-0.235957633495844,-0.0633776837059406
3.126,-0.235989078833139,-0.0496002749095018
3.14,-0.235218021404347,-0.0359061356633188
3.154,-0.233632301969455,-0.0223007365173428
3.168,-0.231203690178506,-0.00880500131365386
3.182,-0.227897004025353,0.0045393437866198
3.196,-0.223680018877614,0.0176689255318529
3.21,-0.218532165687221,0.0305019561389012
3.224,-0.212450547041061,0.042946460847261
3.238,-0.205450646796831,0.0549046778380824
3.252,-0.197568689310574,0.0662750744035694
3.266,-0.188859078361704,0.0769662235914589
3.28,-0.179390411818405,0.0868966340402899
3.294,-0.16924235652103,0.0959966578563662
3.308,-0.158502960691209,0.104209585993712
3.322,-0.147266366189254,0.111492529730919
3.336,-0.135630518873828,0.117817437121111
3.35,-0.123694340021219,0.123172179590418
3.364,-0.111553969780092,0.127561220798904
3.378,-0.0992980894868115,0.131005110164992
3.392,-0.087002854526891,0.133538050133407
3.406,-0.0747274511379975,0.135203113882974
3.42,-0.0625115504826683,0.136045284740802
3.434,-0.050375839215904,0.13610320390456
3.448,-0.0383294036522896,0.135428574753272
3.462,-0.0263459648547594,0.134004728793871
3.476,-0.0144284955945457,0.131790574541953
3.49,-0.00260583555878298,0.128737431625256
3.504,0.00906479021583844,0.124791440907651
3.518,0.0204960205407556,0.119906612206605
3.532,0.0315744524862852,0.114057848560097
3.546,0.0421701528195764,0.107251302774807
3.56,0.0521499488888998,0.099529831706111
3.574,0.0613919554909923,0.0909722769368648
3.588,0.0697984411502823,0.0816866134973505
3.602,0.0773044567290261,0.0717983597226878
3.616,0.0838805892109648,0.0614366911605388
3.63,0.0895295433154814,0.050721173719396
3.644,0.0942776572012702,0.0397517949645701
3.658,0.0981635633211738,0.0286040845016184
3.672,0.101226723972578,0.0173298103796502
3.686,0.1034983745471,0.0059623708317708
3.7,0.104996566477126,-0.00547505973093375
3.714,0.105725769001883,-0.016961042655434
3.728,0.105680226900658,-0.0284692290983146
3.742,0.10484934660175,-0.0399649096537817
3.756,0.103223055552314,-0.0514049543730926
3.77,0.100795423418643,-0.0627402218182631
3.784,0.0975657129357984,-0.0739187943613251
3.798,0.0935371386724628,-0.0848882941547818
3.812,0.0887145752622509,-0.0955960735427802
3.826,0.0831029404100344,-0.105987067923709
3.84,0.076707803996782,-0.116000206771261
3.854,0.0695389804537174,-0.125565111244739
3.868,0.061616694786938,-0.134601054488551
3.882,0.0529585160182101,-0.143004914158084
3.896,0.0436444314285742,-0.150669137452487
3.91,0.0337970811984696,-0.157535553820081
3.924,0.0235299175764686,-0.163564530822521
3.938,0.0129609097359362,-0.168747317076668
3.952,0.0022001946669602,-0.173106490418536
3.966,-0.00866178279801253,-0.176690700849492
3.98,-0.0195628857889598,-0.179564408630268
