"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.243654482846143,-0.179520309602029
3.01,-0.247982714406218,-0.168853379140217
3.02,-0.251899396262938,-0.158322365614962
3.03,-0.255478798796336,-0.147917430732912
3.04,-0.25878578689231,-0.137609233549912
3.05,-0.26187111082589,-0.127352101297598
3.06,-0.264767664098641,-0.117088304188338
3.07,-0.26748795972998,-0.106753147599015
3.08,-0.270022993876056,-0.0962805386815896
3.09,-0.272342569361586,-0.0856086547775494
3.1,-0.274397051414246,-0.0746853350244
3.11,-0.276120431103972,-0.0634728394590422
3.12,-0.277434485893587,-0.0519516673161656
3.13,-0.278253753481193,-0.0401231932078041
3.14,-0.278490990789693,-0.0280109635194813
3.15,-0.278062759490871,-0.0156605861251581
3.16,-0.2768947840411,-0.00313824011560107
3.17,-0.274926748257453,0.0094720804993244
3.18,-0.272116243554458,0.0220723973184755
3.19,-0.26844164156211,0.0345553995037189
3.2,-0.263903737833711,0.0468096219662933
3.21,-0.25852609123007,0.0587248321397837
3.22,-0.252354063487655,0.0701973050861799
3.23,-0.245452637668952,0.0811346842186501
3.24,-0.237903161106833,0.0914601572906301
3.25,-0.229799213476073,0.101115722283912
3.26,-0.221241841428598,0.110064374971208
3.27,-0.212334430316354,0.118291107366631
3.28,-0.203177495888964,0.125802673802755
3.29,-0.193863679451921,0.132626140278809
3.3,-0.184473218285788,0.138806296170078
3.31,-0.175070138585996,0.14440206235529
3.32,-0.165699385767278,0.149482080150352
3.33,-0.156385063385,0.154119709561947
3.34,-0.147129901551034,0.158387699587426
3.35,-0.137916017499588,0.162352818804219
3.36,-0.128706966534098,0.166070749290373
3.37,-0.119451014733802,0.169581545726097
3.38,-0.110085492080021,0.172905949875335
3.39,-0.100542019049697,0.176042818530556
3.4,-0.090752332714948,0.178967876805673
3.41,-0.0806543855427757,0.181633944284192
3.42,-0.070198350339111,0.183972702375488
3.43,-0.0593521421363211,0.185897979054156
3.44,-0.0481060713605597,0.187310428944524
3.45,-0.0364762703901391,0.188103384473358
3.46,-0.0245065920744894,0.188169559607748
3.47,-0.0122687606830348,0.187408205451807
3.48,0.00013933780507029,0.185732257803581
3.49,0.0125972152161763,0.183074984522095
3.5,0.0249670465473349,0.179395644146166
3.51,0.0371003651304697,0.174683707961218
3.52,0.0488457881071147,0.168961274560543
3.53,0.0600572750572621,0.162283418755326
3.54,0.0706023550299224,0.154736357582556
3.55,0.0803697296739341,0.146433471934955
3.56,0.0892756809585123,0.137509389177317
3.57,0.0972687754639363,0.128112486445951
3.58,0.104332469015015,0.118396311592823
3.59,0.110485360717427,0.108510518850796
3.6,0.115779018499397,0.09859197429861
3.61,0.120293484737808,0.0887566921577083
3.62,0.124130752015692,0.0790932162850882
3.63,0.127406664100992,0.0696579607760439
3.64,0.130241827556233,0.0604728837437577
3.65,0.132752205404284,0.0515256887832261
3.66,0.135040096357743,0.0427725581075101
3.67,0.137186179277477,0.0341432209596951
3.68,0.13924322142069,0.0255479817561522
3.69,0.14123192273761,0.0168861786812624
3.7,0.14313920077251,0.00805543554694044
3.71,0.144919032431901,-0.00103898851240161
3.72,0.146495771829402,-0.0104754464378425
3.73,0.147769676907602,-0.0203083905224908
3.74,0.148624214292668,-0.0305626366842874
3.75,0.148934587772025,-0.0412298012230835
3.76,0.148576856437954,-0.0522671348124477
3.77,0.147436981854407,-0.0635987970377725
3.78,0.145419166297415,-0.0751194369704125
3.79,0.142452915638478,-0.086699782146991
3.8,0.138498368777579,-0.0981938091344187
3.81,0.133549572937752,-0.109446970824983
3.82,0.127635537984153,-0.120304905010757
3.83,0.120819058131707,-0.130622038913097
3.84,0.113193439401862,-0.140269535202991
3.85,0.104877399483595,-0.149142092559527
3.86,0.0960085126270218,-0.157163207007339
3.87,0.086735645843526,-0.164288614711497
3.88,0.077210874010361,-0.170507758686344
3.89,0.0675813721476352,-0.175843248241157
3.9,0.0579817633822531,-0.180348395611837
3.91,0.0485273559583675,-0.184103023093345
3.92,0.0393086379112149,-0.187207821536886
3.93,0.0303873167926048,-0.189777611983742
3.94,0.0217940994173979,-0.191933911491507
3.95,0.0135283125759441,-0.193797230628875
3.96,0.005559362951602,-0.19547953860105
3.97,-0.0021700584027232,-0.197077316153469
3.98,-0.0097392145492986,-0.198665583894624
3.99,-0.0172432720155737,-0.200293242943413
4,-0.0247863006535912,-0.201979996727424
4.01,-0.0324737164962862,-0.203715040109135
4.02,-0.0404045979748333,-0.205457611565689
4.03,-0.0486643217161441,-0.207139399934706
4.04,-0.0573179566017381,-0.208668695053843
4.05,-0.0664048235451447,-0.209936067159341
4.06,-0.0759345731201205,-0.210821264497704
4.07,-0.0858850522312453,-0.21120093732699
4.08,-0.09620213427269,-0.210956732190306
4.09,-0.106801569935384,-0.209983264247338
4.1,-0.117572794317942,-0.208195465351563
4.11,-0.128384498403931,-0.205534829280497
4.12,-0.139091656358232,-0.201974130612856
4.13,-0.149543595725821,-0.197520277067475
4.14,-0.159592618005256,-0.192215069215951
4.15,-0.16910262680563,-0.186133767486459
4.16,-0.177957206703856,-0.179381511514728
4.17,-0.186066616560166,-0.172087776371299
4.18,-0.193373221075341,-0.164399187091465
4.19,-0.199854976504497,-0.156471126395953
4.2,-0.205526709172932,-0.148458661613941
4.21,-0.210439064747943,-0.140507369810096
4.22,-0.2146751615036,-0.132744659422195
4.23,-0.218345130534753,-0.125272160534256
4.24,-0.221578871072278,-0.118159696057945
4.25,-0.224517470340616,-0.111441246201283
4.26,-0.227303830028649,-0.105113193592211
4.27,-0.2300731016529,-0.099134989432817
4.28,-0.232943550105717,-0.0934322234881069
4.29,-0.236008443440289,-0.0879019229748088
4.3,-0.239329506269851,-0.0824197602720486
4.31,-0.242932375627493,-0.0768487204172507
4.32,-0.246804374550666,-0.0710486822896464
4.33,-0.250894770529009,-0.0648863039098066
4.34,-0.255117526630135,-0.0582445755769282
4.35,-0.259356397190298,-0.0510314219763622
4.36,-0.263472062743218,-0.0431867878269099
4.37,-0.267310870763442,-0.0346877332618501
4.38,-0.270714637364107,-0.0255511867634457
4.39,-0.273530894336086,-0.01583414869531
4.4,-0.275622927127221,-0.00563129748658441
4.41,-0.276878954277967,0.00492988329431741
4.42,-0.277219845311696,0.0156961797496639
4.43,-0.276604856278197,0.0264975020732049
4.44,-0.275034980259524,0.0371569746989714
4.45,-0.272553656937947,0.0475016296542453
4.46,-0.269244751350492,0.0573730203682999
4.47,-0.265227882589823,0.0666370628866061
4.48,-0.260651362987783,0.0751924506102374
4.49,-0.255683163460598,0.0829770639548936
4.5,-0.250500463878074,0.0899719185043654
4.51,-0.245278448813838,0.0962023446172946
4.52,-0.240179078719442,0.101736268618151
4.53,-0.235340578398603,0.106679655688972
4.54,-0.230868361083685,0.111169364903196
4.55,-0.226828020128974,0.115363847338246
4.56,-0.223240898825684,0.119432273105721
4.57,-0.220082583972207,0.123542793142299
4.58,-0.217284476883487,0.127850716527638
4.59,-0.214738388165235,0.132487405977739
4.6,-0.212303892922013,0.137550662390082
4.61,-0.209817987899438,0.143097281103184
4.62,-0.207106421089347,0.149138325212132
4.63,-0.203995939706347,0.155637482069394
4.64,-0.200326621151775,0.162512660545891
4.65,-0.19596343566025,0.169640759930072
4.66,-0.190806227947391,0.176865320534993
4.67,-0.184797406100481,0.184006555909016
4.68,-0.177926779387146,0.190873093230356
4.69,-0.170233180055994,0.197274621274502
4.7,-0.161802730812879,0.203034569404928
4.71,-0.152763853137215,0.208001935014703
4.72,-0.143279347600316,0.21206142803539
4.73,-0.133536081949789,0.215141216716581
4.74,-0.123733000767971,0.217217724901826
4.75,-0.114068287658112,0.218317140065896
4.76,-0.104726574146161,0.218513522304116
4.77,-0.095867087073165,0.217923646915667
4.78,-0.0876135578142743,0.216698942909502
4.79,-0.0800465910918541,0.215015096495464
4.8,-0.0731990140557806,0.213060048154791
4.81,-0.0670545135787258,0.211021225386313
4.82,-0.0615496381016261,0.209072897500673
4.83,-0.0565790006748912,0.207364526815446
4.84,-0.052003300437502,0.206010911387734
4.85,-0.0476595840353128,0.205084780646262
4.86,-0.0433730223089467,0.204612330034519
4.87,-0.0389693779367313,0.204571966642198
4.88,-0.0342873062572678,0.20489631664946
4.89,-0.0291896523779673,0.205477316539948
4.9,-0.0235729935525187,0.206174003294094
4.91,-0.0173748020611137,0.206822439356277
4.92,-0.0105777824480892,0.207247074618202
4.93,-0.00321113204116596,0.207272758301092
4.94,0.0046513125351999,0.206736590623179
4.95,0.0128958694407338,0.20549882373296
4.96,0.0213763815813504,0.203452105479523
4.97,0.0299236325807111,0.2005284806843
4.98,0.0383561522301774,0.196703726866023
4.99,0.0464916810756111,0.191998785107745
5,0.0541585306010763,0.186478242154564
5.01,0.0612061018431256,0.180246015352588
