"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.243541916016703,-0.179362759321029
3.01,-0.247892811495218,-0.168687037806217
3.02,-0.251812294582938,-0.158124967360962
3.03,-0.255365091095336,-0.147678987520912
3.04,-0.25861239579631,-0.137335171763912
3.05,-0.26160798746689,-0.127063905895598
3.06,-0.264394328386641,-0.116821527050538
3.07,-0.26699891198298,-0.106553004178515
3.08,-0.269431171456056,-0.0961956556475896
3.09,-0.271680278491586,-0.0856837959445494
3.1,-0.273714138933246,-0.0749540877294
3.11,-0.275479829329972,-0.0639512684110422
3.12,-0.276905617276687,-0.0526338344341656
3.13,-0.277904572983593,-0.0409792142538041
3.14,-0.278379635979693,-0.0289879561764813
3.15,-0.278229845090871,-0.0166865006081581
3.16,-0.2773573123381,-0.00412820036560107
3.17,-0.275674417918453,0.0086076126653244
3.18,-0.273110653190458,0.0214185511173755
3.19,-0.26961853829711,0.0341839458555189
3.2,-0.265178100522711,0.0467711597832933
3.21,-0.25979950847407,0.0590429856917837
3.22,-0.253523608902655,0.0708655667621799
3.23,-0.246420289325952,0.0821162263036501
3.24,-0.238584774135833,0.0926905971506301
3.25,-0.230132134938173,0.102508500778912
3.26,-0.221190438801598,0.111518137961208
3.27,-0.211893061932354,0.119698294320631
3.28,-0.202370746975964,0.127058434824755
3.29,-0.192743982067921,0.133636725389809
3.3,-0.183116231341788,0.139496178453078
3.31,-0.173568456328996,0.14471924657249
3.32,-0.164155252153278,0.149401280245352
3.33,-0.154902790536,0.153643318689947
3.34,-0.145808631202034,0.157544693565426
3.35,-0.136843342649588,0.161195903103219
3.36,-0.127953771717098,0.164672166134373
3.37,-0.119067724963302,0.168027996552097
3.38,-0.110099767690421,0.171293067111335
3.39,-0.100957816067697,0.174469553632556
3.4,-0.091550176894948,0.177531080320673
3.41,-0.0817926836167757,0.180423319915192
3.42,-0.071615577222111,0.183066240180488
3.43,-0.0609697822613211,0.185357926414156
3.44,-0.0498322381405597,0.187179847071424
3.45,-0.0382099620261391,0.188403359696358
3.46,-0.0261425493624894,0.188897181500748
3.47,-0.0137028657500348,0.188535471994807
3.48,-0.00099575595192971,0.187206102995581
3.49,0.0118453064511763,0.184818629364095
3.5,0.0246635832422149,0.181311436120166
3.51,0.0372862643594697,0.176657533033218
3.52,0.0495331528401147,0.170868501703543
3.53,0.0612263626092621,0.163996183835326
3.54,0.0722004261119224,0.156131828261556
3.55,0.0823121200649341,0.147402580047955
3.56,0.0914492839465123,0.137965395494817
3.57,0.0995379257569363,0.127998672609951
3.58,0.106546999677015,0.117692090928823
3.59,0.112490385757427,0.107235325842796
3.6,0.117425799811397,0.09680643081861
3.61,0.121450595818808,0.0865607451147083
3.62,0.124694668164762,0.0766211793390882
3.63,0.127310901323992,0.0670706495560439
3.64,0.129463821322233,0.0579472871957577
3.65,0.131317262716284,0.0492428434352261
3.66,0.133021956781743,0.0409044702805101
3.67,0.134703968418477,0.0328397958376951
3.68,0.13645485249869,0.0249249602017222
3.69,0.13832427850461,0.0170150481682624
3.7,0.14031568831851,0.00895617208794044
3.71,0.142385328045901,0.00059833190259839
3.72,0.144444745404402,-0.0081918764738425
3.73,0.146366592558602,-0.0175196240374908
3.74,0.147993334966268,-0.0274521213132874
3.75,0.149148262121025,-0.0380115032100835
3.76,0.149648033318954,-0.0491708415124477
3.77,0.149315887573407,-0.0608535819547725
3.78,0.147994599301415,-0.0729364658384125
3.79,0.145558280606478,-0.085255754037991
3.8,0.141922207529579,-0.0976163494087187
3.81,0.137049978972752,-0.109803210473983
3.82,0.130957497023153,-0.121594292949757
3.83,0.123713468108707,-0.132774147530097
3.84,0.115436360833862,-0.143147249134991
3.85,0.106287995749595,-0.152550144938527
3.86,0.0964641759889218,-0.160861579616339
3.87,0.086182974901526,-0.168009887165497
3.88,0.075671464770361,-0.173977119358344
3.89,0.0651517876736352,-0.178799604499157
3.9,0.0548275243122531,-0.182564872647837
3.91,0.0448713037203675,-0.185405142734345
3.92,0.0354145170622149,-0.187487807184886
3.93,0.0265398547216048,-0.189003567976242
3.94,0.0182771864113979,-0.190153046086507
3.95,0.0106030712019441,-0.191132797324875
3.96,0.003443919091602,-0.19212171072605
3.97,-0.0033174302287232,-0.193268734403469
3.98,-0.0098321913212986,-0.194682774058624
3.99,-0.0162738634930737,-0.196425449391413
4,-0.0228250466665912,-0.198507180901424
4.01,-0.0296637670792862,-0.200886837900135
4.02,-0.0369502592648333,-0.203474926409689
4.03,-0.0448150995151441,-0.206140045270706
4.04,-0.0533494732677381,-0.208718121290843
4.05,-0.0625981936561447,-0.211023753393041
4.06,-0.0725558862701205,-0.212862870978704
4.07,-0.0831665296262453,-0.21404584698599
4.08,-0.09432631611869,-0.214400199793306
4.09,-0.105889580783384,-0.213782074432338
4.1,-0.117677359969942,-0.212085794733563
4.11,-0.129487987573531,-0.209250924579497
4.12,-0.141109033208232,-0.205266447000856
4.13,-0.152329824822821,-0.200171855189475
4.14,-0.162953787066256,-0.194055142879951
4.15,-0.17280985775763,-0.187047857200459
4.16,-0.181762317353856,-0.179317546821728
4.17,-0.189718467461166,-0.171058073685399
4.18,-0.196633725075341,-0.162478371478165
4.19,-0.202513845384497,-0.153790310309953
4.2,-0.207414147206932,-0.145196373312941
4.21,-0.211435775852943,-0.136877859901096
4.22,-0.2147192048296,-0.128984306654195
4.23,-0.217435327979453,-0.121624754832256
4.24,-0.219774637106778,-0.114861403458945
4.25,-0.221935097877616,-0.108706061161283
4.26,-0.224109425167649,-0.103119661192211
4.27,-0.2264725187769,-0.098014933233817
4.28,-0.229169831853717,-0.0932621395431069
4.29,-0.232307417218289,-0.0886975940998088
4.3,-0.235944320454851,-0.0841345020992786
4.31,-0.240087863999493,-0.0793754917552507
4.32,-0.244692205597666,-0.0742260786556464
4.33,-0.249660353459009,-0.0685082141458066
4.34,-0.254849598350135,-0.0620730293089282
4.35,-0.260080097648298,-0.0548119092933622
4.36,-0.265146116481318,-0.0466651143389099
4.37,-0.269829238917442,-0.0376273048268501
4.38,-0.273912699570107,-0.0277495214624457
4.39,-0.277195886408086,-0.01713740437831
4.4,-0.279508024189221,-0.00594569115058441
4.41,-0.280720080797967,0.00563070135131741
4.42,-0.280754044263696,0.0173684600480639
4.43,-0.279588883894197,0.0290297573892049
4.44,-0.277262732270524,0.0403773016919714
4.45,-0.273871086556947,0.0511895288312453
4.46,-0.269561109053492,0.0612748845132999
4.47,-0.264522379697823,0.0704841957756061
4.48,-0.258974715697383,0.0787202619302374
4.49,-0.253153878232598,0.0859439797848936
4.5,-0.247296145078074,0.0921765649453654
4.51,-0.241622805879838,0.0974977003582946
4.52,-0.236325649713442,0.102039730890151
4.53,-0.231554436081603,0.105978297939972
4.54,-0.227407210183685,0.109520054863986
4.55,-0.223924115598974,0.112888303659246
4.56,-0.221085118700684,0.116307532142721
4.57,-0.218811787649207,0.119987900523299
4.58,-0.216972992032487,0.124110722929638
4.59,-0.215394126110235,0.128815914210739
4.6,-0.213869224045513,0.134192233550082
4.61,-0.212175149226138,0.140270962773184
4.62,-0.210086905650347,0.147023424022132
4.63,-0.207393056649347,0.154362485664394
4.64,-0.203910231994775,0.162147942843891
4.65,-0.19949577489425,0.170195404131072
4.66,-0.194057703837391,0.178288094018393
4.67,-0.187561343540481,0.186190790484516
4.68,-0.180032198227146,0.193664983548356
4.69,-0.171554881083994,0.200484265457502
4.7,-0.162268173099879,0.206448945090928
4.71,-0.152356529289215,0.211398933769703
4.72,-0.142038586762316,0.21522405705539
4.73,-0.131553418005489,0.217871112156581
4.74,-0.121145430139971,0.219347199751826
4.75,-0.111048898581112,0.219719100665896
4.76,-0.101473155759161,0.219108724825116
4.77,-0.092589420272165,0.217684921534667
4.78,-0.0845201487942743,0.215652181925502
4.79,-0.0773316322418541,0.213236980227433
4.8,-0.0710303444057806,0.210672660962791
4.81,-0.0655632998687258,0.208183890474313
4.82,-0.0608224084346261,0.205971723480673
4.83,-0.0566525342508912,0.204200304291446
4.84,-0.052862713178502,0.202986113087734
4.85,-0.0492397560505128,0.202390493556262
4.86,-0.0455632990709467,0.202415974674519
4.87,-0.0416212550547313,0.203006626357198
4.88,-0.0372245949452678,0.20405240999046
4.89,-0.0322204356509673,0.205397194942948
4.9,-0.0265025410525187,0.206849856296094
4.91,-0.0200185272411137,0.208197649993677
4.92,-0.0127733140080892,0.209220910229202
4.93,-0.00482863386316596,0.209708025011092
4.94,0.0037013019821999,0.209469650996179
4.95,0.0126576071697338,0.20835119438196
4.96,0.0218473823353504,0.206242736865523
4.97,0.0310564357521111,0.2030857845443
4.98,0.0400631374151774,0.198876463986023
4.99,0.0486524373176111,0.193665050844745
5,0.0566290959880763,0.187551977881564
5.01,0.0638292730401256,0.180680709641588
5.02,0.0701297671302492,0.173228067265732
5.03,0.0754543939035615,0.165392733697916
5.04,0.0797772083425868,0.157382755849456
5.05,0.0831224988518041,0.149402879658766
5.06,0.0855616967521973,0.141642520240813
5.07,0.0872075307018255,0.134265076909588
5.08,0.0882059034455812,0.127399180121548
5.09,0.0887260815711608,0.121132298750164
5.1,0.0889498408533369,0.115506972862253
5.11,0.0890602339858376,0.110519769014681
5.12,0.0892306206810984,0.106122901676396
5.13,0.0896145492322128,0.102228325004278
5.14,0.090336999044747,0.098713988795659
5.15,0.091487401874798,0.0954318586771767
5.16,0.093114754266945,0.0922172410194646
5.17,0.095225029096497,0.0888989049705126
5.18,0.097780984128489,0.0853094785813646
5.19,0.100704358091571,0.0812955853645036
5.2,0.103880339606352,0.076727206769349
5.21,0.107164092317026,0.0715057831667731
5.22,0.11038901733448,0.065570616324747
5.23,0.113376345941296,0.0589032033637923
5.24,0.115945571337821,0.0515292224397224
5.25,0.11792516413315,0.0435179972568214
5.26,0.119162970299025,0.0349793975949767
5.27,0.119535682847125,0.0260582736535171
5.28,0.118956791115664,0.0169266726428637
5.29,0.117382478065765,0.00777423211105482
5.3,0.114815031441442,-0.00120271722769521
5.31,0.111303472463084,-0.00981269988999515
5.32,0.106941274424484,-0.017880579218659
5.33,0.101861229142352,-0.0252582326419196
5.34,0.0962277171650139,-0.0318336964641209
5.35,0.0902268258277207,-0.037538138507281
5.36,0.0840549228278939,-0.0423501402839083
5.37,0.0779064202138632,-0.046296947695292
5.38,0.0719615408320073,-0.0494525506883453
5.39,0.0663749173133533,-0.0519326737633201
5.4,0.0612658073855779,-0.0538869805796126
5.41,0.0567106096330776,-0.0554889976473833
5.42,0.0527382042085835,-0.0569244286075041
5.43,0.0493284471704669,-0.0583786500615216
5.44,0.0464139256817287,-0.060024238940004
5.45,0.0438848509613058,-0.0620093789011007
5.46,0.0415967445079495,-0.0644479275841382
5.47,0.0393803843876862,-0.0674118067140378
5.48,0.0370533237387013,-0.0709262046664153
5.49,0.0344321963397923,-0.074967886770194
5.5,0.0313449823497285,-0.0794666869913634
5.51,0.0276424244016361,-0.0843100384641024
5.52,0.0232078593584169,-0.0893502023023353
5.53,0.0179648506324514,-0.0944136770414206
5.54,0.0118821685967919,-0.0993121435711883
5.55,0.0049758473614664,-0.103854215718504
5.56,-0.0026917535387659,-0.107857233574704
5.57,-0.0110157643841719,-0.111158354053687
5.58,-0.0198551995290567,-0.113624262546794
5.59,-0.029041478685783,-0.115158929328393
5.6,-0.0383885078481189,-0.115708978143155
5.61,-0.047703672080678,-0.115266387373511
5.62,-0.056799055124989,-0.113868418380673
5.63,-0.0655022087116921,-0.111594830081517
5.64,-0.0736658388289325,-0.108562601519851
5.65,-0.0811758568020255,-0.104918521840904
5.66,-0.0879573516417086,-0.100830122183426
5.67,-0.0939781730006741,-0.0964755068317732
5.68,-0.0992499525252056,-0.0920326927184889
5.69,-0.103826545000605,-0.0876690781487452
5.7,-0.107800011002116,-0.0835316444275884
5.71,-0.111294399568163,-0.0797384425789715
5.72,-0.114457705964156,-0.0763718368358949
5.73,-0.117452474936424,-0.0734738768025627
5.74,-0.120445591674483,-0.0710440483829816
5.75,-0.123597838235747,-0.0690395239127236
5.76,-0.127053811564192,-0.0673778942002252
5.77,-0.130932773240247,-0.0659422327088851
