"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.243945667460863,-0.183999882063429
3.01,-0.249381310448718,-0.173182669396817
3.02,-0.254356901758938,-0.162227144501662
3.03,-0.258877410919236,-0.151135186790012
3.04,-0.26294012671911,-0.139907616210712
3.05,-0.26653533110419,-0.128547598313198
3.06,-0.269648274173741,-0.117063377605538
3.07,-0.27226204289828,-0.105469872511615
3.08,-0.274360759867856,-0.0937888763346896
3.09,-0.275932492817686,-0.0820478671701194
3.1,-0.276971313247246,-0.07027768925879
3.11,-0.277478104374872,-0.0585095814832422
3.12,-0.277459956023887,-0.0467721557271656
3.13,-0.276928254735493,-0.0350889429662041
3.14,-0.275895831639493,-0.0234770254768813
3.15,-0.274373720154371,-0.0119470739954581
3.16,-0.2723681655332,-0.000504846856201074
3.17,-0.269878498999263,0.0108460698902244
3.18,-0.266896345839258,0.0221007441079755
3.19,-0.26340640330031,0.0332492245614189
3.2,-0.259388743371811,0.0442733859616933
3.21,-0.25482231812327,0.0551448919256837
3.22,-0.249689122173655,0.0658246936046799
3.23,-0.243978339272952,0.0762642226449501
3.24,-0.237689790748833,0.0864081483823301
3.25,-0.230836114471273,0.0961983024321123
3.26,-0.223443313184798,0.105578177853208
3.27,-0.215549581611054,0.114497317806631
3.28,-0.207202603745684,0.122914936837755
3.29,-0.198455753824121,0.130802256842809
3.3,-0.189363795485588,0.138143263333078
3.31,-0.179978726787996,0.14493385214889
3.32,-0.170346359221278,0.151179593345952
3.33,-0.160504062814,0.156892542373347
3.34,-0.150479889622034,0.162087644299926
3.35,-0.140293049055588,0.166779289768119
3.36,-0.129955495412998,0.170978495698973
3.37,-0.119474238675702,0.174691022711097
3.38,-0.108853926874221,0.177916542927335
3.39,-0.0980992778274692,0.180648775851556
3.4,-0.087217043252048,0.182876357694673
3.41,-0.0762173421502757,0.184584125770192
3.42,-0.065114364267011,0.185754496613388
3.43,-0.0539265807623211,0.186368686298756
3.44,-0.0426766805155597,0.186407641206424
3.45,-0.0313914604841391,0.185852684079198
3.46,-0.0201018408414894,0.184685997693348
3.47,-0.00884306783203483,0.182891138225107
3.48,0.00234495929897029,0.180453773505181
3.49,0.0134174130050763,0.177362777995095
3.5,0.0243245550726349,0.173611701438166
3.51,0.0350122880054497,0.169200489937218
3.52,0.0454234092008147,0.164137211655543
3.53,0.0554996072413621,0.158439457867326
3.54,0.0651840775145224,0.152135077910656
3.55,0.0744244767449341,0.145261972748355
3.56,0.0831758189675123,0.137866808587517
3.57,0.0914028683149363,0.130002694342851
3.58,0.0990816231120154,0.121726059251723
3.59,0.106199608006927,0.113093129129496
3.6,0.112754876716497,0.10415649707061
3.61,0.118753842957508,0.0949622931827083
3.62,0.124208259324282,0.0855483727140882
3.63,0.129131813251392,0.0759437762750439
3.64,0.133536874732033,0.0661695005687577
3.65,0.137431898004384,0.0562403928873261
3.66,0.140819853871143,0.0461677934297101
3.67,0.143697875114477,0.0359624310694951
3.68,0.14605807185369,0.0256370555720504
3.69,0.14788926233581,0.0152083652694624
3.7,0.14917920811981,0.00469794804774044
3.71,0.149916872158901,-0.00586783732360161
3.72,0.150094246549602,-0.0164588961398425
3.73,0.149707416563802,-0.0270430263943908
3.74,0.148756712144268,-0.0375877121494874
3.75,0.147246009102495,-0.0480616409425835
3.76,0.145181433943454,-0.0584355875749477
3.77,0.142569859315007,-0.0686824669332725
3.78,0.139417622704315,-0.0787765603194125
3.79,0.135729850891878,-0.088692120502891
3.8,0.131510636539579,-0.0984017174202187
3.81,0.126764120506752,-0.107874764940193
3.82,0.121496325079153,-0.117076652773957
3.83,0.115717402084707,-0.125968799203797
3.84,0.109443845763362,-0.134509760775291
3.85,0.102700196058595,-0.142657322547127
3.86,0.0955198307139218,-0.150371288943339
3.87,0.087944599383066,-0.157616543317497
3.88,0.080023258846661,-0.164365874061344
3.89,0.0718088851575352,-0.170602090877157
3.9,0.0633556221414531,-0.176319070520737
3.91,0.0547152415543675,-0.181521553884745
3.92,0.0459340166752149,-0.186223728081286
3.93,0.0370503452006048,-0.190446827399502
3.94,0.0280934152013979,-0.194216136321007
3.95,0.0190830205069441,-0.197557850348675
3.96,0.010030436645402,-0.20049623511805
3.97,0.0009401061937768,-0.203051429588469
3.98,-0.0081882186113986,-0.205238088905624
3.99,-0.0173572506372137,-0.207064891478413
4,-0.0265701807107912,-0.208534779481424
4.01,-0.0358291359286862,-0.209645694974135
4.02,-0.0451341489898333,-0.210391534390689
4.03,-0.0544825676461441,-0.210763075900206
4.04,-0.0638687352677381,-0.210748724610443
4.05,-0.0732837356441447,-0.210335043402151
4.06,-0.0827150247031205,-0.209507159504604
4.07,-0.0921458603892453,-0.20824922580819
4.08,-0.10155456553769,-0.206545147142306
4.09,-0.110913785214984,-0.204379744208338
4.1,-0.120189996036642,-0.201740426891563
4.11,-0.129343561272331,-0.198619306150497
4.12,-0.138329588518332,-0.195015520462856
4.13,-0.147099735476221,-0.190937426225475
4.14,-0.155604943113256,-0.186404234383951
4.15,-0.16379888490063,-0.181446688212759
4.16,-0.171641745007856,-0.176106477478628
4.17,-0.179103814727166,-0.170434257497999
4.18,-0.186168355426341,-0.164486361491365
4.19,-0.192833231728497,-0.158320520665953
4.2,-0.199110967592332,-0.151991096132941
4.21,-0.205027096993943,-0.145544444127096
4.22,-0.21061693598798,-0.139015053859195
4.23,-0.215921146948853,-0.132423010570256
4.24,-0.220980658726778,-0.125773156085945
4.25,-0.225831611444616,-0.119056074559283
4.26,-0.230500993345649,-0.112250764476811
4.27,-0.2350035308879,-0.105328613837617
4.28,-0.239340198466717,-0.0982581148416069
4.29,-0.243498467600289,-0.0910096678718088
4.3,-0.247454158492851,-0.0835598426872786
4.31,-0.251174533164993,-0.0758945820702507
4.32,-0.254622116538466,-0.0680110250206464
4.33,-0.257758670313039,-0.0599178568848066
4.34,-0.260548780827335,-0.0516343208269282
4.35,-0.262962643231598,-0.0431882095163622
4.36,-0.264977801995318,-0.0346132699439099
4.37,-0.266579807308442,-0.0259464812402501
4.38,-0.267761929324107,-0.0172256103544457
4.39,-0.268524206214086,-0.00848732852967004
4.4,-0.268872166163221,0.000233986126715588
4.41,-0.268815552697967,0.00890679512921741
4.42,-0.268367306037696,0.0175024617456639
4.43,-0.267542931837097,0.0259950726592049
4.44,-0.266360252631624,0.0343612754179714
4.45,-0.264839416363447,0.0425803379252453
4.46,-0.263002956278492,0.0506345386042999
4.47,-0.260875672248023,0.0585098741806061
4.48,-0.258484139084183,0.0661969571992374
4.49,-0.255855732064598,0.0736918883667936
4.5,-0.253017174883074,0.0809968532645654
4.51,-0.249992734702838,0.0881202118316946
4.52,-0.246802288259442,0.0950759211843513
4.53,-0.243459540144603,0.101882240621772
4.54,-0.239970680272685,0.108559791939296
4.55,-0.236333718836974,0.115129162031246
4.56,-0.232538645921784,0.121608318808721
4.57,-0.228568446272507,0.128010148917299
4.58,-0.224400879399487,0.134340413123638
4.59,-0.220010833673435,0.140596355800739
4.6,-0.215372995520013,0.146766113601082
4.61,-0.210464551277138,0.152828962270184
4.62,-0.205267658003347,0.158756339679832
4.63,-0.199771473303347,0.164513504960094
4.64,-0.193973606827775,0.170061646171091
4.65,-0.18788093309325,0.175360237438272
4.66,-0.181509769632391,0.180369462784993
4.67,-0.174885468361481,0.185052559107516
4.68,-0.168041487132646,0.189377969921356
4.69,-0.161018007343974,0.193321232728502
4.7,-0.153860152732079,0.196866537571928
4.71,-0.146615854179415,0.200007891188703
4.72,-0.139333409859316,0.20274980494739
4.73,-0.132058813411489,0.205107405852581
4.74,-0.124832967927971,0.207105863186726
4.75,-0.117688961597112,0.208779039370806
4.76,-0.110649639615161,0.210167322572316
4.77,-0.103725748704165,0.211314680268667
4.78,-0.0969149391042743,0.212265079545502
4.79,-0.0902018706758541,0.213058536329433
4.8,-0.0835595813752806,0.213727160022791
4.81,-0.0769521419317258,0.214291629696313
4.82,-0.0703384568226261,0.214758553577673
4.83,-0.0636769007978912,0.215119112345446
4.84,-0.056930332427502,0.215349268339734
4.85,-0.0500709270745128,0.215411647195562
4.86,-0.0430842440229467,0.215258989130888
4.87,-0.0359719982027313,0.214838852365898
4.88,-0.0287531420822678,0.21409906703846
4.89,-0.0214630653519673,0.212993313188948
4.9,-0.0141509587978187,0.211486155506094
4.91,-0.00687563122311369,0.209556918899477
4.92,0.000299723607610822,0.207201931132202
4.93,0.00731317062923404,0.204434869255092
4.94,0.0141093968121999,0.201285197440179
4.95,0.0206441481137338,0.19779493665096
4.96,0.0268872321343504,0.194014221995923
4.97,0.0328237856117111,0.18999625112544
4.98,0.0384537515991774,0.185792283867123
4.99,0.0437897561856111,0.181447312046545
5,0.0488537818140763,0.176996890203564
5.01,0.0536731729102256,0.172465422393588
5.02,0.0582765607555492,0.167865972923732
5.03,0.0626902537711015,0.163201445334516
5.04,0.0669355185865868,0.158466789502456
5.05,0.0710269983112041,0.153651779875766
5.06,0.0749723116951973,0.148743872144813
5.07,0.0787726829368255,0.143730693707888
5.08,0.0824243011265812,0.138601841264148
5.09,0.0859200209111608,0.133349821708354
5.1,0.0892510056893369,0.127970151376953
5.11,0.0924079768168376,0.122460788770381
5.12,0.0953818529530984,0.116821191565996
5.13,0.0981637166184128,0.111051340632278
5.14,0.100744202742247,0.105151055580659
5.15,0.103112534359298,0.0991198443671767
5.16,0.105255513315604,0.0929574013565646
5.17,0.107156792287597,0.0866647187625126
5.18,0.108796708549489,0.0802456340743646
5.19,0.110152857620671,0.0737085275635036
5.2,0.111201446619352,0.067067827605049
5.21,0.111919317655026,0.0603449888314731
5.22,0.11228639774858,0.053568676421137
5.23,0.112288236925296,0.0467740071010923
5.24,0.111918256999821,0.0400008439295224
5.25,0.11117935551015,0.0332912919208214
5.26,0.110084590027725,0.0266866711379767
5.27,0.108656790999025,0.0202243302335171
5.28,0.106927099183764,0.0139346965468637
5.29,0.104932569694865,0.00783893158205482
5.3,0.102713109026742,0.00194748141830479
5.31,0.100308093273084,-0.00374030646699515
5.32,0.0977530478604842,-0.00923546532985895
5.33,0.0950767470813516,-0.0145576906125196
5.34,0.0922990249990139,-0.0197328331438209
5.35,0.0894294890149207,-0.024789893339181
5.36,0.0864672138798939,-0.0297578381919083
5.37,0.0834013821288632,-0.034662551855292
5.38,0.0802127446215073,-0.0395241846283453
5.39,0.0768757111595533,-0.0443550944283201
5.4,0.0733608495571779,-0.0491584950806126
5.41,0.0696375706234776,-0.0539278499342833
5.42,0.0656767984475835,-0.0586469874175041
5.43,0.0614534593614669,-0.0632908722555216
5.44,0.0569486603657287,-0.067826942852004
5.45,0.0521514586943058,-0.0722169158273007
5.46,0.0470601461519495,-0.0764189563936382
5.47,0.0416829841759862,-0.0803901106611378
5.48,0.0360383343747013,-0.0840888862074153
5.49,0.0301541395737923,-0.087477849287194
5.5,0.0240667323278285,-0.0905260827353634
5.51,0.0178189845208861,-0.0932113252941024
5.52,0.0114578647188169,-0.0955215991403353
5.53,0.00503153686895144,-0.0974561385914206
5.54,-0.0014137964872081,-0.0990254664071883
5.55,-0.0078370422215336,-0.100250526926104
5.56,-0.0142050529457659,-0.101160875826704
5.57,-0.0204948452581719,-0.101792033545887
5.58,-0.0266949316930567,-0.102182218011594
5.59,-0.032805579270783,-0.102368767318393
5.6,-0.0388379227125189,-0.102384622335155
5.61,-0.044811997195678,-0.102255254539511
5.62,-0.050753891716789,-0.101996384653673
5.63,-0.0566923398268921,-0.101612748641517
5.64,-0.0626551391690325,-0.101098037358851
5.65,-0.0686658121350255,-0.100435986490904
5.66,-0.0747408808377086,-0.099602444874826
5.67,-0.0808880370336741,-0.0985681273962732
5.68,-0.0871053555212056,-0.0973016824072889
5.69,-0.093381549089605,-0.0957726851712452
5.7,-0.099697120753116,-0.0939542110653884
5.71,-0.106026157194163,-0.0918247350803715
5.72,-0.112338444603656,-0.0893692318888949
5.73,-0.118601583594024,-0.0865794879235627
5.74,-0.124782831018683,-0.0834537590469816
5.75,-0.130850491694047,-0.0799959940487236
5.76,-0.136774800651592,-0.0762148778202252
5.77,-0.142528353620747,-0.0721229286788851
5.78,-0.148086234891731,-0.0677358156159727
5.79,-0.153426039764159,-0.0630719619496013
5.8,-0.158527985963182,-0.0581523934167035
5.81,-0.163375254095991,-0.0530006966126127
5.82,-0.167954606571189,-0.0476428975817111
5.83,-0.172257226945084,-0.0421070647074533
5.84,-0.176279621602807,-0.0364224861308894
5.85,-0.180024357173471,-0.0306183618918569
5.86,-0.183500386014432,-0.0247220665548214
5.87,-0.186722747215333,-0.0187571550377035
