"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.243663464596463,-0.185192918537229
3.01,-0.249425841824618,-0.174367366078717
3.02,-0.254699470161338,-0.163317666040962
3.03,-0.259467879970936,-0.152061822993812
3.04,-0.26371401503291,-0.140621803099512
3.05,-0.26742198597229,-0.129024070252688
3.06,-0.270578986014441,-0.117299245114078
3.07,-0.27317693097688,-0.105480882370815
3.08,-0.275213425039856,-0.0936035733348896
3.09,-0.276691791359886,-0.0817007519373494
3.1,-0.277620111992266,-0.0698026704204
3.11,-0.278009448616652,-0.0579349916972422
3.12,-0.277871609983787,-0.0461183201443656
3.13,-0.277216947369593,-0.0343687871834041
3.14,-0.276052664640193,-0.0226995691608813
3.15,-0.274382021189871,-0.0111229981519581
3.16,-0.2722046054847,0.000347216266088926
3.17,-0.269517609844853,0.0116941684884044
3.18,-0.266317800564558,0.0228967669608855
3.19,-0.26260370850761,0.0339298059518189
3.2,-0.258377505948911,0.0447650794535933
3.21,-0.25364610345237,0.0553732632787837
3.22,-0.248421183226755,0.0657260965931799
3.23,-0.242718142596652,0.0757983071879501
3.24,-0.236554193456763,0.0855687705665301
3.25,-0.229946085900663,0.0950205649594123
3.26,-0.222908041405098,0.104139845685008
3.27,-0.215450460677454,0.112913754060131
3.28,-0.207579813287164,0.121327828833855
3.29,-0.199299852497521,0.129363541210809
3.3,-0.190613987357388,0.136996586260638
3.31,-0.181528357336396,0.1441964265735
3.32,-0.172054959887478,0.150927323675452
3.33,-0.162214128496,0.157150765568147
3.34,-0.152035764457134,0.162828877562426
3.35,-0.141558971913288,0.167928163183019
3.36,-0.130830080624848,0.172422819228673
3.37,-0.119899390454302,0.176296932706397
3.38,-0.108817257700621,0.179545086399035
3.39,-0.0976302992923972,0.182171229426856
3.4,-0.086378479117748,0.184186037238573
3.41,-0.0750936609490757,0.185603310284602
3.42,-0.063799902161211,0.186436168896388
3.43,-0.0525153895371211,0.186693846058856
3.44,-0.0412555654677597,0.186379748121124
3.45,-0.0300367384122391,0.185491175003458
3.46,-0.0188793726547494,0.184020726872948
3.47,-0.00781033099851483,0.181959055687407
3.48,0.00313641729989029,0.179298328436481
3.49,0.0139207667535763,0.176035619942695
3.5,0.0244988942750549,0.172175478470266
3.51,0.0348265778743697,0.167731100335918
3.52,0.0448626742039147,0.162723865950443
3.53,0.0545719873327621,0.157181356983626
3.54,0.0639269056562224,0.151134310570656
3.55,0.0729074649372341,0.144613197319655
3.56,0.0814998481256123,0.137645185057047
3.57,0.0896936778678363,0.130252156333991
3.58,0.0974787188156154,0.122450207935323
3.59,0.104841728206927,0.114250731333496
3.6,0.111764150739997,0.10566282852621
3.61,0.118221161011508,0.0966965343010083
3.62,0.124182260273377,0.0873661540703882
3.63,0.129613301486492,0.0776930180837439
3.64,0.134479522367033,0.0677070943930577
3.65,0.138748972423984,0.0574471585038261
3.66,0.142395665843943,0.0469595261501101
3.67,0.145401882699577,0.0362956481155451
3.68,0.14775924999689,0.0255090780886222
3.69,0.14946850905821,0.0146524145439624
3.7,0.15053815265441,0.00377477158314044
3.71,0.150982331629701,-0.00707982990080161
3.72,0.150818541884402,-0.0178729969731425
3.73,0.150065589318474,-0.0285715240258908
3.74,0.148742203380668,-0.0391462840939874
3.75,0.146866466040825,-0.0495708775327835
3.76,0.144455995152954,-0.0598204683113477
3.77,0.141528625730807,-0.0698711349253725
3.78,0.138103216083615,-0.0796998815662125
3.79,0.134200193757678,-0.089285244726651
3.8,0.129841548806679,-0.0986082436247187
3.81,0.125050153060252,-0.107653307724483
3.82,0.119848490033453,-0.116408798292257
3.83,0.114257068313207,-0.124866828564697
3.84,0.108292914570962,-0.133022256828991
3.85,0.101968568995985,-0.140870938059627
3.86,0.0952919271882218,-0.148407521520639
3.87,0.088267105115926,-0.155623225421697
3.88,0.080896284201061,-0.162504069654644
3.89,0.0731822724870352,-0.169029989404857
3.9,0.0651313441567531,-0.175175097636637
3.91,0.0567558346496675,-0.180909144330155
3.92,0.0480759911659149,-0.186199983345286
3.93,0.0391207055764048,-0.191016654081642
3.94,0.0299269620671979,-0.195332558928807
3.95,0.0205380712252441,-0.199128194871075
3.96,0.011000986834542,-0.20239298280355
3.97,0.0013631636957768,-0.205125911827869
3.98,-0.0083305166691986,-0.207334940394924
3.99,-0.0180402623286737,-0.209035323907313
4,-0.0277329699869912,-0.210247223047424
4.01,-0.0373827416941862,-0.210993051843535
4.02,-0.0469703681382333,-0.211295031892879
4.03,-0.0564820166454441,-0.211173333244606
4.04,-0.0659074873166381,-0.210645025740843
4.05,-0.0752384405001447,-0.209723875764141
4.06,-0.0844669493575205,-0.208420844199204
4.07,-0.0935846100850453,-0.20674501029379
4.08,-0.102582280643817,-0.204704589619306
4.09,-0.111450355720484,-0.202307738597838
4.1,-0.120179358771642,-0.199562934038163
4.11,-0.128760568237431,-0.196478855870597
4.12,-0.137186406111232,-0.193063850446156
4.13,-0.145450397161621,-0.189325174056375
4.14,-0.153546633614656,-0.185268283404251
4.15,-0.16146882218413,-0.180896437696259
4.16,-0.169209112390056,-0.176210807177128
4.17,-0.176756979367966,-0.171211163861199
4.18,-0.184098442787141,-0.165897090051365
4.19,-0.191215845366897,-0.160269512567653
4.2,-0.198088303014362,-0.154332284461941
4.21,-0.204692800052743,-0.148093511267696
4.22,-0.2110057683741,-0.141566360380895
4.23,-0.217004889062153,-0.134769190405556
4.24,-0.222670810303778,-0.127724969649445
4.25,-0.227988495608916,-0.120460090047683
4.26,-0.232947995315749,-0.113002794435101
4.27,-0.2375445534429,-0.105381498194417
4.28,-0.241778094453717,-0.0976232880420069
4.29,-0.245652250501589,-0.0897528235996088
4.3,-0.249173164962851,-0.0817917655410786
4.31,-0.252348327434893,-0.0737587322601507
4.32,-0.255185656769286,-0.0656696732445464
4.33,-0.257692963270789,-0.0575384667053066
4.34,-0.259877810827535,-0.0493775192827282
4.35,-0.261747689853098,-0.0411981717869622
4.36,-0.263310330063818,-0.0330107890378099
4.37,-0.264573945625642,-0.0248245160623501
4.38,-0.265547223842907,-0.0166467912574457
4.39,-0.266238937092286,-0.00848279415787004
4.4,-0.266657161078921,-0.000335049681284412
4.41,-0.266808196432267,0.00779659921701741
4.42,-0.266695389328096,0.0159145017648639
4.43,-0.266318106875997,0.0240221482731049
4.44,-0.265671129360024,0.0321226370637714
4.45,-0.264744670603407,0.0402168554562453
4.46,-0.263525137981992,0.0483016552866999
4.47,-0.261996614296723,0.0563683373795061
4.48,-0.260142909126383,0.0644017333952374
4.49,-0.257949914791498,0.0723800921960936
4.5,-0.255407933015674,0.0802758544548654
4.51,-0.252513626748838,0.0880572577714946
4.52,-0.249271299807542,0.0956905793723513
4.53,-0.245693306054003,0.103142721171472
4.54,-0.241799521404485,0.110383787818696
4.55,-0.237615952607274,0.117389313277946
4.56,-0.233172681126924,0.124141850939221
4.57,-0.228501428953807,0.130631744742599
4.58,-0.223633071473487,0.136857024423238
4.59,-0.218595408501035,0.142822494010239
4.6,-0.213411443416013,0.148538188302882
4.61,-0.208098327042738,0.154017440732384
4.62,-0.202667015810147,0.159274830701432
4.63,-0.197122592572747,0.164324258946294
4.64,-0.191465119546775,0.169177345298891
4.65,-0.18569084636125,0.173842268023272
4.66,-0.179793586131391,0.178323083952993
4.67,-0.173766093115971,0.182619499527716
4.68,-0.167601318729746,0.186727014613756
4.69,-0.161293474653294,0.190637339382002
4.7,-0.154838879834679,0.194338987566228
4.71,-0.148236603264915,0.197817971010903
4.72,-0.141488930200516,0.20105854995209
4.73,-0.134601677085189,0.204044021492411
4.74,-0.127584364200571,0.206757545321126
4.75,-0.120450234198712,0.209183007594896
4.76,-0.113216087123361,0.211305910166416
4.77,-0.105901897446465,0.213114247974667
4.78,-0.0985301891496743,0.214599310657402
4.79,-0.0911251719671341,0.215756323768933
4.8,-0.0837116795126806,0.216584839039391
4.81,-0.0763139914930258,0.217088796334713
4.82,-0.0689546562144261,0.217276212620773
4.83,-0.0616534482070912,0.217158501663346
4.84,-0.054426591922102,0.216749482817834
4.85,-0.0472863545105128,0.216064188701652
4.86,-0.0402410621533467,0.215117617762819
4.87,-0.0332955324961313,0.213923591733898
4.88,-0.0264518523489678,0.21249386405696
4.89,-0.0197103763795673,0.210837586096848
4.9,-0.0130707900752187,0.208961178457694
4.91,-0.00653307549164369,0.206868587118177
4.92,-9.82430916091785E-05,0.204561839531002
4.93,0.00623125755083404,0.202041768549292
4.94,0.0124514694092999,0.199308750089679
4.95,0.0185571551555338,0.19636330948236
4.96,0.0245422148474504,0.193206489470323
4.97,0.0304001542814111,0.1898399326646
4.98,0.0361244591793774,0.186265700537401
4.99,0.0417087573934111,0.182485916188745
5,0.0471467051685763,0.178502364051764
5.01,0.0524316034062256,0.174316197393688
5.02,0.0575558218382492,0.169927888030532
5.03,0.0625101671330615,0.165337504840516
5.04,0.0672833626427668,0.160545336936356
5.05,0.0718618043286941,0.155552797483166
5.06,0.0762297182458973,0.150363471810813
5.07,0.0803697759337255,0.144984123733788
5.08,0.0842641376646812,0.139425458719848
5.09,0.0878958062634608,0.133702466886064
5.1,0.0912501039264369,0.127834229225463
5.11,0.0943160454129376,0.121843157924981
5.12,0.0970873826545984,0.115753738959596
5.13,0.0995631391363128,0.109590934824478
5.14,0.101747530413147,0.103378469127859
5.15,0.103649266039598,0.0971372404910767
5.16,0.105280328865675,0.0908840948717646
5.17,0.106654412134997,0.0846311266430126
5.18,0.107785245810889,0.0783855901339646
5.19,0.108685053132171,0.0721504024741036
5.2,0.109363344038352,0.065925124432349
5.21,0.109826182824226,0.0597072370257731
5.22,0.11007597707088,0.0534934997524055
5.23,0.110111742730496,0.0472811869905923
5.24,0.109929724750321,0.0410690472314224
5.25,0.10952420855125,0.0348579039311214
5.26,0.108888352421025,0.0286508990531767
5.27,0.108014902936425,0.0224534526515171
5.28,0.10689671556872,0.0162730577034637
5.29,0.105527074198865,0.0101190402441548
5.3,0.103899868474942,0.00400238920690479
5.31,0.102009730127084,-0.00206429332309515
5.32,0.0998522377850842,-0.00806673759375895
5.33,0.0974242723138516,-0.0139889258372196
5.34,0.0947245477194139,-0.0198131039803409
5.35,0.0917542713707207,-0.025520008656881
5.36,0.0885178193589939,-0.0310893998413083
5.37,0.0850232683656632,-0.036500924015692
5.38,0.0812826171470073,-0.0417352492757453
5.39,0.0773115653821533,-0.0467753319641201
5.4,0.0731287901501079,-0.0516076150312126
5.41,0.0687547572031776,-0.0562229377864833
5.42,0.0642102042107835,-0.0606169637798041
5.43,0.0595145140279669,-0.0647900059558216
5.44,0.0546842373675287,-0.068746232925704
5.45,0.0497320144490058,-0.0724923561981007
5.46,0.0446660830734495,-0.0760360008639682
5.47,0.0394904574131862,-0.0793840279626378
5.48,0.0342057372053013,-0.0825410904488153
5.49,0.0288103884483923,-0.085508660873394
5.5,0.0233022484115285,-0.0882846759911634
5.51,0.0176799705617961,-0.0908638200501024
5.52,0.0119441472053669,-0.0932383411634353
5.53,0.00609792488605144,-0.0953991914235206
5.54,0.0001470438569919,-0.0973372242941883
5.55,-0.0059006383860336,-0.0990441853728035
5.56,-0.0120359662879659,-0.100513293829304
5.57,-0.0182494038822719,-0.101739318570387
5.58,-0.0245317930607567,-0.102718180335374
5.59,-0.030874742991283,-0.103446229455883
5.6,-0.0372705392668189,-0.103919431051455
5.61,-0.043711587603078,-0.104132715303111
5.62,-0.050189530589889,-0.104079713162373
5.63,-0.0566942686302921,-0.103753005897117
5.64,-0.0632131542047325,-0.103144890415751
5.65,-0.0697306025414635,-0.102248531403604
5.66,-0.0762282757583086,-0.101059266522126
5.67,-0.0826858708320741,-0.0995757780962732
5.68,-0.0890824028262056,-0.0978008570882889
5.69,-0.095397756376905,-0.0957415621382452
5.7,-0.101614207993016,-0.0934087008755884
5.71,-0.107717617135463,-0.0908157052841415
5.72,-0.113698047216956,-0.0879771044089949
5.73,-0.119549695198124,-0.0849068856695627
5.74,-0.125270154181983,-0.0816170600121816
5.75,-0.130859173663847,-0.0781166996916236
5.76,-0.136317185329792,-0.0744116114651252
5.77,-0.141643903747107,-0.0705046663431851
5.78,-0.146837282469831,-0.0663966628213727
5.79,-0.151893013026559,-0.0620874873899013
5.8,-0.156804619615982,-0.0575772803577035
5.81,-0.161564058330191,-0.0528673297713727
5.82,-0.166162610255589,-0.0479604974695111
5.83,-0.170591792574284,-0.0428611094668833
5.84,-0.174844015722707,-0.0375743865301394
5.85,-0.178912788083671,-0.0321056149502569
5.86,-0.182792394337332,-0.0264593311335214
5.87,-0.186477119620333,-0.0206387976078035
5.88,-0.18996022297082,-0.0146459804294645
5.89,-0.193232947378526,-0.00848211338316444
5.9,-0.19628386744192,-0.00214878226016578
5.91,-0.19909881420547,0.00435068035745668
5.92,-0.201661491949471,0.0110097981390048
5.93,-0.203954741901559,0.0178178887254465
5.94,-0.205962249818904,0.0247596222830696
5.95,-0.207670375997923,0.031815365933696
5.96,-0.209069736512668,0.0389623135175924
5.97,-0.210156197602309,0.046176227600697
5.98,-0.210931055472949,0.053433479871304
5.99,-0.211400338912728,0.0607130011783466
6,-0.211573355036819,0.0679977609770195
6.01,-0.211460759211738,0.0752754882249525
6.02,-0.211072531449272,0.0825385021374547
6.03,-0.21041626070638,0.0897827076083766
6.04,-0.209496070228666,0.0970059849426205
6.05,-0.208312376427312,0.104206328204663
6.06,-0.20686249174894,0.111380133006564
6.07,-0.205141899360613,0.118520992503311
6.08,-0.203145884971135,0.125619239795981
6.09,-0.200871139978086,0.132662302931659
6.1,-0.198316966493998,0.139635754175662
6.11,-0.195485813477603,0.146524779592628
6.12,-0.192383032164941,0.153315703014932
6.13,-0.189015921532114,0.159997190122242
6.14,-0.185392299655256,0.166560835182563
6.15,-0.181518947629796,0.173000976552962
6.16,-0.177400304686837,0.179313765200487
6.17,-0.173037739764945,0.185495682861359
6.18,-0.168429598701564,0.191541834631108
6.19,-0.163572055802072,0.197444397124463
6.2,-0.158460621887629,0.203191575545137
6.21,-0.153092016881704,0.208767318677349
6.22,-0.147466034115796,0.214151883041579
6.23,-0.141587023003661,0.219323161739499
6.24,-0.135464694416779,0.224258537480445
6.25,-0.129114091251457,0.228936916108629
6.26,-0.122554734218334,0.233340567099993
6.27,-0.115809113225374,0.237456444857326
6.28,-0.108900814965582,0.241276776907833
6.29,-0.101852633034355,0.244798855641394
6.3,-0.0946849900727971,0.248024126007178
6.31,-0.0874149186240476,0.250956789476187
6.32,-0.0800557202467171,0.253602219278798
6.33,-0.0726172801241287,0.255965490835638
6.34,-0.0651068884105845,0.258050276804316
6.35,-0.0575303357349922,0.259858254447975
6.36,-0.0498930236428771,0.261389049540681
6.37,-0.0422008628002351,0.262640624524936
6.38,-0.0344608108487002,0.263609934381883
6.39,-0.0266810062075885,0.264293638374174
6.4,-0.0188705581380973,0.264688673349508
6.41,-0.0110391325672239,0.264792556999802
6.42,-0.00319651078802512,0.264603378721251
6.43,0.00464771225013139,0.26411952878425
6.44,0.0124841760782284,0.263339290001821
6.45,0.020303515416019,0.262260453325895
6.46,0.0280958856040782,0.260880111983411
6.47,0.0358503757692335,0.259194741265413
6.48,0.0435544705827185,0.257200595967416
6.49,0.0511937182935643,0.254894373741775
6.5,0.0587517195744916,0.25227402131726
6.51,0.066210479592112,0.249339518566901
6.52,0.0735510827846168,0.246093473005663
6.53,0.0807545750382076,0.242541394342414
6.54,0.0878028901580638,0.238691586562472
6.55,0.0946796466835752,0.234554677285563
6.56,0.101370669980186,0.23014288150023
6.57,0.10786415601465,0.225469151699302
6.58,0.114150472554118,0.220546386150743
6.59,0.120221672535956,0.215386847730103
6.6,0.126070854717766,0.210001892189623
6.61,0.1316915350613,0.204402029786524
6.62,0.137077182357018,0.198597265215542
6.63,0.142221026152382,0.19259759589156
6.64,0.147116174864789,0.186413512773933
6.65,0.151756003417816,0.180056348808198
6.66,0.156134700383336,0.173538357651518
6.67,0.160247820894609,0.166872470754833
6.68,0.164092682810757,0.160071759745898
6.69,0.16766847226889,0.153148705187935
6.7,0.170975984688852,0.146114426546598
6.71,0.174017005471752,0.138978048584572
6.72,0.176793414433583,0.131746362938108
6.73,0.179306162570364,0.124423892529616
6.74,0.181554305240363,0.117013392081639
6.75,0.183534275383768,0.109516735070175
6.76,0.185239543907911,0.101936063024029
6.77,0.18666074969391,0.094275021656189
6.78,0.187786301735274,0.0865398896240455
6.79,0.188603376674048,0.0787404223646861
6.8,0.1890991711016,0.0708902812108921
6.81,0.189262230924925,0.063006986465288
6.82,0.189083675080268,0.0551114085897509
6.83,0.188558156702578,0.047226879920752
6.84,0.187684454494606,0.0393780584354133
6.85,0.186465649012194,0.0315896981629552
6.86,0.184908900874066,0.0238854764060471
6.87,0.183024898517946,0.0162870001242301
6.88,0.18082707525204,0.0088130715701068
6.89,0.178330705202384,0.00147924596822082
6.9,0.175551978447031,-0.00570232747316074
6.91,0.17250713235787,-0.0127228191601583
6.92,0.169211687708277,-0.0195764388400146
6.93,0.165679812339982,-0.0262600119645521
6.94,0.161923817867214,-0.0327724524459137
6.95,0.157953789029957,-0.0391141575748434
6.96,0.153777349501014,-0.04528634067125
6.97,0.149399577316598,-0.0512903147615889
6.98,0.144823092372763,-0.0571267488879311
