"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
5,0.0255154096974807,0.157487209458666
5.006,0.0284132684541198,0.154528502479535
5.012,0.0310836048359587,0.151487497287212
5.018,0.0335240959699434,0.148392473257139
5.024,0.0357363963277176,0.145271469521693
5.03,0.0377260351517929,0.142151723347243
5.036,0.03950223617317,0.139059133366778
5.042,0.0410776647631658,0.136017758084301
5.048,0.0424681090311886,0.133049359090955
5.054,0.0436921025102031,0.130172997229461
5.06,0.044770497007624,0.127404688723846
5.066,0.0457259949363654,0.124757126877621
5.072,0.0465826509763741,0.122239473544601
5.078,0.0473653531833618,0.119857223144527
5.084,0.0480992938176507,0.11761214056367
5.09,0.0488094400360382,0.1155022728756
5.096,0.0495200143493768,0.1135220335163
5.102,0.0502539943259619,0.11166235628181
5.108,0.0510326404384153,0.109910915363601
5.114,0.0518750603035386,0.108252406608867
5.12,0.0527978167306126,0.106668884244955
5.126,0.0538145861868043,0.105140146535138
5.132,0.054935873292346,0.103644163114958
5.138,0.0561687860341364,0.102157536216167
5.144,0.0575168753264169,0.100655987562126
5.15,0.0589800415471632,0.0991148623722955
5.156,0.0605545095918375,0.097509641719307
5.162,0.062232872952134,0.0958164543968771
5.168,0.0640042062843541,0.0940125794490749
5.174,0.065854244860042,0.0920769306436417
5.18,0.0677656282945125,0.0899905143902896
5.186,0.069718204920899,0.0877368529311199
5.192,0.0717083950243534,0.0852563211755148
5.198,0.0736837721490281,0.082564026947874
5.204,0.0756087275396736,0.0796710255195878
5.21,0.0774556084500887,0.0765779305016496
5.216,0.0791968858012615,0.0732892642393309
5.222,0.0808056990188495,0.0698134198633655
5.228,0.0822563938946459,0.0661625490100952
5.234,0.0835250435674946,0.0623523760410579
5.24,0.084589942771717,0.0584019408945163
5.246,0.0854320656275279,0.0543332739674327
5.252,0.0860354776501257,0.0501710077884319
5.258,0.0863876931421547,0.0459419315242929
5.264,0.0864799698712483,0.0416744956044393
5.27,0.0863075338463775,0.0373982749986175
5.276,0.0858697280867415,0.0331434007089546
5.282,0.0851700805559544,0.0289399700584243
5.288,0.084216287878299,0.0248174471353467
5.294,0.0830201130298349,0.0208040653521781
5.3,0.0815971969031671,0.0169262445056488
5.306,0.0799667854407037,0.0132080348253356
5.312,0.0781513758752481,0.00967060040845437
5.318,0.0761762874677956,0.00633175401258193
5.324,0.0740691639801239,0.00320555452302465
5.33,0.0718594168325947,0.000301977385558422
5.336,0.0695776195460032,-0.00237333292171757
5.342,0.0672548654943389,-0.00481922085166754
5.348,0.0649221022359464,-0.00703908243079405
5.354,0.0626094566224023,-0.00904082878353313
5.36,0.0603455655936485,-0.010836748914406
5.366,0.0581569278435502,-0.0124432723642542
5.372,0.0560672915705775,-0.0138806347247786
5.378,0.0541472776527309,-0.0151571844006098
5.384,0.0524186541048667,-0.0163210482051258
5.39,0.0508401954636016,-0.0174243974950109
5.396,0.0494134279920066,-0.0184977146833867
5.402,0.048135129008331,-0.0195712303739123
5.408,0.0469974142890186,-0.0206742085401347
5.414,0.0459879330513202,-0.0218342508352709
5.42,0.0450901668728216,-0.0230766363605003
5.426,0.0442838263942434,-0.0244237126414017
5.432,0.043545337208895,-0.0258943524530315
5.438,0.0428484041231914,-0.0275034897279096
