"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
5,0.0172538505791807,0.153184730428666
5.006,0.0196228586463198,0.151525969253535
5.012,0.0219651649947587,0.149846052416212
5.018,0.0242848532659434,0.148142608784939
5.024,0.0265853264437176,0.146412487326693
5.03,0.0288691906147929,0.144651907744043
5.036,0.03113817211817,0.142856626084178
5.042,0.0333930693101658,0.141022107741501
5.048,0.0356337384131886,0.139143700508155
5.054,0.0378591113802031,0.137216800865271
5.06,0.040067242302624,0.135237007634746
5.066,0.0422553778933654,0.133200258275821
5.072,0.0444200468407741,0.131102944455501
5.078,0.0465571625291618,0.128942004933427
5.084,0.0486621336328507,0.12671499519167
5.09,0.0507299774872382,0.1244201345106
5.096,0.0527554317894768,0.1220563322733
5.102,0.0547330610456619,0.11962319610181
5.108,0.0566573552029153,0.117121024961601
5.114,0.0585228189511886,0.114550790584867
5.12,0.0603240511967126,0.111914110499955
5.126,0.0620558151105043,0.109213215574138
5.132,0.063713099869946,0.106450914457958
5.138,0.0652911756954364,0.103630556535367
5.144,0.0667856440098169,0.100755994253926
5.15,0.0681924845081632,0.0978315448429955
5.156,0.0695081006338375,0.094861950772207
5.162,0.070729364450134,0.0918523376811771
5.168,0.0718536612563541,0.0888081681654749
5.174,0.072878933519042,0.0857351896623917
5.18,0.0738037229395125,0.0826393747998896
5.186,0.074627208790899,0.0795268529430199
5.192,0.0753413944283534,0.0764061769951148
5.198,0.0759530002040281,0.0732844632548739
5.204,0.0764665411514736,0.0701671387864878
5.21,0.0768844794196887,0.0670597363416496
5.216,0.0772098876044615,0.0639673852533309
5.222,0.0774463931166495,0.0608947169273655
5.228,0.0775981042883459,0.0578457770460952
5.234,0.0776695189255946,0.0548239487140579
5.24,0.077665417124577,0.0518318907235163
5.246,0.0775907412505279,0.0488714947124327
5.252,0.0774504669518257,0.0459438642954319
5.258,0.0772494698630547,0.0430493183242929
5.264,0.0769923931764483,0.0401874193035393
5.27,0.0766835214913775,0.0373570267157175
5.276,0.0763266662477415,0.0345563737331546
5.282,0.0759250676089544,0.0317831645246243
5.288,0.075481316928299,0.0290346882732467
5.294,0.0749973029148349,0.0263079451046781
5.3,0.0744741833791671,0.0235997785136788
5.306,0.0739123831407037,0.0209070085816356
5.312,0.0733116172562482,0.0182265603318544
5.318,0.0726709374217956,0.0155555819740819
5.324,0.0719887982584239,0.0128915485184246
5.33,0.0712631391811947,0.0102323472418584
5.336,0.0704914769726031,0.00757634269928243
5.342,0.0696710038059389,0.00492242030233246
5.348,0.0687986855540464,0.00227000885120595
5.354,0.0678713555968023,-0.000380916307533135
5.36,0.0668858000810485,-0.00302984670240604
5.366,0.0658388315814302,-0.00567576703825423
5.372,0.0647273493084775,-0.00831719012477861
5.378,0.0635455898438309,-0.0109597062096098
5.384,0.0622877564982667,-0.0135997034301258
5.39,0.0609533461155016,-0.0162259282512409
5.396,0.0595404276698066,-0.0188346698963867
5.402,0.058047392187331,-0.0214219855092123
5.408,0.0564729512350186,-0.0239837235668347
5.414,0.0548161384813202,-0.0265155380923709
5.42,0.0530763178078216,-0.0290128960496003
5.426,0.0512532005812434,-0.0314710812973517
5.432,0.049346873501895,-0.0338851992230315
5.438,0.0473578371021914,-0.0362501865477096
5.444,0.0452870535456741,-0.0385608307732998
5.45,0.0431360009819957,-0.0408118033124781
5.456,0.0409067304403675,-0.0429977095214049
5.462,0.0386019202659803,-0.0451131576878259
5.468,0.0362249224080483,-0.0471528475938464
5.474,0.0337797946114394,-0.0491116776512443
5.48,0.0312713127308892,-0.050984867939001
5.486,0.0287049580197075,-0.052768094838358
5.492,0.0260868753040218,-0.054457631512619
5.498,0.0234237993956127,-0.0560504873154488
5.504,0.0207229488425202,-0.0575445384121369
5.51,0.017991888060723,-0.0589386415823227
5.516,0.0152383609117048,-0.0602327233257042
5.522,0.0124701007680402,-0.061427837089274
5.528,0.00969462389655526,-0.0625261825813559
5.534,0.00691901449092231,-0.0635310827753483
5.54,0.00414971075246974,-0.0644469161790972
5.546,0.00139230202959632,-0.0652790041473576
5.552,-0.00134865294870793,-0.0660334553868249
5.558,-0.00406977722322488,-0.0667169721269153
5.564,-0.00676898769293368,-0.0673366246152367
5.57,-0.00944556129767391,-0.0678996024923721
5.576,-0.0121001504542126,-0.0684129530964363
5.582,-0.0147347452438798,-0.0688833177338458
5.588,-0.0173525823833339,-0.0693166773945081
5.594,-0.0199580035930131,-0.0697181191806295
5.6,-0.0225562684626323,-0.0700916339917738
5.606,-0.0251533291722847,-0.0704399546238298
5.612,-0.0277555763146118,-0.0707644416461757
5.618,-0.0303695664865031,-0.0710650221780567
5.624,-0.0330017431885949,-0.0713401842242266
