"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
5,0.0238739521964807,0.157811018195666
5.006,0.0268432313651198,0.155109464050535
5.012,0.0296256368219587,0.152311139945212
5.018,0.0322159972579434,0.149437804868139
5.024,0.0346120545277176,0.146511538417593
5.03,0.0368144732427929,0.143554355663243
5.036,0.03882680221617,0.140587823965778
5.042,0.0406553881721658,0.137632687226301
5.048,0.0423092426501886,0.134708503017955
5.054,0.0437998635362031,0.131833298032461
5.06,0.0451410132556241,0.129023247222846
5.066,0.0463484562083654,0.126292381903621
5.072,0.0474396586967741,0.123652331920601
5.078,0.0484334552037618,0.121112106756527
5.084,0.0493496855663507,0.11867792011567
5.09,0.0502088082460382,0.1163530621136
5.096,0.0510314955303768,0.1141378226403
5.102,0.0518382171359619,0.11202946884581
5.108,0.0526488192044153,0.110022278909601
5.114,0.0534821061685386,0.108107633392867
5.12,0.0543554333136126,0.106274164459955
5.126,0.0552843180988043,0.104507962228138
5.132,0.056282078339346,0.102792836297958
5.138,0.0573595053091364,0.101110629365367
5.144,0.0585245794744169,0.0994415785740257
5.15,0.0597822361231632,0.0977647190665955
5.156,0.0611341874658375,0.096058323024307
5.162,0.062578806880134,0.0943003664068771
5.168,0.0641110799293541,0.0924690146310749
5.174,0.065722625503042,0.0905431176126417
5.18,0.0674017890705125,0.0885027039592896
5.186,0.069133808489899,0.0863294636751199
5.192,0.0709233888593534,0.0839691774295148
5.198,0.0727227445750281,0.081426844892874
5.204,0.0744988621575736,0.0787063005115878
5.21,0.0762266369545887,0.0758034235126496
5.216,0.0778802923942615,0.0727177879233309
5.222,0.0794339263488495,0.0694527532773655
5.228,0.0808620703206459,0.0660154741220952
5.234,0.0821402492204946,0.0624168263610579
5.24,0.083245529203717,0.0586712503015163
5.246,0.0841570409875279,0.0547965122534327
5.252,0.0848564663411257,0.0508133884444319
5.258,0.0853284760391547,0.0467452769142929
5.264,0.0855611084242483,0.0426177448515393
5.27,0.0855460789203775,0.0384580205223175
5.276,0.0852790122307415,0.0342944403869546
5.282,0.0847595906439544,0.0301558632634243
5.288,0.083991613677299,0.0260710643863467
5.294,0.0829829663158349,0.0220681228841781
5.3,0.0817454951661671,0.0181738165936488
5.306,0.0802947940107037,0.0144130381573356
5.312,0.0786499023562481,0.0108082460854544
5.318,0.0768329226907956,0.00737896383258193
5.324,0.0748685640854239,0.00414133900102465
5.33,0.0727836216423947,0.00110777356655842
5.336,0.0706064028665032,-0.00171336551171757
5.342,0.0683661134213389,-0.00431794766666754
5.348,0.0660922158239464,-0.00670618639279405
5.354,0.0638137754054023,-0.00888264962853313
5.36,0.0615588083366485,-0.010856171469406
5.366,0.0593536466145502,-0.0126396660772542
5.372,0.0572223347075775,-0.0142498469117786
5.378,0.0552300588157309,-0.0156891710296098
5.384,0.0534010164538667,-0.0169999716151258
5.39,0.0517027876606016,-0.0182331353203409
5.396,0.0501395915240066,-0.0194166365599867
5.402,0.048711228964331,-0.0205785893229123
5.408,0.0474131183210186,-0.0217465796971347
5.414,0.0462364305703202,-0.0229470115212709
5.42,0.0451683211058216,-0.0242044799235003
5.426,0.0441922527772434,-0.0255411869044017
5.432,0.043288402880895,-0.0269764121470315
5.438,0.0424341448831914,-0.0285260510089096
5.444,0.0416045939736741,-0.0302022301201998
5.45,0.0407732041189957,-0.0320130092933781
5.456,0.0399124031181675,-0.0339621764847049
5.462,0.0389942513099803,-0.0360491404868259
5.468,0.0379911090349483,-0.0382689238098464
5.474,0.0368762977363394,-0.0406122559832443
5.48,0.0356247397358892,-0.043065765248001
5.486,0.0342135621480075,-0.045612264370358
5.492,0.0326226512087218,-0.048231124214619
5.498,0.0308351443682127,-0.0508987267174488
5.504,0.0288378488796202,-0.0535889870641369
5.51,0.026621577262823,-0.0562739333503227
5.516,0.0241813918349048,-0.0589243306044842
5.522,0.0215167526020402,-0.061510335080274
5.528,0.0186315648975553,-0.0640021639446559
5.534,0.0155341254989223,-0.0663707651221483
5.54,0.0122369681874697,-0.0685884719960972
5.546,0.00875661205759632,-0.0706296279442576
5.552,0.00511321808029207,-0.0724711663388349
5.558,0.00133016157877512,-0.0740931325879153
5.564,-0.00256646980893368,-0.0754791360800367
5.57,-0.00654844132767391,-0.0766167214496721
5.576,-0.0105859866224126,-0.0774976503924363
5.582,-0.0146484595088798,-0.0781180872868459
5.588,-0.0187050070579339,-0.0784786840765081
5.594,-0.0227252484698131,-0.0785845621716296
5.6,-0.0266799440334323,-0.0784451915297738
5.606,-0.0305416386296847,-0.0780741694318298
5.612,-0.0342852647603118,-0.0774889038711757
5.618,-0.0378886909743031,-0.0767102086700567
5.624,-0.0413332027959949,-0.0757618195602266
5.63,-0.0446039047920503,-0.0746698423529268
5.636,-0.0476900342184952,-0.0734621459496099
5.642,-0.0505851787580069,-0.0721677142886413
5.648,-0.0532873930956538,-0.0708159723320361
5.654,-0.0557992114492997,-0.0694361018591255
5.66,-0.0581275556388927,-0.0680563631118605
5.666,-0.0602835407558774,-0.0667034382106958
5.672,-0.0622821829149775,-0.0654018118132167
5.678,-0.064142015941617,-0.0641732035728999
5.684,-0.0658846259742521,-0.0630360657741156
5.69,-0.0675341149659181,-0.0620051579537084
5.696,-0.0691165057487986,-0.0610912084895103
5.702,-0.0706591027100499,-0.0603006710471619
5.708,-0.0721898231929283,-0.059635581524637
5.714,-0.0737365153984914,-0.0590935186808846
5.72,-0.0753262788657595,-0.0586676692140176
5.726,-0.0769848035012436,-0.058346995475499
5.732,-0.0787357426453734,-0.0581165016377871
5.738,-0.080600134767571,-0.0579575917279142
5.744,-0.082595887193043,-0.0578485108214974
5.75,-0.084737333677786,-0.0577648587236748
5.756,-0.0871481268823144,-0.0577070586854914
5.762,-0.0897258205476555,-0.0575877137317519
5.768,-0.0924652916281626,-0.0573778036713772
5.774,-0.0953570593927336,-0.0570494857853086
5.78,-0.0983875472120364,-0.0565767249800035
5.786,-0.101539433450365,-0.0559358713775849
5.792,-0.104792081540778,-0.0551061730026961
5.798,-0.108122037672184,-0.0540702130641343
5.804,-0.111503583195074,-0.0528142633033242
5.81,-0.114909327827605,-0.0513285470902028
5.816,-0.118310829125773,-0.0496074081920877
5.822,-0.121679223426438,-0.0476493834910994
5.828,-0.124985853569961,-0.0454571801757076
5.834,-0.128202879147273,-0.0430375602039731
5.84,-0.131303855841166,-0.0404011368760525
5.846,-0.134264271484671,-0.0375620903005281
5.852,-0.137062027824348,-0.0345378101941265
5.858,-0.139677858557387,-0.0313484759143835
5.864,-0.142095675943404,-0.0280165847548056
5.87,-0.144302840162824,-0.0245664403730731
5.876,-0.146290347532815,-0.0210236137738289
5.882,-0.148052935667666,-0.0174143894755853
5.888,-0.149589105563616,-0.0137652094124726
5.894,-0.150901062493066,-0.0101021267569522
5.9,-0.151994579280195,-0.00645028119420247
5.906,-0.152878787154947,-0.00283340632868011
5.912,-0.153565900736439,0.000726621209647808
5.918,-0.154070884929787,0.00421018261712007
5.924,-0.154411072436403,0.00760026077536789
5.93,-0.154605741317815,0.0108827216422076
5.936,-0.154675662542054,0.014046529199985
5.942,-0.154642627654998,0.0170838915469236
5.948,-0.154528966768638,0.0199903371920436
5.954,-0.154357066817657,0.0227647220812258
5.96,-0.154148899672918,0.025409169246006
5.966,-0.153925569096468,0.027928944198692
5.972,-0.153706884844854,0.0303322703454169
5.978,-0.153510971327985,0.032630089627734
5.984,-0.153353917361342,0.03483577447439
5.99,-0.153249472472672,0.0369647977569043
5.996,-0.153208794241298,0.0390343679806072
6.002,-0.153240250025173,0.0410630372787883
6.008,-0.153349275395807,0.0430702899795232
6.014,-0.153538290548232,0.0450761195747545
6.02,-0.153806674922118,0.0471006018498083
6.026,-0.154150799360201,0.0491634717537433
6.032,-0.154564114152162,0.0512837113087301
6.038,-0.155037290560106,0.0534791554592778
6.044,-0.155558412585787,0.0557661223501201
6.05,-0.15611321509972,0.0581590739539903
6.056,-0.156685363793332,0.0606703124518193
6.062,-0.157256771916308,0.0633097170980979
6.068,-0.15780794824925,0.0660845256881506
6.074,-0.158318370395732,0.0689991640240763
6.08,-0.15876687713591,0.0720551260891158
6.086,-0.15913207334314,0.0752509068642136
6.092,-0.159392740770293,0.0785819889935445
6.098,-0.159528247908763,0.0820408837137829
6.104,-0.159518952109185,0.0856172256558969
6.11,-0.159346587156965,0.0892979203762492
6.116,-0.158994629672661,0.0930673426118003
6.122,-0.15844863788892,0.0969075825062016
6.128,-0.15765166203312,0.100820070658578
6.134,-0.156586860920829,0.104764248675299
6.14,-0.155294508592205,0.108688201380533
6.146,-0.153776593590462,0.112567336114404
6.152,-0.152038360006518,0.116377559711533
6.158,-0.150088205525932,0.120095719282792
6.164,-0.147937520537259,0.123700025690065
6.17,-0.145600470837921,0.127170451928828
6.176,-0.143093727494708,0.130489098962356
6.182,-0.140436148394019,0.133640521992865
6.188,-0.137648416989938,0.136612010722398
6.194,-0.134752644628266,0.13939381790626
6.2,-0.131771943621499,0.14197933132581
6.206,-0.128729978942552,0.144365185272422
6.212,-0.125650506960241,0.146551308735403
6.218,-0.122556910062111,0.148540908612686
6.224,-0.119471736257219,0.150340387524096
6.23,-0.116416252941062,0.151959197071978
6.236,-0.113410023876054,0.153409628695
6.242,-0.110470518204751,0.154706545549905
6.248,-0.107612759751921,0.155867060127024
6.254,-0.104849024290566,0.156910163478328
6.26,-0.102188591532983,0.157856313059803
6.266,-0.0996375576309856,0.158726987146944
6.272,-0.097198712826375,0.159544214636133
6.278,-0.0948714875737755,0.160330089694688
6.284,-0.0926519691019394,0.16110628121036
6.29,-0.0905329889326325,0.161893547244042
6.296,-0.088504280363216,0.162711264775457
6.302,-0.0865527034330392,0.163576984818603
6.308,-0.0846625334147648,0.164506022660701
6.314,-0.0828158074677528,0.165511092297414
6.32,-0.0809927227566271,0.166601993381092
6.326,-0.0791720781589602,0.167785357968795
6.332,-0.0773317506316151,0.169064463152836
6.338,-0.0754491964486808,0.170439114362613
6.344,-0.0735019668671562,0.171905602640439
6.35,-0.07146822732953,0.17345673765515
6.356,-0.0693272690946181,0.175081956605203
6.362,-0.0670600022324228,0.176767507552007
6.368,-0.0646494191673875,0.17849670407423
6.374,-0.0620810184762196,0.180250246589807
6.38,-0.0593431793674761,0.182006604189375
6.386,-0.0564274782240918,0.183742449456477
6.392,-0.0533289397400638,0.185433137530351
6.398,-0.0500462164914881,0.187053219603536
6.404,-0.0465816922561711,0.18857698020732
6.41,-0.0429415059740369,0.189978986991249
6.416,-0.0391354949005631,0.191234641323332
6.422,-0.0351770572404851,0.192320717864555
6.428,-0.03108293624602,0.193215881379933
6.434,-0.026872929507867,0.193901169395528
6.44,-0.0225695287702533,0.194360429901148
6.446,-0.0181974971913006,0.194580704142466
6.452,-0.0137833923797526,0.194552545567272
6.458,-0.00935504478010473,0.194270267302603
6.464,-0.00494100210519821,0.193732111901465
