"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
5,0.0159821392924807,0.153156707213666
5.006,0.0183571792711198,0.151690236287536
5.012,0.0207333212509587,0.150201233107612
5.018,0.0231146594559434,0.148683574833839
5.024,0.0255041643447176,0.147130249293193
5.03,0.0279035141867929,0.145533541571293
5.036,0.03031295805017,0.143885253880078
5.042,0.0327312171081658,0.142176953153001
5.048,0.0351554300821886,0.140400239357955
5.054,0.0375811472962031,0.138547026269461
5.06,0.0400023762066241,0.136609825468846
5.066,0.0424116793883654,0.134582023709621
5.072,0.0448003240454741,0.132458143528601
5.078,0.0471584800474618,0.130234077132527
5.084,0.0494754615043507,0.12790728417067
5.09,0.0517400050260382,0.1254769449596
5.096,0.0539405761266768,0.1229440621253
5.102,0.0560656938472619,0.12031150529481
5.108,0.0581042626294153,0.117583995459601
5.114,0.0600458998395386,0.114768027839867
5.12,0.0618812471556126,0.111871734326955
5.126,0.0636022543088043,0.108904688961138
5.132,0.065202424430346,0.105877662104358
5.138,0.0666770114211364,0.102802331093567
5.144,0.0680231614234169,0.0996909569398657
5.15,0.0692399923691632,0.0965560381612955
5.156,0.0703286078788375,0.093409953884607
5.162,0.071292044179134,0.0902646089738771
5.168,0.0721351512523541,0.0871310940560749
5.174,0.072864411952042,0.0840193729226417
5.18,0.0734877052225125,0.0809380088792896
5.186,0.074014021770199,0.0778939402711199
5.192,0.0744496549614534,0.0749038799575148
5.198,0.0748115302760181,0.071963914022874
5.204,0.0751116904181736,0.0690704669805878
5.21,0.0753598587061887,0.0662217961306496
5.216,0.0755648894156615,0.0634144733213309
5.222,0.0757344810238495,0.0606435993963655
5.228,0.0758749378096459,0.0579030674420952
5.234,0.0759909881004946,0.0551858642470579
5.24,0.076085665203717,0.0524843980115163
5.246,0.0761602545145279,0.0497908394021327
5.252,0.0762143076871257,0.0470974626811319
5.258,0.0762457220581546,0.0443969737688929
5.264,0.0762508809742483,0.0416828127940393
5.27,0.0762248482913775,0.0389494198635175
5.276,0.0761616082157415,0.0361924544218546
5.282,0.0760543400029544,0.0334089605833243
5.288,0.075895715727299,0.0305974731343467
5.294,0.0756782086456349,0.0277580614051781
5.3,0.0753943993940671,0.0248923108126488
5.306,0.0750372676190037,0.0220032444523356
5.312,0.0746004574402682,0.0190951895484544
5.318,0.0740785064619956,0.0161735958295819
5.324,0.0734670297671239,0.0132448147410246
5.33,0.0727628524022947,0.0103158499315584
5.336,0.0719640861758032,0.00739409047468243
5.342,0.0710701490643389,0.00448703879763246
5.348,0.0700817280380464,0.00160204531950595
5.354,0.0690006885619023,-0.00125393873443313
5.36,0.0678299363140485,-0.00407457986390604
5.366,0.0665732386725502,-0.00685434315195423
5.372,0.0652350151843775,-0.00958862825417861
5.378,0.0638164152069309,-0.0122740485252898
5.384,0.0623231587234667,-0.0149070966357158
5.39,0.0607641496173016,-0.0174861283612409
5.396,0.0591439748673066,-0.0200109931756867
5.402,0.057466639082831,-0.0224822851472123
5.408,0.0557354362290186,-0.0249011628546347
5.414,0.0539528665255202,-0.0272691490831709
5.42,0.0521206012235216,-0.0295879207049003
5.426,0.0502394956889434,-0.0318590993844017
5.432,0.048309648959995,-0.0340840535081315
5.438,0.0463305058019914,-0.0362637210274096
5.444,0.0443009953518741,-0.0383984617684998
5.45,0.0422196988020957,-0.0404879462572781
5.456,0.0400850372964675,-0.0425310862969049
5.462,0.0378954703457803,-0.0445260105132259
5.468,0.0356496946529483,-0.0464700859303464
5.474,0.0333468332835394,-0.0483599844611443
5.48,0.0309866056168892,-0.050191791080701
5.486,0.0285694694440275,-0.051961148503858
5.492,0.0260967278912518,-0.053663431473319
5.498,0.0235705954898127,-0.0552939423811488
5.504,0.0209942195980202,-0.0568481189294369
5.51,0.018371655439723,-0.0583217439452227
5.516,0.0157077951478048,-0.0597111473153042
5.522,0.0130082533161402,-0.061013390299474
5.528,0.0102792135581553,-0.0622264232171559
5.534,0.00752724237312231,-0.0633492086238483
5.54,0.00475907815076974,-0.0643818035759972
5.546,0.00198140432559632,-0.0653253963412576
5.552,-0.000799383504707929,-0.0661822948781249
5.558,-0.00357740631422488,-0.0669558664988153
5.564,-0.00634751610993368,-0.0676504302512367
5.57,-0.00910548651967391,-0.0682711056167721
5.576,-0.0118481707672126,-0.0688236230399363
5.582,-0.0145736196431798,-0.0693141034947458
5.588,-0.0172811536378339,-0.0697488156845081
5.594,-0.0199713852771131,-0.0701339205156296
5.6,-0.0226461897270323,-0.0704752131047738
5.606,-0.0253086238482847,-0.0707778728338299
5.612,-0.0279627959959338,-0.0710462316931757
5.618,-0.0306136908901031,-0.0712835705660567
5.624,-0.0332669557412949,-0.0714919520392266
5.63,-0.0359286554259503,-0.0716720969539268
5.636,-0.0386050058080952,-0.0718233102063099
5.642,-0.0413020952430069,-0.0719434594454413
5.648,-0.0440256048366538,-0.0720290081950361
5.654,-0.0467805381472997,-0.0720751028712255
5.66,-0.0495709707198927,-0.0720757110300605
5.666,-0.0523998291258774,-0.0720238061945958
5.672,-0.0552687080809775,-0.0719115928092167
5.678,-0.058177732794617,-0.0717307633033999
5.684,-0.0611254720042521,-0.0714727780136156
5.69,-0.0641089052389181,-0.0711291578277084
5.696,-0.0671234458002986,-0.0706917789345103
5.702,-0.0701630188976499,-0.0701531589741619
5.708,-0.0732201922816283,-0.069506724248637
5.714,-0.0762863548036914,-0.0687470483188846
5.72,-0.0793519365514595,-0.0678700534820176
5.726,-0.0824066627243336,-0.066873167942499
5.732,-0.0854398322036734,-0.0657554332287871
5.738,-0.088440610928871,-0.0645175581919142
5.744,-0.091398329727043,-0.0631619179494974
5.75,-0.094302776164786,-0.0616924981176748
5.756,-0.0971256726403144,-0.0600958792384914
5.762,-0.0998721366526555,-0.0584041805612519
5.768,-0.102536514382163,-0.0566264208353772
5.774,-0.105114701098734,-0.0547721506339085
5.78,-0.107604185841036,-0.0528511678675035
5.786,-0.110004043575365,-0.0508732340397849
5.792,-0.112314876677778,-0.0488478008608961
5.798,-0.114538709284184,-0.0467837561731343
5.804,-0.116678839618074,-0.0446891971813242
5.81,-0.118739656730605,-0.0425712377482028
5.816,-0.120726429092773,-0.0404358550840877
5.822,-0.122645073244638,-0.0382877795900994
5.828,-0.124501911085461,-0.0361304299437076
5.834,-0.126303424475373,-0.0339658938479731
5.84,-0.128056015577496,-0.0317949532420525
5.846,-0.129765780824071,-0.0296171512365281
5.852,-0.131438305585348,-0.0274308966821265
5.858,-0.133078485584487,-0.0252336011303835
5.864,-0.134690379887304,-0.0230218420048056
5.87,-0.136277098953824,-0.020791545172073
5.876,-0.137840729832815,-0.0185381797157289
5.882,-0.139382299143666,-0.0162569576239853
5.888,-0.140901773114616,-0.0139430312880726
5.894,-0.142398092652066,-0.0115916821498522
5.9,-0.143869240231195,-0.00919849449520247
5.906,-0.145312334464947,-0.00675950925448011
5.912,-0.146723747361439,-0.00427135368055219
5.918,-0.148099238790787,-0.00173134389187993
5.924,-0.149434102328403,0.000862441555467891
5.93,-0.150723316558415,0.00351111772020763
5.936,-0.151961696113054,0.00621497845298503
5.942,-0.153144037050898,0.00897350913192359
5.948,-0.154265251756838,0.0117854244400436
5.954,-0.155320489262557,0.0146487278622258
5.96,-0.156305237724698,0.017560788961006
5.966,-0.157215406726068,0.020518434048692
5.972,-0.158047388036654,0.0235180456514169
5.978,-0.158798094440385,0.026555666118734
5.984,-0.159464977169742,0.02962710090809
5.99,-0.160046023350972,0.0327280173943043
5.996,-0.160539735612298,0.0358540355780072
6.002,-0.160945096632673,0.0390008076663882
6.008,-0.161261521869807,0.0421640842408232
6.014,-0.161488804009132,0.0453397655005545
6.02,-0.161627052800118,0.0485239368893083
6.026,-0.161676633901201,0.0517128892102533
6.032,-0.161638110143162,0.0549031240971901
6.038,-0.161512188270106,0.0580913463901778
6.044,-0.161299673725987,0.0612744455491201
6.05,-0.161001435474219,0.0644494686938903
6.056,-0.160618382163832,0.0676135881770193
6.062,-0.160151450274808,0.0707640667594979
6.068,-0.15960160414235,0.0738982234720506
6.074,-0.158969847082022,0.0770134031005763
6.08,-0.15825724219651,0.0801069519545158
6.086,-0.15746494088734,0.0831762021626136
6.092,-0.156594216645093,0.0862184662255445
6.098,-0.155646501360163,0.0892310429547829
6.104,-0.154623421203295,0.0922112352678969
6.11,-0.153526829080465,0.0951563796382492
6.116,-0.152358830761261,0.0980638863148003
6.122,-0.15112180202332,0.100931288789202
6.128,-0.14982124343082,0.103748749843478
6.134,-0.148463000546829,0.106515248850699
6.14,-0.147048203446005,0.109237565359733
6.146,-0.145579918385462,0.111915068464704
6.152,-0.144061234879518,0.114547517583433
6.158,-0.142495199853932,0.117135085559592
6.164,-0.140884744192259,0.119678368950565
6.17,-0.139232604373921,0.122178383671958
