"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
5,-0.0220273946610792,0.141921012711258
5.003,-0.0209565017786739,0.141582958854158
5.006,-0.0198804661373288,0.141239744237668
5.009,-0.0187988126227254,0.140890481552793
5.012,-0.0177111424088492,0.140534229700427
5.015,-0.0166171382498372,0.140169999918624
5.018,-0.0155165692879713,0.13979676244666
5.021,-0.0144092953178183,0.139413453687063
5.024,-0.0132952704375128,0.139018983818218
5.027,-0.012174546063187,0.138612244806427
5.03,-0.0110472732415443,0.13819211876036
5.033,-0.00991370423257457,0.13775748656526
5.036,-0.00877419332541446,0.137307236730322
5.039,-0.00762919685835209,0.136840274378844
5.042,-0.0064792724329717,0.136355530310276
5.045,-0.00532507729144439,0.135851970046663
5.048,-0.00416736586795895,0.1353286028068
5.051,-0.00300698650929719,0.134784490303666
5.054,-0.00184487736955269,0.13421875530308
5.057,-0.000682061510989314,0.133630589858233
5.06,0.000480358784952499,0.133019263141138
5.063,0.00164120843551099,0.132384128794968
5.066,0.0027992466936108,0.131724631738296
5.069,0.00395317492692854,0.131040314349234
5.072,0.0051016450026148,0.130330821955472
5.075,0.00624326820576899,0.129595907591212
5.078,0.00737662462842179,0.128835435942008
5.081,0.00850027295126997,0.128049386449497
5.084,0.00961276054181415,0.127237855525032
5.087,0.0107126337848525,0.126401057842218
5.09,0.0117984485575734,0.12553932667834
5.093,0.0128687807619008,0.124653113303696
5.096,0.0139205696104411,0.123740106963823
5.099,0.0149530693042783,0.122803242673628
5.102,0.0159655068273192,0.121844380497413
5.105,0.0169566970735859,0.120864479371806
5.108,0.0179255317020545,0.119864592423584
5.111,0.0188709874111414,0.1188458600514
5.114,0.0197921335600331,0.117809502249407
5.117,0.020688139076859,0.116756810238788
5.12,0.0215582785927087,0.115689137458979
5.123,0.0224019377294879,0.114607890011794
5.126,0.0232186174936162,0.113514516622659
5.129,0.0240079377365628,0.112410498216132
5.132,0.0247696396402184,0.111297337189242
5.135,0.0255035871961058,0.110176546477495
5.138,0.026209767672421,0.109049638510313
5.141,0.026888291050911,0.10791811415157
5.144,0.0275393884275816,0.106783451725334
