"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
6,-0.115076969057061,0.033189661888474
6.001,-0.115135120973809,0.0335280837642328
6.002,-0.11519163309557,0.033866591685032
6.003,-0.115246510774472,0.0342051703162561
6.004,-0.115299759748939,0.0345438045616606
6.005,-0.115351386134118,0.0348824795787713
6.006,-0.115401396410897,0.0352211807932787
6.007,-0.115449797414619,0.0355598939135366
6.008,-0.115496596323508,0.0358986049440602
6.009,-0.115541800645781,0.0362373001987207
6.01,-0.115585418206772,0.0365759663133457
6.011,-0.115627457134942,0.0369145902578137
6.012,-0.115667925848305,0.037253159347555
6.013,-0.115706833039136,0.0375916612540453
6.014,-0.115744187659294,0.0379300840152081
6.015,-0.115779998904534,0.0382684160446082
6.016,-0.115814276198226,0.0386066461406518
6.017,-0.115847029175667,0.0389447634940855
6.018,-0.115878267666794,0.0392827576956912
6.019,-0.115908001679407,0.0396206187426882
6.02,-0.115936241382272,0.0399583370445271
6.021,-0.115962997086943,0.0402959034279925
6.022,-0.11598827923087,0.0406333091413982
6.023,-0.116012098358815,0.040970545858186
6.024,-0.116034465105663,0.0413076056792271
6.025,-0.116055390177632,0.0416444811352166
6.026,-0.11607488433477,0.0419811651872754
6.027,-0.11609295837245,0.0423176512274466
6.028,-0.116109623103515,0.0426539330779968
6.029,-0.116124889340186,0.0429900049902124
6.03,-0.116138767876124,0.0433258616419995
6.031,-0.116151269468666,0.0436614981354847
6.032,-0.11616240482122,0.0439969099923106
6.033,-0.116172184565848,0.0443320931503385
6.034,-0.116180619246107,0.0446670439571445
6.035,-0.116187719300184,0.0450017591651215
6.036,-0.1161934950443,0.0453362359237757
6.037,-0.116197956656527,0.0456704717727288
6.038,-0.116201114160935,0.0460044646335148
6.039,-0.116202977412164,0.0463382128004802
6.04,-0.116203556080462,0.0466717149313854
6.041,-0.116202859637159,0.0470049700369004
6.042,-0.11620089734068,0.0473379774705091
6.043,-0.116197678223074,0.0476707369162033
6.044,-0.116193211077106,0.0480032483769882
6.045,-0.116187504443898,0.0483355121623775
6.046,-0.116180566601267,0.0486675288750944
6.047,-0.116172405552598,0.0489992993976735
6.048,-0.116163029016421,0.049330824878557
6.049,-0.1161524444166,0.0496621067174977
6.05,-0.116140658873242,0.049993146550656
6.051,-0.116127679194658,0.0503239462359027
6.052,-0.116113511869163,0.0506545078368157
6.053,-0.116098163058682,0.0509848336071831
6.054,-0.116081638591942,0.0513149259748004
6.055,-0.116063943960079,0.0516447875254715
6.056,-0.116045084310933,0.05197442098621
6.057,-0.11602506444595,0.0523038292089362
6.058,-0.116003888816578,0.0526330151535806
6.059,-0.115981561522367,0.0529619818714804
6.06,-0.115958086309264,0.0532907324885825
6.061,-0.115933466568716,0.0536192701883417
6.062,-0.11590770533816,0.0539475981954207
6.063,-0.115880805301225,0.0542757197585922
6.064,-0.115852768790024,0.0546036381343356
