"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
1,0.373204711761975,0.0266936979575673
1.004,0.367134219673071,0.00692982344736582
1.008,0.360105796542122,-0.0123801682830711
1.012,0.352140921857621,-0.0311707200812424
1.016,0.343267334838732,-0.0493763271751086
1.02,0.333519219898324,-0.0669323028033129
1.024,0.322937283890224,-0.0837755807135622
1.028,0.311568719832109,-0.0998455381948676
1.032,0.299467054276557,-0.115084822682902
1.036,0.286691878076584,-0.129440164725965
1.04,0.27330846288238,-0.142863160253844
1.044,0.259387268156832,-0.15531100557351
1.048,0.245003345958488,-0.166747169443011
1.052,0.230235652906837,-0.177141987738198
1.056,0.215166280821609,-0.186473167788753
1.06,0.199879619267377,-0.194726191242372
1.064,0.18444430094891,-0.201853854537984
1.068,0.168957262764634,-0.207822868567938
1.072,0.153544514224471,-0.212713232423672
1.076,0.138291243723826,-0.216550529347298
1.08,0.123278894009711,-0.219368409490047
1.084,0.108584271343122,-0.221208030450518
1.088,0.0942787429520605,-0.222117389935952
1.092,0.0804275363061967,-0.222150564793
1.096,0.0670891514592737,-0.221366872344618
1.1,0.0543148952124324,-0.219829971304688
1.104,0.0421485431932843,-0.217606920472971
1.108,0.0306261332215544,-0.214767213967891
1.112,0.0197758905532402,-0.211381811869247
1.116,0.00961828288093303,-0.207522184882568
1.12,0.000166200304879344,-0.203259390973618
1.124,-0.00857474700898537,-0.198663200862708
1.128,-0.0165048457601964,-0.193890593999213
1.132,-0.0237316452155856,-0.188977492280209
1.136,-0.0303128369732988,-0.183952015398241
1.14,-0.0362718562545388,-0.178862000225241
1.144,-0.0416347124361434,-0.173750124927484
1.148,-0.0464291641847386,-0.168653919938334
1.152,-0.0506839333271941,-0.163605899647414
1.156,-0.0544279743385474,-0.158633805125256
1.16,-0.0576898144265177,-0.153760945954748
1.164,-0.0604969770239445,-0.149006627295988
1.168,-0.0628754991014994,-0.144386646742304
1.172,-0.0648495501061177,-0.139913844332977
1.176,-0.0664411576201261,-0.135598688341876
1.18,-0.0676700420863232,-0.131449879109144
1.184,-0.0685535601783356,-0.127474953252071
1.188,-0.0691067537101508,-0.123680871101291
1.192,-0.0693424984454316,-0.120074571071421
1.196,-0.0692717447695377,-0.116663475925415
1.2,-0.0689038401082662,-0.113455937481751
1.204,-0.0682469210692857,-0.110461608146288
1.208,-0.0673083618186638,-0.107691729808882
1.212,-0.0660952639952619,-0.105159332864365
1.216,-0.064614972652105,-0.10287934061284
1.22,-0.0628756023267487,-0.100868576740837
1.224,-0.0608865572796877,-0.099145676140393
1.228,-0.058659030277556,-0.0977309017389384
1.232,-0.0562064650682451,-0.0966458724467464
1.236,-0.0535449686892867,-0.0959132094932734
1.24,-0.0506936611787837,-0.0955561104611774
1.244,-0.0476749519120481,-0.0955978620855448
1.248,-0.0445147336651767,-0.0960613043629242
1.252,-0.0411287643243552,-0.0969016047207258
1.256,-0.0375292928977285,-0.0981887540892964
1.26,-0.0338715006299401,-0.100026973441664
1.264,-0.0302096774284566,-0.102432739027146
1.268,-0.0266009924692553,-0.105416581436791
1.272,-0.0231047035842011,-0.10898266642583
1.276,-0.0197813139398196,-0.113128494158033
1.28,-0.0166916944130858,-0.117844722461723
1.284,-0.0138961904609611,-0.123115116814839
1.288,-0.0114537323194163,-0.128916626953525
1.292,-0.00942096687982403,-0.135219587228914
1.296,-0.00785142881429649,-0.14198803515856
1.3,-0.00679476724786056,-0.149180140201134
1.304,-0.00629604278816405,-0.156748732509641
1.308,-0.00639510783917987,-0.164641919522466
1.312,-0.00712608106157175,-0.172803776599117
1.316,-0.00851692455665191,-0.181175096640099
1.32,-0.0105891299285044,-0.189694182741928
1.324,-0.0133575169129468,-0.198297667399347
1.328,-0.0168301457273799,-0.206921341633768
1.332,-0.0210083418581597,-0.215500977672926
1.336,-0.0258868296149145,-0.223973129397986
1.34,-0.0314539685708354,-0.232275895709172
1.344,-0.0376920849889418,-0.240349633217882
1.348,-0.0445778885398596,-0.248137606175519
1.352,-0.0520829631264836,-0.255586563290071
1.356,-0.0601743193741898,-0.262647233005028
1.36,-0.068814995513561,-0.269274730871195
1.364,-0.0779646927497155,-0.275428874756722
1.368,-0.0875804310385017,-0.281074405801958
1.372,-0.0976172112535011,-0.286181115173492
1.376,-0.108031378399075,-0.290679912357697
1.38,-0.118753072175228,-0.294466563768261
1.384,-0.1297123761667,-0.297666234974046
1.388,-0.140866650122588,-0.300275942722822
1.392,-0.152175290357784,-0.30229608066999
1.396,-0.163599961792178,-0.303729953713744
1.4,-0.175104752283014,-0.304583307534899
1.404,-0.186656252136151,-0.304863864902767
1.408,-0.198223563293468,-0.304580879439266
1.412,-0.209778244108013,-0.30374471643668
1.416,-0.221294196840306,-0.302366469050042
1.42,-0.232747505967475,-0.30045761677812
1.424,-0.244116236132937,-0.29802973164641
1.428,-0.25538019902921,-0.295094235934579
1.432,-0.266520698729475,-0.291662213704018
1.436,-0.277520264936693,-0.287744276845128
1.44,-0.288362383359727,-0.283350484824103
