"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
1,0.375171642512975,0.0228559034665673
1.004,0.368378697403071,0.00289794646396582
1.008,0.360623338938122,-0.0164797827896711
1.012,0.351947654880621,-0.0352159476530424
1.016,0.342398500821732,-0.0532523941471086
1.02,0.332027247485324,-0.0705345552673129
1.024,0.320889494313224,-0.0870118372839622
1.028,0.309044749655109,-0.102637985596868
1.032,0.296556077996557,-0.117371427419902
1.036,0.283489714847584,-0.131175588237965
1.04,0.26991465023838,-0.144019178675844
1.044,0.255902182188832,-0.15587644817951
1.048,0.241525442049288,-0.166727401695011
1.052,0.226858894194237,-0.176557975462198
1.056,0.211977813238609,-0.185360168044753
1.06,0.196957742636377,-0.193132122886371
1.064,0.18187850743418,-0.199840522497984
1.068,0.166835242591634,-0.205473026380938
1.072,0.151900865843471,-0.210113776217672
1.076,0.137145075057826,-0.213790011626298
1.08,0.122634232461711,-0.216534496073048
1.084,0.108430859024122,-0.218385128003518
1.088,0.0945931751850605,-0.219384497413952
1.092,0.0811746949251967,-0.2195793936474
1.096,0.0682238793992737,-0.219020271196518
1.1,0.0557838554254324,-0.217760681246488
1.104,0.0438922030142843,-0.215856677469771
1.108,0.0325808149375544,-0.213366205202891
1.112,0.0218758299572402,-0.210348483547247
1.116,0.011797640014933,-0.206863390163568
1.12,0.00236097021587934,-0.202970858511618
1.124,-0.00642497094198537,-0.198730297072708
1.128,-0.0144968398751964,-0.194304443775213
1.132,-0.0219279893598856,-0.189697112513209
1.136,-0.0287517496838988,-0.184923870742241
1.14,-0.0349803811111388,-0.180029161873241
1.144,-0.0406287017001433,-0.175054308049484
1.148,-0.0457135982837386,-0.170037436762334
1.152,-0.0502535500671941,-0.165013477483414
1.156,-0.0542681747105474,-0.160014224406256
1.16,-0.0577778059595177,-0.155068460018748
1.164,-0.0608031109119445,-0.150202132947988
1.168,-0.0633647538084994,-0.145438582473304
1.172,-0.0654831119471177,-0.140798801205177
1.176,-0.0671780478901261,-0.136301726805076
1.18,-0.0684687406423232,-0.131964553180144
1.184,-0.0693735769533356,-0.127803051428071
1.188,-0.0699101024091508,-0.123831890853291
1.192,-0.0700950304604316,-0.120064950680421
1.196,-0.0699443062025377,-0.116515613594415
1.2,-0.0694732203972662,-0.113197032949751
1.204,-0.0686965681132857,-0.110122366381288
1.208,-0.0676288453886638,-0.107304969608882
1.212,-0.0662844765330619,-0.104758545353365
1.216,-0.064678064083405,-0.10249724358184
1.22,-0.0628246530677487,-0.100535710580837
1.224,-0.0607400010396877,-0.0988890856933931
1.228,-0.058440845393556,-0.0975729458889384
1.232,-0.0559451596932451,-0.0966031996107464
1.236,-0.0532723911742867,-0.0959959325482734
1.24,-0.0504436721627837,-0.0957672091081774
1.244,-0.0474819988910481,-0.0959328343295448
1.248,-0.0444123720671767,-0.0965080818679242
1.252,-0.0411433544593552,-0.0974422762917258
1.256,-0.0376822255267285,-0.0987961330815964
1.26,-0.0341819023999401,-0.100666216815764
1.264,-0.0306887595644566,-0.103065265556146
1.268,-0.0272514599672553,-0.106001697866791
1.272,-0.0239204717342011,-0.10947927126283
1.276,-0.0207475402188196,-0.113496804839033
1.28,-0.0177851247130858,-0.118047971170723
1.284,-0.0150858096679611,-0.123121161183839
1.288,-0.0127017004464163,-0.128699424275525
1.292,-0.010683813774224,-0.134760484534914
1.296,-0.00908147282409649,-0.14127683256156
1.3,-0.00794171659126056,-0.148215891062134
1.304,-0.00730873270816405,-0.155540251207641
1.308,-0.00722332220617987,-0.163207975618466
1.312,-0.00772240396657175,-0.171172962885117
1.316,-0.00883856577165191,-0.179385367679099
1.32,-0.0105996678955044,-0.187792069828928
1.324,-0.0130285042119468,-0.196337185184347
1.328,-0.0161425247913799,-0.204962610688768
1.332,-0.0199536229181597,-0.213608595828726
1.336,-0.0244679884689145,-0.222214332505786
1.34,-0.0296860286118354,-0.230718555370272
1.344,-0.0356023558519418,-0.239060144779882
1.348,-0.0422058425698596,-0.247178724757519
1.352,-0.0494797403854836,-0.255015248627071
1.356,-0.0574018619291898,-0.262512565369028
1.36,-0.065944821938561,-0.269615960204195
1.364,-0.0750763339777155,-0.276273663336722
1.368,-0.0847595585605017,-0.282437321386958
1.372,-0.0949534979978011,-0.288062426495492
1.376,-0.105628842204975,-0.293050086705697
1.38,-0.116731062496028,-0.297240177699261
1.384,-0.1281398077164,-0.300781643235046
1.388,-0.139802267594588,-0.303659784857822
1.392,-0.151665713064784,-0.30586498540399
1.396,-0.163678016099178,-0.307392561978744
1.4,-0.175788142507014,-0.308242565585899
1.404,-0.187946612452151,-0.308419531095767
1.408,-0.200105923846468,-0.307932181704266
1.412,-0.212220934218013,-0.30679309246198
1.416,-0.224249197109306,-0.305018317894742
1.42,-0.236151249595475,-0.30262698906132
1.424,-0.247890848033937,-0.29964088577601
1.428,-0.25943514976621,-0.296083990012079
1.432,-0.270754839100475,-0.291982026726018
1.436,-0.281824196567693,-0.287361998581128
1.44,-0.292621111166727,-0.282251721155103
1.444,-0.303127035995783,-0.276679365290869
1.448,-0.313326888471655,-0.270673013242584
1.452,-0.32320889707319,-0.264260235165304
1.456,-0.332764397332638,-0.257467692314463
1.46,-0.341987580572014,-0.250320773055946
1.464,-0.35087519962844,-0.242843267358395
1.468,-0.359426236550023,-0.235057085029944
1.472,-0.367641537888299,-0.226982022308942
1.476,-0.375523423858253,-0.218635580801985
1.48,-0.383075278156615,-0.210032841949351
