"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
1,0.374053000653975,0.0264214620455673
1.004,0.367759196825071,0.00657635382036582
1.008,0.360510574082122,-0.0127493266700711
1.012,0.352343396407621,-0.0314940953002424
1.016,0.343298852579731,-0.0495994240521086
1.02,0.333422721076324,-0.0670101745973129
1.024,0.322764999035224,-0.0836749815753622
1.028,0.311379503746109,-0.0995465837129677
1.032,0.299323454925557,-0.114582102405902
1.036,0.286657045539584,-0.128743268688965
1.04,0.27344300824038,-0.141996600719844
1.044,0.259746183643832,-0.15431353488551
1.048,0.245633095640488,-0.165670514412011
1.052,0.231171537881837,-0.176049039916198
1.056,0.216430174437609,-0.185435686627753
1.06,0.201478156509377,-0.193822093110371
1.064,0.18635778608518,-0.201170828302984
1.068,0.171134924863234,-0.207449203707938
1.072,0.155931985663541,-0.212718130716672
1.076,0.140819022040826,-0.216992879905298
1.08,0.125864376290711,-0.220293832561047
1.084,0.111134320851122,-0.222646323889518
1.088,0.0966927096980605,-0.224080468178952
1.092,0.0826006389101967,-0.224630965368
1.096,0.0689161160392737,-0.224336887915618
1.1,0.0556937384464324,-0.223241446576488
1.104,0.0429843814122843,-0.221391733429771
1.108,0.0308348974825544,-0.218838440466891
1.112,0.0192878291902402,-0.215635552153247
1.116,0.00838113799493304,-0.211840010660288
1.12,-0.00185204716012066,-0.207511352870618
1.124,-0.0113836577159854,-0.202711318853708
1.128,-0.0200467940411964,-0.197521829190213
1.132,-0.0279258367015856,-0.192037302831209
1.136,-0.0350657704912988,-0.186322292733241
1.14,-0.0414689850461388,-0.180440487783241
1.144,-0.0471432307801434,-0.174454053990484
1.148,-0.0521013986907386,-0.168423144364334
1.152,-0.0563612482661941,-0.162405433023414
1.156,-0.0599450856288474,-0.156455680135256
1.16,-0.0628793950554177,-0.150625334173748
1.164,-0.0651944280009445,-0.144962177692988
1.168,-0.0669237547434994,-0.139510022337304
1.172,-0.0681037846661177,-0.134308458176977
1.176,-0.0687732620151261,-0.129392661662176
1.18,-0.0689727446773232,-0.124793265583144
1.184,-0.0687440741043356,-0.120536293335071
1.188,-0.0681298448761508,-0.116643158660291
1.192,-0.0671728826644316,-0.113130730803421
1.196,-0.0659157393595377,-0.110011463762415
1.2,-0.0644002139932662,-0.107293587030351
1.204,-0.0626669076892857,-0.104981353963288
1.208,-0.0607548203746638,-0.103075342734882
1.212,-0.0587009961942619,-0.101572803678365
1.216,-0.056540223710005,-0.10046804585484
1.22,-0.0543047958597487,-0.099752854791837
1.224,-0.0520243335126877,-0.099416932646393
1.228,-0.049725675126556,-0.0994483515299384
1.232,-0.0474328336712451,-0.0998340104087464
1.236,-0.0451670205842867,-0.100560085857273
1.24,-0.0429467350817837,-0.101612467096177
1.244,-0.0407879158017481,-0.102977165922545
1.248,-0.0387041503811767,-0.104640692846924
1.252,-0.0367004828863552,-0.106402547031726
1.256,-0.0347147457937285,-0.108256034248796
1.26,-0.0327392090959401,-0.110395428921664
1.264,-0.0307854966604566,-0.112829725449146
1.268,-0.0288674811902553,-0.115568736081791
1.272,-0.0270015519582011,-0.11862267862283
1.276,-0.0252068153788196,-0.122001719169033
1.28,-0.0235052219760858,-0.125715480313723
1.284,-0.0219216149079611,-0.129772526082839
1.288,-0.0204836969454163,-0.134179835498525
1.292,-0.019221914467224,-0.138942277009914
1.296,-0.0181692589147965,-0.14406209612856
1.3,-0.0173609880618606,-0.149538428452134
1.304,-0.016834270840164,-0.155366849789641
1.308,-0.0166277615721799,-0.161538974488466
1.312,-0.0167811106575717,-0.168042112081117
1.316,-0.0173344203516519,-0.174858991329099
1.32,-0.0183276553875044,-0.181967559371928
1.324,-0.0198000192704468,-0.189340862296347
1.328,-0.0217893078323799,-0.196947011809768
1.332,-0.0243312522151597,-0.204749241006726
1.336,-0.0274588637579146,-0.212706050664586
1.34,-0.0312017933588354,-0.220771445413172
1.344,-0.0355857176959418,-0.228895257756882
1.348,-0.0406317642828596,-0.237023556010519
1.352,-0.0463559867174836,-0.245099130617071
1.356,-0.0527689006011898,-0.253062051888028
1.36,-0.059875089625561,-0.260850290767195
1.364,-0.0676728900237155,-0.268400393040722
1.368,-0.0761541602485017,-0.275648196369558
1.372,-0.0853041412848011,-0.282529578686492
1.376,-0.0951901446239754,-0.288954255769697
1.38,-0.105940887717228,-0.294751334665261
1.384,-0.1172311852377,-0.299914739843046
1.388,-0.129005394505588,-0.304397633896822
1.392,-0.141203726973784,-0.30815933675999
1.396,-0.153763009720178,-0.311165706117744
1.4,-0.166617481309014,-0.313389418763899
1.404,-0.179699608774151,-0.314810150231767
1.408,-0.192940912538568,-0.315414651878266
1.412,-0.206272786160013,-0.315196726063981
1.416,-0.219627298192306,-0.314157102144742
1.42,-0.232937963972475,-0.31230321706532
1.424,-0.246140475931937,-0.30964890632441
1.428,-0.25917338193221,-0.306214012030579
1.432,-0.271978702230475,-0.302023916181018
1.436,-0.284502476863693,-0.297109008284128
1.44,-0.296695236565727,-0.291504097256103
1.444,-0.308512391759783,-0.285247778256869
