"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2,-0.0122159158051189,-0.505524145983548
2.008,-0.0326677128622378,-0.503727166927796
2.016,-0.0525460356404979,-0.501338546993018
2.024,-0.0719141469867823,-0.498420070120986
2.032,-0.0908388271774682,-0.495010095699778
2.04,-0.10938477843138,-0.491124044975336
2.048,-0.127609314001658,-0.48675617233645
2.056,-0.145557635477575,-0.481882522663379
2.064,-0.163258969839356,-0.476464901617864
2.072,-0.180723786996459,-0.470455621827803
2.08,-0.197942252507774,-0.463802739344649
2.088,-0.214883993600835,-0.456455464935701
2.096,-0.23149917501202,-0.448369426050287
2.104,-0.247720800443962,-0.439511468062887
2.112,-0.263468081365224,-0.429863716494967
2.12,-0.278650652607416,-0.419426672562454
2.128,-0.293180462822486,-0.408220717289229
2.136,-0.30696633062741,-0.396281575344586
2.144,-0.319904206433565,-0.383670545791384
2.152,-0.331912177511532,-0.370470635311566
2.16,-0.342923175823404,-0.356781761624213
2.168,-0.352888543245387,-0.342716990162013
2.176,-0.361780589846988,-0.328398083418447
2.184,-0.369594031891458,-0.313950625086214
2.192,-0.376346261579459,-0.299498993272769
2.2,-0.382076464547863,-0.285161453746982
2.208,-0.386843660270214,-0.271045627081068
2.216,-0.390723792313813,-0.257244554822641
2.224,-0.393806038095405,-0.243833552045891
2.232,-0.396188540313555,-0.230867989270423
2.24,-0.39797378425361,-0.218382098274734
2.248,-0.39926385664672,-0.206388845845895
2.256,-0.400141292132317,-0.194932166531507
2.264,-0.400732003515204,-0.183957115715437
2.272,-0.401120425524834,-0.173395544114898
2.28,-0.401362877127204,-0.16318287660965
2.288,-0.401494218145652,-0.153247818557687
2.296,-0.401527159809482,-0.143517855115484
2.304,-0.4014529002677,-0.133924763972339
2.312,-0.401243061774887,-0.124409832213939
2.32,-0.400852835496206,-0.114928477289003
2.328,-0.400225171430209,-0.105453997412262
2.336,-0.399295788431674,-0.0959802178801877
2.344,-0.397998726620707,-0.086522855573081
2.352,-0.396272125255583,-0.0771194920380885
2.36,-0.394063886423587,-0.0678281228430517
2.368,-0.391336881193648,-0.058724333235179
2.376,-0.388073371181547,-0.0498972328574275
2.384,-0.384278355162801,-0.0414443601861446
2.392,-0.37998160574719,-0.0334658354849692
2.4,-0.375238232913016,-0.026058094619487
2.408,-0.370127695184464,-0.0193075711414952
2.416,-0.3647512708345,-0.0132847077001146
2.424,-0.359228094962062,-0.00803866849804
2.432,-0.35368995788408,-0.0035930921501741
2.44,-0.348275140249036,5.68298118568886E-05
2.448,-0.343121625250649,0.00294573635162409
2.456,-0.338360074080753,0.00513781735780761
2.464,-0.334106973896072,0.00672484317381627
2.472,-0.330458366399733,0.00782257601268712
2.48,-0.327484539181609,0.00856573425753068
2.488,-0.325226012555098,0.00910177040911065
2.496,-0.323691084288322,0.00958379911582215
2.504,-0.322908921920842,0.0101576041410862
2.512,-0.32282292452526,0.0110031844051604
2.52,-0.323278883382835,0.0122623667648905
2.528,-0.324150036075281,0.014030767773788
2.536,-0.325293676205954,0.0163709819771554
2.544,-0.326559553776385,0.0193099086207301
2.552,-0.327798678813122,0.0228381940984551
2.56,-0.328872001141692,0.0269118297801632
2.568,-0.329658444022703,0.0314558151440474
2.576,-0.330061805658888,0.0363696711605809
2.584,-0.330016108399292,0.0415344760922697
2.592,-0.329489067026347,0.0468210023423467
2.6,-0.328483459415384,0.0520984642931198
2.608,-0.327036308465547,0.0572433476647747
2.616,-0.325215915999823,0.0621477832739978
2.624,-0.323116919338771,0.0667269528974416
2.632,-0.320832917437552,0.0708770996513688
2.64,-0.318533048783514,0.0746091315495357
2.648,-0.316352800059251,0.0779515077349872
2.656,-0.314414101914677,0.0809621729720683
2.664,-0.312821085901079,0.0837313182110638
2.672,-0.31165239552813,0.0863761298667366
2.68,-0.310954996373996,0.0890338060876554
2.688,-0.310739859498216,0.0918532555866856
2.696,-0.31097978001349,0.0949859717477461
2.704,-0.311609465369234,0.098576621977548
2.712,-0.312527893710725,0.102753907299919
2.72,-0.313602809200407,0.107622229331708
2.728,-0.314677096883463,0.113254652551805
2.736,-0.315576671241112,0.119687572460791
2.744,-0.316119426430518,0.126917399839438
2.752,-0.316134660444636,0.134922143962245
2.76,-0.315444803008634,0.143671151369172
2.768,-0.313851501562203,0.152968311953647
2.776,-0.311234113005441,0.162644993126929
2.784,-0.30751136505102,0.172509406051832
2.792,-0.302645558685462,0.18235643397677
2.8,-0.296644299306692,0.191978144324581
2.808,-0.289559672604982,0.201174372330189
2.816,-0.281484929271704,0.209762763534386
2.824,-0.272548886306358,0.217587696850394
2.832,-0.262908383642576,0.224527576958318
2.84,-0.25273924613538,0.230500080601356
2.848,-0.242226286583619,0.235465060441347
2.856,-0.231552940553552,0.239424946248584
2.864,-0.220891145521374,0.242422627990334
2.872,-0.210392063725463,0.244536952182969
2.88,-0.20017820089716,0.245876102168154
2.888,-0.190337394006908,0.246569258008323
2.896,-0.180919034427001,0.246757034859915
2.904,-0.171932764298623,0.246581274095484
2.912,-0.163349740409367,0.246174804586769
2.92,-0.155106409159211,0.24565179947783
2.928,-0.147110587252393,0.24509932566475
2.936,-0.139249503694233,0.244570619924503
2.944,-0.131399337824278,0.244080530769436
2.952,-0.123435692809697,0.243603442859805
2.96,-0.115244380037886,0.243073859089132
2.968,-0.106731861461389,0.242389660698826
2.976,-0.0978347063432816,0.241417908449803
2.984,-0.0885274657795542,0.240002895778609
2.992,-0.0788284511415599,0.23797602792888
3,-0.0688030156895194,0.23516698697341
3.008,-0.0583106374676395,0.231505142097054
3.016,-0.0477336244565333,0.226638913834015
3.024,-0.0373147439703591,0.220457565893968
3.032,-0.0273292190983765,0.212907216026259
3.04,-0.0180706711444938,0.20399823367552
3.048,-0.00983559120835074,0.193809089105087
3.056,-0.00290723733519127,0.182486401471521
3.064,0.00246011413811679,0.170241157256986
3.072,0.00605565713595145,0.157341294865816
