"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2,-0.0111596217861189,-0.505325269343548
2.008,-0.0315983461206378,-0.503792880338796
2.016,-0.0515285072840979,-0.501662659926018
2.024,-0.0710094054547823,-0.498980808015986
2.032,-0.0901002025704682,-0.495771709951778
2.04,-0.10885489263338,-0.492039257613336
2.048,-0.127317740230658,-0.48776926841045
2.056,-0.145519430426575,-0.482932865539379
2.064,-0.163474134498356,-0.477490628118964
2.072,-0.181177644929459,-0.471397276073303
2.08,-0.198606672934774,-0.464606624557649
2.088,-0.215719336138835,-0.457076528120701
2.096,-0.23245679686602,-0.448773536475287
2.104,-0.248745946807962,-0.439677001530887
2.112,-0.264502975500524,-0.429782408123967
2.12,-0.279637611400956,-0.419103746475454
2.128,-0.294064653595486,-0.407673196462229
2.136,-0.307697599925411,-0.395537735961586
2.144,-0.320440608330565,-0.382771195698384
2.152,-0.332222137830532,-0.369465104412566
2.16,-0.342987108377404,-0.355725420627213
2.168,-0.352699923358388,-0.341668490938513
2.176,-0.361346442747988,-0.327416421271647
2.184,-0.368934804707458,-0.313092129586214
2.192,-0.375495060533459,-0.298814362867769
2.2,-0.381077655878863,-0.284692959249982
2.208,-0.385750856015214,-0.270824618107068
2.216,-0.389597271054613,-0.257289408426641
2.224,-0.392709685296375,-0.244148200862891
2.232,-0.395186430746555,-0.231441154469423
2.24,-0.39712656671461,-0.219187328470734
2.248,-0.39862513432772,-0.207385426098895
2.256,-0.399764280271317,-0.196066549911507
2.264,-0.400648990721204,-0.185160499565437
2.272,-0.401342359830834,-0.174592519079198
2.28,-0.401881455060204,-0.16429681440765
2.288,-0.402281941393652,-0.154205801753687
2.296,-0.402538670482482,-0.144255503458484
2.304,-0.4026275442177,-0.134390617876339
2.312,-0.402508536393887,-0.124568974728939
2.32,-0.402129693767936,-0.114765123033003
2.328,-0.401431885271909,-0.104972847053262
2.336,-0.400354027965674,-0.0952064642761877
2.344,-0.398838492179707,-0.085500825174081
2.352,-0.396836377386583,-0.0759100044350886
2.36,-0.394312355154587,-0.0665047439280517
2.368,-0.391248795860648,-0.057368775781979
2.376,-0.387648930892547,-0.0485942161599275
2.384,-0.383538850333801,-0.0402762737011446
2.392,-0.37896819564519,-0.0325075583849692
2.4,-0.374009474850016,-0.025372304435487
2.408,-0.368756001359464,-0.0189408330524952
2.416,-0.3633185330655,-0.0132645761491146
2.424,-0.357820762194862,-0.00837196035904
2.432,-0.35239387461838,-0.0042654119361741
2.44,-0.347170456074036,-0.000919688941143111
2.448,-0.342278068507649,0.00171832046262409
2.456,-0.337832849358753,0.00372827268880761
2.464,-0.333933497613072,0.00521353995881627
2.472,-0.330656001302733,0.00629698828548712
2.48,-0.328049431299609,0.00711555635598068
2.488,-0.326133076315098,0.00781390575911065
2.496,-0.324895125992322,0.00853747670182215
2.504,-0.324344480344842,0.00942836967208625
2.512,-0.32440413726326,0.0106483667951604
2.52,-0.324910560039835,0.0123088034948905
2.528,-0.325732608460181,0.014481744631788
2.536,-0.326728852312954,0.0172056533601554
2.544,-0.327756021700385,0.0204840290067301
2.552,-0.328677568577122,0.0242861630784551
2.56,-0.329371809311692,0.0285499909581632
2.568,-0.329739135469703,0.0331868839720474
2.576,-0.329707830895888,0.0380881008569809
2.584,-0.329238114955292,0.0431325077989697
2.592,-0.328324139733347,0.0481950897173467
2.6,-0.326993796478384,0.0531557186531198
2.608,-0.325306325335547,0.0579076223287747
2.616,-0.323347863480823,0.0623650091969978
2.624,-0.321225200610171,0.0664693553384416
2.632,-0.319047431682402,0.0701448685583688
2.64,-0.316973449544514,0.0734388294045357
2.648,-0.315125825228251,0.0764095568559872
2.656,-0.313607597154677,0.0791409500820683
2.664,-0.312497666641079,0.0817439001150638
2.672,-0.31184455183113,0.0843494734377366
2.68,-0.311662034733996,0.0871007576307554
2.688,-0.311926966644216,0.0901438861836856
2.696,-0.31257935806049,0.0936188061217461
2.704,-0.313524733955234,0.097650361655548
2.712,-0.314638593652725,0.102340239688919
2.72,-0.315772685876407,0.107760261337708
2.728,-0.316762701788363,0.113947412435805
2.736,-0.317436908633812,0.120900892016791
2.744,-0.317625198262518,0.128581329028438
2.752,-0.317172476550636,0.136933886312245
2.76,-0.315921292266634,0.145893641809172
2.768,-0.313728749216203,0.155247340995647
2.776,-0.310516040645441,0.164821228657929
2.784,-0.30624374412002,0.174429628712332
2.792,-0.300913031841462,0.18388440860177
2.8,-0.294564607434692,0.193004336463581
2.808,-0.287275492790982,0.201623799510189
2.816,-0.279153907389704,0.209600405644386
2.824,-0.270332582754358,0.216821068730394
2.832,-0.260960931885376,0.223206275348318
2.84,-0.25119654449338,0.228712341081356
2.848,-0.241196502483619,0.233331580503347
2.856,-0.231109006542552,0.237090431086584
2.864,-0.221065775534374,0.240045680772334
2.872,-0.211175628465463,0.242279047284969
2.88,-0.20151958764716,0.243890439919054
2.888,-0.192147755716908,0.244990298382323
2.896,-0.183078122620001,0.245691446232915
2.904,-0.174297356911623,0.246100917296484
2.912,-0.165763532294367,0.246312212021769
2.92,-0.157410640958211,0.24639841758783
2.928,-0.149154652950893,0.24640658215475
2.936,-0.140900800052033,0.246353671784503
2.944,-0.132551696322278,0.246224361149436
2.952,-0.124015858763697,0.245970818660805
2.96,-0.115216162537886,0.245514547588132
2.968,-0.106097757691389,0.244750240122826
2.976,-0.0966349893832816,0.243551496139803
2.984,-0.0868369014795542,0.241778157192409
2.992,-0.0767509628815599,0.23928491354788
3,-0.0664647366095194,0.23593076296041
3.008,-0.0558711820436395,0.231639926411054
3.016,-0.0453550876095333,0.226145903194015
3.024,-0.0351515869693591,0.219377734003968
3.032,-0.0255190993632765,0.211317494966259
3.04,-0.0167266903714938,0.20200576712552
3.048,-0.00904030414935074,0.191544013935087
3.056,-0.00270863088719126,0.180093651131521
3.064,0.00205058789811679,0.167871782571986
3.072,0.00506302174595145,0.155143771680816
3.08,0.00620824318686222,0.142213008738545
3.088,0.00542761360762862,0.129408408218838
3.096,0.00272907173145474,0.117070315600755
3.104,-0.00181148927113952,0.105535609858514
3.112,-0.00805236861262137,0.0951228481479008
3.12,-0.0157916293220494,0.0861183078358491
3.128,-0.0248233055358895,0.0788698915373601
3.136,-0.0347874984995288,0.073666272698433
3.144,-0.0452320609646444,0.0704289441479911
3.152,-0.0558281930186495,0.069165921715944
3.16,-0.0662658705315714,0.0698240004423214
3.168,-0.0762663374590837,0.0722971890510548
3.176,-0.0855918160566113,0.0764377781400315
3.184,-0.0940518855883552,0.0820692222693444
3.192,-0.101506209068816,0.0889999063625144
3.2,-0.107863536143353,0.0970368189757152
3.208,-0.11307716247031,0.105998171873624
3.216,-0.11713726596871,0.115724085900043
3.224,-0.120060751073,0.126084601858292
3.232,-0.121879400954263,0.13698446281995
3.24,-0.122627253053748,0.148364338850953
3.248,-0.122328167861781,0.160198410862572
3.256,-0.12123790386035,0.172396823073606
3.264,-0.119190369755233,0.185188604874716
3.272,-0.115983895684186,0.198657094261865
3.28,-0.111452722429077,0.212810487793256
3.288,-0.105398151782656,0.227619260784041
3.296,-0.0975981064048718,0.243005326502424
3.304,-0.0878194671889956,0.25883378352299
3.312,-0.0758324773864075,0.274907890379395
3.32,-0.0614263671145105,0.290967713984445
3.328,-0.044425266342627,0.306692679082482
3.336,-0.0247034451683336,0.321708013090824
3.344,-0.00219894769856002,0.335594848211328
3.352,0.0230752316499967,0.347903523823995
3.36,0.0510231482295783,0.358169440363962
3.368,0.0814616282874793,0.365930660759566
3.376,0.114138256107083,0.370710952674963
3.384,0.148727497993177,0.371869985284722
3.392,0.184603306278222,0.36932739180031
3.4,0.221276542999398,0.362863101235139
3.408,0.258225438561308,0.352337511211166
3.416,0.294911179808777,0.337695790079475
3.424,0.330793870408829,0.318968872008919
3.432,0.365348134796395,0.296271189724088
3.44,0.398077676102074,0.269795351382507
3.448,0.428528173209424,0.239804114520781
3.456,0.456298007574283,0.206620133170244
3.464,0.481046439937265,0.17061404800286
3.472,0.502499002731368,0.132191549150455
3.48,0.520450027169055,0.0917800647559586
