"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2,-0.0102873593905189,-0.508387408540548
2.008,-0.0315171635538378,-0.506998819977796
2.016,-0.0522539639511979,-0.504809086371018
2.024,-0.0725050712765822,-0.501866221150986
2.032,-0.0922797459014682,-0.498209634557778
2.04,-0.11158749297638,-0.493870452373336
2.048,-0.130436431055658,-0.48887210989645
2.056,-0.148831780098575,-0.483231226884879
2.064,-0.166774524769356,-0.476958759042664
2.072,-0.184260315590459,-0.470061406367203
2.08,-0.201278671837774,-0.462543239795349
2.088,-0.217812544576835,-0.454407487076701
2.096,-0.23383828547402,-0.445658399313287
2.104,-0.249326047321962,-0.436303103727887
2.112,-0.264240616971824,-0.426353338400967
2.12,-0.278542652778066,-0.415826962737454
2.128,-0.292193519476886,-0.40474928354623
2.136,-0.305152604720411,-0.393150874063586
2.144,-0.317372023432565,-0.381072117469384
2.152,-0.328812582545532,-0.368563521830566
2.16,-0.339440642321404,-0.355683498579113
2.168,-0.349229949892387,-0.342497133988013
2.176,-0.358163121411988,-0.329074550212947
2.184,-0.366232683744458,-0.315488960275614
2.192,-0.373441618283459,-0.301814539672769
2.2,-0.379803384279863,-0.288124245775982
2.208,-0.385341433922214,-0.274487714620068
2.216,-0.390088263388213,-0.260969353891641
2.224,-0.394084070843075,-0.247626732451891
2.232,-0.397375112201855,-0.234509342867423
2.24,-0.40001185756861,-0.221657786458734
2.248,-0.40204705564772,-0.209103402909895
2.256,-0.403524973934317,-0.196889300142507
2.264,-0.404514722769204,-0.185018526776437
2.272,-0.405070325336834,-0.173485977256498
2.28,-0.405235544066204,-0.16228580937925
2.288,-0.405047264805652,-0.151407105046587
2.296,-0.404534888209482,-0.140835808989484
2.304,-0.4037201852937,-0.130556726274339
2.312,-0.402617616425887,-0.120555477991939
2.32,-0.401235094096706,-0.110820316521003
2.328,-0.399575150996209,-0.101343706372262
2.336,-0.397636456276574,-0.0921235841971877
2.344,-0.395415604685707,-0.083164222690081
2.352,-0.392909086244583,-0.0744766383190885
2.36,-0.390115329472587,-0.0660785025210517
2.368,-0.387036700258648,-0.057993540015179
2.376,-0.383681332917548,-0.0502504256085275
2.384,-0.380064671259801,-0.0428812211009446
2.392,-0.37621060662219,-0.0359194245825692
2.4,-0.372152117387016,-0.029397733445487
2.408,-0.367931340092464,-0.0233456470864952
2.416,-0.3635990348235,-0.0177870531611146
2.424,-0.359213444994061,-0.01273795023704
2.432,-0.35483859139768,-0.0082044583211741
2.44,-0.350542079290736,-0.00418125644414311
2.448,-0.346392532114649,-0.000650563779375913
2.456,-0.342456793319753,0.00241825098680761
2.464,-0.338797056182072,0.00506838570981627
2.472,-0.335468088939733,0.00735464200768712
2.48,-0.332514718573609,0.00934182179888068
2.488,-0.329969721439098,0.0111025608140106
2.496,-0.327852244469322,0.0127147103448222
2.504,-0.326189872318842,0.0142506338060862
2.512,-0.32497624964026,0.0158060620381604
2.52,-0.324158525901835,0.0174705790688905
2.528,-0.323690822932281,0.019311810116788
2.536,-0.323516096299154,0.0213855656291554
2.544,-0.323569023781085,0.0237338068547301
2.552,-0.323779270359122,0.0263832990724551
2.56,-0.324074974396692,0.0293450155471632
2.568,-0.324386292326703,0.0326143239160474
2.576,-0.324648836466888,0.0361719557815809
2.584,-0.324806841892292,0.0399857298670697
2.592,-0.324815903217347,0.0440129684877467
2.6,-0.324645131227384,0.0482035160921198
2.608,-0.324278593543547,0.0525032368077747
2.616,-0.323715924312823,0.0568578360589978
2.624,-0.322972016944771,0.0612168206334416
2.632,-0.322058875212402,0.0655174052373688
2.64,-0.321042398318014,0.0697372641365357
2.648,-0.319977643120251,0.0738656068179872
2.656,-0.318919956189677,0.0779068629990683
2.664,-0.317923161278079,0.0818836730100638
2.672,-0.31703454703313,0.0858364398437366
2.68,-0.316289964083996,0.0898215540487554
2.688,-0.315709388190216,0.0939083098431856
2.696,-0.31529330650849,0.0981746307307461
2.704,-0.315020254734234,0.102701824934548
2.712,-0.314845772838725,0.107568685706919
2.72,-0.314702958192407,0.112845329316708
2.728,-0.314504682120463,0.118587215045805
2.736,-0.314147407685612,0.124829809214791
2.744,-0.313516413193518,0.131584334317438
2.752,-0.312498732569636,0.138847361403245
2.76,-0.310973745244634,0.146605856638172
2.768,-0.308801737530203,0.154747489594647
2.776,-0.305891045820441,0.163166188650929
2.784,-0.30217530360802,0.171736733318932
2.792,-0.297617436249462,0.18032182363477
2.8,-0.292211570160692,0.188779955601581
2.808,-0.285982711872982,0.196973475567189
2.816,-0.278984243035704,0.204776169452386
2.824,-0.271293465332358,0.212079784331394
2.832,-0.263005596352876,0.218798976615318
2.84,-0.25422674744128,0.224874324068356
2.848,-0.245066494731619,0.230273214426347
2.856,-0.235630677356552,0.234988614334584
2.864,-0.226015020194374,0.239035910003334
2.872,-0.216300086785463,0.242448176986969
2.88,-0.20654793101516,0.245270364844554
2.888,-0.196800648204908,0.247552961045523
2.896,-0.187080844956001,0.249345720758915
2.904,-0.177393870854623,0.250692014235484
2.912,-0.167731501844367,0.251624256849769
2.92,-0.158076649411211,0.25216075906383
2.928,-0.148408602287393,0.25230417951375
2.936,-0.138708292989133,0.252041601263503
2.944,-0.128963119318278,0.251346096786436
2.952,-0.119170934112697,0.250179517495805
2.96,-0.109342933581886,0.248496151550132
2.968,-0.0995053104343891,0.246246847156826
2.976,-0.0896996762592816,0.243383200356803
2.984,-0.0799823818575542,0.239861452916509
2.992,-0.0704229607555599,0.23564582916688
3,-0.0611019796885194,0.23071114782741
3.008,-0.0520278063596395,0.225092211316054
3.016,-0.0433594320765333,0.218707068650015
