"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2,-0.0119279877181189,-0.508667600073548
2.008,-0.0332235481782378,-0.506836267145796
2.016,-0.0539073898986979,-0.504191521320018
2.024,-0.0739856158841822,-0.500812708642986
2.032,-0.0934743349933482,-0.496770222170778
2.04,-0.11239767463058,-0.492123828800336
2.048,-0.130785402364658,-0.48692139126945
2.056,-0.148670241634575,-0.481198089822379
2.064,-0.166084994417356,-0.474976227685764
2.072,-0.183059606358459,-0.468265677154303
2.08,-0.199618325763774,-0.461064989919249
2.088,-0.215777115466835,-0.453363157924201
2.096,-0.23154147491702,-0.445141971543287
2.104,-0.246904818266962,-0.436378882562887
2.112,-0.261847532730224,-0.427050242721967
2.12,-0.276336810636956,-0.417134757047454
2.128,-0.290332784820486,-0.406619559899229
2.136,-0.30378469471061,-0.395495292150586
2.144,-0.316617229054265,-0.383760545506384
2.152,-0.328756850715532,-0.371435353417566
2.16,-0.340127823721404,-0.358556698740213
2.168,-0.350656426276387,-0.345179282218813
2.176,-0.360275339018988,-0.331375252944647
2.184,-0.368927951993458,-0.317232861479714
2.192,-0.376572324635459,-0.302854060532369
2.2,-0.383184540256863,-0.288351144451982
2.208,-0.388761220487214,-0.273842583175068
2.216,-0.393321005355813,-0.259448264267641
2.224,-0.396904859520375,-0.245284404223891
2.232,-0.399575131676555,-0.231458423492423
2.24,-0.40141336883551,-0.218064095882734
2.248,-0.40251696535172,-0.205177280049895
2.256,-0.402956601658317,-0.192889578019507
2.264,-0.402894882626204,-0.181227190521437
2.272,-0.402470604809834,-0.170178260136398
2.28,-0.401799267580204,-0.15971332259265
2.288,-0.400981898959652,-0.149779230012687
2.296,-0.400099650682482,-0.140303490921584
2.304,-0.3992096087127,-0.131199893690339
2.312,-0.398342126350887,-0.122375079318939
2.32,-0.397499895906206,-0.113735656131003
2.328,-0.396658866385909,-0.105195400441262
2.336,-0.395770995456674,-0.0966820675961877
2.344,-0.394768701792407,-0.088143349284081
2.352,-0.393570766948583,-0.0795515557950885
2.36,-0.392089332140587,-0.0709066741040517
2.368,-0.390237552050648,-0.062237550223179
2.376,-0.387937411290547,-0.0536010614699274
2.384,-0.385127183897801,-0.0450792737691446
2.392,-0.38176802478919,-0.0367747125719692
2.4,-0.377849224791016,-0.028804004578487
2.408,-0.373391735726464,-0.0212902625724952
2.416,-0.3684496749505,-0.0143546792111146
2.424,-0.363109643477062,-0.00810786090804
2.432,-0.35748783075838,-0.0026414649341741
2.44,-0.351725023397536,0.00197930136285689
2.448,-0.345979775154649,0.00572180126062409
2.456,-0.340420122273753,0.00859026715880761
2.464,-0.335214332816072,0.0106279412308163
2.472,-0.330521253939733,0.0119168534106871
2.48,-0.326480861462609,0.0125751789909807
2.488,-0.323205618194098,0.0127522721831106
2.496,-0.320773210614322,0.0126216232868222
2.504,-0.319280003416842,0.0123408139340862
2.512,-0.31873895880426,0.0121485256811604
2.52,-0.319029404443835,0.0122860358018905
2.528,-0.320036294453281,0.012927838328788
2.536,-0.321607643224954,0.0142156263271554
2.544,-0.323563634007285,0.0162501588447301
2.552,-0.325707516387122,0.0190856288614551
2.56,-0.327837614126692,0.0227269143711632
2.568,-0.329759687521703,0.0271299128480474
2.576,-0.331298865236888,0.0322049635705809
2.584,-0.332310381648292,0.0378231643289697
2.592,-0.332688425766347,0.0438252026973467
2.6,-0.332372523011384,0.0500321584501198
2.608,-0.331351023449547,0.0562576039057747
2.616,-0.329661451100823,0.0623202411799978
2.624,-0.327387666231771,0.0680562753954416
2.632,-0.324607187756402,0.0732795691813688
2.64,-0.321545131306213,0.0779160612225357
2.648,-0.318394200500251,0.0819318984249872
2.656,-0.315343822645677,0.0853393142860683
2.664,-0.312574957389079,0.0882019084990638
2.672,-0.31024713887513,0.0906310891927366
2.68,-0.308486779243996,0.0927793668617554
2.688,-0.307377478758216,0.0948309075026856
2.696,-0.30695296376049,0.0969899248427461
2.704,-0.307193110754234,0.099467627232548
2.712,-0.308023323840725,0.102468526068919
2.72,-0.309317325299407,0.106176953711708
2.728,-0.310903207992463,0.110744627621805
2.736,-0.312572396730812,0.116280034320791
2.744,-0.314090986195518,0.122840296669438
2.752,-0.315232776376636,0.130454689245245
2.76,-0.315756226486634,0.139142712727172
2.768,-0.315343635614203,0.148699096830647
2.776,-0.313792278645441,0.158933741376929
2.784,-0.31094773758102,0.169612989319332
2.792,-0.306713002115462,0.18047261293777
2.8,-0.301054078328692,0.191232612364581
