"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2.25,-0.179944668379589,-0.782723562218405
2.2502,-0.180693706015587,-0.782202227254621
2.2504,-0.18144257515347,-0.781678899539098
2.2506,-0.182191271206752,-0.781153573720188
2.2508,-0.182939789555185,-0.780626244436184
2.251,-0.183688125544593,-0.780096906315783
2.2512,-0.1844362744866,-0.779565553978037
2.2514,-0.185184231658476,-0.779032182032114
2.2516,-0.185931992302889,-0.77849678507766
2.2518,-0.186679551627729,-0.777959357705054
2.252,-0.18742690480582,-0.777419894494777
2.2522,-0.188174046974779,-0.77687839001837
2.2524,-0.188920973236782,-0.776334838837703
2.2526,-0.18966767865828,-0.77578923550554
2.2528,-0.190414158269872,-0.775241574565604
2.253,-0.191160407066105,-0.774691850552348
2.2532,-0.191906420005044,-0.774140057991127
2.2534,-0.192652192008302,-0.773586191398567
2.2536,-0.193397717960616,-0.773030245282438
2.2538,-0.194142992709813,-0.772472214141433
2.254,-0.194888011066586,-0.771912092465836
2.2542,-0.195632767803762,-0.771349874737307
2.2544,-0.196377257656966,-0.770785555428659
2.2546,-0.197121475323494,-0.770219129004533
2.2548,-0.197865415462769,-0.769650589921289
2.255,-0.198609072695819,-0.769079932626683
2.2552,-0.199352441604725,-0.768507151560553
2.2554,-0.200095516733095,-0.767932241154509
2.2556,-0.200838292585321,-0.767355195832216
2.2558,-0.201580763626434,-0.766776010009488
2.256,-0.202322924281872,-0.766194678094277
2.2562,-0.203064768937323,-0.76561119448677
2.2564,-0.203806291938401,-0.765025553579674
2.2566,-0.20454748759048,-0.764437749758028
2.2568,-0.205288350158364,-0.763847777399684
2.257,-0.206028873866129,-0.763255630875019
2.2572,-0.206769052896878,-0.762661304547134
2.2574,-0.207508881392196,-0.762064792772351
2.2576,-0.208248353452488,-0.761466089899927
2.2578,-0.208987463136239,-0.760865190271955
2.258,-0.209726204459951,-0.760262088224175
2.2582,-0.210464571397794,-0.759656778085482
2.2584,-0.211202557881447,-0.759049254178443
2.2586,-0.211940157800042,-0.758439510818908
2.2588,-0.212677364999409,-0.757827542316724
2.259,-0.21341417328231,-0.757213342975558
2.2592,-0.214150576407787,-0.756596907093014
2.2594,-0.214886568091291,-0.755978228960755
2.2596,-0.215622142004027,-0.755357302864728
2.2598,-0.216357291773183,-0.75473412308529
