"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2.25,-0.179899383605829,-0.782889044951205
2.2502,-0.180649700001967,-0.782368266926321
2.2504,-0.18139985320914,-0.781845486249398
2.2506,-0.182149838563232,-0.781320697522788
2.2508,-0.182899651366015,-0.780793895340084
2.251,-0.183649286884933,-0.780265074285483
2.2512,-0.1843987403529,-0.779734228934137
2.2514,-0.185148006968116,-0.779201353852114
2.2516,-0.185897081893799,-0.77866644359666
2.2518,-0.186645960258049,-0.778129492716054
2.252,-0.1873946371536,-0.777590495749577
2.2522,-0.188143107637589,-0.77704944722807
2.2524,-0.188891366731402,-0.776506341673403
2.2526,-0.18963940942039,-0.77596117359914
2.2528,-0.190387230653702,-0.775413937510104
2.253,-0.191134825344075,-0.774864627902748
2.2532,-0.191882188367564,-0.774313239265027
2.2534,-0.192629314563382,-0.773759766076867
2.2536,-0.193376198733666,-0.773204202809738
2.2538,-0.194122835643213,-0.772646543927133
2.254,-0.194869220019286,-0.772086783884336
2.2542,-0.195615346551562,-0.771524917128807
2.2544,-0.196361209891466,-0.770960938100159
2.2546,-0.197106804652394,-0.770394841230133
2.2548,-0.197852125409269,-0.769826620942689
2.255,-0.198597166698519,-0.769256271654383
2.2552,-0.199341923017525,-0.768683787774253
2.2554,-0.200086388824495,-0.768109163703709
2.2556,-0.200830558538421,-0.767532393837016
2.2558,-0.201574426538834,-0.766953472561188
2.256,-0.202317987165272,-0.766372394255977
2.2562,-0.203061234717323,-0.76578915329437
2.2564,-0.203804163454201,-0.765203744042174
2.2566,-0.20454676759488,-0.764616160858528
2.2568,-0.205289041317264,-0.764026398095784
2.257,-0.206030978758429,-0.763434450099719
2.2572,-0.206772574014278,-0.762840311209534
2.2574,-0.207513821139096,-0.762243975758251
2.2576,-0.208254714145788,-0.761645438072327
2.2578,-0.208995247004839,-0.761044692472255
2.258,-0.209735413645051,-0.760441733272475
2.2582,-0.210475207952294,-0.759836554781282
2.2584,-0.211214623770147,-0.759229151301443
2.2586,-0.211953654899142,-0.758619517129908
2.2588,-0.212692295096509,-0.758007646558024
2.259,-0.21343053807631,-0.757393533871658
2.2592,-0.214168377508587,-0.756777173351514
2.2594,-0.214905807019691,-0.756158559272955
2.2596,-0.215642820191827,-0.755537685906428
2.2598,-0.216379410562583,-0.75491454751719
2.26,-0.217115571624972,-0.754289138366035
2.2602,-0.217851296827061,-0.753661452708921
2.2604,-0.218586579571802,-0.753031484797211
2.2606,-0.219321413216369,-0.752399228878097
2.2608,-0.220055791072482,-0.751764679194341
2.261,-0.220789706405939,-0.751127829984716
2.2612,-0.221523152435944,-0.75048867548404
2.2614,-0.222256122335632,-0.749847209923224
2.2616,-0.222988609230994,-0.749203427529714
2.2618,-0.223720606201203,-0.748557322527241
2.262,-0.224452106278038,-0.747908889136467
2.2622,-0.225183102445699,-0.747258121574541
2.2624,-0.22591358764064,-0.746605014055943
2.2626,-0.226643723736874,-0.745949500995357
2.2628,-0.227373502956507,-0.745291573314413
2.263,-0.228102748864739,-0.744631283922957
2.2632,-0.228831454162993,-0.743968627028614
2.2634,-0.229559611503126,-0.74330359683735
2.2636,-0.230287213487838,-0.742636187553043
2.2638,-0.231014252669895,-0.741966393378352
2.264,-0.23174072155213,-0.741294208514594
2.2642,-0.23246661258706,-0.740619627161814
2.2644,-0.233191918176694,-0.739942643519166
2.2646,-0.233916630672139,-0.739263251784999
2.2648,-0.234640742373314,-0.738581446156926
2.265,-0.235364245528845,-0.73789722083243
2.2652,-0.236087132335683,-0.737210570008632
2.2654,-0.236809394938596,-0.736521487882601
2.2656,-0.237531025430383,-0.735829968651634
2.2658,-0.238252015851063,-0.73513600651336
2.266,-0.238972358188091,-0.734439595666137
2.2662,-0.239692044375643,-0.733740730308957
2.2664,-0.240411066294426,-0.733039404641848
2.2666,-0.241129415771569,-0.732335612866183
2.2668,-0.241847084580321,-0.731629349184492
2.267,-0.24256406443945,-0.730920607801174
2.2672,-0.243280347013332,-0.730209382922416
2.2674,-0.24399592391145,-0.729495668756508
2.2676,-0.244710786688182,-0.728779459513973
2.2678,-0.245424926842295,-0.728060749408087
2.268,-0.246138335817037,-0.727339532654608
2.2682,-0.246851004999622,-0.726615803472509
2.2684,-0.247562925720726,-0.725889556083914
2.2686,-0.248274089254663,-0.725160784714536
2.2688,-0.248984486818689,-0.724429483593713
2.269,-0.249694109572769,-0.72369564695466
2.2692,-0.250402948619477,-0.72295926903521
2.2694,-0.251110995003572,-0.72222034407707
2.2696,-0.251818239711683,-0.721478866327373
2.2698,-0.252524673671792,-0.720734830037633
2.27,-0.253230287753415,-0.719988229465011
2.2702,-0.253935072767084,-0.719239058871971
2.2704,-0.254639019463624,-0.718487312526961
2.2706,-0.255342118534433,-0.717732984704367
2.2708,-0.256044360611163,-0.716976069685003
2.271,-0.256745736264791,-0.71621656175618
2.2712,-0.257446236006003,-0.715454455212088
2.2714,-0.258145850284463,-0.714689744354387
2.2716,-0.258844569488695,-0.713922423491987
2.2718,-0.259542383945848,-0.713152486941449
2.272,-0.260239283920882,-0.712379929027876
2.2722,-0.260935259617128,-0.711604744084112
2.2724,-0.261630301174967,-0.710826926452252
2.2726,-0.262324398672404,-0.710046470483041
2.2728,-0.26301754212433,-0.709263370536589
2.273,-0.263709721481904,-0.708477620982585
2.2732,-0.264400926633109,-0.707689216200822
2.2734,-0.265091147401534,-0.706898150581108
2.2736,-0.265780373546434,-0.706104418524101
2.2738,-0.2664685947627,-0.705308014441039
2.274,-0.267155800679928,-0.704508932754672
2.2742,-0.267841980862683,-0.703707167899202
2.2744,-0.26852712480977,-0.702902714320827
2.2746,-0.269211221954092,-0.702095566477987
2.2748,-0.269894261662325,-0.701285718841711
2.275,-0.270576233234672,-0.700473165896184
2.2752,-0.27125743665294,-0.69965755084829
2.2754,-0.271937546533493,-0.698839214915892
2.2756,-0.27261655192842,-0.698018152655689
2.2758,-0.273294441822504,-0.697194358639093
2.276,-0.273971205132574,-0.696367827452707
2.2762,-0.274646830707077,-0.6955385536988
2.2764,-0.275321307325936,-0.694706531995504
2.2766,-0.275994623700215,-0.693871756977489
2.2768,-0.276666768471679,-0.693034223295975
2.277,-0.277337730212554,-0.692193925619518
2.2772,-0.278007497425496,-0.691350858634116
2.2774,-0.278676058542545,-0.690505017043628
2.2776,-0.279343401925592,-0.689656395570472
2.2778,-0.280009515865435,-0.688804988955754
2.278,-0.280674388582047,-0.687950791959786
2.2782,-0.281338008223729,-0.687093799362318
2.2784,-0.282000362866983,-0.686234005963461
2.2786,-0.282661440516362,-0.685371406583637
2.2788,-0.283321229103937,-0.684505996064214
2.279,-0.283979716488861,-0.683637769267848
2.2792,-0.284636890457523,-0.682766721079049
2.2794,-0.28529273872282,-0.681892846404626
2.2796,-0.285947248923813,-0.681016140174155
2.2798,-0.286600408625688,-0.680136597340145
2.28,-0.287252205319226,-0.679254212879109
2.2802,-0.287902626420657,-0.678368981791348
2.2804,-0.288551659271133,-0.677480899101924
2.2806,-0.289199291136483,-0.676589959861059
2.2808,-0.289845509206983,-0.675696159144318
2.281,-0.29049030059692,-0.674799492053419
2.2812,-0.291133652344455,-0.673899953716826
2.2814,-0.291775551410992,-0.67299753928977
2.2816,-0.292415984681141,-0.672092243955254
2.2818,-0.293054938962489,-0.671184062924282
2.282,-0.293692400984763,-0.67027299143648
2.2822,-0.294328357400204,-0.669359024760631
2.2824,-0.294962794782632,-0.668442158195112
2.2826,-0.29559569962762,-0.667522387068633
2.2828,-0.29622705835186,-0.666599706740494
2.283,-0.296856857292938,-0.665674112601334
2.2832,-0.297485082709107,-0.664745600073693
2.2834,-0.298111720779059,-0.66381416461248
2.2836,-0.298736757601305,-0.662879801705441
2.2838,-0.299360179194042,-0.661942506874142
2.284,-0.299981971494938,-0.66100227567385
2.2842,-0.300602120360707,-0.660059103695027
2.2844,-0.30122061156679,-0.65911298656312
2.2846,-0.301837430807133,-0.65816391993927
2.2848,-0.302452563693971,-0.657211899521618
2.285,-0.303065995757215,-0.656256921044916
2.2852,-0.30367771244453,-0.655298980281755
2.2854,-0.30428769912063,-0.654338073043184
2.2856,-0.304895941067457,-0.653374195179153
2.2858,-0.305502423483379,-0.652407342578941
2.286,-0.306107131483476,-0.651437511172214
2.2862,-0.306710050098738,-0.65046469692967
2.2864,-0.307311164276054,-0.6494888958632
2.2866,-0.307910458877613,-0.648510104026956
2.2868,-0.308507918681107,-0.647528317517914
2.287,-0.309103528379121,-0.646543532476668
2.2872,-0.309697272578946,-0.6455557450879
2.2874,-0.310289135802278,-0.644564951580883
2.2876,-0.310879138764229,-0.64357084030007
2.2878,-0.311467259990735,-0.642573405966208
2.288,-0.312053445501864,-0.641572952404848
2.2882,-0.31263767944804,-0.640569476104056
2.2884,-0.313219945893449,-0.639562973600353
2.2886,-0.313800228815367,-0.638553441479632
2.2888,-0.314378512104372,-0.637540876378011
2.289,-0.31495477956378,-0.636525274982071
2.2892,-0.315529014909663,-0.635506634030214
2.2894,-0.316101201770081,-0.634484950312941
2.2896,-0.316671323685622,-0.63346022067377
2.2898,-0.317239364108426,-0.632432442010065
2.29,-0.317805306402336,-0.631401611273687
2.2902,-0.318369133842428,-0.63036772547185
2.2904,-0.318930829615169,-0.62933078166782
2.2906,-0.319490376817653,-0.628290776981772
2.2908,-0.320047758457766,-0.62724770859156
2.291,-0.320602957453728,-0.626201573733505
2.2912,-0.321155956634062,-0.625152369703237
2.2914,-0.321706738737054,-0.624100093856461
2.2916,-0.322255286411114,-0.623044743609841
2.2918,-0.322801582213955,-0.621986316441776
