"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2.25,-0.180712432216999,-0.781462346883305
2.2502,-0.181454052604247,-0.780932749971821
2.2504,-0.18219543449297,-0.780401199436498
2.2506,-0.182936573483322,-0.779867690455088
2.2508,-0.183677465145155,-0.779332218194984
2.251,-0.184418105018313,-0.778794777812883
2.2512,-0.18515848861241,-0.778255364455037
2.2514,-0.185898611406126,-0.777713973257014
2.2516,-0.186638468847379,-0.77717059934406
2.2518,-0.187378056353119,-0.776625237831054
2.252,-0.1881173693089,-0.776077883822276
2.2522,-0.188856403068869,-0.77552853241177
2.2524,-0.189595152955342,-0.774977178683403
2.2526,-0.19033361425868,-0.774423817710641
2.2528,-0.191071782237272,-0.773868444556904
2.253,-0.191809652116805,-0.773311054275148
2.2532,-0.192547219090644,-0.772751641908527
2.2534,-0.193284478319202,-0.772190202490067
2.2536,-0.194021424929616,-0.771626731042738
2.2538,-0.194758054015913,-0.771061222579733
2.254,-0.195494360638686,-0.770493672104136
2.2542,-0.196230339824563,-0.769924074609307
2.2544,-0.196965986566066,-0.769352425078859
2.2546,-0.197701295821694,-0.768778718486633
2.2548,-0.198436262515469,-0.768202949796889
2.255,-0.199170881536619,-0.767625113964283
2.2552,-0.199905147739225,-0.767045205933953
2.2554,-0.200639055942595,-0.766463220641509
2.2556,-0.201372600930221,-0.765879153013116
2.2558,-0.202105777450034,-0.765292997966388
2.256,-0.202838580214072,-0.764704750408077
2.2562,-0.203571003898223,-0.76411440523757
2.2564,-0.204303043141901,-0.763521957343874
2.2566,-0.20503469254778,-0.762927401607728
2.2568,-0.205765946681664,-0.762330732900684
2.257,-0.206496800072329,-0.761731946085219
2.2572,-0.207227247211078,-0.761131036014833
2.2574,-0.207957282551196,-0.760527997535151
2.2576,-0.208686900508488,-0.759922825483027
2.2578,-0.209416095460439,-0.759315514686655
2.258,-0.210144861745851,-0.758706059964675
2.2582,-0.210873193665194,-0.758094456129282
2.2584,-0.211601085479647,-0.757480697983343
2.2586,-0.212328531411342,-0.756864780320508
2.2588,-0.213055525642909,-0.756246697930324
2.259,-0.21378206231711,-0.755626445588358
2.2592,-0.214508135536887,-0.755004018068314
2.2594,-0.215233739364591,-0.754379410132155
2.2596,-0.215958867822427,-0.753752616536228
2.2598,-0.216683514891283,-0.75312363202739
2.26,-0.217407674511372,-0.752492451347135
2.2602,-0.218131340581361,-0.751859069228721
2.2604,-0.218854506958202,-0.751223480398311
2.2606,-0.219577167457169,-0.750585679575097
2.2608,-0.220299315851082,-0.749945661470441
2.261,-0.221020945870339,-0.749303420790016
2.2612,-0.221742051202744,-0.74865895223194
2.2614,-0.222462625493032,-0.748012250487924
2.2616,-0.223182662342394,-0.747363310243414
2.2618,-0.223902155308703,-0.746712126177742
2.262,-0.224621097905938,-0.746058692962267
2.2622,-0.225339483603699,-0.745403005265541
2.2624,-0.22605730582724,-0.744745057747443
2.2626,-0.226774267547074,-0.744084686063357
2.2628,-0.227490358303707,-0.743421889786313
2.263,-0.228205860579339,-0.742756824244157
2.2632,-0.228920767674993,-0.742089484124714
2.2634,-0.229635072845926,-0.74141986411395
2.2636,-0.230348769301938,-0.740747958890143
2.2638,-0.231061850206495,-0.740073763127052
2.264,-0.23177430867713,-0.739397271493094
2.2642,-0.23248613778416,-0.738718478650514
2.2644,-0.233197330551494,-0.738037379259566
2.2646,-0.233907879955439,-0.737353967972699
2.2648,-0.234617778924814,-0.736668239438726
2.265,-0.235327020340545,-0.73598018830203
2.2652,-0.236035597035583,-0.735289809203732
2.2654,-0.236743501794196,-0.734597096778902
2.2656,-0.237450727351783,-0.733902045659734
2.2658,-0.238157266394963,-0.73320465047576
2.266,-0.238863111560591,-0.732504905851037
2.2662,-0.239568255435943,-0.731802806406357
2.2664,-0.240272690558426,-0.731098346761448
2.2666,-0.240976409414669,-0.730391521531183
2.2668,-0.241679404441021,-0.729682325326792
2.267,-0.24238166802265,-0.728970752760074
2.2672,-0.243083192493532,-0.728256798435616
2.2674,-0.24378397013585,-0.727540456961008
2.2676,-0.244483993179882,-0.726821722938073
2.2678,-0.245183253803695,-0.726100590969087
2.268,-0.245881744132837,-0.725377055651008
2.2682,-0.246579456239722,-0.72465111158471
2.2684,-0.247276382143726,-0.723922753366214
2.2686,-0.247972513810363,-0.723191975590936
2.2688,-0.248667843151589,-0.722458772854913
2.269,-0.249362362024869,-0.72172313975206
2.2692,-0.250056062233277,-0.72098507087741
2.2694,-0.250748935524872,-0.72024456082537
2.2696,-0.251440973592683,-0.719501604188973
2.2698,-0.252132168073792,-0.718756195564133
2.27,-0.252822510549915,-0.718008329545911
2.2702,-0.253511992546084,-0.717258000730772
2.2704,-0.254200605530964,-0.716505203715861
2.2706,-0.254888340916393,-0.715749933101267
2.2708,-0.255575190056873,-0.714992183485303
2.271,-0.256261144249341,-0.71423194947278
2.2712,-0.256946194732843,-0.713469225665288
2.2714,-0.257630332688163,-0.712704006672487
2.2716,-0.258313549237495,-0.711936287102387
2.2718,-0.258995835444088,-0.711166061568649
2.272,-0.259677182311921,-0.710393324685876
2.2722,-0.260357580785338,-0.709618071073912
2.2724,-0.261037021748717,-0.708840295356152
2.2726,-0.261715496026144,-0.708059992159841
2.2728,-0.26239299438101,-0.707277156117389
2.273,-0.263069507515714,-0.706491781862686
2.2732,-0.263745026071319,-0.705703864039422
2.2734,-0.264419540627164,-0.704913397293408
2.2736,-0.265093041700533,-0.704120376276901
2.2738,-0.26576551974633,-0.703324795648939
2.274,-0.266436965156688,-0.702526650071672
2.2742,-0.267107368260683,-0.701725934218702
2.2744,-0.26777671932377,-0.700922642765427
2.2746,-0.268445008547892,-0.700116770398387
2.2748,-0.269112226070525,-0.699308311809611
2.275,-0.269778361964872,-0.698497261699984
2.2752,-0.27044253500274,-0.69768361520259
2.2754,-0.271105604616493,-0.696867377589092
2.2756,-0.27176756078452,-0.696048543612089
2.2758,-0.272428393419304,-0.695227108032493
2.276,-0.273088092367274,-0.694403065619907
2.2762,-0.273746647408477,-0.693576411153
2.2764,-0.274404048256336,-0.692747139418904
2.2766,-0.275060284556915,-0.69191524521759
2.2768,-0.275715345888979,-0.691080723356275
2.277,-0.276369221763454,-0.690243568653818
2.2772,-0.277021901622796,-0.689403775942116
2.2774,-0.277673374841145,-0.688561340060528
2.2776,-0.278323630723692,-0.687716255865272
2.2778,-0.278972658506035,-0.686868518219854
2.278,-0.279620447354447,-0.686018122004486
2.2782,-0.280266986364929,-0.685165062109518
