"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
2.25,-0.180065230227699,-0.782184916630855
2.2502,-0.180810716737847,-0.781661674701481
2.2504,-0.18155601681727,-0.781136461790728
2.2506,-0.182301126008422,-0.780609272688408
2.2508,-0.183046039821155,-0.780080102173774
2.251,-0.183790753732113,-0.779548945015503
2.2512,-0.18453526318501,-0.779015795971797
2.2514,-0.185279563590226,-0.778480649790454
2.2516,-0.186023650324479,-0.77794350120888
2.2518,-0.186767518730519,-0.777404344954184
2.252,-0.1875111641175,-0.776863175743226
2.2522,-0.188254581759969,-0.77631998828267
2.2524,-0.188997766898042,-0.775774777269073
2.2526,-0.18974071473738,-0.77522753738893
2.2528,-0.190483420448572,-0.774678263318724
2.253,-0.191225879167105,-0.774126949725048
2.2532,-0.191968085993144,-0.773573591264607
2.2534,-0.192710035991002,-0.773018182584347
2.2536,-0.193451724189716,-0.772460718321478
2.2538,-0.194193145581713,-0.771901193103633
2.254,-0.194934295123386,-0.771339601548736
2.2542,-0.195675167734662,-0.770775938265307
2.2544,-0.196415758298766,-0.770210197852559
2.2546,-0.197156061661694,-0.769642374900133
2.2548,-0.197896072632369,-0.769072463988789
2.255,-0.198635785982219,-0.768500459689583
2.2552,-0.199375196445225,-0.767926356565053
2.2554,-0.200114298716995,-0.767350149168309
2.2556,-0.200853087455221,-0.766771832043716
2.2558,-0.201591557279134,-0.766191399726888
2.256,-0.202329702769372,-0.765608846744477
2.2562,-0.203067518467623,-0.76502416761477
2.2564,-0.203804998876301,-0.764437356847374
2.2566,-0.20454213845858,-0.763848408943328
2.2568,-0.205278931637864,-0.763257318395484
2.257,-0.206015372797729,-0.762664079688319
2.2572,-0.206751456281678,-0.762068687298234
2.2574,-0.207487176392596,-0.761471135693651
2.2576,-0.208222527392888,-0.760871419334827
2.2578,-0.208957503504139,-0.760269532674255
2.258,-0.209692098906451,-0.759665470156775
2.2582,-0.210426307738794,-0.759059226219582
2.2584,-0.211160124098347,-0.758450795292243
2.2586,-0.211893542040342,-0.757840171796908
2.2588,-0.212626555577909,-0.757227350148724
2.259,-0.21335915868151,-0.756612324755258
2.2592,-0.214091345279187,-0.755995090017314
2.2594,-0.214823109255691,-0.755375640328755
2.2596,-0.215554444452827,-0.754753970076428
2.2598,-0.216285344668683,-0.75413007364079
2.26,-0.217015803657472,-0.753503945395335
2.2602,-0.217745815129661,-0.752875579707621
2.2604,-0.218475372751102,-0.752244970938511
2.2606,-0.219204470143269,-0.751612113442997
2.2608,-0.219933100882582,-0.750977001569741
2.261,-0.220661258500539,-0.750339629661916
2.2612,-0.221388936483144,-0.74969999205644
2.2614,-0.222116128270532,-0.749058083085124
2.2616,-0.222842827257094,-0.748413897073914
2.2618,-0.223569026790903,-0.747767428343742
2.262,-0.224294720173638,-0.747118671210267
2.2622,-0.225019900659899,-0.746467619984041
2.2624,-0.22574456145744,-0.745814268970843
2.2626,-0.226468663134974,-0.745158571526657
2.2628,-0.227192198104307,-0.744500522426113
2.263,-0.227915191792339,-0.743840157071757
2.2632,-0.228637637221093,-0.743177469758314
2.2634,-0.229359527364026,-0.74251245477635
2.2636,-0.230080855145638,-0.741845106412543
2.2638,-0.230801613441795,-0.741175418949752
2.264,-0.23152179507883,-0.740503386667294
2.2642,-0.23224139283316,-0.739829003841114
2.2644,-0.232960399431794,-0.739152264743766
2.2646,-0.233678807551039,-0.738473163644799
2.2648,-0.234396609817114,-0.737791694810926
2.265,-0.235113798805145,-0.73710785250623
2.2652,-0.235830367039183,-0.736421630992132
2.2654,-0.236546306991896,-0.735733024527801
2.2656,-0.237261611084383,-0.735042027370334
2.2658,-0.237976271685563,-0.73434863377486
2.266,-0.238690281112091,-0.733652837994837
2.2662,-0.239403631628043,-0.732954634282157
2.2664,-0.240116315444526,-0.732254016887348
2.2666,-0.240828324719469,-0.731550980059883
2.2668,-0.241539651557321,-0.730845518048492
2.267,-0.24225028800865,-0.730137625100774
2.2672,-0.242960226069832,-0.729427295464516
2.2674,-0.24366945768295,-0.728714523386608
2.2676,-0.244377974735082,-0.727999303114273
2.2678,-0.245085769058395,-0.727281628894987
2.268,-0.245792832429737,-0.726561494976408
2.2682,-0.246499156570222,-0.725838895607009
2.2684,-0.247204733144726,-0.725113825036214
2.2686,-0.247909553762263,-0.724386277514436
2.2688,-0.248613609974789,-0.723656247293613
2.269,-0.249316893277469,-0.72292372862706
2.2692,-0.250019395108177,-0.72218871577031
2.2694,-0.250721106847272,-0.72145120298077
2.2696,-0.251422019817083,-0.720711184518173
2.2698,-0.252122125281892,-0.719968654645133
2.27,-0.252821414447215,-0.719223607627011
2.2702,-0.253519878459784,-0.718476037732371
2.2704,-0.254217508407224,-0.717725939232961
2.2706,-0.254914295317533,-0.716973306404667
2.2708,-0.255610230158863,-0.716218133527003
2.271,-0.256305303839391,-0.71546041488388
2.2712,-0.256999507206503,-0.714700144763688
2.2714,-0.257692831046963,-0.713937317459587
2.2716,-0.258385266086495,-0.713171927270086
2.2718,-0.259076802988958,-0.712403968498749
2.272,-0.259767432356842,-0.711633435455076
2.2722,-0.260457144730268,-0.710860322454512
