"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.201284896067093,-0.162773820763226
3.0175,-0.209659216329513,-0.147313910546394
3.035,-0.216543910894777,-0.131039466468345
3.0525,-0.221707630639128,-0.114370119689754
3.07,-0.225252804666063,-0.0977560016557744
3.0875,-0.227508945884616,-0.0814171972959111
3.105,-0.228770647073193,-0.0652667201758729
3.1225,-0.229080486728942,-0.0490616913235398
3.14,-0.228210785360617,-0.0326588645953418
3.1575,-0.225844202302042,-0.01618468055353
3.175,-0.221811924288647,-5.21114607570408E-06
3.1925,-0.216219049280037,0.015469074047397
3.21,-0.209379004059343,0.0299973016997935
3.2275,-0.201617135766498,0.043591529116057
3.245,-0.193085595525488,0.0564375137752647
3.2625,-0.183693146679822,0.0686948269203737
3.28,-0.173224734513295,0.0803173287377707
3.2975,-0.161541892196746,0.0910324915118073
3.315,-0.148730778365038,0.100472352216884
3.3325,-0.135104595886674,0.108369422404147
3.35,-0.12106120027543,0.114690328023528
3.3675,-0.106887947451288,0.119621268340712
3.385,-0.0926396905469147,0.123412862540513
3.4025,-0.0781723050336052,0.126182258361257
3.42,-0.0633167918639445,0.127802902385981
3.4375,-0.0480847012100872,0.127963006356951
3.455,-0.0327555763760284,0.126354076698013
3.4725,-0.017841309098779,0.122917144345026
3.49,-0.00376979662652149,0.117931835024346
3.5075,0.00933125888497871,0.111843077758548
3.525,0.0216570065636739,0.104973271706172
3.5425,0.0335113801422429,0.0973134013866344
3.56,0.0449982984684276,0.0885566358299442
3.5775,0.0558449208451105,0.0783695242257556
3.595,0.0655042603142724,0.0667143952385434
3.6125,0.073484288161713,0.0539799107859833
3.63,0.0796716641182797,0.040801504065855
3.6475,0.0844009659134567,0.0276814010067825
3.665,0.0882059973736196,0.0146902043049499
3.6825,0.0913834402957762,0.00142508860727588
3.7,0.0936676513818312,-0.0125727613775457
3.7175,0.0944401662151535,-0.0273361966653002
3.735,0.0931936457814256,-0.0423437566993986
3.7525,0.0899424968971017,-0.0568040717584919
3.77,0.08525567019703,-0.0701672474932587
3.7875,0.0798666310451248,-0.0824768704539199
3.805,0.0741425502978687,-0.0942804432748459
3.8225,0.0678194423624634,-0.106145515601711
3.84,0.0602243043573762,-0.118139194356684
3.8575,0.0508368569761956,-0.129677174873582
3.875,0.0397693016980063,-0.13988238866763
3.8925,0.0278164292863333,-0.1481630614138
3.91,0.0158995822442703,-0.154819417376377
3.9275,0.00433929019914257,-0.160626874420269
3.945,-0.0072738665114892,-0.166232633495373
3.9625,-0.0196899736490443,-0.171631698011247
3.98,-0.033346568370702,-0.17615238899415
3.9975,-0.0479559244615882,-0.178964858047147
4.015,-0.0626550463894807,-0.179721059311208
4.0325,-0.076606277032359,-0.178828890634056
4.05,-0.0895841611521466,-0.177143240938087
4.0675,-0.102089901631323,-0.175309787847049
4.085,-0.114899327329618,-0.173271897782508
4.1025,-0.128393472260141,-0.170329046155802
4.12,-0.142195809158959,-0.165706569878821
4.1375,-0.155405306845726,-0.159193874233731
4.155,-0.167248890178065,-0.151348958231712
4.1725,-0.177644419102762,-0.143102704142485
4.19,-0.187229856181505,-0.13506721860536
4.2075,-0.196829625338315,-0.127088892771789
4.225,-0.206771574956767,-0.118399961618547
4.2425,-0.21658925257438,-0.108255513287886
4.26,-0.22534654329887,-0.0965611946626502
4.2775,-0.232336373626481,-0.084000468898092
4.295,-0.237611598685224,-0.0715579111120934
4.3125,-0.241934116666881,-0.0598046168084176
4.33,-0.246236497222705,-0.0484920565923655
4.3475,-0.250709896222456,-0.036707784251722
4.365,-0.254767060801381,-0.0238135133260522
4.3825,-0.25752286532143,-0.00989199778249181
4.4,-0.258465168276827,0.0043115473307782
4.4175,-0.257812816890914,0.0179357793946563
4.435,-0.256315030623916,0.0306042049966901
4.4525,-0.254673559347435,0.0426346080836779
4.47,-0.253034779125739,0.0547263453164535
4.4875,-0.250919931786216,0.0673853109033658
4.505,-0.247619597850207,0.0805219324093633
4.5225,-0.242739419530115,0.0935059432442541
4.54,-0.236492334084401,0.105614522112831
4.5575,-0.229537559922341,0.116529683933671
4.575,-0.222503129696766,0.12652270233628
4.5925,-0.215549851139967,0.136205002623428
4.61,-0.208290041168111,0.146040985194537
4.6275,-0.200108801759617,0.155981852773102
4.645,-0.190645641679972,0.165481962967799
4.6625,-0.180085034717477,0.173878553876165
