"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.197713538409393,-0.161035008304326
3.0175,-0.205407472938113,-0.147407477352694
3.035,-0.212650334769577,-0.133251826229135
3.0525,-0.219296751905528,-0.118313885519154
3.07,-0.225063551993673,-0.102425535562774
3.0875,-0.229580215421216,-0.0855613468803111
3.105,-0.232460689598493,-0.0678674948066729
3.1225,-0.233381954080642,-0.0496555205259398
3.14,-0.232152502606517,-0.0313610448095418
3.1575,-0.228755540217542,-0.01347547647833
3.175,-0.223357014966947,0.0035348764626243
3.1925,-0.216276443602677,0.019304768201697
3.21,-0.207926947069643,0.0336245417958935
3.2275,-0.198731022268898,0.046436443942907
3.245,-0.189088978041488,0.0578685719945647
3.2625,-0.179258763914122,0.0682107672904737
3.28,-0.169312745569695,0.0777719400494707
3.2975,-0.159160433469446,0.0868207888520073
3.315,-0.148588006088806,0.0955191385457836
3.3325,-0.137321097800174,0.103880714559347
3.35,-0.12509694988653,0.111761484617248
3.3675,-0.111731709398088,0.118880978473012
3.385,-0.0971711797785257,0.124868391071113
3.4025,-0.0815175934646052,0.129323737930757
3.42,-0.0650297490591445,0.131883094819361
3.4375,-0.0480981297047872,0.132277644731451
3.455,-0.0311247804720284,0.130280595746013
3.4725,-0.014782363144579,0.125977698486226
3.49,0.000440664622278513,0.119629867748546
3.5075,0.0141860262345487,0.111642710602448
3.525,0.0262718351960739,0.102503073862772
3.5425,0.0367097929241429,0.0927014088181344
3.56,0.0456892205629276,0.0826524880066442
3.5775,0.0535290179019105,0.0726283122962556
3.595,0.0606044440439724,0.0627161159685434
3.6125,0.067260931497613,0.0528108924765833
3.63,0.0737307477782797,0.042646058607955
3.6475,0.0800691183374567,0.0318586337281825
3.665,0.0862084343105196,0.0200341659612499
3.6825,0.0917242161883762,0.00679625742827588
3.7,0.0959611991149312,-0.00788671651204572
3.7175,0.0983515206400535,-0.0237959534843002
3.735,0.0984336185357256,-0.0404737921321986
3.7525,0.0959484998689017,-0.0572885741604919
3.77,0.0908991039436299,-0.0735357635309587
3.7875,0.0835603773361248,-0.0885558699375199
3.805,0.0744373266267687,-0.101846199194246
3.8225,0.0641785249410634,-0.113144461264711
3.84,0.0534613133913762,-0.122467567623784
3.8575,0.0428705834471956,-0.130097480415082
3.875,0.0327945066433063,-0.13651609506163
3.8925,0.0235963699000333,-0.1424768596043
3.91,0.0146955150032703,-0.148519430409277
3.9275,0.00561805707574257,-0.154907839822269
3.945,-0.0041788250776892,-0.161637606063373
3.9625,-0.0151808886540443,-0.168434706581447
3.98,-0.027703501683502,-0.17480915092185
3.9975,-0.0418132791005682,-0.180152185070147
4.015,-0.0573000448691807,-0.183857576134408
4.0325,-0.073704465185359,-0.185442669840456
4.05,-0.0903955514835466,-0.184645013313086
4.0675,-0.106682230284123,-0.181475341012049
4.085,-0.121936406634618,-0.176216640053608
4.1025,-0.135702836869241,-0.169369988548382
4.12,-0.147774099567759,-0.161558579963821
4.1375,-0.158216322338726,-0.153409553507431
4.155,-0.167341444384065,-0.145437274740412
4.1725,-0.175632472853562,-0.137950841877485
4.19,-0.183637197409005,-0.13100321174346
4.2075,-0.191851417695315,-0.124390770630789
4.225,-0.200614010849167,-0.117702320577247
4.2425,-0.21003318317638,-0.110407310262886
4.26,-0.21995691162587,-0.10196636284255
4.2775,-0.229992314867481,-0.091943745914592
4.295,-0.239570080150024,-0.0801016595730935
4.3125,-0.248042514066881,-0.0664597168330176
4.33,-0.254507526336705,-0.0511736758793655
4.3475,-0.258732562734056,-0.035167574710422
4.365,-0.260658797286581,-0.0191307964100522
4.3825,-0.26049867165643,-0.00371017816599181
4.4,-0.258693081702727,0.0105968925616782
4.4175,-0.255828432979044,0.0235226046316563
4.435,-0.252527484243116,0.0350677359543901
