"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.193804074880393,-0.161588871344626
3.0175,-0.199126007833113,-0.151156634807694
3.035,-0.210443275607577,-0.140932144812135
3.0525,-0.222204915280428,-0.119998574917154
3.07,-0.221154300355973,-0.0996101084677744
3.0875,-0.222037278951216,-0.0875651893583111
3.105,-0.226329466034493,-0.0730020584336729
3.1225,-0.228512337879742,-0.0547239687129398
3.14,-0.225533858380517,-0.0384624629128418
3.1575,-0.225176601581542,-0.0235855235043299
3.175,-0.220959310528447,-0.0071042474463757
3.1925,-0.218159647656567,0.007414581027697
3.21,-0.210495550433043,0.0243358260018935
3.2275,-0.203614916281898,0.035088673842907
3.245,-0.197836657969488,0.0496133788815647
3.2625,-0.189420945662122,0.0638928760004737
3.28,-0.175826828093695,0.0775306362224707
3.2975,-0.164672088379446,0.0834286369290073
3.315,-0.155697825384238,0.0952378706307836
3.3325,-0.141242971709174,0.103692317436347
3.35,-0.12850968779053,0.110079538730248
3.3675,-0.117527326552088,0.115843059759012
3.385,-0.102274376633526,0.126537866264613
3.4025,-0.0818274514586052,0.126002463172157
3.42,-0.0717498027051445,0.125499549542361
3.4375,-0.0572897161760872,0.128668059967451
3.455,-0.0412979751140284,0.129291840728013
3.4725,-0.024483083328579,0.125100505511226
3.49,-0.0131319633787215,0.121131241207546
3.5075,0.0022823950925487,0.117654464024848
3.525,0.0142978177070739,0.110281118889772
3.5425,0.0268132771621429,0.104929228954134
3.56,0.0395072923452276,0.0971905034206442
3.5775,0.0528211778559105,0.0872850394152556
3.595,0.0617823233019724,0.0745903757775434
3.6125,0.070519751406613,0.0642160406905833
3.63,0.0782553045492797,0.051138273932455
3.6475,0.0846736516862567,0.0386274128921825
3.665,0.0887837551585196,0.0252124028172499
3.6825,0.0956811904528762,0.0141470074202759
3.7,0.101369031004931,-0.00609033675304572
3.7175,0.0965709213480535,-0.0229779339043002
3.735,0.0928762768937256,-0.0329230860211986
3.7525,0.0960458495339017,-0.0409641003574919
3.77,0.10077039325263,-0.0612429721209587
3.7875,0.0909385376531248,-0.0805070057855199
3.805,0.0828390500700687,-0.0905687316582459
3.8225,0.0788577242110634,-0.100768454304711
3.84,0.0752988042003762,-0.117624012658984
3.8575,0.0603685074881956,-0.133271288646082
3.875,0.0478170114783063,-0.13900069209973
3.8925,0.0400292004970333,-0.1464390664714
3.91,0.0308709404762703,-0.159239024398277
3.9275,0.0123360728797426,-0.168533156590269
3.945,0.0001432066813108,-0.168674909615373
3.9625,-0.00737183360004431,-0.176194371109447
3.98,-0.022017383906502,-0.18736500745805
3.9975,-0.0438002895085682,-0.191641736432147
4.015,-0.0594326071481807,-0.188158273923408
4.0325,-0.072538587918359,-0.188826666448456
4.05,-0.0869408096705466,-0.187408951897087
4.0675,-0.100549289983123,-0.187314875597049
4.085,-0.116894344058718,-0.184923789020608
4.1025,-0.131751629651241,-0.179754911985202
4.12,-0.144249426993759,-0.173646527419821
4.1375,-0.156899950095726,-0.170113610610431
4.155,-0.173042114553065,-0.163378257145412
4.1725,-0.185771052461562,-0.152821456733485
4.19,-0.196112720891005,-0.14364191185346
4.2075,-0.207780767040315,-0.134749557277789
4.225,-0.218746110593167,-0.122655553700547
4.2425,-0.22729664979638,-0.111199344344886
4.26,-0.23564774926887,-0.0980890471755502
4.2775,-0.240524369490481,-0.087691767861592
4.295,-0.251945567049024,-0.0775576564950934
4.3125,-0.260274595586881,-0.0588059699650176
4.33,-0.260696384178705,-0.0420588642033655
4.3475,-0.260266525246056,-0.030840459730722
4.365,-0.265748349683581,-0.0196500124120522
4.3825,-0.26809461501843,-0.00211683163199181
4.4,-0.266201525975727,0.0122325716786782
4.4175,-0.264825174736044,0.0253805725816563
4.435,-0.263284597678116,0.0382784630803901
4.4525,-0.261334534574435,0.0504193351069779
4.47,-0.262085982300239,0.0642926334936535
4.4875,-0.257070250188215,0.0831629090958658
4.505,-0.247218566358607,0.0959183306821633
4.5225,-0.239195549076515,0.106008492373054
4.54,-0.232928853064458,0.114596123667831
4.5575,-0.227308860214841,0.125839384795871
4.575,-0.219375557100566,0.13616848830168
4.5925,-0.210963325403067,0.146501732388228
4.61,-0.202283778619411,0.154097836799137
4.6275,-0.195936072265317,0.165211762683902
4.645,-0.182291982114872,0.177069834646599
4.6625,-0.167674400301147,0.181524875649165
4.68,-0.159117099707064,0.184496256420152
4.6975,-0.149674697196744,0.194624979679509
4.715,-0.130469059445839,0.199894267225153
4.7325,-0.117358475406118,0.194640197917432
4.75,-0.114634404761468,0.193407193780609
4.7675,-0.109265897638455,0.204457491287773
4.785,-0.091190828474277,0.211326095695492
4.8025,-0.0767811249111192,0.208893937416443
4.82,-0.0667375442722895,0.207483100263483
4.8375,-0.0568980927665009,0.20949759111825
4.855,-0.0407426351570797,0.209940317340508
4.8725,-0.0277713556151133,0.202590680631945
4.89,-0.0208467340721593,0.197373978425687
4.9075,-0.0132167008457405,0.19701947692714
4.925,0.000500420546093402,0.194794753061167
4.9425,0.00986362252363012,0.186045429207452
4.96,0.0147993426662632,0.182500426763209
4.9775,0.0240583519770577,0.182328272630144
4.995,0.0394887285558626,0.178358568389487
5.0125,0.0508111927691308,0.165462488048735
5.03,0.0553479925687055,0.155960641015859
5.0475,0.0608645694083529,0.148739596445656
5.065,0.0677316957955996,0.142666082032011
5.0825,0.0757614423257459,0.132766311736224
5.1,0.0796228997566856,0.123076344251745
