"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.198237172902393,-0.165385769473326
3.0175,-0.204534055840113,-0.146499814170494
3.035,-0.206610964380577,-0.133856112491135
3.0525,-0.214786971616528,-0.121943613187154
3.07,-0.221046481331973,-0.105771362379774
3.0875,-0.225919442087216,-0.0884650879523111
3.105,-0.226289355692493,-0.0715881647756729
3.1225,-0.228799922514342,-0.0565017590709398
3.14,-0.228379744651317,-0.0376871163458418
3.1575,-0.224878116638942,-0.02131885752233
3.175,-0.220378958106947,-0.0066861098083757
3.1925,-0.217911245997567,0.008064187822697
3.21,-0.209816032257093,0.0257869101348935
3.2275,-0.200081342960898,0.034790445355907
3.245,-0.197997729495488,0.0458505092515647
3.2625,-0.191390287445122,0.0637626180884737
3.28,-0.176209126099695,0.0780840432724707
3.2975,-0.163327959535446,0.0829558756780073
3.315,-0.158004141516238,0.0917604183137836
3.3325,-0.146467692993174,0.106656351496347
3.35,-0.12728082028153,0.116506672232248
3.3675,-0.110203721796088,0.116817648094012
3.385,-0.101124721037526,0.119443604167613
3.4025,-0.0870882021536052,0.126546044904416
3.42,-0.0698232779351445,0.128932241208361
3.4375,-0.0536762469570872,0.126575854172251
3.455,-0.0430141144420284,0.124393622734013
3.4725,-0.029216434659579,0.126053750251226
3.49,-0.0137442102117215,0.123704901128546
3.5075,0.0027203050365487,0.119891244011848
3.525,0.0166259129310739,0.110306588023772
3.5425,0.0260378806601429,0.103920410496134
3.56,0.0392642901542276,0.0991261029196442
3.5775,0.0558473514052105,0.0883085997722556
3.595,0.0639252154448724,0.0711341002455434
3.6125,0.068041781142613,0.0622030277155833
3.63,0.0776750610202797,0.051709889400455
3.6475,0.0840902808438567,0.0374916782791825
3.665,0.0869892255025196,0.0253635646372499
3.6825,0.0946985366428762,0.0145838166402759
3.7,0.0987322052589312,-0.00486539766204572
3.7175,0.0962848633010535,-0.0170567471523002
3.735,0.100419755929726,-0.0299250874891986
3.7525,0.101285137303902,-0.0476737566064919
3.77,0.09663421422263,-0.0664860844949587
3.7875,0.0881486404061248,-0.0791481476145199
3.805,0.0828437947030687,-0.0909435599512459
3.8225,0.0767051201490634,-0.101544593565711
3.84,0.0727301529403762,-0.115901393482784
3.8575,0.0600781777481956,-0.130088484115082
3.875,0.0492081687303063,-0.13645943484163
3.8925,0.0435799125170333,-0.1448242082453
3.91,0.0342246313862703,-0.161858087887277
3.9275,0.0121192572377426,-0.171225934196269
3.945,-0.000315135787689201,-0.170663276123373
3.9625,-0.00976995168004431,-0.177802507052447
3.98,-0.024263834696502,-0.18658218129805
3.9975,-0.0452261712595682,-0.190272987222147
4.015,-0.0598530114641807,-0.185754896756408
4.0325,-0.070838684225359,-0.186618891134456
4.05,-0.0840169310485466,-0.187729657799086
4.0675,-0.0999722087511226,-0.189316904867049
4.085,-0.116971444460518,-0.185517206460608
4.1025,-0.131570228443241,-0.181220085915202
4.12,-0.146159422005759,-0.175019919499821
4.1375,-0.159080742201726,-0.168484484664431
4.155,-0.171676970463065,-0.161623847945412
4.1725,-0.185845024934562,-0.154154283251485
4.19,-0.197363878105005,-0.14146749136046
4.2075,-0.204767532464315,-0.133494418687789
4.225,-0.217114167862167,-0.124863934550547
4.2425,-0.22774864351638,-0.113286432890886
4.26,-0.23767223700887,-0.0994742812695502
4.2775,-0.243251973185481,-0.086386461897592
4.295,-0.251356766189024,-0.0744476693520934
4.3125,-0.258143981756881,-0.0594498651430176
4.33,-0.262238303178705,-0.0421646711873655
4.3475,-0.258695616414056,-0.027778458843722
4.365,-0.260998416211581,-0.0216076823010522
4.3825,-0.26927009347843,-0.00803216484299181
4.4,-0.272014792350727,0.0124117421246782
4.4175,-0.264874844901044,0.0295190922476563
4.435,-0.261809993547116,0.0376019679543901
4.4525,-0.263132029278435,0.0511287073569779
4.47,-0.260881983044239,0.0669814756636535
4.4875,-0.254275160369215,0.0829567370258658
4.505,-0.246162250761507,0.0942704071821633
4.5225,-0.238624010710515,0.104378846063054
4.54,-0.234349764790458,0.112093322127831
4.5575,-0.229872692750841,0.126430834282871
4.575,-0.219848094588566,0.13691580945168
4.5925,-0.212537220185067,0.147308187266228
4.61,-0.202470382456411,0.157319711147137
4.6275,-0.192058149630317,0.166894878074902
4.645,-0.180346078971872,0.173425679572599
4.6625,-0.170422861996147,0.181310586281165
4.68,-0.156665757217064,0.186623872614152
4.6975,-0.146636180042744,0.189999629841509
4.715,-0.136211422115839,0.194516140040153
4.7325,-0.124755491156118,0.200455921796432
4.75,-0.109585287791468,0.200871902011609
4.7675,-0.103827235444455,0.200737531050773
4.785,-0.094485997402277,0.208009979494592
4.8025,-0.0792122196451192,0.213033900938443
4.82,-0.0611827031322895,0.210479733915483
4.8375,-0.0525631056305009,0.20313970027825
4.855,-0.0466500146270797,0.204453564206508
4.8725,-0.0335106572411133,0.207174293470945
4.89,-0.0174386893581593,0.202320564018687
4.9075,-0.00968021745774051,0.19386381218014
