"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.192694767480393,-0.163181102317626
3.0175,-0.203166618476113,-0.151975920952694
3.035,-0.211717872679577,-0.134247047397135
3.0525,-0.215049926913528,-0.118090973112154
3.07,-0.218871202565973,-0.104527903788774
3.0875,-0.223938310684216,-0.0893933609503111
3.105,-0.226392033553493,-0.0724859519916729
3.1225,-0.227100909651642,-0.0572287416019398
3.14,-0.229676424552517,-0.0417343533908418
3.1575,-0.229808207212542,-0.02019049861133
3.175,-0.219765280525947,-0.0020795696403757
3.1925,-0.213791559632567,0.007101705750697
3.21,-0.212716727254643,0.0216260567728935
3.2275,-0.204678493489898,0.040416896109907
3.245,-0.190588985781488,0.0508608327045647
3.2625,-0.186089892883122,0.0562924043804738
3.28,-0.182886639961695,0.0729277465314707
3.2975,-0.167479148993446,0.0891619748850073
3.315,-0.151796046485238,0.0945090908447836
3.3325,-0.144163388561174,0.100366853406347
3.35,-0.13361790621653,0.113219561168248
3.3675,-0.114553323849088,0.122879668316012
3.385,-0.0963024668025257,0.123480473837313
3.4025,-0.0846174855306052,0.123848010996757
3.42,-0.0706949741431445,0.127998962463061
3.4375,-0.0539481250340872,0.127044924499651
3.455,-0.0420879273790284,0.124573946715013
3.4725,-0.029377040119579,0.125601623078226
3.49,-0.0118499458377215,0.124466789347546
3.5075,0.0039744325625487,0.114960635530848
3.525,0.0100839312720739,0.108712257961772
3.5425,0.0242411251401429,0.109997128924134
3.56,0.0439002478222276,0.100295917769644
3.5775,0.0550574351774105,0.0849837710502556
3.595,0.0615740588769724,0.0742158394495434
3.6125,0.071820469326213,0.0637103524495833
3.63,0.0783921875702797,0.049520374836455
3.6475,0.0843350389205567,0.0378270691431825
3.665,0.0888670528373196,0.0235757393602499
3.6825,0.0925906174833762,0.0115512309602759
3.7,0.0962267363619312,-0.00288589075504572
3.7175,0.0984683109200535,-0.0168642546923002
3.735,0.0982140981237256,-0.0331159597131986
3.7525,0.0963775273999017,-0.0447350340474919
3.77,0.0985724542526299,-0.0604712741479587
3.7875,0.0929165981381248,-0.0792999005255199
3.805,0.0843402542420687,-0.0924157513282459
3.8225,0.0780255668610634,-0.103560271858711
3.84,0.0716623539003762,-0.117571668608184
3.8575,0.0599841334881956,-0.129914544824582
3.875,0.0509004475353063,-0.13803912873143
3.8925,0.0415305032870333,-0.1503485325973
3.91,0.0258524911062703,-0.160945653901277
3.9275,0.0104279082337426,-0.163939116041269
3.945,0.0027758595723108,-0.166205308072373
3.9625,-0.00482633063004431,-0.177021197331447
3.98,-0.022336800776502,-0.18876507130805
3.9975,-0.0438581988895682,-0.190608609932147
4.015,-0.0572342915331807,-0.187856332578408
4.0325,-0.070019910317359,-0.191602805152456
4.05,-0.0887760208124466,-0.192382484057086
4.0675,-0.105945267969123,-0.188071105217049
4.085,-0.120495759156618,-0.181832927697608
4.1025,-0.132327633106241,-0.175444308817202
4.12,-0.142677765799359,-0.170228997211821
4.1375,-0.153018151073726,-0.167019053549431
4.155,-0.166826433557165,-0.165181546685412
4.1725,-0.184374589336562,-0.158149247930485
4.19,-0.197284835950005,-0.14695718943446
4.2075,-0.209835773453315,-0.137745674130789
4.225,-0.223128345113167,-0.124520693944547
4.2425,-0.23228367787638,-0.108584110674886
4.26,-0.23637326916887,-0.0943808184785502
4.2775,-0.242297865535481,-0.084394582297792
4.295,-0.249067487169024,-0.0704108954890934
4.3125,-0.252034913188881,-0.0577637895850176
4.33,-0.255335597665705,-0.0466966843093655
4.3475,-0.260102594534056,-0.036374632774622
4.365,-0.266488681723581,-0.0229289056151522
4.3825,-0.27119423262843,-0.00701362337799181
4.4,-0.272958591810727,0.0118353278846782
4.4175,-0.269444810713044,0.0294433922476563
4.435,-0.263953564244116,0.0440461137553901
4.4525,-0.258688628340435,0.0547438985499779
4.47,-0.257174160563239,0.0661102342836535
4.4875,-0.253631487052215,0.0809982244158658
4.505,-0.245159835880207,0.0950182767121633
4.5225,-0.235577338792515,0.101542238208054
4.54,-0.236076434673258,0.107663801520831
4.5575,-0.234321538901841,0.125396877491871
4.575,-0.222278540429566,0.14000745910168
4.5925,-0.211699184994067,0.148609242586228
4.61,-0.203397795412411,0.158076494417137
4.6275,-0.191746918471317,0.169404372244902
4.645,-0.177363623619872,0.174893863966599
4.6625,-0.168069313211147,0.178643781423165
4.68,-0.158744289307064,0.185349411001152
4.6975,-0.145975182852744,0.192038900433509
4.715,-0.133017454725839,0.192730220152653
4.7325,-0.126408374096118,0.195339682779432
4.75,-0.115982587174468,0.201877393279609
4.7675,-0.103332427896455,0.206541240837173
4.785,-0.089984246134277,0.207367182724492
4.8025,-0.0805344391921192,0.209347214197443
4.82,-0.0649129412022895,0.212400018719183
4.8375,-0.0505655880405009,0.20729820185825
4.855,-0.0424015013070797,0.202816266986508
4.8725,-0.0347474202561133,0.203213968114945
4.89,-0.0213359728751593,0.203593826226687
4.9075,-0.00792698821174051,0.19815421760714
4.925,0.0014791617390934,0.190518383330167
4.9425,0.00653995332503012,0.185766292937452
4.96,0.0151934668352632,0.185490008459209
