"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.195384374734393,-0.163249120286326
3.0175,-0.201813925079113,-0.150443539673694
3.035,-0.210618025504577,-0.138657889505135
3.0525,-0.221399335187728,-0.118876473193154
3.07,-0.219478024856973,-0.0993434140697744
3.0875,-0.221857701622216,-0.0887023159253111
3.105,-0.226182738874493,-0.0726050583616729
3.1225,-0.227916675408642,-0.0553528021919398
3.14,-0.224970013924517,-0.0389482612318418
3.1575,-0.225563871099342,-0.02584473845533
3.175,-0.223491435841947,-0.0071978537243757
3.1925,-0.219513979172567,0.008405842248697
3.21,-0.211480584536643,0.0268345752438935
3.2275,-0.201700347880998,0.037125356188907
3.245,-0.195755680433488,0.0500757283205647
3.2625,-0.186780208491122,0.0624168415474738
3.28,-0.175938102671695,0.0746662239114707
3.2975,-0.166123123587446,0.0817858417710073
3.315,-0.158195017131238,0.0951831523057836
3.3325,-0.141905983424174,0.105254197930347
3.35,-0.12876889457053,0.110516253103248
3.3675,-0.117915879372088,0.116865905054012
3.385,-0.102189477333526,0.128091637825613
3.4025,-0.0797010843566052,0.127352874938657
3.42,-0.0698826793871445,0.124431364926361
3.4375,-0.0560134911420872,0.127431667081321
3.455,-0.0413375749010284,0.126466491064713
3.4725,-0.026612231400579,0.123726539251226
3.49,-0.0157129725897215,0.121158400771546
3.5075,0.000640331265548705,0.120276215045848
3.525,0.0153968659100739,0.112349894892772
3.5425,0.0285161281111429,0.105815097543134
3.56,0.0412005803432276,0.0960948953076442
3.5775,0.0524352200759105,0.0862766712072556
3.595,0.0616628748649724,0.0744188182455434
3.6125,0.070464159456613,0.0644710904105833
3.63,0.0794473519708897,0.050422099069455
3.6475,0.0834931316734567,0.0368120188961825
3.665,0.0872590498825196,0.0256247666472499
3.6825,0.0945691370618762,0.0149468197602759
3.7,0.101539823316931,-0.00426506043604572
3.7175,0.0975390009490535,-0.0223881288363002
3.735,0.0944152155097256,-0.0323999215161986
3.7525,0.0974465663339017,-0.0428991596074919
3.77,0.0996226667926299,-0.0628484542669587
3.7875,0.0890957666891248,-0.0807334617635199
3.805,0.0818318786730687,-0.0885122366742459
3.8225,0.0804233184310634,-0.099702268987711
3.84,0.0764457163403762,-0.118133692679784
3.8575,0.0604992071781956,-0.134720275127082
3.875,0.0463780703893063,-0.13883915287773
3.8925,0.0408253326570333,-0.1454903773203
3.91,0.0315836206562703,-0.160163321660277
3.9275,0.0119355229887426,-0.169688763495269
3.945,-0.0015498018776892,-0.169220748843373
3.9625,-0.00904412762004431,-0.174816101493447
3.98,-0.022090619836502,-0.18486518521905
3.9975,-0.0415096229615682,-0.189619798372147
4.015,-0.0560704062081807,-0.188842811742408
4.0325,-0.070842833476359,-0.192011062912456
4.05,-0.0883178314932466,-0.190910431007086
4.0675,-0.104125916209123,-0.188424187137049
4.085,-0.119690918419618,-0.183110281345608
4.1025,-0.132346593078241,-0.177042493270202
4.12,-0.143191417370759,-0.171752524127821
4.1375,-0.155761393744726,-0.169198390220431
4.155,-0.171345503871065,-0.162431653375412
4.1725,-0.183258644238562,-0.153365251971485
4.19,-0.194336558351005,-0.14576957977446
4.2075,-0.207615919145315,-0.138033938170789
4.225,-0.221177317463167,-0.125623878748547
4.2425,-0.23162616072638,-0.111554082128886
4.26,-0.23868277664887,-0.0951388763738502
4.2775,-0.241006076185481,-0.083959490910492
4.295,-0.250019176719024,-0.0741739468390935
4.3125,-0.256790525896881,-0.0574578696460176
4.33,-0.256919848166705,-0.0429577179333655
4.3475,-0.258386555910056,-0.034365800775722
4.365,-0.266582712313581,-0.0224712512164522
4.3825,-0.26955929842843,-0.00397799822399181
4.4,-0.268319786920727,0.0110243457176782
4.4175,-0.268081120853044,0.0250625353406563
4.435,-0.266857581530116,0.0412621196153901
4.4525,-0.261054427714435,0.0556510705699779
4.47,-0.257908244940239,0.0674580755136535
4.4875,-0.252157292166216,0.0819867141058658
4.505,-0.245246520643207,0.0921839233321633
4.5225,-0.239826191105515,0.102500615090054
4.54,-0.235656171414558,0.112473446842831
4.5575,-0.230076039626841,0.126194159652871
4.575,-0.221302526596566,0.13754180462168
4.5925,-0.211536754286067,0.148941438776228
4.61,-0.201423792601411,0.155786839712137
4.6275,-0.194431144657317,0.166530073364902
4.645,-0.180239182619872,0.176734436586599
4.6625,-0.166582290831147,0.180855249036165
4.68,-0.157602696457064,0.182785435003152
4.6975,-0.150200193514744,0.191893404808509
4.715,-0.132903945075839,0.197745175218153
4.7325,-0.121742634816118,0.195672925872432
4.75,-0.115679187086468,0.197811873696609
4.7675,-0.107070170173455,0.207536958776773
4.785,-0.087326896474277,0.211583710689492
4.8025,-0.0750481913711192,0.206238342426443
4.82,-0.0669769398902895,0.205305855047483
4.8375,-0.0586359919335009,0.20802309804325
4.855,-0.0421937433970797,0.210344327448508
4.8725,-0.0289405722851133,0.202943032850945
4.89,-0.0214619558151593,0.199082127887687
4.9075,-0.0125931502167405,0.19792247895114
4.925,0.0011065296880934,0.195865833107167
4.9425,0.0115363613246301,0.186275500237452
4.96,0.0162365783903632,0.181862912543209
4.9775,0.0251560362640577,0.180191549744144
4.995,0.0381490851554626,0.176055085792487
5.0125,0.0483872882961308,0.164646461334735
5.03,0.0525426003562055,0.157503038703859
5.0475,0.0607988289753529,0.151840030939657
5.065,0.0694403537925996,0.144435606956011
5.0825,0.0782326057271459,0.132862668494224
5.1,0.0807893349206856,0.121556837645745
5.1175,0.0844296697931929,0.113201453809713
5.135,0.0874560036141779,0.105009300463038
5.1525,0.0926032151223382,0.0965720717368158
5.17,0.0955080284973881,0.0864847808689518
5.1875,0.0993080879244432,0.0771423052080456
5.205,0.101083942635554,0.066027798286102
5.2225,0.103309553495425,0.0562455671445642
5.24,0.103998180873479,0.0440638191668276
5.2575,0.103593523467232,0.033414140062098
5.275,0.101901620833563,0.0215007170302234
5.2925,0.0991885928115072,0.0113401767482887
5.31,0.0948865594978538,0.000348442222865107
5.3275,0.0897729707775827,-0.00656701167737303
5.345,0.0873288917064454,-0.0140473461514889
5.3625,0.0851957139544344,-0.0217607775380674
5.38,0.0831247674430566,-0.0326539133943153
5.3975,0.077731112221847,-0.04323884159198
