"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.192683576703393,-0.171030823659326
3.0175,-0.206454210842113,-0.153503804094693
3.035,-0.212320832111577,-0.133906912249135
3.0525,-0.214360656564528,-0.120459742951154
3.07,-0.223382658161973,-0.107803944008774
3.0875,-0.229550124579216,-0.0858514461193111
3.105,-0.226216122432493,-0.0671753315666729
3.1225,-0.225288051338642,-0.0542510870709398
3.14,-0.225687622020517,-0.0390759525738418
3.1575,-0.225139628618142,-0.02310812685733
3.175,-0.221114637342547,-0.0048994616713757
3.1925,-0.213196998633567,0.008312855557697
3.21,-0.209073860365943,0.0196761862728935
3.2275,-0.205156518039898,0.032797961714907
3.245,-0.200553480971488,0.0496379805225647
3.2625,-0.186767498568122,0.0647608961664737
3.28,-0.178243655710695,0.0707076628764707
3.2975,-0.172920163948446,0.0869025254710073
3.315,-0.155106590854238,0.100797476887484
3.3325,-0.140694705824174,0.106579625759347
3.35,-0.12608545136253,0.114478548433748
3.3675,-0.110588054365088,0.117799432862012
3.385,-0.0963176823605257,0.121416934800613
3.4025,-0.0815253291716052,0.120310169533757
3.42,-0.0726368423971445,0.120614613364361
3.4375,-0.0612810951320872,0.122923717067451
3.455,-0.0516695072620284,0.127654862895013
3.4725,-0.030787068059579,0.135186914905226
3.49,-0.00847924359972149,0.126305367479546
3.5075,0.00104371749054871,0.119626790192848
3.525,0.0182043218560739,0.118475455708772
3.5425,0.0380239679581429,0.106143944812134
3.56,0.0487324967192276,0.0880087908340342
3.5775,0.0486340610419105,0.0745749292392556
3.595,0.0536410008689724,0.0740573422035434
3.6125,0.068381717965613,0.0637322236235833
3.63,0.0726871848622797,0.050730301337455
3.6475,0.0795608780724567,0.0416742333321825
3.665,0.0845143506795196,0.0327483817472499
3.6825,0.100566531936876,0.0243193035502759
3.7,0.111987915101931,-0.00549472974804572
3.7175,0.100491707733053,-0.0280728842025002
3.735,0.0957008380187256,-0.0354472165191986
3.7525,0.0980362553069017,-0.0481913141894919
3.77,0.09629810003263,-0.0675890154689587
3.7875,0.0824957834961248,-0.0834302107584199
3.805,0.0748811149221687,-0.0829859598422459
3.8225,0.0828432552710634,-0.094746781262711
3.84,0.0746971843103762,-0.117272850878784
3.8575,0.0623731250681956,-0.127407963227082
3.875,0.0539802288153063,-0.13854878039392
3.8925,0.0440359535370333,-0.1487336015103
3.91,0.0331011913962703,-0.163471604630277
3.9275,0.0119975920977426,-0.173571644635269
3.945,-0.0048993912436892,-0.173529266859373
3.9625,-0.0156352645420443,-0.173329355052447
3.98,-0.021286064406502,-0.17883954018305
3.9975,-0.0378996429345682,-0.192167115302147
4.015,-0.0615327798609807,-0.189976117889408
4.0325,-0.070997443208359,-0.185060113202456
4.05,-0.0825325330985466,-0.189565414307086
4.0675,-0.100420364337123,-0.191833700247049
4.085,-0.121593317858618,-0.188049871160608
4.1025,-0.136054370673241,-0.175496708154202
4.12,-0.141966866870017,-0.170603010460821
4.1375,-0.156259789404726,-0.169670726420431
4.155,-0.171378897345065,-0.162057627165412
4.1725,-0.183898383964562,-0.152679613653485
4.19,-0.191944173997005,-0.14421462486946
4.2075,-0.205302927121315,-0.142653031210789
4.225,-0.227867653343167,-0.128564126313547
4.2425,-0.23445741576638,-0.104056848861886
4.26,-0.23249020171887,-0.0934028499745502
4.2775,-0.240636725509481,-0.087790267160592
4.295,-0.252943886109024,-0.0735885216067935
4.3125,-0.255565242856881,-0.0529567832130176
4.33,-0.250797825925705,-0.0445604890183655
4.3475,-0.259633392893056,-0.039417342497722
4.365,-0.267957440713581,-0.0224580462221522
4.3825,-0.27042456084843,-0.00621283107199181
4.4,-0.271838992150727,0.0110747646046782
4.4175,-0.269863410033044,0.0273338371376563
4.435,-0.267442998058116,0.0437654892753901
4.4525,-0.259713032385435,0.0594154734899779
4.47,-0.252395501803239,0.0678126637036535
4.4875,-0.250885579363816,0.0772674815218658
4.505,-0.247935736952207,0.0906005532111633
4.5225,-0.241626808482915,0.104891791713054
4.54,-0.230844739466458,0.113925904160831
4.5575,-0.229793137420141,0.119269747417871
4.575,-0.226525193968566,0.13771042489168
4.5925,-0.212900954951067,0.149575417876228
4.61,-0.204082418979411,0.158832164017137
4.6275,-0.192266601030317,0.169008094444902
4.645,-0.180110025118872,0.177160844726599
4.6625,-0.165734769081147,0.183441411623165
4.68,-0.152518228217064,0.185390990140152
4.6975,-0.143042563542744,0.185490241245509
4.715,-0.137955212555839,0.188196257977153
4.7325,-0.131479465012118,0.197879305647372
4.75,-0.113760324111468,0.206971383903609
4.7675,-0.0992266656964555,0.202239521025773
4.785,-0.095908891916277,0.204468530194492
4.8025,-0.0833782170641192,0.213730303176443
4.82,-0.0641494263522895,0.216406770185483
4.8375,-0.0464985813105009,0.20913573601025
4.855,-0.0404322492270797,0.201609065559508
4.8725,-0.0317025887231133,0.203036874211945
4.89,-0.0187175619701593,0.198188160775687
4.9075,-0.0122074958757405,0.19276304959014
4.925,-0.0053190181320266,0.191210436940167
4.9425,0.00334867347463012,0.191953532665452
4.96,0.0196643570652632,0.191014460004209
4.9775,0.0333146147800577,0.178420514109144
4.995,0.0359784547298626,0.169433579333487
5.0125,0.0427117688641308,0.168268699102735
5.03,0.0563487807658055,0.163511942277859
5.0475,0.0683166314653529,0.149940038869657
5.065,0.0699846975325996,0.135733482702011
5.0825,0.0707061387637459,0.131025085128224
5.1,0.0787597434666856,0.125469458013745
5.1175,0.0848436695001929,0.115031033221713
5.135,0.0885396243761779,0.105573205478038
5.1525,0.0920199212533382,0.0970536628488158
5.17,0.0974025256383881,0.0881295754391518
5.1875,0.100883721137443,0.0754070755018456
5.205,0.100898256369554,0.064740570095402
5.2225,0.101638649376425,0.0552061640936642
5.24,0.102971764302479,0.0464467532611276
5.2575,0.106517653934232,0.034064977527098
5.275,0.102840556222563,0.0179953654099234
5.2925,0.0950238343305072,0.00962890384850873
5.31,0.0924606469768538,0.00444586702786511
5.3275,0.0925100813595827,-0.00337256129237303
5.345,0.0913526560114454,-0.0148118184344889
5.3625,0.0859770701564344,-0.0257129315020674
5.38,0.0809878097430566,-0.0344215996213153
5.3975,0.075267409881197,-0.04380880551898
5.415,0.0689347456887697,-0.0520852191837799
5.4325,0.0618173522937566,-0.0606779828141256
5.45,0.0536480085063112,-0.0674721823884465
5.4675,0.0468423955448184,-0.0741582082941215
5.485,0.0378348475859024,-0.0823853533066569
5.5025,0.0265050196944373,-0.0868594593430727
5.52,0.0184547198312837,-0.0894980839342703
5.5375,0.0112677429116005,-0.0940959460633017
5.555,0.00242750970845612,-0.100929386619856
5.5725,-0.0115816260104911,-0.105075445906936
5.59,-0.0217030255273677,-0.104140624232778
5.6075,-0.0311398223696019,-0.107266422110661
5.625,-0.043685349411742,-0.106769885609896
5.6425,-0.0520723460256086,-0.104720159423251
5.66,-0.0587249884728226,-0.106091119733048
5.6775,-0.0689122666247964,-0.111697280374808
5.695,-0.0870670591356867,-0.113694390663482
5.7125,-0.103631019529813,-0.106110028629782
5.73,-0.112481307262,-0.0975504575505912
5.7475,-0.119960412238565,-0.0936233140948344
5.765,-0.130489040742691,-0.0903843861012316
5.7825,-0.142826475389146,-0.0840092174943394
5.8,-0.151599635679322,-0.0734319894371716
5.8175,-0.155495322005006,-0.0668750471608683
5.835,-0.163703928038793,-0.0634998061886766
5.8525,-0.173412643654472,-0.0572820446472676
5.87,-0.183472848810807,-0.0500450907949935
5.8875,-0.193617865073814,-0.0411714576688878
5.905,-0.205227211690953,-0.0298247760857854
5.9225,-0.213311854726443,-0.0124980988233432
5.94,-0.214442845028436,0.00314577470287357
5.9575,-0.21467071971882,0.014850458503327
5.975,-0.215889239718146,0.0246409681034481
5.9925,-0.219095010163006,0.0349568741459522
6.01,-0.221221616919265,0.04792815091353
6.0275,-0.219669958179447,0.0595243529057622
6.045,-0.220362515800059,0.0666575335130283
6.0625,-0.226762873361567,0.0771862132001774
6.08,-0.230678759758794,0.0954093836677963
6.0975,-0.227246006756116,0.114926964097055
6.115,-0.219830459134495,0.129498444280457
6.1325,-0.215141744707825,0.142152667065443
6.15,-0.207837416913508,0.157663131466846
6.1675,-0.19679424983648,0.168858915390836
6.185,-0.187659886997381,0.176690063627177
6.2025,-0.181371109530651,0.183418457860513
6.22,-0.1772482796334,0.193742582814835
6.2375,-0.169224076320203,0.206190354681841
6.255,-0.159194463076575,0.216629561650906
6.2725,-0.149557334944957,0.225758917175342
6.29,-0.140282481935736,0.237198956034913
6.3075,-0.125121047582128,0.249804961705655
6.325,-0.106138643251799,0.255654776993327
6.3425,-0.0919921544778673,0.256617888841787
6.36,-0.0801315029073586,0.261135366117556
6.3775,-0.064518507950211,0.264592946776889
6.395,-0.0503104279189478,0.265021812719489
6.4125,-0.0372141992519966,0.264555777023555
6.43,-0.0270959375898665,0.265034871405866
6.4475,-0.0141406092577178,0.269143625762856
6.465,0.00224027661335817,0.270450419845836
6.4825,0.0194460367526387,0.269392642160461
6.5,0.0360786403297054,0.264283412935988
6.5175,0.0495400128950139,0.258693231120494
6.535,0.0648103770061921,0.253345115854715
6.5525,0.0795378732678551,0.244217100163096
6.57,0.0910704957965904,0.233851359004472
6.5875,0.100187326034648,0.224699271980847
6.605,0.110084720346225,0.217683523121186
6.6225,0.122368404113068,0.20921298072692
6.64,0.134004012970412,0.19726138906965
6.6575,0.142372939122874,0.184074897783774
6.675,0.149138280323175,0.172461514840989
6.6925,0.157234832246379,0.161354702750762
6.71,0.165650856103827,0.146929822668003
6.7275,0.169913169786092,0.131138796595239
6.745,0.172583449479845,0.1173067445107
6.7625,0.174836903653058,0.104108751034197
6.78,0.177602220365852,0.0912763321043089
6.7975,0.180153924451342,0.0771520233575611
6.815,0.182574616427619,0.0616146706098632
6.8325,0.181040194479557,0.0424776693395727
6.85,0.173382071186892,0.0278136978909874
6.8675,0.168839290477962,0.0177169435692466
6.885,0.165727213154203,0.00569121435576952
6.9025,0.161292575587084,-0.00698198708136018
6.92,0.155315063933951,-0.0187703690158151
6.9375,0.150875742780896,-0.0297688127518646
6.955,0.144903913700666,-0.0439178388174855
6.9725,0.1341823960494,-0.0558591729965988
6.99,0.124102451954978,-0.064616928896422
7.0075,0.115198062931724,-0.0731629845182591
7.025,0.10555586693186,-0.0837245065734677
7.0425,0.0907526757052222,-0.093542258240099
7.06,0.0742165697640219,-0.0962682045471834
7.0775,0.0639095514172321,-0.0945932382397555
7.095,0.0590741654160477,-0.0971332139101194
7.1125,0.0516610549351339,-0.105989226634834
7.13,0.0365577372362505,-0.113791751585607
7.1475,0.0210984699371373,-0.114262193650721
7.165,0.0097534337258928,-0.114095855527977
7.1825,-0.00156413899307885,-0.115033291105091
7.2,-0.0140905383723512,-0.116517791102834
7.2175,-0.0294356022443441,-0.115196428075105
7.235,-0.0419728060344095,-0.109544794991165
7.2525,-0.0515812151088132,-0.10528420788959
7.27,-0.0618925052916158,-0.10141963165751
7.2875,-0.072229168653152,-0.0963946787814793
7.305,-0.0804533652321235,-0.089534417677451
7.3225,-0.0857937694452059,-0.0866890678486166
7.34,-0.0977612895711853,-0.085858131262509
7.3575,-0.111122947018224,-0.0776381151782372
7.375,-0.119548517395135,-0.0668986355341326
7.3925,-0.124249676349409,-0.0587553974196223
7.41,-0.13089681396789,-0.0544905603477168
7.4275,-0.141595467900028,-0.0466779812778337
7.445,-0.148552895383904,-0.0342894839553081
7.4625,-0.151615491845268,-0.0238107429467478
7.48,-0.154721171470991,-0.014870754553114
7.4975,-0.157861034076468,-0.00655881864880649
7.515,-0.161201747855697,0.00298672716161879
7.5325,-0.161376545578218,0.0111256782528245
7.55,-0.16549371086984,0.0159475582073937
7.5675,-0.172046668266679,0.0263530995755073
7.585,-0.174115123636726,0.0391436460748763
7.6025,-0.173431815199736,0.0502352617750889
7.62,-0.173184517120827,0.059146034563796
7.6375,-0.174143159345596,0.0697139941389339
7.655,-0.172413367052672,0.0814731246826468
7.6725,-0.169070647225761,0.0919912397288262
7.69,-0.164257417953832,0.10155845467516
7.7075,-0.158853953447688,0.108250227889582
7.725,-0.155824925716449,0.113210444633303
7.7425,-0.155286540443015,0.11917071573044
7.76,-0.155507197759011,0.128586712912573
7.7775,-0.151906943109275,0.140774934821005
7.795,-0.144553463456067,0.150407152654515
7.8125,-0.137686141591972,0.157562850978179
7.83,-0.131326294652924,0.164142901370131
7.8475,-0.126455208232767,0.171686556132705
7.865,-0.117546258132722,0.181463445674318
7.8825,-0.106079274957419,0.185107371710682
7.9,-0.0995135026010172,0.187149281739729
7.9175,-0.0932651174335164,0.191190488005263
7.935,-0.0868695771787891,0.19546810020096
7.9525,-0.0797681956434035,0.199905132168395
7.97,-0.0730415182956506,0.204457078094411
7.9875,-0.0643142948896356,0.210742291477742
8.005,-0.0520776780430984,0.214142306380593
8.0225,-0.0420168438019963,0.213460312612101
8.04,-0.0348426344638569,0.214211442620456
8.0575,-0.026254109244325,0.217260879817927
8.075,-0.0137335463430794,0.219641369914281
8.0925,-0.000162895036134938,0.215609710050187
8.11,0.00650322984561111,0.209344710745958
8.1275,0.0112374561674547,0.208313280281494
8.145,0.0193982966119109,0.209038204563409
8.1625,0.0307724723538925,0.207004777463173
8.18,0.038888691869997,0.200284918727539
8.1975,0.0433847427781831,0.198232851004219
8.215,0.0539226052637723,0.197002096214569
8.2325,0.0639074608335329,0.190074873626672
8.25,0.0706825123055975,0.182874334280957
8.2675,0.076106385655122,0.176231308615193
8.285,0.082729703563197,0.171609394776677
8.3025,0.0922367661488252,0.16307704246133
8.32,0.0963003630562101,0.1507461698207
8.3375,0.0969493320917186,0.142245002965882
8.355,0.0984900283530348,0.136156689896257
8.3725,0.10333673786992,0.130681719872812
8.39,0.108290358183987,0.119138328682229
8.4075,0.105945186619831,0.108787738834694
8.425,0.10565386793863,0.10372767893056
8.4425,0.107986305251399,0.0970752907577089
8.46,0.11098076626431,0.088411283591438
8.4775,0.111356470250534,0.0764431791472222
8.495,0.108560130849076,0.0667328264150666
8.5125,0.106621940393389,0.0564585989738646
8.53,0.100736441982922,0.0463466185547402
8.5475,0.095274029407163,0.0389961886002136
8.565,0.0880508409853961,0.0312417439670779
8.5825,0.0809903510694908,0.0281147003251863
8.6,0.0774853471971182,0.0234826832700525
8.6175,0.0716617526558371,0.0181191877860484
8.635,0.0671046015932602,0.0140462481879463
8.6525,0.0621195027378316,0.00825839125042771
8.67,0.0569823553544071,0.00282697655630303
8.6875,0.0501707918996478,-0.00587576918132415
8.705,0.0377298949240111,-0.0112373693157742
8.7225,0.0262455462839694,-0.0141537212526067
8.74,0.0114085512759035,-0.0139177110474644
8.7575,0.00202684062165332,-0.00752565175528701
8.775,-0.00379756590054118,-0.00539840697424666
8.7925,-0.0107422525394701,-0.00342439272428319
8.81,-0.018502675562514,-0.00288759752459727
8.8275,-0.0280793923427873,0.00200680002843858
8.845,-0.0310835491184032,0.00679829232083449
8.8625,-0.0365737847381449,0.00540080451819053
8.88,-0.0466776063739567,0.00607146144611938
8.8975,-0.059270356852229,0.00930852784444196
8.915,-0.0714227576141093,0.020228002284068
8.9325,-0.0753413715906565,0.0312392013862138
8.95,-0.0810625515442445,0.0385949972456354
8.9675,-0.0858516454512438,0.0497137938437563
8.985,-0.0875848109409091,0.0595737544904962
9.0025,-0.0876812095790628,0.0685862308610538
9.02,-0.0884236399485603,0.0733308029009579
9.0375,-0.09409734120813,0.0810879271212258
9.055,-0.0948577692038753,0.0924243057266286
9.0725,-0.0948985036134466,0.0994860049075817
9.09,-0.0973353122021052,0.107794808051021
9.1075,-0.100920892357284,0.117474127255392
9.125,-0.103085536335482,0.134513827238632
9.1425,-0.0936489597353455,0.149333343746345
9.16,-0.0863275102548088,0.155731001800844
9.1775,-0.0815168644539476,0.163426066939752
9.195,-0.0770692253406929,0.171028596301963
9.2125,-0.070750067347597,0.180757582885453
9.23,-0.0624048807204098,0.185902670935595
9.2475,-0.0592607806581708,0.191864642848431
9.265,-0.0521986804842223,0.201923657631119
9.2825,-0.0427496783687482,0.207970290325372
9.3,-0.0349117158436911,0.213260115420817
9.3175,-0.0276798283826704,0.218682467345499
9.335,-0.019602730205004,0.227157659175522
9.3525,-0.00537875938959628,0.233977474533461
9.37,0.00783107862190107,0.234663853120573
9.3875,0.0186292157595427,0.235202761808342
9.405,0.0282398408827782,0.234512878707011
9.4225,0.0365188068537726,0.236703697594597
9.44,0.0492396279645613,0.237755535726697
9.4575,0.059202437064874,0.235604995855929
9.475,0.0699912952901599,0.235446206649914
9.4925,0.0807077919654206,0.231861946779171
9.51,0.0896149535555132,0.230047639950766
9.5275,0.100435394086099,0.227129970254259
9.545,0.110029009726481,0.224348821274008
9.5625,0.123188035554016,0.220777836945611
9.58,0.134284849588188,0.211752865965994
9.5975,0.141787342035003,0.20343688018314
9.615,0.148477419414562,0.195199699912498
9.6325,0.153708393965873,0.189017014517844
9.65,0.162579669647937,0.183096021339966
9.6675,0.170395205226214,0.172642075261389
9.685,0.175311403287082,0.162652891423686
9.7025,0.179023696983911,0.152648693174316
9.72,0.18194656523327,0.145035467148475
9.7375,0.187577767282401,0.136374700364267
9.755,0.191159345063508,0.125976204720863
9.7725,0.195808333054076,0.11549811127835
9.79,0.197199455956484,0.100919915840201
9.8075,0.194416120775181,0.0907892136281244
9.825,0.195186697356853,0.0817416719749727
9.8425,0.194991183817953,0.0705860010022821
9.86,0.194195517517278,0.0583326178069164
9.8775,0.188705465422753,0.0452832198679625
9.895,0.182497912271397,0.0376984244680346
9.9125,0.179494513635748,0.0287484844596217
9.93,0.173628559417159,0.0187235123916966
9.9475,0.166928456238583,0.00997128784211163
9.965,0.158810911977842,0.00312490121729542
9.9825,0.154762568715553,-0.0024972141782786
10,0.148926307722836,-0.0153215940348527
