"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.197068377781393,-0.162657418742226
3.0175,-0.200956474793113,-0.149313166500694
3.035,-0.209388019525577,-0.137462480735135
3.0525,-0.217458097520528,-0.121550027985154
3.07,-0.223285018566973,-0.104341610644774
3.0875,-0.226200036170216,-0.0859981847003111
3.105,-0.225834055750493,-0.0689588409786729
3.1225,-0.224585480181642,-0.0550782044989398
3.14,-0.226620375336517,-0.0411430696038418
3.1575,-0.226066011801442,-0.02241648121733
3.175,-0.220525635804747,-0.0065232930103757
3.1925,-0.216389504416467,0.007028122675697
3.21,-0.211577117538643,0.0221678666218935
3.2275,-0.204540784218898,0.035777186218907
3.245,-0.198935028112488,0.0494442657885647
3.2625,-0.189435186315122,0.0660952596354738
3.28,-0.174374950498695,0.0773567078434707
3.2975,-0.163900814941446,0.0831100126270073
3.315,-0.156260004557238,0.0933904228477836
3.3325,-0.142797461563174,0.105033894251347
3.35,-0.12782411898353,0.110843752759248
3.3675,-0.116188012286088,0.116848431969012
3.385,-0.100589215999526,0.123793769268413
3.4025,-0.0846248586776052,0.124861724774757
3.42,-0.0728204279871445,0.126880266832361
3.4375,-0.0566568650530872,0.130499223626451
3.455,-0.0393520046650284,0.127925315831013
3.4725,-0.026432957765579,0.124212720245226
3.49,-0.0132314120847215,0.122147853696546
3.5075,0.0018316846535487,0.118453412606848
3.525,0.0161084595560739,0.111002118335772
3.5425,0.0269595568111429,0.103638920170134
3.56,0.0396387999042276,0.0968900373946442
3.5775,0.0517529353099105,0.0870437982632556
3.595,0.0630356797689724,0.0755123105305434
3.6125,0.070278453260613,0.0618737442665833
3.63,0.0764369031622797,0.051939804770455
3.6475,0.0848292298107567,0.0394270542021825
3.665,0.0895316324893196,0.0252838558872499
3.6825,0.0942234963458762,0.0127650804402759
3.7,0.0996900283279312,-0.00265243342504572
3.7175,0.100098745990053,-0.0210960568993002
3.735,0.0957301853127256,-0.0344639622031986
3.7525,0.0963009341359017,-0.0448825894774919
3.77,0.0977419543826299,-0.0614867844519587
3.7875,0.0916391788881248,-0.0804590241685199
3.805,0.0808045677880687,-0.0919979283722459
3.8225,0.0763983414580634,-0.100016545407711
3.84,0.0727468894803762,-0.113499003763784
3.8575,0.0650349713181956,-0.128452963963782
3.875,0.0529859874253063,-0.14159514389863
3.8925,0.0404193259270333,-0.1510190505053
3.91,0.0269625667752703,-0.160336117319277
3.9275,0.0131908614407426,-0.165579519279269
3.945,0.0024171662223108,-0.171590086504373
3.9625,-0.0104124942900443,-0.179405314516447
3.98,-0.027526324751502,-0.18562216218805
3.9975,-0.0435106419105682,-0.184786053210147
4.015,-0.0537200856251807,-0.187103806403408
